LMP,Load,temperature
52.75,38006.94,22.50
31.98,37036.52,22.20
28.82,35881.61,22.10
22.82,35044.06,22.10
8.20,34585.57,22.00
21.70,34446.40,22.10
7.66,34724.25,22.10
19.86,34972.37,22.20
20.35,35950.37,22.40
-0.22,38020.70,22.50
20.26,39972.90,22.50
22.07,41849.22,22.50
23.94,43180.19,22.50
26.06,44002.12,22.60
27.01,44251.29,23.30
27.00,44186.44,24.50
24.18,44276.64,26.00
27.48,44912.00,27.30
23.72,46030.24,28.20
22.99,45862.76,28.40
22.43,45695.83,28.20
22.27,45419.61,27.30
21.62,44716.79,25.50
18.78,43760.77,23.30
12.39,42791.76,22.30
9.29,42159.55,21.50
2.05,42022.21,20.90
18.88,42420.11,20.30
6.20,43447.62,19.40
19.25,44858.57,17.60
19.80,46788.14,14.60
20.69,49155.11,10.60
22.26,51181.49,7.10
20.48,52366.52,4.90
23.06,52121.80,3.30
27.68,51110.46,2.20
23.35,49891.37,1.40
22.03,48426.54,0.70
20.16,46947.26,0.50
18.36,46135.73,0.80
20.85,46229.31,1.90
25.54,48672.92,3.20
35.24,51634.63,4.20
36.19,52339.46,5.10
37.92,52291.55,5.70
36.65,51968.45,5.80
34.34,50629.99,5.40
34.56,49358.45,4.30
35.17,48446.75,3.60
34.58,48196.13,3.10
35.04,48321.48,2.50
36.39,48924.89,1.70
36.77,50306.61,1.00
36.18,52592.14,0.30
40.10,55596.58,-0.20
53.71,57598.55,-0.50
40.41,56961.42,-0.90
27.10,54377.36,-1.20
26.95,51544.98,-1.40
24.78,48711.55,-1.70
22.85,46360.05,-2.00
21.78,44448.85,-1.60
19.51,43060.11,1.30
16.79,42424.67,4.20
17.91,42581.43,6.50
24.42,44864.40,8.40
26.29,48021.26,10.00
23.15,48924.81,11.20
22.20,49231.48,11.80
21.54,48594.73,11.90
20.51,47004.64,10.90
20.68,45404.58,8.70
21.72,44283.58,8.20
22.27,43833.23,7.80
22.10,43820.27,7.30
22.64,44280.89,6.40
24.37,45607.72,5.40
22.27,48192.44,4.80
28.18,51734.80,4.40
33.61,53582.09,4.20
29.68,52554.24,4.50
23.11,50154.36,4.80
22.53,47876.44,4.80
21.38,45796.84,4.50
21.99,44125.60,4.30
18.27,42814.67,4.50
12.18,41767.95,7.40
1.10,41255.28,10.50
17.62,41378.14,13.50
22.83,42409.80,15.40
32.99,44421.23,16.70
22.75,44336.09,17.60
23.14,43873.86,18.10
22.66,42603.75,18.10
20.30,40692.18,16.90
20.15,38846.98,13.50
21.72,37623.64,13.20
22.52,37153.44,13.60
22.67,37154.20,13.60
21.21,37663.47,13.40
20.32,38960.43,13.10
20.83,41441.00,12.80
22.40,45029.53,12.30
22.78,46821.99,11.80
22.57,45951.49,11.20
19.76,44645.47,10.60
19.50,43417.82,10.30
22.80,42056.13,10.00
23.24,41204.69,9.80
25.21,40769.07,10.30
23.85,40649.97,14.20
23.28,40604.07,17.30
22.55,40852.64,20.20
24.26,41954.46,21.80
35.08,43709.35,22.90
30.97,43507.83,23.50
25.60,43029.46,23.70
23.27,41943.90,23.20
22.40,40183.78,21.50
19.56,38463.90,18.20
21.12,37466.41,17.20
21.06,37108.71,16.70
19.65,37251.11,16.10
22.34,37684.30,15.50
22.28,39069.28,15.10
19.09,41945.03,14.70
22.32,45830.90,14.30
24.55,48155.90,14.10
22.73,48334.17,14.00
22.87,48078.75,14.10
22.14,47664.97,13.90
22.11,47183.61,13.60
21.61,46474.43,13.40
22.23,45818.76,13.60
22.79,45323.96,15.60
22.54,45146.31,17.90
22.55,45868.15,20.40
27.61,47935.74,21.30
42.11,50647.93,21.40
40.97,51044.78,21.10
42.12,51006.72,20.30
38.84,50322.47,19.10
