file_pair,score,score_clipped
"('data_blackout\\Response (1)-1.txt', 'data_blackout\\Response (1).txt')",1.286124587059021,1.0
"('data_blackout\\Response (1)-1.txt', 'data_blackout\\Response (2)-2.txt')",1.286124587059021,1.0
"('data_blackout\\Response (1)-1.txt', 'data_blackout\\Response (2).txt')",1.2668647766113281,1.0
"('data_blackout\\Response (1)-1.txt', 'data_blackout\\Response (3)-3.txt')",1.2706387042999268,1.0
"('data_blackout\\Response (1)-1.txt', 'data_blackout\\Response (3).txt')",1.286124587059021,1.0
"('data_blackout\\Response (1)-1.txt', 'data_blackout\\Response (4)-4.txt')",1.2628200054168701,1.0
"('data_blackout\\Response (1)-1.txt', 'data_blackout\\Response (4).txt')",1.3663972616195679,1.0
"('data_blackout\\Response (1)-1.txt', 'data_blackout\\Response (5).txt')",1.2706387042999268,1.0
"('data_blackout\\Response (1)-1.txt', 'data_blackout\\Response (6).txt')",1.2706387042999268,1.0
"('data_blackout\\Response (1)-1.txt', 'data_blackout\\Response-00.txt')",1.2706387042999268,1.0
"('data_blackout\\Response (1)-1.txt', 'data_blackout\\Response.txt')",1.286124587059021,1.0
"('data_blackout\\Response (1).txt', 'data_blackout\\Response (2)-2.txt')",1.266432762145996,1.0
"('data_blackout\\Response (1).txt', 'data_blackout\\Response (2).txt')",1.2719368934631348,1.0
"('data_blackout\\Response (1).txt', 'data_blackout\\Response (3)-3.txt')",1.286840558052063,1.0
"('data_blackout\\Response (1).txt', 'data_blackout\\Response (3).txt')",1.266432762145996,1.0
"('data_blackout\\Response (1).txt', 'data_blackout\\Response (4)-4.txt')",1.266013741493225,1.0
"('data_blackout\\Response (1).txt', 'data_blackout\\Response (4).txt')",1.3624145984649658,1.0
"('data_blackout\\Response (1).txt', 'data_blackout\\Response (5).txt')",1.286840558052063,1.0
"('data_blackout\\Response (1).txt', 'data_blackout\\Response (6).txt')",1.286840558052063,1.0
"('data_blackout\\Response (1).txt', 'data_blackout\\Response-00.txt')",1.286840558052063,1.0
"('data_blackout\\Response (1).txt', 'data_blackout\\Response.txt')",1.266432762145996,1.0
"('data_blackout\\Response (2)-2.txt', 'data_blackout\\Response (2).txt')",1.2719368934631348,1.0
"('data_blackout\\Response (2)-2.txt', 'data_blackout\\Response (3)-3.txt')",1.286840558052063,1.0
"('data_blackout\\Response (2)-2.txt', 'data_blackout\\Response (3).txt')",1.266432762145996,1.0
"('data_blackout\\Response (2)-2.txt', 'data_blackout\\Response (4)-4.txt')",1.266013741493225,1.0
"('data_blackout\\Response (2)-2.txt', 'data_blackout\\Response (4).txt')",1.3624145984649658,1.0
"('data_blackout\\Response (2)-2.txt', 'data_blackout\\Response (5).txt')",1.286840558052063,1.0
"('data_blackout\\Response (2)-2.txt', 'data_blackout\\Response (6).txt')",1.286840558052063,1.0
"('data_blackout\\Response (2)-2.txt', 'data_blackout\\Response-00.txt')",1.286840558052063,1.0
"('data_blackout\\Response (2)-2.txt', 'data_blackout\\Response.txt')",1.266432762145996,1.0
"('data_blackout\\Response (2).txt', 'data_blackout\\Response (3)-3.txt')",1.2887208461761475,1.0
"('data_blackout\\Response (2).txt', 'data_blackout\\Response (3).txt')",1.2930278778076172,1.0
"('data_blackout\\Response (2).txt', 'data_blackout\\Response (4)-4.txt')",1.2434072494506836,1.0
"('data_blackout\\Response (2).txt', 'data_blackout\\Response (4).txt')",1.3370882272720337,1.0
