BA Code,Timestamp (Hour Ending),Demand (MWh),Demand Forecast (MWh),Net Generation (MWh),Total Interchange (MWh)
ERCO,1/31/2021 12 a.m. CST,34609,35113,34053,-556
ERCO,1/31/2021 1 a.m. CST,33468,34397,33095,-373
ERCO,1/31/2021 2 a.m. CST,32991,33528,32838,-152
ERCO,1/31/2021 3 a.m. CST,32806,33159,32746,-60
ERCO,1/31/2021 4 a.m. CST,32908,33058,32846,-63
ERCO,1/31/2021 5 a.m. CST,33251,33434,32956,-296
ERCO,1/31/2021 6 a.m. CST,34081,34826,34006,-75
ERCO,1/31/2021 7 a.m. CST,35541,36609,35415,-127
ERCO,1/31/2021 8 a.m. CST,36919,37837,36929,10
ERCO,1/31/2021 9 a.m. CST,38198,38549,38130,-68
ERCO,1/31/2021 10 a.m. CST,39107,40070,39128,20
ERCO,1/31/2021 11 a.m. CST,39198,39839,39341,142
ERCO,1/31/2021 12 p.m. CST,38770,39299,38982,213
ERCO,1/31/2021 1 p.m. CST,38166,38970,38293,127
ERCO,1/31/2021 2 p.m. CST,37420,38623,37573,153
ERCO,1/31/2021 3 p.m. CST,36839,38175,36943,104
ERCO,1/31/2021 4 p.m. CST,36546,37936,36696,150
ERCO,1/31/2021 5 p.m. CST,36756,38212,36880,124
ERCO,1/31/2021 6 p.m. CST,37683,38820,37645,-38
ERCO,1/31/2021 7 p.m. CST,39982,41305,39859,-123
ERCO,1/31/2021 8 p.m. CST,40732,42269,40318,-414
ERCO,1/31/2021 9 p.m. CST,40540,42139,40336,-204
ERCO,1/31/2021 10 p.m. CST,39838,41297,39689,-150
ERCO,1/31/2021 11 p.m. CST,38359,39376,38266,-93
ERCO,2/1/2021 12 a.m. CST,36882,37493,36822,-60
ERCO,2/1/2021 1 a.m. CST,35999,35925,35997,-2
ERCO,2/1/2021 2 a.m. CST,35793,35729,35792,-1
ERCO,2/1/2021 3 a.m. CST,36034,35962,36033,-1
ERCO,2/1/2021 4 a.m. CST,36753,36717,36752,-1
ERCO,2/1/2021 5 a.m. CST,38280,38312,38279,-1
ERCO,2/1/2021 6 a.m. CST,41150,41148,41149,-1
ERCO,2/1/2021 7 a.m. CST,45376,44949,45363,-13
ERCO,2/1/2021 8 a.m. CST,47824,47148,47356,-468
ERCO,2/1/2021 9 a.m. CST,47145,46883,46975,-170
ERCO,2/1/2021 10 a.m. CST,45483,45501,45465,-18
ERCO,2/1/2021 11 a.m. CST,43960,43852,43959,0
ERCO,2/1/2021 12 p.m. CST,42478,42170,42478,0
ERCO,2/1/2021 1 p.m. CST,40971,40572,40971,0
ERCO,2/1/2021 2 p.m. CST,39961,39283,39961,0
ERCO,2/1/2021 3 p.m. CST,39163,38405,39163,0
ERCO,2/1/2021 4 p.m. CST,38602,38028,38602,0
ERCO,2/1/2021 5 p.m. CST,38570,38186,38570,0
ERCO,2/1/2021 6 p.m. CST,39339,38873,39326,-14
ERCO,2/1/2021 7 p.m. CST,41679,41150,41677,-1
ERCO,2/1/2021 8 p.m. CST,42474,42116,42401,-73
ERCO,2/1/2021 9 p.m. CST,42402,42221,42393,-10
ERCO,2/1/2021 10 p.m. CST,41812,41504,41811,-1
ERCO,2/1/2021 11 p.m. CST,40302,39953,40338,36
ERCO,2/2/2021 12 a.m. CST,38777,38400,38777,0
ERCO,2/2/2021 1 a.m. CST,37731,37798,37769,38
ERCO,2/2/2021 2 a.m. CST,37270,37691,37274,4
ERCO,2/2/2021 3 a.m. CST,37326,37467,37317,-9
ERCO,2/2/2021 4 a.m. CST,37728,37990,37712,-16
ERCO,2/2/2021 5 a.m. CST,39053,39417,39043,-10
ERCO,2/2/2021 6 a.m. CST,41673,42181,41791,117
ERCO,2/2/2021 7 a.m. CST,45516,46227,45708,191
ERCO,2/2/2021 8 a.m. CST,47503,47900,47759,255
ERCO,2/2/2021 9 a.m. CST,46816,46757,47081,265
ERCO,2/2/2021 10 a.m. CST,44762,45011,45026,265
ERCO,2/2/2021 11 a.m. CST,42946,43252,43211,265
ERCO,2/2/2021 12 p.m. CST,41423,41380,41614,191
ERCO,2/2/2021 1 p.m. CST,40023,39996,40137,114
ERCO,2/2/2021 2 p.m. CST,39045,39053,39158,113
ERCO,2/2/2021 3 p.m. CST,38220,38288,38225,6
ERCO,2/2/2021 4 p.m. CST,37797,37609,37799,2
ERCO,2/2/2021 5 p.m. CST,37899,38027,37893,-6
ERCO,2/2/2021 6 p.m. CST,38552,38831,37803,-749
ERCO,2/2/2021 7 p.m. CST,40571,40624,39773,-799
ERCO,2/2/2021 8 p.m. CST,41005,41572,40956,-49
ERCO,2/2/2021 9 p.m. CST,40784,41496,40843,59
ERCO,2/2/2021 10 p.m. CST,39903,40589,39967,65
ERCO,2/2/2021 11 p.m. CST,38195,38879,38271,77
ERCO,2/3/2021 12 a.m. CST,36574,37352,36604,30
ERCO,2/3/2021 1 a.m. CST,35623,35946,35644,21
ERCO,2/3/2021 2 a.m. CST,35239,34976,35123,-116
ERCO,2/3/2021 3 a.m. CST,35210,34756,35136,-74
ERCO,2/3/2021 4 a.m. CST,35664,34975,35752,88
ERCO,2/3/2021 5 a.m. CST,36866,36236,36927,60
ERCO,2/3/2021 6 a.m. CST,39147,38735,39008,-139
ERCO,2/3/2021 7 a.m. CST,43042,42726,42289,-753
ERCO,2/3/2021 8 a.m. CST,44665,44391,43982,-683
ERCO,2/3/2021 9 a.m. CST,43856,43073,43728,-128
ERCO,2/3/2021 10 a.m. CST,42122,41707,42058,-64
ERCO,2/3/2021 11 a.m. CST,40610,40643,40649,40
ERCO,2/3/2021 12 p.m. CST,39571,39965,39797,226
ERCO,2/3/2021 1 p.m. CST,38763,39370,38823,61
ERCO,2/3/2021 2 p.m. CST,38376,38843,38378,2
ERCO,2/3/2021 3 p.m. CST,38251,38687,38237,-14
ERCO,2/3/2021 4 p.m. CST,38323,38196,38273,-50
ERCO,2/3/2021 5 p.m. CST,38656,38354,38556,-99
ERCO,2/3/2021 6 p.m. CST,39059,38906,38955,-104
ERCO,2/3/2021 7 p.m. CST,40599,40096,40367,-232
ERCO,2/3/2021 8 p.m. CST,40854,40669,40676,-178
ERCO,2/3/2021 9 p.m. CST,40126,39945,40010,-117
ERCO,2/3/2021 10 p.m. CST,38703,38895,38565,-137
ERCO,2/3/2021 11 p.m. CST,36551,36944,36423,-128
ERCO,2/4/2021 12 a.m. CST,34338,34659,34214,-124
ERCO,2/4/2021 1 a.m. CST,32800,33080,32968,167
ERCO,2/4/2021 2 a.m. CST,31886,32012,32124,238
ERCO,2/4/2021 3 a.m. CST,31313,31437,31587,274
ERCO,2/4/2021 4 a.m. CST,31186,31407,31422,236
ERCO,2/4/2021 5 a.m. CST,31809,32054,31930,121
