BA Code,Timestamp (Hour Ending),CEN Interchange (MWh),SWPP Interchange (MWh)
ERCO,1/31/2021 12 a.m. CST,0,-556
ERCO,1/31/2021 1 a.m. CST,41,-414
ERCO,1/31/2021 2 a.m. CST,41,-193
ERCO,1/31/2021 3 a.m. CST,41,-101
ERCO,1/31/2021 4 a.m. CST,41,-103
ERCO,1/31/2021 5 a.m. CST,41,-336
ERCO,1/31/2021 6 a.m. CST,41,-116
ERCO,1/31/2021 7 a.m. CST,41,-167
ERCO,1/31/2021 8 a.m. CST,41,-30
ERCO,1/31/2021 9 a.m. CST,40,-108
ERCO,1/31/2021 10 a.m. CST,21,0
ERCO,1/31/2021 11 a.m. CST,21,122
ERCO,1/31/2021 12 p.m. CST,21,192
ERCO,1/31/2021 1 p.m. CST,21,106
ERCO,1/31/2021 2 p.m. CST,0,154
ERCO,1/31/2021 3 p.m. CST,0,104
ERCO,1/31/2021 4 p.m. CST,0,150
ERCO,1/31/2021 5 p.m. CST,-1,125
ERCO,1/31/2021 6 p.m. CST,-68,30
ERCO,1/31/2021 7 p.m. CST,0,-123
ERCO,1/31/2021 8 p.m. CST,0,-414
ERCO,1/31/2021 9 p.m. CST,0,-203
ERCO,1/31/2021 10 p.m. CST,-1,-149
ERCO,1/31/2021 11 p.m. CST,0,-92
ERCO,2/1/2021 12 a.m. CST,0,-59
ERCO,2/1/2021 1 a.m. CST,-1,-2
ERCO,2/1/2021 2 a.m. CST,0,0
ERCO,2/1/2021 3 a.m. CST,0,0
ERCO,2/1/2021 4 a.m. CST,0,0
ERCO,2/1/2021 5 a.m. CST,0,0
ERCO,2/1/2021 6 a.m. CST,0,0
ERCO,2/1/2021 7 a.m. CST,0,-13
ERCO,2/1/2021 8 a.m. CST,0,-468
ERCO,2/1/2021 9 a.m. CST,-14,-156
ERCO,2/1/2021 10 a.m. CST,-14,-4
ERCO,2/1/2021 11 a.m. CST,-1,0
ERCO,2/1/2021 12 p.m. CST,0,0
ERCO,2/1/2021 1 p.m. CST,0,0
ERCO,2/1/2021 2 p.m. CST,0,0
ERCO,2/1/2021 3 p.m. CST,0,0
ERCO,2/1/2021 4 p.m. CST,0,0
ERCO,2/1/2021 5 p.m. CST,0,0
ERCO,2/1/2021 6 p.m. CST,-14,0
ERCO,2/1/2021 7 p.m. CST,0,-1
ERCO,2/1/2021 8 p.m. CST,0,-72
ERCO,2/1/2021 9 p.m. CST,0,-9
ERCO,2/1/2021 10 p.m. CST,0,0
ERCO,2/1/2021 11 p.m. CST,36,0
ERCO,2/2/2021 12 a.m. CST,1,0
ERCO,2/2/2021 1 a.m. CST,38,0
ERCO,2/2/2021 2 a.m. CST,41,-37
ERCO,2/2/2021 3 a.m. CST,41,-50
ERCO,2/2/2021 4 a.m. CST,41,-57
ERCO,2/2/2021 5 a.m. CST,41,-51
ERCO,2/2/2021 6 a.m. CST,41,77
ERCO,2/2/2021 7 a.m. CST,0,191
ERCO,2/2/2021 8 a.m. CST,0,256
ERCO,2/2/2021 9 a.m. CST,0,265
ERCO,2/2/2021 10 a.m. CST,0,265
ERCO,2/2/2021 11 a.m. CST,0,265
ERCO,2/2/2021 12 p.m. CST,0,192
ERCO,2/2/2021 1 p.m. CST,0,115
ERCO,2/2/2021 2 p.m. CST,0,113
ERCO,2/2/2021 3 p.m. CST,0,6
ERCO,2/2/2021 4 p.m. CST,0,2
ERCO,2/2/2021 5 p.m. CST,0,-6
ERCO,2/2/2021 6 p.m. CST,0,-748
ERCO,2/2/2021 7 p.m. CST,0,-798
ERCO,2/2/2021 8 p.m. CST,39,-88
ERCO,2/2/2021 9 p.m. CST,60,-1
ERCO,2/2/2021 10 p.m. CST,65,0
ERCO,2/2/2021 11 p.m. CST,77,-1
ERCO,2/3/2021 12 a.m. CST,77,-48
ERCO,2/3/2021 1 a.m. CST,73,-52
ERCO,2/3/2021 2 a.m. CST,79,-194
ERCO,2/3/2021 3 a.m. CST,122,-196
ERCO,2/3/2021 4 a.m. CST,94,-6
ERCO,2/3/2021 5 a.m. CST,63,-2
ERCO,2/3/2021 6 a.m. CST,41,-180
ERCO,2/3/2021 7 a.m. CST,41,-793
ERCO,2/3/2021 8 a.m. CST,40,-723
ERCO,2/3/2021 9 a.m. CST,0,-128
ERCO,2/3/2021 10 a.m. CST,0,-64
ERCO,2/3/2021 11 a.m. CST,0,40
ERCO,2/3/2021 12 p.m. CST,0,226
ERCO,2/3/2021 1 p.m. CST,0,61
ERCO,2/3/2021 2 p.m. CST,0,2
ERCO,2/3/2021 3 p.m. CST,0,-14
ERCO,2/3/2021 4 p.m. CST,0,-50
ERCO,2/3/2021 5 p.m. CST,0,-99
ERCO,2/3/2021 6 p.m. CST,0,-103
ERCO,2/3/2021 7 p.m. CST,4,-236
ERCO,2/3/2021 8 p.m. CST,41,-219
ERCO,2/3/2021 9 p.m. CST,71,-188
ERCO,2/3/2021 10 p.m. CST,73,-210
ERCO,2/3/2021 11 p.m. CST,88,-216
ERCO,2/4/2021 12 a.m. CST,88,-212
ERCO,2/4/2021 1 a.m. CST,139,28
ERCO,2/4/2021 2 a.m. CST,140,98
ERCO,2/4/2021 3 a.m. CST,140,134
ERCO,2/4/2021 4 a.m. CST,194,42
ERCO,2/4/2021 5 a.m. CST,135,-14
ERCO,2/4/2021 6 a.m. CST,109,-30
ERCO,2/4/2021 7 a.m. CST,41,125
ERCO,2/4/2021 8 a.m. CST,62,25
ERCO,2/4/2021 9 a.m. CST,0,4
ERCO,2/4/2021 10 a.m. CST,0,84
ERCO,2/4/2021 11 a.m. CST,0,64
ERCO,2/4/2021 12 p.m. CST,0,53
ERCO,2/4/2021 1 p.m. CST,0,18
ERCO,2/4/2021 2 p.m. CST,0,0
ERCO,2/4/2021 3 p.m. CST,0,-249
ERCO,2/4/2021 4 p.m. CST,0,-130
ERCO,2/4/2021 5 p.m. CST,0,-195
ERCO,2/4/2021 6 p.m. CST,0,-380
ERCO,2/4/2021 7 p.m. CST,0,-559
ERCO,2/4/2021 8 p.m. CST,43,-261
ERCO,2/4/2021 9 p.m. CST,36,72
ERCO,2/4/2021 10 p.m. CST,47,2
ERCO,2/4/2021 11 p.m. CST,48,38
ERCO,2/5/2021 12 a.m. CST,0,104
ERCO,2/5/2021 1 a.m. CST,94,252
ERCO,2/5/2021 2 a.m. CST,42,10
ERCO,2/5/2021 3 a.m. CST,41,1
ERCO,2/5/2021 4 a.m. CST,41,-93
ERCO,2/5/2021 5 a.m. CST,41,111
ERCO,2/5/2021 6 a.m. CST,40,241
ERCO,2/5/2021 7 a.m. CST,-16,370
ERCO,2/5/2021 8 a.m. CST,-1,323
ERCO,2/5/2021 9 a.m. CST,-1,133
ERCO,2/5/2021 10 a.m. CST,0,247
ERCO,2/5/2021 11 a.m. CST,0,419
ERCO,2/5/2021 12 p.m. CST,0,414
ERCO,2/5/2021 1 p.m. CST,0,273
ERCO,2/5/2021 2 p.m. CST,0,15
ERCO,2/5/2021 3 p.m. CST,0,0
ERCO,2/5/2021 4 p.m. CST,-1,0
ERCO,2/5/2021 5 p.m. CST,-8,0
ERCO,2/5/2021 6 p.m. CST,-59,0
ERCO,2/5/2021 7 p.m. CST,-27,-145
ERCO,2/5/2021 8 p.m. CST,43,-100
ERCO,2/5/2021 9 p.m. CST,24,-3
ERCO,2/5/2021 10 p.m. CST,30,0
ERCO,2/5/2021 11 p.m. CST,69,-2
ERCO,2/6/2021 12 a.m. CST,25,-142
ERCO,2/6/2021 1 a.m. CST,0,-3
ERCO,2/6/2021 2 a.m. CST,14,-50
ERCO,2/6/2021 3 a.m. CST,1,-144
ERCO,2/6/2021 4 a.m. CST,15,-4
ERCO,2/6/2021 5 a.m. CST,0,0
ERCO,2/6/2021 6 a.m. CST,-1,0
ERCO,2/6/2021 7 a.m. CST,-1,0
ERCO,2/6/2021 8 a.m. CST,-1,0
ERCO,2/6/2021 9 a.m. CST,-1,2
ERCO,2/6/2021 10 a.m. CST,-1,-20
ERCO,2/6/2021 11 a.m. CST,0,61
ERCO,2/6/2021 12 p.m. CST,0,370
ERCO,2/6/2021 1 p.m. CST,-1,300
ERCO,2/6/2021 2 p.m. CST,0,203
ERCO,2/6/2021 3 p.m. CST,0,204
ERCO,2/6/2021 4 p.m. CST,0,170
ERCO,2/6/2021 5 p.m. CST,0,57
ERCO,2/6/2021 6 p.m. CST,-34,-316
ERCO,2/6/2021 7 p.m. CST,-34,-756
ERCO,2/6/2021 8 p.m. CST,-1,-814
ERCO,2/6/2021 9 p.m. CST,22,-496
ERCO,2/6/2021 10 p.m. CST,1,-27
ERCO,2/6/2021 11 p.m. CST,-1,0
ERCO,2/7/2021 12 a.m. CST,-1,21
ERCO,2/7/2021 1 a.m. CST,39,96
ERCO,2/7/2021 2 a.m. CST,41,160
ERCO,2/7/2021 3 a.m. CST,41,540
ERCO,2/7/2021 4 a.m. CST,21,781
ERCO,2/7/2021 5 a.m. CST,40,508
ERCO,2/7/2021 6 a.m. CST,40,477
ERCO,2/7/2021 7 a.m. CST,0,172
ERCO,2/7/2021 8 a.m. CST,-1,53
ERCO,2/7/2021 9 a.m. CST,0,-167
