"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
MISO,"1/31/2021 12 a.m. CST",8896,1,805,893,933,13528,27269,11538
MISO,"1/31/2021 1 a.m. CST",9565,1,708,892,934,13409,25769,11536
MISO,"1/31/2021 2 a.m. CST",10485,1,706,891,930,13213,24196,11534
MISO,"1/31/2021 3 a.m. CST",11152,1,706,895,903,13023,23069,11534
MISO,"1/31/2021 4 a.m. CST",11688,1,702,892,934,12986,22545,11540
MISO,"1/31/2021 5 a.m. CST",12058,1,700,891,935,12801,22843,11540
MISO,"1/31/2021 6 a.m. CST",12311,1,794,895,938,12711,23393,11537
MISO,"1/31/2021 7 a.m. CST",12581,1,835,896,879,12513,23744,11542
MISO,"1/31/2021 8 a.m. CST",12483,11,881,899,894,12933,24861,11539
MISO,"1/31/2021 9 a.m. CST",12237,73,912,898,930,13726,26675,11540
MISO,"1/31/2021 10 a.m. CST",12107,166,995,899,933,13968,28532,11546
MISO,"1/31/2021 11 a.m. CST",11967,252,870,898,932,14168,29550,11553
MISO,"1/31/2021 12 p.m. CST",12062,250,845,895,881,14135,30258,11557
MISO,"1/31/2021 1 p.m. CST",12229,266,905,890,928,14076,30439,11564
MISO,"1/31/2021 2 p.m. CST",12472,271,928,887,949,14151,29747,11568
MISO,"1/31/2021 3 p.m. CST",12698,213,869,891,1065,14272,29411,11568
MISO,"1/31/2021 4 p.m. CST",12704,145,914,899,1127,14792,29793,11570
MISO,"1/31/2021 5 p.m. CST",12556,64,1125,918,1120,15338,30677,11568
MISO,"1/31/2021 6 p.m. CST",12276,6,2399,961,1195,16140,32054,11569
MISO,"1/31/2021 7 p.m. CST",12134,1,1695,1025,1212,16609,33172,11569
MISO,"1/31/2021 8 p.m. CST",12116,1,1137,1004,1061,16557,33007,11569
MISO,"1/31/2021 9 p.m. CST",11746,1,981,958,1102,16309,32270,11569
MISO,"1/31/2021 10 p.m. CST",11268,1,855,912,1189,15866,30510,11570
MISO,"1/31/2021 11 p.m. CST",10539,1,818,891,1132,15777,28797,11568
MISO,"2/1/2021 12 a.m. CST",9405,1,848,899,1202,15854,26921,11575
MISO,"2/1/2021 1 a.m. CST",8357,1,850,897,1375,15822,27195,11574
MISO,"2/1/2021 2 a.m. CST",7540,1,850,892,1411,15837,27257,11580
MISO,"2/1/2021 3 a.m. CST",7271,1,843,888,1594,15873,27258,11583
MISO,"2/1/2021 4 a.m. CST",7642,1,840,886,1750,16009,27316,11586
MISO,"2/1/2021 5 a.m. CST",7997,1,864,883,2055,16947,27401,11587
MISO,"2/1/2021 6 a.m. CST",7779,1,1476,913,2460,19105,29119,11585
MISO,"2/1/2021 7 a.m. CST",7358,1,2329,1023,2644,21561,31729,11582
MISO,"2/1/2021 8 a.m. CST",6778,14,2698,1081,2971,23166,33434,11584
MISO,"2/1/2021 9 a.m. CST",6404,97,2439,1080,3221,23498,33835,11583
MISO,"2/1/2021 10 a.m. CST",6058,191,1669,1074,3322,24228,33715,11587
MISO,"2/1/2021 11 a.m. CST",5558,261,1587,1070,3029,23848,33614,11586
MISO,"2/1/2021 12 p.m. CST",5108,290,1341,1057,2901,23731,33738,11576
MISO,"2/1/2021 1 p.m. CST",4671,344,1072,967,2662,23166,33817,11578
MISO,"2/1/2021 2 p.m. CST",4232,357,1037,932,2539,22541,33875,11576
MISO,"2/1/2021 3 p.m. CST",4230,381,1033,958,2471,21723,33708,11574
MISO,"2/1/2021 4 p.m. CST",4281,289,1034,965,2523,21690,33359,11580
MISO,"2/1/2021 5 p.m. CST",4213,116,1232,990,2637,22271,33749,11575
MISO,"2/1/2021 6 p.m. CST",4150,9,2672,1044,2847,23893,34028,11575
MISO,"2/1/2021 7 p.m. CST",4289,1,2142,1093,3112,25207,34339,11576
MISO,"2/1/2021 8 p.m. CST",4246,1,1608,1073,3032,24591,34279,11572
MISO,"2/1/2021 9 p.m. CST",4096,1,1250,1080,2894,24021,34088,11575
MISO,"2/1/2021 10 p.m. CST",3836,1,1018,1064,2590,22587,33358,11579
MISO,"2/1/2021 11 p.m. CST",3578,1,959,1041,2207,21550,32460,11580
MISO,"2/2/2021 12 a.m. CST",3696,1,918,1002,2128,20672,31593,11583
MISO,"2/2/2021 1 a.m. CST",3593,1,916,1008,2063,19974,30948,11584
MISO,"2/2/2021 2 a.m. CST",3320,1,924,989,2019,19867,30893,11583
MISO,"2/2/2021 3 a.m. CST",3434,1,983,984,1957,19675,30839,11586
MISO,"2/2/2021 4 a.m. CST",3545,1,983,989,2006,19926,31066,11580
MISO,"2/2/2021 5 a.m. CST",3453,1,982,1015,2238,20673,31605,11581
MISO,"2/2/2021 6 a.m. CST",3487,1,1590,1029,2901,22478,32546,11580
MISO,"2/2/2021 7 a.m. CST",3430,1,2714,1019,3927,24957,33758,11581
MISO,"2/2/2021 8 a.m. CST",3246,17,2971,1047,4231,25965,34912,11582
MISO,"2/2/2021 9 a.m. CST",3069,105,2940,953,4148,25813,34872,11584
MISO,"2/2/2021 10 a.m. CST",3110,224,2272,918,3844,24916,35010,11583
MISO,"2/2/2021 11 a.m. CST",3125,322,1371,911,3618,24308,35238,11566
MISO,"2/2/2021 12 p.m. CST",3405,340,1092,913,3287,22911,35228,11550
MISO,"2/2/2021 1 p.m. CST",4063,417,1099,916,2682,21020,35120,11543
MISO,"2/2/2021 2 p.m. CST",4851,453,1099,908,2352,19529,34693,11522
MISO,"2/2/2021 3 p.m. CST",5591,451,1022,887,2275,18550,33668,11528
MISO,"2/2/2021 4 p.m. CST",6411,349,1011,879,2319,18112,32839,11536
MISO,"2/2/2021 5 p.m. CST",6856,147,1098,890,2344,18492,33445,11540
MISO,"2/2/2021 6 p.m. CST",7511,13,1892,899,2395,19323,34777,11544
MISO,"2/2/2021 7 p.m. CST",7922,3,1491,899,2431,20131,36015,11543
MISO,"2/2/2021 8 p.m. CST",8112,3,1157,898,2186,19843,35866,11545
MISO,"2/2/2021 9 p.m. CST",8529,2,1029,902,1944,19358,35249,11566
MISO,"2/2/2021 10 p.m. CST",8643,1,991,895,1898,18581,33633,11573
MISO,"2/2/2021 11 p.m. CST",8524,1,949,894,1899,18198,32784,11579
MISO,"2/3/2021 12 a.m. CST",8382,1,945,898,1861,17734,32327,11582
MISO,"2/3/2021 1 a.m. CST",8351,1,957,900,1876,17605,31124,11581
MISO,"2/3/2021 2 a.m. CST",7987,1,1009,900,1882,17624,30872,11582
MISO,"2/3/2021 3 a.m. CST",7721,1,1011,899,1893,17658,30709,11582
MISO,"2/3/2021 4 a.m. CST",7741,1,1010,895,1850,17789,31468,11586
MISO,"2/3/2021 5 a.m. CST",7630,1,1062,897,2004,18482,32465,11582
MISO,"2/3/2021 6 a.m. CST",8034,1,2030,893,2251,19779,33687,11583
MISO,"2/3/2021 7 a.m. CST",8531,1,2767,908,2979,21721,35169,11581
MISO,"2/3/2021 8 a.m. CST",8997,36,2949,911,3134,22346,36127,11581
MISO,"2/3/2021 9 a.m. CST",9162,270,2696,901,2843,20780,36247,11572
MISO,"2/3/2021 10 a.m. CST",9066,462,1685,893,2472,19725,36395,11561
MISO,"2/3/2021 11 a.m. CST",9671,541,1150,890,2126,18108,35989,11562
MISO,"2/3/2021 12 p.m. CST",11418,503,1079,896,1608,16293,34483,11556
MISO,"2/3/2021 1 p.m. CST",12159,484,1086,900,1439,15358,32603,11551
MISO,"2/3/2021 2 p.m. CST",12738,493,1018,769,1376,14730,31310,11550
MISO,"2/3/2021 3 p.m. CST",12846,500,1006,652,1420,14252,30022,11552
MISO,"2/3/2021 4 p.m. CST",12855,372,1010,654,1403,14321,30024,11548
MISO,"2/3/2021 5 p.m. CST",13214,131,1019,651,1370,14792,30911,11545
MISO,"2/3/2021 6 p.m. CST",13960,10,1583,657,1417,15694,32256,11543
MISO,"2/3/2021 7 p.m. CST",14924,1,1184,661,1497,16371,33811,11547
MISO,"2/3/2021 8 p.m. CST",15687,1,1097,638,1438,15302,33933,11551
MISO,"2/3/2021 9 p.m. CST",15914,1,1090,633,1511,14738,33361,11552
MISO,"2/3/2021 10 p.m. CST",15840,1,1005,674,1283,13978,31808,11553
MISO,"2/3/2021 11 p.m. CST",16120,1,956,725,1195,13452,29800,11554
MISO,"2/4/2021 12 a.m. CST",15830,1,926,780,1257,13469,28433,11556
MISO,"2/4/2021 1 a.m. CST",15486,1,924,877,1201,13296,27398,11557
MISO,"2/4/2021 2 a.m. CST",14871,1,933,876,1222,12915,27270,11560
MISO,"2/4/2021 3 a.m. CST",14358,1,931,874,1185,13630,26891,11559
MISO,"2/4/2021 4 a.m. CST",14009,1,948,876,1176,13725,27407,11560
MISO,"2/4/2021 5 a.m. CST",13866,1,957,899,1148,14123,29053,11561
MISO,"2/4/2021 6 a.m. CST",14730,1,1287,917,1188,14933,30812,11555
MISO,"2/4/2021 7 a.m. CST",15029,1,2509,941,1269,15525,33151,11555
MISO,"2/4/2021 8 a.m. CST",16279,21,2378,960,1367,16147,34265,11555
MISO,"2/4/2021 9 a.m. CST",17519,118,1344,974,1379,15407,34857,11556
MISO,"2/4/2021 10 a.m. CST",17379,129,1160,919,1275,14785,34542,11542
MISO,"2/4/2021 11 a.m. CST",17821,128,1111,879,1288,14509,33707,11538
MISO,"2/4/2021 12 p.m. CST",18244,136,1105,880,1224,14194,33051,11533
MISO,"2/4/2021 1 p.m. CST",18468,119,1109,870,1240,14046,32848,11528
MISO,"2/4/2021 2 p.m. CST",18669,118,1097,894,1206,13984,32688,11528
MISO,"2/4/2021 3 p.m. CST",18721,89,1094,899,1204,13972,31753,11525
MISO,"2/4/2021 4 p.m. CST",19186,42,1095,866,1225,14107,30923,11527
MISO,"2/4/2021 5 p.m. CST",19303,20,1153,848,1249,14281,31114,11528
MISO,"2/4/2021 6 p.m. CST",19172,8,1217,868,1203,14655,32929,11526
MISO,"2/4/2021 7 p.m. CST",19273,1,1162,946,1219,14734,34728,11527
MISO,"2/4/2021 8 p.m. CST",19653,1,1110,883,1184,13998,33828,11531
MISO,"2/4/2021 9 p.m. CST",19602,1,1036,870,1205,13688,32687,11530
MISO,"2/4/2021 10 p.m. CST",19317,1,1032,869,1157,13234,30683,11528
MISO,"2/4/2021 11 p.m. CST",19482,1,1019,871,1187,12827,28368,11537
MISO,"2/5/2021 12 a.m. CST",19512,1,921,872,1121,11576,25945,11544
MISO,"2/5/2021 1 a.m. CST",19175,1,833,869,1142,10725,24244,11551
MISO,"2/5/2021 2 a.m. CST",19460,1,823,867,1069,10848,23317,11554
MISO,"2/5/2021 3 a.m. CST",19430,1,816,870,1017,11146,23109,11555
MISO,"2/5/2021 4 a.m. CST",19625,1,819,872,1022,11609,23277,11557
MISO,"2/5/2021 5 a.m. CST",19789,1,819,872,1092,12003,24385,11562
MISO,"2/5/2021 6 a.m. CST",19926,1,849,878,1238,13038,26235,11562
MISO,"2/5/2021 7 a.m. CST",19991,1,991,905,1285,13961,29827,11560
MISO,"2/5/2021 8 a.m. CST",19952,20,1034,951,1354,14241,32284,11560
MISO,"2/5/2021 9 a.m. CST",19479,93,1063,944,1369,14228,33443,11556
MISO,"2/5/2021 10 a.m. CST",19549,209,1010,921,1100,13863,33224,11557
MISO,"2/5/2021 11 a.m. CST",19938,262,937,915,867,13445,32647,11556
MISO,"2/5/2021 12 p.m. CST",20079,280,933,886,646,13149,32358,11557
MISO,"2/5/2021 1 p.m. CST",20152,262,942,880,617,13064,31253,11556
MISO,"2/5/2021 2 p.m. CST",19984,277,933,893,593,13378,30270,11553
MISO,"2/5/2021 3 p.m. CST",19734,276,922,883,586,13454,30191,11553
MISO,"2/5/2021 4 p.m. CST",19275,223,932,881,578,13273,29237,11550
MISO,"2/5/2021 5 p.m. CST",18461,102,1167,881,621,13740,30117,11549
MISO,"2/5/2021 6 p.m. CST",17019,8,2410,886,639,14462,32203,11552
MISO,"2/5/2021 7 p.m. CST",16078,1,2029,938,633,14659,35062,11554
MISO,"2/5/2021 8 p.m. CST",16132,1,1369,917,605,14251,34572,11563
MISO,"2/5/2021 9 p.m. CST",15499,1,1005,892,620,14166,34087,11566
MISO,"2/5/2021 10 p.m. CST",15165,1,944,872,617,14078,32574,11570
MISO,"2/5/2021 11 p.m. CST",15003,1,899,863,623,13819,31311,11570
MISO,"2/6/2021 12 a.m. CST",14578,0,862,837,609,13110,30764,11570
MISO,"2/6/2021 1 a.m. CST",14381,0,857,836,626,12759,29245,11577
MISO,"2/6/2021 2 a.m. CST",14106,0,850,836,628,12527,28635,11577
