"BA Code","Timestamp (Hour Ending)","AEC Interchange (MWh)","AECI Interchange (MWh)","GLHB Interchange (MWh)","IESO Interchange (MWh)","LGEE Interchange (MWh)","MHEB Interchange (MWh)","PJM Interchange (MWh)","SOCO Interchange (MWh)","SPA Interchange (MWh)","SWPP Interchange (MWh)","TVA Interchange (MWh)"
MISO,"1/31/2021 12 a.m. CST",-25,-589,-90,-712,495,-765,-2102,-358,-371,-678,3047
MISO,"1/31/2021 1 a.m. CST",-15,-606,-21,-920,473,-664,-2168,-348,-287,-913,3152
MISO,"1/31/2021 2 a.m. CST",-14,-627,28,-878,442,-606,-2256,-350,-287,-757,3147
MISO,"1/31/2021 3 a.m. CST",-7,-598,34,-1016,441,-569,-1992,-336,-297,-775,3090
MISO,"1/31/2021 4 a.m. CST",-4,-538,32,-1138,418,-561,-1884,-348,-306,-416,2991
MISO,"1/31/2021 5 a.m. CST",-1,-512,35,-1078,409,-772,-1910,-364,-335,-391,3013
MISO,"1/31/2021 6 a.m. CST",-2,-546,38,-852,376,-759,-2010,-341,-352,-133,2879
MISO,"1/31/2021 7 a.m. CST",-18,-568,40,-858,274,-986,-1681,-462,-391,-207,2631
MISO,"1/31/2021 8 a.m. CST",-18,-615,43,-986,253,-758,-1250,-511,-418,181,2461
MISO,"1/31/2021 9 a.m. CST",-8,-665,47,-923,228,-667,-1297,-568,-428,275,2591
MISO,"1/31/2021 10 a.m. CST",-7,-638,45,-836,256,-779,-1158,-625,-455,399,2686
MISO,"1/31/2021 11 a.m. CST",-8,-683,47,-806,232,-778,-1263,-673,-460,398,2792
MISO,"1/31/2021 12 p.m. CST",-10,-768,46,-749,264,-861,-1058,-738,-530,546,2840
MISO,"1/31/2021 1 p.m. CST",0,-686,-18,-809,295,-876,-993,-675,-539,591,2868
MISO,"1/31/2021 2 p.m. CST",-15,-612,-74,-968,337,-983,-878,-633,-535,579,2831
MISO,"1/31/2021 3 p.m. CST",-31,-649,-85,-1029,365,-971,-907,-606,-529,638,2732
MISO,"1/31/2021 4 p.m. CST",-26,-639,-81,-1107,427,-861,-811,-524,-525,807,2816
MISO,"1/31/2021 5 p.m. CST",-24,-665,-69,-1109,437,-885,-919,-500,-513,758,2801
MISO,"1/31/2021 6 p.m. CST",-23,-398,-73,-918,430,-889,-1018,-642,-501,1002,2534
MISO,"1/31/2021 7 p.m. CST",-25,-346,-78,-1163,513,-874,-1151,-685,-512,912,2311
MISO,"1/31/2021 8 p.m. CST",-24,-328,-81,-1181,510,-875,-1172,-689,-525,889,2250
MISO,"1/31/2021 9 p.m. CST",-24,-360,-77,-1158,525,-916,-1276,-700,-536,876,2457
MISO,"1/31/2021 10 p.m. CST",-43,-314,-41,-1065,522,-875,-1557,-666,-551,646,2502
MISO,"1/31/2021 11 p.m. CST",-57,-494,-33,-1002,531,-747,-1721,-540,-467,508,2613
MISO,"2/1/2021 12 a.m. CST",-49,-552,-40,-1220,477,291,-3155,-472,-421,456,2600
MISO,"2/1/2021 1 a.m. CST",-38,-567,-40,-1247,515,623,-3534,-312,-301,351,2790
MISO,"2/1/2021 2 a.m. CST",-37,-566,-44,-1189,520,433,-3551,-282,-297,349,2764
MISO,"2/1/2021 3 a.m. CST",-35,-653,-42,-966,551,331,-3676,-286,-309,293,2632
MISO,"2/1/2021 4 a.m. CST",-28,-690,-38,-1078,531,413,-3324,-255,-359,373,2430
MISO,"2/1/2021 5 a.m. CST",-10,-645,-27,-1123,433,-153,-2706,-375,-389,507,2201
MISO,"2/1/2021 6 a.m. CST",-5,-545,-19,-1169,408,-63,-2235,-570,-416,495,2052
MISO,"2/1/2021 7 a.m. CST",11,-425,-24,-1198,437,-465,-2164,-581,-525,524,1976
MISO,"2/1/2021 8 a.m. CST",6,-408,-24,-975,337,-488,-2430,-594,-562,589,2115
MISO,"2/1/2021 9 a.m. CST",16,-522,-18,-1010,278,-679,-2428,-475,-545,518,2273
MISO,"2/1/2021 10 a.m. CST",20,-424,-32,-1205,266,-745,-2177,-364,-542,495,2235
MISO,"2/1/2021 11 a.m. CST",9,-368,-66,-1294,201,-768,-2471,-431,-513,396,2313
MISO,"2/1/2021 12 p.m. CST",16,-348,-71,-1021,262,-755,-2687,-474,-501,455,2532
MISO,"2/1/2021 1 p.m. CST",21,-379,-99,-1024,312,-836,-2921,-468,-332,311,2567
MISO,"2/1/2021 2 p.m. CST",15,-360,-103,-925,306,-870,-2850,-669,-274,131,2668
MISO,"2/1/2021 3 p.m. CST",19,-407,-108,-912,306,-882,-2753,-606,-254,108,2677
MISO,"2/1/2021 4 p.m. CST",32,-379,-108,-852,290,-920,-2717,-402,-240,76,2444
MISO,"2/1/2021 5 p.m. CST",27,-430,-77,-851,264,-897,-2678,-384,-266,40,2302
MISO,"2/1/2021 6 p.m. CST",13,-344,-68,-849,266,-852,-2423,-355,-289,-139,2161
MISO,"2/1/2021 7 p.m. CST",6,-198,-69,-990,208,-890,-2424,-321,-405,-341,2103
MISO,"2/1/2021 8 p.m. CST",3,-147,-79,-966,177,-823,-2905,-313,-442,-377,2164
MISO,"2/1/2021 9 p.m. CST",-18,-66,-87,-956,300,-548,-2826,-384,-345,-495,1967
MISO,"2/1/2021 10 p.m. CST",0,-85,-90,-972,395,-493,-3272,-384,-299,-485,1951
MISO,"2/1/2021 11 p.m. CST",2,-291,-90,-934,428,-148,-3897,-286,-303,-484,1976
MISO,"2/2/2021 12 a.m. CST",19,-440,-90,-867,428,287,-4229,-198,-312,-498,1956
MISO,"2/2/2021 1 a.m. CST",33,-538,-85,-933,444,158,-4376,-232,-345,-406,1880
MISO,"2/2/2021 2 a.m. CST",25,-607,-86,-893,463,392,-4369,-274,-364,-648,1911
MISO,"2/2/2021 3 a.m. CST",23,-557,-88,-842,461,316,-3978,-343,-385,-644,1898
MISO,"2/2/2021 4 a.m. CST",17,-502,-89,-922,420,395,-3960,-308,-402,-453,1915
MISO,"2/2/2021 5 a.m. CST",-7,-376,-85,-966,311,306,-3425,-181,-434,-383,1670
MISO,"2/2/2021 6 a.m. CST",17,-319,-86,-975,116,-190,-2620,-103,-511,-484,1301
MISO,"2/2/2021 7 a.m. CST",38,-190,-90,-1114,117,-595,-2432,-87,-545,-106,1037
MISO,"2/2/2021 8 a.m. CST",27,-167,-91,-1011,116,-794,-2390,-91,-576,-85,1026
MISO,"2/2/2021 9 a.m. CST",8,-98,-93,-1026,87,-994,-2642,-181,-520,270,958
MISO,"2/2/2021 10 a.m. CST",2,-81,-130,-827,113,-1051,-2861,-245,-484,305,1234
MISO,"2/2/2021 11 a.m. CST",4,-160,-131,-917,137,-1100,-3017,-268,-418,530,1780
MISO,"2/2/2021 12 p.m. CST",12,-369,-131,-1102,142,-901,-2630,-276,-324,310,1923
MISO,"2/2/2021 1 p.m. CST",11,-568,-123,-929,163,-867,-2763,-221,-336,65,2278
MISO,"2/2/2021 2 p.m. CST",1,-737,-129,-878,128,-816,-2748,-212,-344,124,2319
MISO,"2/2/2021 3 p.m. CST",4,-811,-126,-799,81,-826,-2504,-188,-359,67,2191
MISO,"2/2/2021 4 p.m. CST",1,-831,-83,-878,31,-765,-2282,-222,-367,139,2204
MISO,"2/2/2021 5 p.m. CST",4,-797,-79,-1108,-34,-793,-1875,-302,-376,127,2447
MISO,"2/2/2021 6 p.m. CST",-18,-649,-79,-1141,-94,-835,-1826,-414,-369,419,2282
MISO,"2/2/2021 7 p.m. CST",-22,-575,-80,-1124,-85,-724,-2124,-389,-384,265,1991
MISO,"2/2/2021 8 p.m. CST",-14,-646,-80,-1118,-8,-798,-2166,-418,-420,-208,2082
MISO,"2/2/2021 9 p.m. CST",-18,-643,-81,-1215,81,-431,-1877,-572,-423,-178,1939
MISO,"2/2/2021 10 p.m. CST",-19,-703,-86,-1138,140,207,-2174,-641,-447,-158,1854
MISO,"2/2/2021 11 p.m. CST",-1,-896,-86,-1061,253,561,-2366,-459,-427,-221,2167
MISO,"2/3/2021 12 a.m. CST",1,-939,-84,-857,375,570,-2260,-400,-421,-385,2481
MISO,"2/3/2021 1 a.m. CST",10,-902,-92,-1015,315,583,-2061,-287,-453,-443,3002
MISO,"2/3/2021 2 a.m. CST",10,-895,-93,-1086,298,519,-1938,-264,-447,-290,2941
MISO,"2/3/2021 3 a.m. CST",8,-883,-98,-1118,302,467,-1820,-284,-462,-357,2780
MISO,"2/3/2021 4 a.m. CST",11,-891,-85,-1161,331,466,-1960,-213,-483,-316,3036
MISO,"2/3/2021 5 a.m. CST",12,-806,-76,-1180,295,465,-1495,-117,-501,-258,2624
MISO,"2/3/2021 6 a.m. CST",4,-693,-63,-1127,122,106,-1239,-200,-542,-153,2344
MISO,"2/3/2021 7 a.m. CST",-9,-476,-64,-1051,-89,-484,-1234,-191,-681,487,1992
MISO,"2/3/2021 8 a.m. CST",-20,-625,-62,-948,-218,-522,-1125,-105,-677,301,2064
MISO,"2/3/2021 9 a.m. CST",-34,-675,-61,-1106,-194,-784,-1147,-62,-651,222,2219
MISO,"2/3/2021 10 a.m. CST",-17,-771,-57,-1153,1,-819,-1042,-362,-559,492,2629
MISO,"2/3/2021 11 a.m. CST",-6,-773,-55,-1103,57,-511,-1104,-551,-530,600,2724
MISO,"2/3/2021 12 p.m. CST",9,-690,-64,-1136,76,-281,-947,-557,-457,465,2494
MISO,"2/3/2021 1 p.m. CST",0,-769,-68,-1128,63,-183,-796,-601,-494,429,2284
MISO,"2/3/2021 2 p.m. CST",-7,-765,-66,-1018,43,1,-970,-575,-507,422,2234
MISO,"2/3/2021 3 p.m. CST",-16,-841,-63,-748,65,199,-1129,-635,-546,281,2061
MISO,"2/3/2021 4 p.m. CST",-11,-828,-59,-930,97,186,-830,-573,-540,130,2175
MISO,"2/3/2021 5 p.m. CST",5,-998,-44,-988,117,-96,-838,-515,-534,53,2464
MISO,"2/3/2021 6 p.m. CST",9,-975,-49,-1207,110,-471,-870,-563,-510,350,2644
MISO,"2/3/2021 7 p.m. CST",3,-961,-42,-1140,230,-147,-1233,-599,-514,320,2774
MISO,"2/3/2021 8 p.m. CST",8,-869,-48,-1021,383,203,-1322,-680,-544,275,2587
MISO,"2/3/2021 9 p.m. CST",15,-732,-53,-937,490,411,-1528,-659,-531,423,2732
MISO,"2/3/2021 10 p.m. CST",0,-605,-60,-821,592,467,-1744,-826,-551,321,2715
