"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SWPP,"1/31/2021 12 a.m. CST",27576,28292,28987,1413
SWPP,"1/31/2021 1 a.m. CST",27108,27611,28740,1632
SWPP,"1/31/2021 2 a.m. CST",26927,27460,28268,1341
SWPP,"1/31/2021 3 a.m. CST",26930,27517,28246,1316
SWPP,"1/31/2021 4 a.m. CST",27097,27596,28095,998
SWPP,"1/31/2021 5 a.m. CST",27523,27750,28784,1261
SWPP,"1/31/2021 6 a.m. CST",28139,28161,28798,660
SWPP,"1/31/2021 7 a.m. CST",29012,28919,29734,722
SWPP,"1/31/2021 8 a.m. CST",29837,29822,29943,106
SWPP,"1/31/2021 9 a.m. CST",30515,30622,30661,146
SWPP,"1/31/2021 10 a.m. CST",31029,31402,30938,-91
SWPP,"1/31/2021 11 a.m. CST",31118,31470,30876,-242
SWPP,"1/31/2021 12 p.m. CST",30958,31311,30490,-468
SWPP,"1/31/2021 1 p.m. CST",30704,31308,30274,-430
SWPP,"1/31/2021 2 p.m. CST",30208,30878,29741,-468
SWPP,"1/31/2021 3 p.m. CST",29741,30459,29213,-528
SWPP,"1/31/2021 4 p.m. CST",29486,30350,28693,-793
SWPP,"1/31/2021 5 p.m. CST",29775,30754,29121,-654
SWPP,"1/31/2021 6 p.m. CST",30635,31837,29767,-868
SWPP,"1/31/2021 7 p.m. CST",31771,32532,31231,-540
SWPP,"1/31/2021 8 p.m. CST",31890,32846,31668,-221
SWPP,"1/31/2021 9 p.m. CST",31672,32499,31311,-362
SWPP,"1/31/2021 10 p.m. CST",30996,31737,30886,-110
SWPP,"1/31/2021 11 p.m. CST",29955,30762,29950,-5
SWPP,"2/1/2021 12 a.m. CST",29026,29876,28945,-82
SWPP,"2/1/2021 1 a.m. CST",28662,29518,28580,-82
SWPP,"2/1/2021 2 a.m. CST",28530,29451,28446,-84
SWPP,"2/1/2021 3 a.m. CST",28597,29661,28492,-106
SWPP,"2/1/2021 4 a.m. CST",28783,29912,28594,-189
SWPP,"2/1/2021 5 a.m. CST",29485,30482,29220,-265
SWPP,"2/1/2021 6 a.m. CST",30953,31757,30599,-354
SWPP,"2/1/2021 7 a.m. CST",33224,33902,32514,-710
SWPP,"2/1/2021 8 a.m. CST",34740,35390,34491,-249
SWPP,"2/1/2021 9 a.m. CST",34678,35520,34350,-328
SWPP,"2/1/2021 10 a.m. CST",34190,35508,33725,-465
SWPP,"2/1/2021 11 a.m. CST",33486,35061,33057,-428
SWPP,"2/1/2021 12 p.m. CST",32613,34337,32167,-446
SWPP,"2/1/2021 1 p.m. CST",31730,33787,31525,-205
SWPP,"2/1/2021 2 p.m. CST",30957,33095,30938,-20
SWPP,"2/1/2021 3 p.m. CST",30232,32389,30231,-1
SWPP,"2/1/2021 4 p.m. CST",29700,31996,29563,-137
SWPP,"2/1/2021 5 p.m. CST",29689,32159,29558,-130
SWPP,"2/1/2021 6 p.m. CST",30703,33107,30825,122
