"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
SWPP,"1/31/2021 12 a.m. CST",17560,0,554,45,0,2418,6380,2033
SWPP,"1/31/2021 1 a.m. CST",17194,0,460,45,0,2847,6162,2032
SWPP,"1/31/2021 2 a.m. CST",17140,0,471,45,0,2673,5909,2030
SWPP,"1/31/2021 3 a.m. CST",17177,0,482,44,0,2635,5875,2033
SWPP,"1/31/2021 4 a.m. CST",17233,0,495,42,0,2588,5703,2033
SWPP,"1/31/2021 5 a.m. CST",17410,0,594,43,0,2768,5938,2032
SWPP,"1/31/2021 6 a.m. CST",17689,0,607,41,0,2552,5876,2033
SWPP,"1/31/2021 7 a.m. CST",17787,0,1043,40,0,2717,6113,2035
SWPP,"1/31/2021 8 a.m. CST",17760,0,1109,40,0,2768,6227,2037
SWPP,"1/31/2021 9 a.m. CST",17688,38,1114,43,0,3152,6591,2034
SWPP,"1/31/2021 10 a.m. CST",17555,149,1213,43,0,3165,6782,2032
SWPP,"1/31/2021 11 a.m. CST",17402,143,1197,45,0,3090,7009,1990
SWPP,"1/31/2021 12 p.m. CST",16844,139,1109,44,0,3118,7331,1905
SWPP,"1/31/2021 1 p.m. CST",16265,149,1046,44,0,3084,7765,1922
SWPP,"1/31/2021 2 p.m. CST",15355,164,1025,45,0,3275,7909,1968
SWPP,"1/31/2021 3 p.m. CST",14310,180,1010,43,0,3615,8040,2014
SWPP,"1/31/2021 4 p.m. CST",13255,191,1021,45,0,4149,7994,2036
SWPP,"1/31/2021 5 p.m. CST",11663,191,1166,44,0,5234,8784,2036
SWPP,"1/31/2021 6 p.m. CST",9103,85,1376,44,0,6562,10561,2035
SWPP,"1/31/2021 7 p.m. CST",7479,1,1398,44,0,7659,12615,2037
SWPP,"1/31/2021 8 p.m. CST",6869,0,1266,43,0,7704,13751,2036
SWPP,"1/31/2021 9 p.m. CST",6713,0,1077,44,0,7146,14295,2035
SWPP,"1/31/2021 10 p.m. CST",6542,0,1041,43,0,6838,14387,2035
SWPP,"1/31/2021 11 p.m. CST",6044,0,691,47,0,6778,14352,2035
SWPP,"2/1/2021 12 a.m. CST",5435,0,684,45,0,6634,14110,2036
SWPP,"2/1/2021 1 a.m. CST",5162,0,575,45,0,6853,13910,2035
SWPP,"2/1/2021 2 a.m. CST",5101,0,569,44,0,6684,14020,2033
SWPP,"2/1/2021 3 a.m. CST",5245,0,568,43,0,6638,13966,2036
SWPP,"2/1/2021 4 a.m. CST",5387,0,568,43,0,6744,13839,2034
SWPP,"2/1/2021 5 a.m. CST",5349,0,599,46,0,7503,13714,2034
SWPP,"2/1/2021 6 a.m. CST",5149,0,662,42,0,8735,14004,2032
SWPP,"2/1/2021 7 a.m. CST",5265,0,1218,42,0,9570,14427,2032
SWPP,"2/1/2021 8 a.m. CST",5293,0,1394,39,0,10695,15036,2033
SWPP,"2/1/2021 9 a.m. CST",5092,40,1399,35,0,10656,15106,2032
SWPP,"2/1/2021 10 a.m. CST",4135,175,1496,36,0,10525,15336,2031
SWPP,"2/1/2021 11 a.m. CST",3206,179,1494,37,0,10659,15474,2029
SWPP,"2/1/2021 12 p.m. CST",3666,186,1375,41,5,9814,15118,2033
SWPP,"2/1/2021 1 p.m. CST",4185,181,1274,42,0,9277,14599,2034
SWPP,"2/1/2021 2 p.m. CST",4664,166,1238,42,0,8677,14183,2035
SWPP,"2/1/2021 3 p.m. CST",5242,131,1223,41,0,7667,13954,2034
SWPP,"2/1/2021 4 p.m. CST",5871,143,1211,42,0,6455,13863,2035
SWPP,"2/1/2021 5 p.m. CST",6840,131,1235,41,0,5521,13775,2034
SWPP,"2/1/2021 6 p.m. CST",8424,48,1356,41,0,5411,13560,2034
SWPP,"2/1/2021 7 p.m. CST",10816,1,1311,42,0,5277,13350,2033
SWPP,"2/1/2021 8 p.m. CST",12184,0,1211,41,0,4534,13026,2033
SWPP,"2/1/2021 9 p.m. CST",13017,0,1194,41,0,3867,12937,2033
SWPP,"2/1/2021 10 p.m. CST",13671,0,1018,38,0,3554,12290,2033
SWPP,"2/1/2021 11 p.m. CST",14443,0,706,39,0,3390,11049,2033
SWPP,"2/2/2021 12 a.m. CST",15020,0,704,43,0,3150,9722,2032
SWPP,"2/2/2021 1 a.m. CST",14777,0,672,40,0,3253,9021,2032
SWPP,"2/2/2021 2 a.m. CST",14667,0,668,39,0,3276,9321,2035
