DeliveryDate,HourEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West,SystemTotal,Model,InUseFlag,DSTFlag
02/14/2021,1:00,12268.627,2392.6638,3804.5608,1268.0095,18638.832,9323.998,4920.3599,1988.5255,54605.5765,A3,N,N
02/14/2021,1:00,12084.2939,2468.4719,3727.1865,1282.3418,18873.1055,9861.7646,4813.7827,2020.0406,55130.9875,A6,N,N
02/14/2021,1:00,12177,2444,3474,1320,18868,10224,4878,1976,55361,E,N,N
02/14/2021,1:00,12058,2391,3435,1300,18834,10085,4813,1921,54837,E1,Y,N
02/14/2021,1:00,12059,2398,3434,1297,18822,10082,4823,1916,54831,E2,N,N
02/14/2021,1:00,12057,2405,3437,1298,18830,10081,4824,1921,54853,E3,N,N
02/14/2021,1:00,12114.0781,2409.708,3491.1951,1299.7512,18814.1035,10022.875,4847.9199,1941.9407,54941.5715,M,N,N
02/14/2021,2:00,11972.9795,2363.6531,3782.7703,1257.8209,18342.168,9078.5986,4741.3091,1977.6682,53516.9677,A3,N,N
02/14/2021,2:00,11811.0107,2471.7144,3702.1345,1279.3088,18672.9414,9710.2725,4656.2847,2020.5128,54324.1798,A6,N,N
02/14/2021,2:00,11996,2420,3444,1323,18776,10096,4803,1982,54840,E,N,N
02/14/2021,2:00,11882,2343,3438,1292,18618,9890,4763,1892,54118,E1,Y,N
02/14/2021,2:00,11831,2346,3439,1309,18968,9843,4710,1911,54357,E2,N,N
02/14/2021,2:00,11894,2372,3429,1292,18580,9795,4741,1967,54070,E3,N,N
02/14/2021,2:00,11912.123,2372.8315,3480.5962,1299.7275,18701.0215,9804.5742,4751.5386,1948.7085,54271.121,M,N,N
02/14/2021,3:00,11806.5273,2342.7454,3779.5898,1251.0045,18284.873,8989.6895,4631.481,1996.5638,53082.4743,A3,N,N
02/14/2021,3:00,11537.7969,2451.7207,3696.0715,1275.5248,18545.9512,9493.0742,4554.3936,2014.5748,53569.1077,A6,N,N
02/14/2021,3:00,11975,2418,3447,1354,19730,10506,4763,1955,56148,E,N,N
02/14/2021,3:00,11937,2324,3424,1298,19019,9823,4700,1925,54450,E1,Y,N
02/14/2021,3:00,11665,2291,3508,1368,19444,9934,4601,1911,54722,E2,N,N
02/14/2021,3:00,11777,2329,3419,1298,18160,9629,4968,2050,53630,E3,N,N
02/14/2021,3:00,11822.1914,2342.8433,3493.9487,1323.6255,18996.4844,9868.8359,4749.4351,1969.1956,54566.5599,M,N,N
02/14/2021,4:00,11660.5049,2332.9875,3798.501,1260.4763,18351.5977,9160.6816,4568.5728,1986.4835,53119.8053,A3,N,N
02/14/2021,4:00,11438.2227,2439.3005,3723.2708,1285.432,18644.3633,9430.1084,4506.4072,1969.9479,53437.0528,A6,N,N
