,0
0,Midland
1,Presidio
2,Borden
3,Borden
4,Howard
5,Howard
6,Culberson
7,Pecos
8,Pecos
9,Presidio
10,Presidio
11,Terrell
12,Ward
13,Pecos
14,Presidio
15,Glasscock
16,Ector
17,Ector
18,Midland
19,Sterling
20,Sterling
21,Borden
22,Borden
23,Ector
24,Sterling
25,Sterling
26,Martin
27,Borden
28,Midland
29,Brewster
30,Reeves
31,Upton
32,Upton
33,Glasscock
34,Glasscock
35,Pecos
36,Ector
37,Pecos
38,Pecos
39,Andrews
40,Howard
41,Howard
42,Howard
43,Irion
44,Midland
45,Crockett
46,Ward
47,Ward
48,Ward
49,Ward
50,Ward
51,Ward
52,Ward
53,Martin
54,Dawson
55,Martin
56,Martin
57,Pecos
58,Pecos
59,Pecos
60,Howard
61,Howard
62,Howard
63,Ector
64,Howard
65,Howard
66,Howard
67,Upton
68,Pecos
69,Pecos
70,Ector
71,Ector
72,Ector
73,Ector
74,Ector
75,Ector
76,Ector
77,Ector
78,Ector
79,Ector
80,Ector
81,Pecos
82,Pecos
83,Glasscock
84,Winkler
85,Loving
86,Terrell
87,Upton
88,Dawson
89,Winkler
90,Crosby
91,Lamar
92,Fannin
93,Fannin
94,Fannin
95,Fannin
96,Fannin
97,Fannin
98,Collingsworth
99,Wichita
100,Foard
101,Carson
102,Carson
103,Carson
104,Hall
105,Cooke
106,Grayson
107,Carson
108,Carson
109,Carson
110,Wichita
111,Lamar
112,Lamar
113,Lamar
114,Lamar
115,Wichita
116,Roberts
117,Lamar
118,Clay
119,Briscoe
120,Fannin
121,King
122,Lamar
123,Fannin
124,Grayson
125,Knox
126,Wichita
127,Cooke
128,Fannin
129,Montague
130,Red River
131,Carson
132,Carson
133,Grayson
134,Grayson
135,Wichita
136,Grayson
137,Grayson
138,Dickens
139,Wilbarger
140,Delta
141,Clay
142,Donley
143,Montague
144,Wichita
145,Wichita
146,Wichita
147,Wichita
148,Carson
149,Carson
150,Lamar
151,Wilbarger
152,Wilbarger
153,Grayson
154,Lamar
155,Cooke
156,Stonewall
157,Archer
158,Archer
159,Grayson
160,Archer
161,Archer
162,Grayson
163,Kent
164,Kent
165,Kent
166,Kent
167,Cooke
168,Cooke
169,Cottle
170,Montague
171,Fannin
172,Wichita
173,Wichita
174,Wichita
175,Wichita
176,Montague
177,Kent
178,Archer
179,Archer
180,Red River
181,Baylor
182,Grayson
183,Carson
184,Carson
185,Carson
186,Crosby
187,Crosby
188,Crosby
189,Crosby
190,Crosby
191,Grayson
192,Grayson
193,Grayson
194,Grayson
195,Grayson
196,Grayson
197,Grayson
198,Haskell
199,Wichita
200,Cooke
201,Archer
202,Clay
203,Lamar
204,Lamar
205,Lamar
206,Lamar
207,Lamar
208,Lamar
209,Lamar
210,Lamar
211,Red River
212,Fannin
213,Carson
214,Grayson
215,Grayson
216,Cooke
217,Hemphill
218,Hemphill
219,Fannin
220,Haskell
221,Haskell
222,Haskell
223,Montague
224,Kerr
225,Kerr
226,Nolan
227,Nolan
228,Real
229,Jones
230,Taylor
231,Coleman
232,Sutton
233,Edwards
234,Llano
235,Gillespie
236,Taylor
237,Llano
238,Nolan
239,Nolan
240,Nolan
241,Schleicher
242,Schleicher
243,Schleicher
244,Jones
245,Mitchell
246,Jones
247,Schleicher
248,San Saba
249,Shackelford
250,Shackelford
251,Shackelford
252,Lampasas
253,Tom Green
254,Taylor
255,Taylor
256,Scurry
257,Scurry
258,San Saba
259,Brown
260,Mitchell
261,Mitchell
262,Mitchell
263,Runnels
264,Coke
265,Coke
266,Coke
267,Coke
268,Coke
269,Nolan
270,Nolan
271,Nolan
272,Jones
273,Val Verde
274,Val Verde
275,Kerr
276,Taylor
277,Taylor
278,Taylor
279,Taylor
280,Taylor
281,Sterling
282,Sterling
283,Sterling
284,Sterling
285,Sterling
286,Sterling
287,Nolan
288,Nolan
289,Concho
290,Nolan
291,Nolan
292,Taylor
293,Taylor
294,Taylor
295,Runnels
296,Kinney
297,Kinney
298,Menard
299,Kinney
300,Taylor
301,Scurry
302,Scurry
303,Scurry
304,Scurry
305,Nolan
306,Nolan
307,Nolan
308,Mitchell
309,Mitchell
310,Mitchell
311,Taylor
312,Taylor
313,Taylor
314,Taylor
315,Taylor
316,Edwards
317,Taylor
318,Taylor
319,Scurry
320,Scurry
321,Scurry
322,Taylor
323,Jones
324,San Saba
325,Jones
326,Nolan
327,Llano
328,Llano
329,Llano
330,Kerr
331,Lampasas
332,Borden
333,Borden
334,Coke
335,Coke
336,Coke
337,Tom Green
338,Fisher
339,Scurry
340,Scurry
341,Scurry
342,Kinney
343,Kinney
344,Nolan
345,Nolan
346,Uvalde
347,Gillespie
348,Taylor
349,Uvalde
350,Nolan
351,Mitchell
352,Nolan
353,Sterling
354,Taylor
355,Concho
356,Scurry
357,Scurry
358,Scurry
359,Scurry
360,Taylor
361,Menard
362,Runnels
363,Coleman
364,Nolan
365,Tom Green
366,Coleman
367,Concho
368,Fisher
369,Kimble
370,Lampasas
371,Val Verde
372,Hidalgo
373,Webb
374,Webb
375,Webb
376,Hidalgo
377,Atascosa
378,Kenedy
379,Kenedy
380,Jim Hogg
381,Hidalgo
382,Hidalgo
383,Maverick
384,Maverick
385,Atascosa
386,Nueces
387,Refugio
388,Cameron
389,Nueces
390,Hidalgo
391,Webb
392,Frio
393,Atascosa
394,Atascosa
395,Atascosa
396,Hidalgo
397,Goliad
398,Goliad
399,Goliad
400,Zapata
401,Kleberg
402,Webb
403,Hidalgo
404,Nueces
405,Zavala
406,San Patricio
407,Bee
408,Hidalgo
409,Hidalgo
410,Hidalgo
411,Hidalgo
412,Zapata
413,Starr
414,Starr
415,Starr
416,Starr
417,Hidalgo
418,Willacy
419,Willacy
420,Nueces
421,Nueces
422,Kenedy
423,Bee
424,Nueces
425,San Patricio
426,San Patricio
427,San Patricio
428,San Patricio
429,San Patricio
430,San Patricio
431,San Patricio
432,San Patricio
433,Nueces
434,Nueces
435,Hidalgo
436,Cameron
437,Hidalgo
438,Nueces
439,Cameron
440,Cameron
441,Nueces
442,Hidalgo
443,Hidalgo
444,Hidalgo
445,Hidalgo
446,Hidalgo
447,Nueces
448,Hidalgo
449,Nueces
450,Nueces
451,Nueces
452,Nueces
453,Nueces
454,Nueces
455,Cameron
456,Nueces
457,Hidalgo
458,Hidalgo
459,Hidalgo
460,Hidalgo
461,Hidalgo
462,Hidalgo
463,Hidalgo
464,Hidalgo
465,Hidalgo
466,Hidalgo
467,Hidalgo
468,San Patricio
469,Nueces
470,Webb
471,Cameron
472,Hidalgo
473,San Patricio
474,San Patricio
475,Cameron
476,Hidalgo
477,San Patricio
478,Nueces
479,Cameron
480,Cameron
481,Kenedy
482,Webb
483,Webb
484,Webb
485,Webb
486,Atascosa
487,Live Oak
488,Starr
489,Nueces
490,Cameron
491,Hidalgo
492,Nueces
493,Brooks
494,Bee
495,Cameron
496,Jim Wells
497,Starr
498,Duval
499,Duval
500,Frio
501,Frio
502,Frio
503,Frio
504,Frio
505,Frio
506,Frio
507,Frio
508,Live Oak
509,Kenedy
510,Kenedy
511,Kenedy
512,Frio
513,Jim Wells
514,San Patricio
515,Webb
516,Webb
517,McMullen
518,Refugio
519,Nueces
520,Kenedy
521,Kenedy
522,Kenedy
523,Hidalgo
524,Hidalgo
525,Nueces
526,Hidalgo
527,Nueces
528,Nueces
529,Nueces
530,Nueces
531,Nueces
532,Nueces
533,Starr
534,Kenedy
535,Kenedy
536,Willacy
537,Nueces
538,San Patricio
539,Nueces
540,Cameron
541,Atascosa
542,Aransas
543,Atascosa
544,Webb
545,Webb
546,Webb
547,Goliad
548,Duval
549,Nueces
550,San Patricio
551,San Patricio
552,Willacy
553,Willacy
554,Zapata
555,Willacy
556,La Salle
557,Maverick
558,Dimmit
559,Webb
560,Willacy
561,Cameron
562,Cameron
563,Willacy
564,Webb
565,Webb
566,Webb
567,Dallas
568,Navarro
569,Hood
570,Dallas
571,Denton
572,Shackelford
573,Dallas
574,Collin
575,Limestone
576,Denton
577,Brown
578,Wise
579,Tarrant
580,Tarrant
581,Denton
582,Jack
583,Jack
584,Jack
585,Tarrant
586,Tarrant
587,Tarrant
588,Coryell
589,Johnson
590,Tarrant
591,Tarrant
592,Tarrant
593,Bell
594,Parker
595,Collin
596,Dallas
597,Dallas
598,Dallas
599,Dallas
600,Dallas
601,Dallas
602,Dallas
603,Dallas
604,Dallas
605,Dallas
606,Dallas
607,Rockwall
608,Wise
609,Erath
610,Erath
611,Johnson
612,Johnson
613,Hunt
614,Hunt
615,Hunt
616,Hunt
617,Collin
618,Limestone
619,Young
620,Young
621,Young
622,Young
623,Henderson
624,Henderson
625,Henderson
626,Henderson
627,Tarrant
628,Tarrant
629,Tarrant
630,Tarrant
631,Tarrant
632,Tarrant
633,Tarrant
634,Dallas
635,McLennan
636,Collin
637,Brown
638,Collin
639,Hamilton
640,Kaufman
641,Kaufman
642,Denton
643,McLennan
644,Falls
645,Bell
646,Tarrant
647,Collin
648,Collin
649,Dallas
650,Tarrant
651,Ellis
652,Hill
653,Hill
654,Dallas
655,Navarro
656,Johnson
657,Tarrant
658,Ellis
659,Denton
660,Collin
661,Tarrant
662,Tarrant
663,Denton
664,Dallas
665,Comanche
666,Dallas
667,Dallas
668,Tarrant
669,Dallas
670,Dallas
671,Dallas
672,Dallas
673,Dallas
674,Palo Pinto
675,Dallas
676,Bosque
677,Denton
678,Kaufman
679,Hunt
680,Collin
681,Tarrant
682,Callahan
683,Jack
684,Brown
685,Brown
686,Dallas
687,Falls
688,Falls
689,Tarrant
690,Dallas
691,Bosque
692,Dallas
693,Mills
694,Collin
695,Bell
696,Bell
697,Hood
698,Stephens
699,Eastland
700,Delta
701,McLennan
702,McLennan
703,Dallas
704,Coryell
705,Collin
706,Bell
707,Tarrant
708,McLennan
709,Dallas
710,Dallas
711,Collin
712,Dallas
713,Dallas
714,Jack
715,Bosque
716,Dallas
717,Wise
718,Hill
719,Stephens
720,Brown
721,Dallas
722,Dallas
723,Falls
724,Denton
725,Dallas
726,McLennan
727,Bell
728,Denton
729,Denton
730,Denton
731,Denton
732,Dallas
733,Eastland
734,Eastland
735,Hill
736,Parker
737,Collin
738,Hill
739,Denton
740,Palo Pinto
741,Tarrant
742,Rockwall
743,Navarro
744,Navarro
745,Dallas
746,Coryell
747,Dallas
748,Tarrant
749,Wise
750,Johnson
751,Young
752,Denton
753,Dallas
754,Palo Pinto
755,Bosque
756,Burnet
757,Burnet
758,Dallas
759,Denton
