,0
0,Borden
1,Howard
2,Pecos
3,Presidio
4,Sterling
5,Borden
6,Sterling
7,Upton
8,Glasscock
9,Pecos
10,Howard
11,Howard
12,Ward
13,Ward
14,Ward
15,Ward
16,Ward
17,Ward
18,Martin
19,Pecos
20,Pecos
21,Howard
22,Howard
23,Howard
24,Pecos
25,Ector
26,Ector
27,Ector
28,Ector
29,Ector
30,Ector
31,Ector
32,Ector
33,Ector
34,Ector
35,Pecos
36,Glasscock
37,Upton
38,Winkler
39,Winkler
40,Fannin
41,Fannin
42,Fannin
43,Carson
44,Carson
45,Lamar
46,Lamar
47,Carson
48,Wichita
49,Wichita
50,Carson
51,Wilbarger
52,Archer
53,Kent
54,Cooke
55,Wichita
56,Wichita
57,Wichita
58,Archer
59,Carson
60,Carson
61,Crosby
62,Crosby
63,Grayson
64,Grayson
65,Grayson
66,Lamar
67,Lamar
68,Lamar
69,Lamar
70,Lamar
71,Lamar
72,Carson
73,Hemphill
74,Nolan
75,Nolan
76,Schleicher
77,Shackelford
78,Scurry
79,Mitchell
80,Coke
81,Coke
82,Coke
83,Nolan
84,Taylor
85,Taylor
86,Taylor
87,Sterling
88,Sterling
89,Sterling
90,Sterling
91,Nolan
92,Nolan
93,Taylor
94,Kinney
95,Scurry
96,Nolan
97,Mitchell
98,Mitchell
99,Taylor
100,Taylor
101,Scurry
102,Llano
103,Llano
104,Borden
105,Coke
106,Coke
107,Scurry
108,Scurry
109,Kinney
110,Nolan
111,Nolan
112,Nolan
113,Taylor
114,Scurry
115,Scurry
116,Scurry
117,Taylor
118,Nolan
119,Kenedy
120,Atascosa
121,Goliad
122,Starr
123,Starr
124,Starr
125,Willacy
126,Nueces
127,San Patricio
128,San Patricio
129,San Patricio
130,San Patricio
131,San Patricio
132,San Patricio
133,Nueces
134,Hidalgo
135,Hidalgo
136,Hidalgo
137,Nueces
138,Nueces
139,Nueces
140,Nueces
141,Hidalgo
142,Hidalgo
143,Hidalgo
144,Hidalgo
145,Hidalgo
146,Hidalgo
147,Hidalgo
148,Hidalgo
149,Hidalgo
150,San Patricio
151,Webb
152,Webb
153,Frio
154,Frio
155,Frio
156,Frio
157,Frio
158,Frio
159,Kenedy
160,Kenedy
161,Nueces
162,Nueces
163,Nueces
164,Nueces
165,Kenedy
166,Webb
167,San Patricio
168,Willacy
169,Cameron
170,Cameron
171,Cameron
172,Cameron
173,Cameron
174,Cameron
175,Cameron
176,Cameron
177,Cameron
178,Cameron
179,Willacy
180,Webb
181,Jack
182,Tarrant
183,Dallas
184,Dallas
185,Dallas
186,Dallas
187,Dallas
188,Dallas
189,Dallas
190,Dallas
191,Hunt
192,Young
193,Young
194,Tarrant
195,Tarrant
196,Tarrant
197,Tarrant
198,Tarrant
199,Hill
200,Dallas
201,Dallas
202,Denton
203,Denton
204,Eastland
205,Jack
206,Wise
207,Wise
208,Wise
209,Young
210,Mills
211,Somervell
212,Somervell
213,Bell
214,Bell
