date,accum_confirm,new_confirm,infect_rate,accum_death,new_death,fatal_rate
2020-01-23,0,0,0.0,0,0,0.0
2020-01-24,0,0,0.0,0,0,0.0
2020-01-25,0,0,0.0,0,0,0.0
2020-01-26,1,1,0.0,0,0,0.0
2020-01-27,1,0,0.0,0,0,0.0
2020-01-28,1,0,0.0,0,0,0.0
2020-01-29,1,0,0.0,0,0,0.0
2020-01-30,1,0,0.0,0,0,0.0
2020-01-31,1,0,0.0,0,0,0.0
2020-02-01,1,0,0.0,0,0,0.0
2020-02-02,1,0,0.0,0,0,0.0
2020-02-03,1,0,0.0,0,0,0.0
2020-02-04,1,0,0.0,0,0,0.0
2020-02-05,1,0,0.0,0,0,0.0
2020-02-06,1,0,0.0,0,0,0.0
2020-02-07,1,0,0.0,0,0,0.0
2020-02-08,1,0,0.0,0,0,0.0
2020-02-09,1,0,0.0,0,0,0.0
2020-02-10,1,0,0.0,0,0,0.0
2020-02-11,1,0,0.0,0,0,0.0
2020-02-12,1,0,0.0,0,0,0.0
2020-02-13,1,0,0.0,0,0,0.0
2020-02-14,1,0,0.0,0,0,0.0
2020-02-15,1,0,0.0,0,0,0.0
2020-02-16,1,0,0.0,0,0,0.0
2020-02-17,1,0,0.0,0,0,0.0
2020-02-18,1,0,0.0,0,0,0.0
2020-02-19,1,0,0.0,0,0,0.0
2020-02-20,1,0,0.0,0,0,0.0
2020-02-21,1,0,0.0,0,0,0.0
2020-02-22,1,0,0.0,0,0,0.0
2020-02-23,1,0,0.0,0,0,0.0
2020-02-24,1,0,0.0,0,0,0.0
2020-02-25,1,0,0.0,0,0,0.0
2020-02-26,1,0,0.0,0,0,0.0
2020-02-27,1,0,0.0,0,0,0.0
2020-02-28,1,0,0.0,0,0,0.0
2020-02-29,1,0,0.0,0,0,0.0
2020-03-01,1,0,0.0,0,0,0.0
2020-03-02,1,0,0.0,0,0,0.0
2020-03-03,1,0,0.0,0,0,0.0
2020-03-04,7,6,0.0,0,0,0.0
2020-03-05,11,4,0.0,0,0,0.0
2020-03-06,13,2,0.0,0,0,0.0
2020-03-07,14,1,0.0,0,0,0.0
2020-03-08,14,0,0.0,0,0,0.0
2020-03-09,14,0,0.0,0,0,0.0
2020-03-10,20,6,0.0,0,0,0.0
2020-03-11,27,7,0.0,1,1,3.7
2020-03-12,32,5,0.0,1,0,3.12
2020-03-13,40,8,0.0,1,0,2.5
2020-03-14,53,13,0.0,1,0,1.89
2020-03-15,53,0,0.0,1,0,1.89
2020-03-16,94,41,0.0,1,0,1.06
2020-03-17,144,50,0.0,1,0,0.69
2020-03-18,190,46,0.0,1,0,0.53
2020-03-19,231,41,0.0,2,1,0.87
2020-03-20,292,61,0.0,2,0,0.68
2020-03-21,292,0,0.0,2,0,0.68
2020-03-22,407,115,0.0,5,3,1.23
2020-03-23,536,129,0.01,7,2,1.31
2020-03-24,662,126,0.01,11,4,1.66
2020-03-25,812,150,0.01,13,2,1.6
2020-03-26,1229,417,0.01,21,8,1.71
2020-03-27,1465,236,0.01,26,5,1.77
2020-03-28,1465,0,0.01,26,0,1.77
2020-03-29,1829,364,0.02,32,6,1.75
2020-03-30,2474,645,0.02,44,12,1.78
2020-03-31,3019,545,0.03,54,10,1.79
2020-04-01,3518,499,0.04,64,10,1.82
2020-04-02,4045,527,0.04,78,14,1.93
2020-04-03,4566,521,0.05,89,11,1.95
2020-04-04,4605,39,0.05,93,4,2.02
2020-04-05,5955,1350,0.06,132,39,2.22
2020-04-06,6377,422,0.06,147,15,2.31
2020-04-07,6936,559,0.07,169,22,2.44
2020-04-08,7559,623,0.08,198,29,2.62
2020-04-09,7955,396,0.08,223,25,2.8
2020-04-10,8443,488,0.08,242,19,2.87
2020-04-11,8453,10,0.08,244,2,2.89
2020-04-12,8894,441,0.09,269,25,3.02
2020-04-13,9433,539,0.09,322,53,3.41
2020-04-14,10047,614,0.1,360,38,3.58
2020-04-15,10517,470,0.1,405,45,3.85
2020-04-16,10854,337,0.11,457,52,4.21
2020-04-17,11400,546,0.11,497,40,4.36
2020-04-18,12021,621,0.12,576,79,4.79
2020-04-19,12341,320,0.12,600,24,4.86
2020-04-20,13823,1482,0.14,619,19,4.48
2020-04-21,15153,1330,0.15,663,44,4.38
2020-04-22,16447,1294,0.16,732,69,4.45
2020-04-23,17537,1090,0.17,797,65,4.54
2020-04-24,18545,1008,0.18,850,53,4.58
2020-04-25,19133,588,0.19,895,45,4.68
2020-04-26,19567,434,0.19,916,21,4.68
2020-04-27,20423,856,0.2,944,28,4.62
2020-04-28,20996,573,0.21,1002,58,4.77
2020-04-29,22485,1489,0.22,1056,54,4.7
2020-04-30,23220,735,0.23,1111,55,4.78
2020-05-01,24262,1042,0.24,1174,63,4.84
2020-05-02,24894,632,0.25,1209,35,4.86
2020-05-03,25699,805,0.26,1231,22,4.79
2020-05-04,26225,526,0.26,1257,26,4.79
2020-05-05,27836,1611,0.28,1315,58,4.72
2020-05-06,28665,829,0.29,1369,54,4.78
2020-05-07,29511,846,0.29,1418,49,4.8
2020-05-08,30319,808,0.3,1470,52,4.85
2020-05-09,31241,922,0.31,1515,45,4.85
2020-05-10,31703,462,0.32,1531,16,4.83
2020-05-11,32263,560,0.32,1570,39,4.87
2020-05-12,33211,948,0.33,1616,46,4.87
