date,Restaurant_Recreaction,Grocery_Pharmacy,Retail
2018-12-31,269008.0,89232.0,493638.0
2019-01-01,204042.0,46877.0,331752.0
2019-01-02,273913.0,82571.0,511654.0
2019-01-03,289507.0,85116.0,534533.0
2019-01-04,319713.0,90165.0,584087.0
2019-01-05,278203.0,78243.0,496885.0
2019-01-06,262432.0,77966.0,465956.0
2019-01-07,256250.0,82781.0,493694.0
2019-01-08,292413.0,87850.0,545885.0
2019-01-09,316625.0,95146.0,592154.0
2019-01-10,325165.0,95023.0,603664.0
2019-01-11,347729.0,96329.0,633750.0
2019-01-12,316363.0,86829.0,561398.0
2019-01-13,285995.0,82840.0,503231.0
2019-01-14,270976.0,84787.0,517908.0
2019-01-15,285794.0,85771.0,536759.0
2019-01-16,291991.0,88311.0,550665.0
2019-01-17,290127.0,85571.0,540402.0
2019-01-18,333387.0,91536.0,604360.0
2019-01-19,324588.0,82585.0,557136.0
2019-01-20,277177.0,73955.0,469940.0
2019-01-21,270291.0,85966.0,515989.0
2019-01-22,294693.0,87475.0,546424.0
2019-01-23,302512.0,86469.0,550654.0
2019-01-24,311624.0,85759.0,558945.0
2019-01-25,343825.0,89970.0,608827.0
2019-01-26,332198.0,81534.0,556844.0
2019-01-27,288576.0,76487.0,482028.0
2019-01-28,287061.0,87234.0,535849.0
2019-01-29,285003.0,82344.0,525061.0
2019-01-30,299350.0,86947.0,551977.0
2019-01-31,288927.0,83011.0,535827.0
2019-02-01,316061.0,87746.0,571717.0
2019-02-02,257855.0,74186.0,459277.0
2019-02-03,210813.0,70956.0,383838.0
2019-02-04,252502.0,77373.0,473626.0
2019-02-05,270665.0,78652.0,500559.0
2019-02-06,284694.0,81104.0,522870.0
2019-02-07,288974.0,79952.0,525405.0
2019-02-08,321690.0,83976.0,576245.0
2019-02-09,306237.0,77039.0,532239.0
2019-02-10,247250.0,69572.0,433858.0
2019-02-11,279201.0,85214.0,525373.0
2019-02-12,317972.0,94401.0,591161.0
2019-02-13,296678.0,95916.0,564548.0
2019-02-14,309583.0,88348.0,568529.0
2019-02-15,320922.0,86161.0,582304.0
2019-02-16,331677.0,81592.0,566336.0
2019-02-17,278784.0,72396.0,475669.0
2019-02-18,286566.0,85687.0,536488.0
2019-02-19,309138.0,89560.0,569384.0
2019-02-20,312449.0,88785.0,574192.0
2019-02-21,309832.0,87082.0,570261.0
2019-02-22,350437.0,92364.0,624821.0
2019-02-23,323208.0,80243.0,546450.0
2019-02-24,282245.0,74756.0,474308.0
2019-02-25,292737.0,85760.0,540543.0
2019-02-26,295842.0,82342.0,537815.0
2019-02-27,301835.0,83898.0,548337.0
2019-02-28,309623.0,85808.0,563246.0
2019-03-01,328700.0,86335.0,582838.0
2019-03-02,287818.0,76100.0,504454.0
2019-03-03,270318.0,75741.0,468343.0
2019-03-04,293846.0,89585.0,546265.0
2019-03-05,289039.0,84794.0,537529.0
2019-03-06,276844.0,79602.0,511679.0
2019-03-07,313472.0,87634.0,565634.0
2019-03-08,331429.0,85060.0,581859.0
2019-03-09,322555.0,75671.0,531405.0
2019-03-10,273055.0,69377.0,449588.0
2019-03-11,288850.0,84785.0,529449.0
2019-03-12,270751.0,76014.0,486608.0
2019-03-13,290814.0,81295.0,522792.0
2019-03-14,311665.0,84410.0,551351.0
2019-03-15,346611.0,89346.0,606301.0
2019-03-16,346169.0,82651.0,572715.0
2019-03-17,293795.0,73664.0,482079.0
2019-03-18,288383.0,85305.0,523962.0
2019-03-19,312304.0,88701.0,563523.0
2019-03-20,300915.0,85787.0,550668.0
2019-03-21,314673.0,86717.0,566506.0
2019-03-22,352522.0,90393.0,616917.0
2019-03-23,345265.0,82249.0,576856.0
2019-03-24,302286.0,76494.0,502643.0
2019-03-25,303545.0,88461.0,552964.0
2019-03-26,307589.0,82752.0,545143.0
2019-03-27,315057.0,84507.0,557660.0
2019-03-28,322757.0,83718.0,567345.0
2019-03-29,343913.0,86130.0,599333.0
2019-03-30,334118.0,77943.0,549700.0
2019-03-31,281736.0,69860.0,461719.0
2019-04-01,281930.0,81888.0,509926.0
2019-04-02,294716.0,82582.0,530974.0
2019-04-03,298013.0,83708.0,538324.0
2019-04-04,302887.0,83906.0,546672.0
2019-04-05,331107.0,87485.0,588677.0
2019-04-06,326901.0,79409.0,548439.0
2019-04-07,287289.0,74968.0,477719.0
2019-04-08,279495.0,84186.0,514588.0
2019-04-09,298665.0,85094.0,541348.0
2019-04-10,305709.0,86723.0,553731.0
2019-04-11,310471.0,85129.0,556535.0
2019-04-12,346642.0,91338.0,612615.0
2019-04-13,359767.0,85751.0,592409.0
2019-04-14,303502.0,79725.0,507039.0
2019-04-15,317592.0,94646.0,579172.0
2019-04-16,319373.0,90744.0,573242.0
2019-04-17,325350.0,91875.0,579791.0
2019-04-18,332838.0,91610.0,589472.0
2019-04-19,359166.0,99320.0,639124.0
2019-04-20,327551.0,93800.0,570963.0
2019-04-21,264541.0,71312.0,415913.0
2019-04-22,320686.0,91257.0,575489.0
2019-04-23,324424.0,86941.0,564180.0
2019-04-24,338564.0,90143.0,585556.0
2019-04-25,346267.0,88267.0,591687.0
2019-04-26,385918.0,94395.0,653696.0
2019-04-27,363919.0,82910.0,580520.0
2019-04-28,311310.0,76277.0,495468.0
2019-04-29,307037.0,87810.0,545404.0
2019-04-30,299291.0,81132.0,520105.0
2019-05-01,323035.0,87404.0,562796.0
2019-05-02,320863.0,88314.0,569596.0
2019-05-03,367214.0,95713.0,641218.0
2019-05-04,356539.0,85497.0,582704.0
2019-05-05,299112.0,78486.0,493330.0
2019-05-06,293020.0,90429.0,541675.0
2019-05-07,279025.0,82726.0,509718.0
2019-05-08,313604.0,91486.0,572015.0
2019-05-09,322754.0,93259.0,588189.0
2019-05-10,362430.0,97995.0,646865.0
2019-05-11,357426.0,92767.0,606369.0
2019-05-12,305411.0,80894.0,510789.0
2019-05-13,294028.0,90148.0,544442.0
2019-05-14,308512.0,89977.0,562466.0
2019-05-15,312607.0,89730.0,568137.0
2019-05-16,317570.0,89778.0,576230.0
2019-05-17,362384.0,95141.0,635636.0
2019-05-18,335175.0,81709.0,556116.0
2019-05-19,262560.0,71376.0,446173.0
2019-05-20,271276.0,83136.0,498296.0
2019-05-21,281826.0,82047.0,510926.0
2019-05-22,285724.0,83421.0,519778.0
2019-05-23,293934.0,83065.0,528935.0
2019-05-24,336379.0,89550.0,587949.0
2019-05-25,320914.0,80157.0,533171.0
2019-05-26,262634.0,69607.0,443866.0
2019-05-27,249999.0,66371.0,419308.0
2019-05-28,283572.0,83542.0,511570.0
2019-05-29,301351.0,85509.0,539141.0
2019-05-30,306194.0,83459.0,542651.0
2019-05-31,340051.0,88892.0,591845.0
2019-06-01,314497.0,78774.0,526019.0
2019-06-02,277401.0,74059.0,463416.0
2019-06-03,285104.0,86766.0,520467.0
2019-06-04,304552.0,86409.0,542350.0
2019-06-05,310824.0,87634.0,550991.0
2019-06-06,322348.0,86489.0,563230.0
2019-06-07,346028.0,89388.0,596519.0
2019-06-08,331858.0,82319.0,548670.0
2019-06-09,288898.0,74946.0,473636.0
2019-06-10,287977.0,87068.0,527720.0
2019-06-11,302249.0,87010.0,543866.0
2019-06-12,304292.0,86230.0,545947.0
2019-06-13,261371.0,70517.0,463244.0
2019-06-14,327783.0,88909.0,581452.0
2019-06-15,324044.0,83838.0,546008.0
2019-06-16,276456.0,72421.0,457355.0
2019-06-17,279991.0,82736.0,509798.0
2019-06-18,296738.0,83576.0,531073.0
2019-06-19,298637.0,83542.0,532381.0
2019-06-20,311274.0,84276.0,550607.0
2019-06-21,327682.0,84617.0,569737.0
2019-06-22,322098.0,78693.0,530958.0
2019-06-23,288587.0,73449.0,471871.0
2019-06-24,287520.0,83126.0,518787.0
2019-06-25,295227.0,82070.0,524723.0
2019-06-26,298648.0,83011.0,528154.0
2019-06-27,313294.0,84686.0,550203.0
2019-06-28,342767.0,89768.0,598397.0
2019-06-29,328246.0,81781.0,544991.0
2019-06-30,277158.0,73164.0,458810.0
2019-07-01,280723.0,84423.0,509614.0
2019-07-02,293606.0,84940.0,524433.0
2019-07-03,315791.0,96212.0,565812.0
2019-07-04,251712.0,68119.0,391362.0
2019-07-05,322809.0,81475.0,537536.0
2019-07-06,326999.0,78773.0,523701.0
2019-07-07,283104.0,73635.0,461545.0
2019-07-08,285852.0,85744.0,519194.0
2019-07-09,300112.0,84533.0,533984.0
2019-07-10,304647.0,86422.0,543735.0
2019-07-11,309274.0,88439.0,551300.0
2019-07-12,333054.0,89174.0,589763.0
2019-07-13,318181.0,81995.0,537155.0
2019-07-14,278699.0,74191.0,464400.0
2019-07-15,288350.0,85696.0,526471.0
2019-07-16,309092.0,85943.0,551103.0
2019-07-17,307206.0,85850.0,548162.0
2019-07-18,313797.0,85378.0,554901.0
2019-07-19,335936.0,87622.0,590371.0
2019-07-20,334192.0,82693.0,556577.0
2019-07-21,297050.0,75589.0,484913.0
2019-07-22,285923.0,84363.0,519082.0
2019-07-23,299944.0,84146.0,535633.0
2019-07-24,298416.0,84006.0,533793.0
2019-07-25,306698.0,84703.0,545388.0
2019-07-26,329586.0,87462.0,579425.0
2019-07-27,320497.0,80192.0,535355.0
2019-07-28,283547.0,73340.0,468347.0
2019-07-29,281429.0,83801.0,512471.0
2019-07-30,290576.0,81509.0,519080.0
2019-07-31,288607.0,81147.0,516986.0
2019-08-01,299463.0,83026.0,532549.0
2019-08-02,320241.0,86200.0,567846.0
2019-08-03,315959.0,80329.0,529738.0
2019-08-04,273160.0,72210.0,455259.0
2019-08-05,281040.0,84516.0,513346.0
2019-08-06,286912.0,82874.0,516515.0
2019-08-07,286448.0,83675.0,519415.0
2019-08-08,298423.0,84032.0,531608.0
2019-08-09,330464.0,88741.0,580880.0
2019-08-10,321807.0,81736.0,537842.0
2019-08-11,288333.0,75605.0,474859.0
2019-08-12,290145.0,85884.0,523491.0
2019-08-13,303114.0,84989.0,535554.0
2019-08-14,314689.0,86994.0,554180.0
2019-08-15,324687.0,86860.0,568174.0
2019-08-16,354625.0,90211.0,612031.0
2019-08-17,347785.0,84151.0,576545.0
2019-08-18,302564.0,78057.0,503206.0
2019-08-19,301594.0,88357.0,544060.0
2019-08-20,314985.0,88411.0,559286.0
2019-08-21,314452.0,88785.0,556944.0
2019-08-22,322823.0,87034.0,563492.0
2019-08-23,351869.0,91733.0,609184.0
2019-08-24,342460.0,85617.0,564214.0
2019-08-25,300599.0,80270.0,494008.0
2019-08-26,301945.0,90544.0,547097.0
2019-08-27,313684.0,90362.0,563797.0
2019-08-28,314431.0,89408.0,558800.0
2019-08-29,327457.0,89925.0,577513.0
2019-08-30,355999.0,96857.0,626923.0
2019-08-31,327575.0,85179.0,550687.0
2019-09-01,292534.0,74833.0,471198.0
2019-09-02,280589.0,75244.0,454394.0
2019-09-03,338451.0,95573.0,576429.0
2019-09-04,349994.0,96143.0,591895.0
2019-09-05,345309.0,94900.0,595237.0
2019-09-06,387310.0,100809.0,659742.0
2019-09-07,385685.0,94400.0,618009.0
2019-09-08,330131.0,87131.0,527720.0
2019-09-09,328314.0,97745.0,586186.0
2019-09-10,335783.0,95678.0,595621.0
2019-09-11,343219.0,98993.0,617347.0
2019-09-12,348858.0,96438.0,619092.0
2019-09-13,393105.0,103749.0,687557.0
2019-09-14,380158.0,94973.0,628607.0
2019-09-15,317266.0,85807.0,530300.0
2019-09-16,324013.0,97675.0,585861.0
2019-09-17,338400.0,95381.0,596124.0
2019-09-18,351772.0,97009.0,610388.0
2019-09-19,350813.0,92984.0,599720.0
2019-09-20,382777.0,97298.0,650165.0
2019-09-21,379213.0,90028.0,604739.0
2019-09-22,325219.0,83945.0,524374.0
2019-09-23,313768.0,92784.0,563302.0
2019-09-24,317070.0,89843.0,560012.0
2019-09-25,314426.0,87632.0,554165.0
2019-09-26,316283.0,86240.0,549938.0
2019-09-27,351751.0,90874.0,600264.0
2019-09-28,335045.0,82994.0,545535.0
2019-09-29,297628.0,77798.0,482580.0
2019-09-30,288620.0,84247.0,513160.0
2019-10-01,305735.0,88403.0,545880.0
2019-10-02,306878.0,87159.0,544240.0
2019-10-03,308591.0,84895.0,539585.0
2019-10-04,341292.0,88891.0,587053.0
2019-10-05,339103.0,83309.0,549246.0
2019-10-06,281993.0,76398.0,462930.0
2019-10-07,284292.0,86623.0,519255.0
2019-10-08,301408.0,87909.0,545020.0
2019-10-09,279191.0,81247.0,502632.0
2019-10-10,290851.0,82480.0,519770.0
2019-10-11,322934.0,87338.0,569473.0
2019-10-12,320213.0,80699.0,529653.0
2019-10-13,272464.0,74032.0,454531.0
2019-10-14,263949.0,81555.0,482304.0
2019-10-15,298536.0,87974.0,540490.0
2019-10-16,323993.0,94283.0,588428.0
2019-10-17,323188.0,91914.0,579121.0
2019-10-18,362884.0,97588.0,635189.0
2019-10-19,371910.0,94795.0,618295.0
2019-10-20,319293.0,87453.0,538364.0
2019-10-21,303173.0,93877.0,561621.0
2019-10-22,318833.0,93948.0,579685.0
2019-10-23,329686.0,95766.0,596827.0
2019-10-24,330868.0,92814.0,591438.0
2019-10-25,355490.0,97100.0,628558.0
2019-10-26,346239.0,89448.0,582504.0
