date,kind,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,dwpc,5.0,4.39,4.39,5.0,5.0,5.0,5.0,5.0,5.61,5.61,5.61,6.11,4.39,5.61,6.72,6.72,7.22,6.72,7.22,7.22,7.22,7.22,7.22,7.22
2017-01-01,relh,82.58,76.48,79.13,88.77,85.77,88.77,85.77,85.77,79.91,66.13,61.69,57.51,49.04,53.4,55.44,57.66,64.12,66.61,71.5,76.94,73.89,71.5,71.5,73.89
2017-01-01,sped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,3.45,5.75,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.69,4.6
2017-01-01,tmpc,7.78,8.28,7.78,6.72,7.22,6.72,7.22,7.22,8.89,11.72,12.78,14.39,15.0,15.0,15.61,15.0,13.89,12.78,12.22,11.11,11.72,12.22,12.22,11.72
2017-01-02,dwpc,7.22,7.5,7.78,7.78,7.22,7.22,7.22,7.78,7.78,7.78,7.78,7.22,7.22,7.22,6.72,6.11,7.22,7.5,7.78,7.78,8.28,8.28,8.28,8.28
2017-01-02,relh,72.69,75.32,76.75,76.75,73.89,76.94,76.94,76.75,74.26,71.6,71.6,66.72,64.12,62.07,59.98,59.4,66.72,68.01,72.93,76.75,76.83,82.68,85.48,85.48
2017-01-02,sped,1.72,1.72,0.0,0.0,0.0,3.45,3.45,1.15,0.0,4.6,3.45,0.0,4.6,4.6,0.0,0.0,4.6,1.72,0.0,0.0,0.0,0.0,0.0,3.45
2017-01-02,tmpc,11.97,11.72,11.72,11.72,11.72,11.11,11.11,11.72,12.22,12.78,12.78,13.28,13.89,14.39,14.39,13.89,13.28,13.28,12.5,11.72,12.22,11.11,10.61,10.61
2017-01-03,dwpc,8.28,7.78,7.78,7.78,7.78,7.78,7.22,7.22,7.22,6.72,6.72,6.72,7.22,6.72,6.11,6.72,6.72,7.22,7.22,7.22,7.22,7.22,7.22,7.22
2017-01-03,relh,89.04,86.06,89.67,89.67,92.74,89.67,86.33,79.54,73.89,64.47,61.95,57.66,57.37,55.44,53.15,57.66,57.66,64.12,66.72,71.41,76.94,76.94,73.89,79.54
