date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-19,21.53,21.69,20.86,20.91,21.67,29.67,39.86,47.08,39.99,33.78,29.52,26.13,24.26,25.08,25.12,28.6,35.23,47.86,45.59,41.33,39.45,34.13,31.15,27.5
2017-01-20,26.46,24.67,23.68,23.44,24.26,30.49,38.76,44.4,40.49,35.46,35.52,32.32,29.98,29.73,29.6,30.84,34.23,46.08,44.04,39.82,37.92,33.83,31.86,28.26
2017-01-21,30.83,28.37,28.19,26.65,28.14,30.11,30.52,31.77,28.42,25.51,23.12,19.96,15.86,15.24,21.37,28.09,35.06,47.62,47.74,42.66,40.13,37.57,35.18,30.2
2017-01-22,27.33,26.5,25.14,25.71,25.86,27.43,30.43,31.87,33.97,31.72,30.79,30.38,29.12,28.68,29.77,29.96,35.85,48.02,48.45,46.85,42.5,37.7,33.55,29.78
2017-01-23,26.71,26.39,25.21,25.42,27.21,31.79,41.07,45.28,38.26,32.86,31.56,30.13,27.67,27.05,27.81,30.05,38.45,52.04,52.16,47.59,44.09,38.42,34.82,29.54
2017-01-24,26.19,25.26,24.89,25.34,26.97,32.85,40.39,47.86,36.03,30.74,27.88,25.12,22.4,22.99,26.23,30.35,36.53,52.4,56.43,48.73,46.1,39.21,35.43,32.21
2017-01-25,30.11,29.28,28.72,29.31,31.15,39.44,48.19,62.54,37.6,30.68,26.92,25.32,21.26,20.94,24.48,31.13,38.38,54.6,57.42,50.23,48.15,41.36,36.68,33.49
2017-01-26,30.14,28.83,28.15,28.94,30.12,36.23,47.1,54.58,36.49,29.81,26.3,23.67,20.54,20.12,23.65,32.33,38.17,53.33,57.2,49.39,46.48,40.01,36.69,33.0
2017-01-27,30.91,29.55,28.78,28.76,30.28,35.41,44.76,49.79,34.6,28.63,24.1,21.18,17.47,16.7,21.48,28.52,37.01,49.02,51.85,46.91,43.74,38.71,35.82,32.74
2017-01-28,32.69,30.96,31.08,31.07,31.83,33.54,36.04,37.16,31.09,23.56,18.92,14.05,10.81,11.27,16.03,26.09,35.68,48.52,52.55,46.33,43.76,38.87,36.09,31.19
2017-01-29,31.11,29.91,29.86,29.0,29.97,31.16,34.39,34.79,26.96,20.14,12.55,10.52,8.56,9.71,13.28,26.72,36.46,49.96,51.73,46.09,44.14,38.22,35.13,31.87
2017-01-30,28.7,27.65,27.06,27.08,28.73,34.71,45.62,51.06,34.51,28.01,22.63,18.4,15.75,16.71,19.18,29.16,37.71,49.49,53.97,48.04,45.27,40.66,34.94,30.32
2017-01-31,29.82,28.6,27.76,27.74,29.48,35.88,45.99,51.43,34.72,28.44,24.72,20.67,17.04,17.89,20.59,29.36,38.36,50.54,53.79,48.28,45.06,39.75,35.03,32.5
2017-02-01,28.19,26.93,25.46,25.52,27.35,35.02,43.39,48.16,32.06,25.73,23.81,19.76,16.23,17.77,21.94,28.32,35.38,47.83,54.71,47.87,46.33,38.52,33.35,30.27
