date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,20990.9,20193.1,19635.6,19412.1,19513.2,19784.4,20332.8,20768.8,21318.8,21506.3,21573.7,21170.9,20723.6,20365.0,20898.9,21232.7,22850.6,25958.9,26429.2,26537.8,26159.7,24792.6,23215.2,21685.8
2017-01-02,20449.8,19344.3,19081.4,18835.6,19057.9,19600.9,20456.5,21057.8,21852.7,22402.2,22539.5,22476.1,22345.5,22225.4,22657.7,22956.5,24227.2,27787.7,28244.4,27670.9,26807.6,24984.7,23099.6,21387.5
2017-01-03,21323.2,20326.5,19815.5,19968.2,20280.4,21766.8,23809.1,25280.3,25753.1,25814.3,25681.4,25378.5,25125.0,24952.9,25321.4,25499.7,26653.2,29328.8,29706.0,29311.7,28372.2,26555.8,24899.4,22557.0
2017-01-04,20990.6,20229.5,19662.6,19646.6,20236.0,21729.8,23879.9,24970.5,25302.3,25389.6,25448.1,25172.3,24794.5,24606.7,24945.8,25217.2,26474.0,29239.4,29605.0,29013.7,28203.3,26401.3,24293.4,22400.8
2017-01-05,21107.7,20300.6,19807.0,19758.1,20374.9,21689.6,23912.7,25201.8,25681.5,25797.7,25719.9,25377.0,25192.4,25112.3,25350.8,25663.4,26812.1,29084.8,29480.0,29136.3,28367.7,26596.1,24357.8,22449.3
2017-01-06,21399.3,20600.9,20075.7,20072.9,20726.0,22138.0,24512.0,25704.7,26046.2,26047.5,25739.2,25419.8,25132.9,24998.0,25258.5,25553.9,26516.6,28855.2,29153.1,28567.5,27687.3,26074.7,24358.9,22601.6
2017-01-07,21169.2,20214.6,19635.2,19445.3,19685.1,20315.8,21203.3,21717.3,22553.4,23209.3,23297.9,23178.0,22845.5,22651.0,22882.9,23273.7,24542.2,26670.1,27041.5,26636.7,25994.3,24661.7,23009.7,21533.2
2017-01-08,20203.2,19418.5,18863.6,18645.3,18781.1,19181.0,19848.8,20148.0,20883.5,21407.8,21575.6,21607.0,21555.0,21456.4,21922.2,22375.8,23615.0,26048.7,26571.5,26221.7,25563.2,23996.3,22380.5,20874.6
2017-01-09,20009.3,19365.7,18912.2,18885.3,19559.5,20997.9,23343.7,24692.3,25463.8,26019.4,26079.8,25980.9,25888.6,25712.2,25809.4,26067.6,26839.0,29105.2,29363.9,28856.1,27928.4,25986.7,23834.3,22075.0
2017-01-10,20806.2,20063.8,19531.2,19464.7,20085.0,21525.4,24065.1,25415.6,25913.0,26264.3,26228.7,26124.9,25960.4,25856.1,26042.9,26190.6,27160.6,29401.9,29665.2,29125.3,28217.8,26290.8,24265.2,22426.1
2017-01-11,21098.9,20275.7,19679.0,19608.6,20202.2,21571.4,24055.8,25458.1,25898.6,26156.0,26273.9,26087.4,25704.9,25603.7,25836.9,26008.4,26913.3,29170.0,29539.7,28962.3,28070.1,26355.3,24067.8,22179.1
2017-01-12,21212.6,20402.8,19812.1,19721.9,20364.0,21770.7,24461.4,25750.6,26177.8,26422.0,26453.4,26358.3,26052.2,25821.9,25774.2,25982.5,26891.2,29162.2,29633.4,29157.0,28303.6,26457.3,24162.8,22459.7
2017-01-13,21593.2,20835.0,20293.0,20275.7,20925.7,22400.2,24986.2,26245.4,26334.4,26204.6,25965.4,25613.8,25245.8,25006.5,25189.6,25501.3,26394.3,28839.3,29355.6,28778.2,27933.1,26373.8,24559.0,23026.6
2017-01-14,21682.6,20812.8,20238.5,20107.2,20304.2,20978.2,22076.5,22582.7,23201.6,23381.5,23301.4,23100.9,22965.5,22661.8,22482.2,22774.2,23799.1,26489.1,27206.9,26877.2,26259.9,24923.8,23287.4,22008.8
