date,accum_confirm,new_confirm,infect_rate,accum_death,new_death,fatal_rate
2020-01-23,0,0,0.0,0,0,0.0
2020-01-24,0,0,0.0,0,0,0.0
2020-01-25,0,0,0.0,0,0,0.0
2020-01-26,0,0,0.0,0,0,0.0
2020-01-27,0,0,0.0,0,0,0.0
2020-01-28,0,0,0.0,0,0,0.0
2020-01-29,0,0,0.0,0,0,0.0
2020-01-30,0,0,0.0,0,0,0.0
2020-01-31,0,0,0.0,0,0,0.0
2020-02-01,0,0,0.0,0,0,0.0
2020-02-02,0,0,0.0,0,0,0.0
2020-02-03,0,0,0.0,0,0,0.0
2020-02-04,0,0,0.0,0,0,0.0
2020-02-05,0,0,0.0,0,0,0.0
2020-02-06,0,0,0.0,0,0,0.0
2020-02-07,0,0,0.0,0,0,0.0
2020-02-08,0,0,0.0,0,0,0.0
2020-02-09,0,0,0.0,0,0,0.0
2020-02-10,0,0,0.0,0,0,0.0
2020-02-11,0,0,0.0,0,0,0.0
2020-02-12,0,0,0.0,0,0,0.0
2020-02-13,0,0,0.0,0,0,0.0
2020-02-14,0,0,0.0,0,0,0.0
2020-02-15,0,0,0.0,0,0,0.0
2020-02-16,0,0,0.0,0,0,0.0
2020-02-17,0,0,0.0,0,0,0.0
2020-02-18,0,0,0.0,0,0,0.0
2020-02-19,0,0,0.0,0,0,0.0
2020-02-20,0,0,0.0,0,0,0.0
2020-02-21,0,0,0.0,0,0,0.0
2020-02-22,0,0,0.0,0,0,0.0
2020-02-23,0,0,0.0,0,0,0.0
2020-02-24,0,0,0.0,0,0,0.0
2020-02-25,0,0,0.0,0,0,0.0
2020-02-26,0,0,0.0,0,0,0.0
2020-02-27,0,0,0.0,0,0,0.0
2020-02-28,0,0,0.0,0,0,0.0
2020-02-29,0,0,0.0,0,0,0.0
2020-03-01,0,0,0.0,0,0,0.0
2020-03-02,0,0,0.0,0,0,0.0
2020-03-03,0,0,0.0,0,0,0.0
2020-03-04,0,0,0.0,0,0,0.0
2020-03-05,2,2,0.0,0,0,0.0
2020-03-06,2,0,0.0,0,0,0.0
2020-03-07,9,7,0.0,0,0,0.0
2020-03-08,9,0,0.0,0,0,0.0
2020-03-09,9,0,0.0,0,0,0.0
2020-03-10,14,5,0.0,0,0,0.0
2020-03-11,14,0,0.0,0,0,0.0
2020-03-12,18,4,0.0,0,0,0.0
2020-03-13,23,5,0.0,0,0,0.0
2020-03-14,28,5,0.0,0,0,0.0
2020-03-15,28,0,0.0,0,0,0.0
2020-03-16,40,12,0.0,0,0,0.0
2020-03-17,43,3,0.0,0,0,0.0
2020-03-18,51,8,0.01,0,0,0.0
2020-03-19,70,19,0.01,0,0,0.0
2020-03-20,76,6,0.01,0,0,0.0
2020-03-21,84,8,0.01,0,0,0.0
2020-03-22,108,24,0.01,0,0,0.0
2020-03-23,131,23,0.01,0,0,0.0
2020-03-24,152,21,0.02,0,0,0.0
2020-03-25,178,26,0.02,1,1,0.56
2020-03-26,223,45,0.03,2,1,0.9
2020-03-27,279,56,0.03,3,1,1.08
2020-03-28,308,29,0.03,4,1,1.3
2020-03-29,340,32,0.04,4,0,1.18
2020-03-30,374,34,0.04,6,2,1.6
2020-03-31,397,23,0.05,6,0,1.51
2020-04-01,434,37,0.05,7,1,1.61
2020-04-02,450,16,0.05,7,0,1.56
2020-04-03,497,47,0.06,7,0,1.41
2020-04-04,529,32,0.06,8,1,1.51
2020-04-05,568,39,0.06,8,0,1.41
2020-04-06,583,15,0.07,9,1,1.54
2020-04-07,622,39,0.07,9,0,1.45
2020-04-08,676,54,0.08,10,1,1.48
2020-04-09,724,48,0.08,10,0,1.38
2020-04-10,797,73,0.09,13,3,1.63
2020-04-11,857,60,0.1,13,0,1.52
2020-04-12,872,15,0.1,14,1,1.61
2020-04-13,957,85,0.11,15,1,1.57
2020-04-14,987,30,0.11,15,0,1.52
2020-04-15,1013,26,0.11,17,2,1.68
2020-04-16,1019,6,0.12,17,0,1.67
2020-04-17,1058,39,0.12,20,3,1.89
2020-04-18,1137,79,0.13,20,0,1.76
2020-04-19,1157,20,0.13,20,0,1.73
2020-04-20,1216,59,0.14,20,0,1.64
2020-04-21,1231,15,0.14,20,0,1.62
2020-04-22,1233,2,0.14,21,1,1.7
2020-04-23,1302,69,0.15,21,0,1.61
2020-04-24,1340,38,0.15,22,1,1.64
2020-04-25,1354,14,0.15,22,0,1.62
2020-04-26,1408,54,0.16,22,0,1.56
2020-04-27,1424,16,0.16,23,1,1.62
2020-04-28,1468,44,0.17,23,0,1.57
2020-04-29,1490,22,0.17,23,0,1.54
2020-04-30,1499,9,0.17,25,2,1.67
2020-05-01,1523,24,0.17,28,3,1.84
2020-05-02,1543,20,0.18,29,1,1.88
2020-05-03,1602,59,0.18,29,0,1.81
2020-05-04,1624,22,0.18,29,0,1.79
2020-05-05,1728,104,0.2,31,2,1.79
2020-05-06,1754,26,0.2,31,0,1.77
2020-05-07,1806,52,0.2,32,1,1.77
