date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-19,22.6,22.81,21.87,21.96,22.82,31.34,42.23,51.11,43.59,37.09,32.91,30.91,28.81,28.57,29.44,33.59,38.16,53.29,50.8,44.89,42.73,36.69,33.34,29.21
2017-01-20,28.01,25.88,24.76,24.45,25.33,31.81,41.07,44.3,44.06,35.47,35.47,32.32,29.99,29.74,29.6,33.67,37.33,46.03,43.99,44.38,37.95,37.3,34.85,30.55
2017-01-21,32.45,29.91,29.68,28.0,29.54,31.39,32.02,33.85,30.6,27.87,25.65,22.04,17.54,16.78,23.44,30.2,37.52,51.03,51.0,45.37,42.81,40.09,37.01,31.56
2017-01-22,28.51,27.66,26.26,26.92,27.06,28.79,31.99,33.76,36.69,34.21,33.63,32.85,31.43,30.72,31.94,32.04,38.32,51.21,52.66,49.95,45.2,40.46,35.23,31.22
2017-01-23,28.15,27.84,26.54,26.77,28.58,33.36,43.66,48.71,41.44,35.54,35.16,35.55,30.97,32.34,30.11,32.48,41.46,56.67,56.72,51.8,47.99,41.25,37.01,31.48
2017-01-24,27.66,26.64,26.21,26.75,28.52,34.72,43.45,51.48,39.31,33.59,30.53,27.74,24.65,25.22,28.81,32.84,39.2,56.31,60.95,52.75,49.7,41.92,37.62,33.9
2017-01-25,31.79,30.76,30.11,30.77,32.72,41.4,51.1,68.05,40.61,33.74,30.01,28.2,23.6,23.18,26.99,33.92,41.28,58.83,62.23,54.16,52.04,44.11,38.8,35.07
2017-01-26,32.0,30.6,29.81,30.71,32.09,38.67,50.88,59.79,40.25,33.24,30.39,27.59,24.13,23.72,27.48,35.03,41.02,57.07,61.18,52.93,49.54,42.35,38.56,34.66
2017-01-27,32.85,31.35,30.49,30.48,32.16,37.84,48.15,54.81,38.41,32.11,28.82,25.59,23.78,22.77,28.54,31.36,39.85,52.83,55.92,50.43,46.68,41.13,37.89,34.53
2017-01-28,34.51,32.49,32.78,32.66,33.48,35.17,38.19,39.87,33.86,32.04,31.74,23.36,20.48,20.42,25.95,28.68,38.59,52.54,57.18,50.5,47.94,41.91,38.41,33.21
