date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,60.6,61.5,63.2,66.0,69.9,75.2,81.6,83.7,78.6,71.0,64.1,57.8,53.7,50.9,49.6,50.5,54.9,63.3,65.3,66.1,65.9,64.2,61.4,60.0
2017-01-02,60.8,61.8,64.6,67.0,71.9,79.8,87.6,86.4,77.7,69.6,62.9,57.5,53.5,50.5,49.4,50.3,55.3,64.0,67.6,68.5,68.4,66.4,63.8,62.1
2017-01-03,62.5,63.9,65.8,69.0,74.2,82.3,90.7,90.2,80.8,71.9,64.2,57.7,52.9,49.6,47.9,49.4,55.5,64.1,67.3,68.9,69.2,67.4,64.6,63.4
2017-01-04,62.7,64.0,66.0,69.4,75.3,83.9,92.8,94.0,87.5,80.7,72.7,65.9,61.5,58.3,56.0,56.4,60.8,68.8,70.5,71.5,71.5,70.0,66.9,65.1
2017-01-05,58.2,59.3,60.8,63.6,68.5,76.0,83.4,83.5,76.1,69.5,63.5,59.4,57.1,55.3,54.3,54.2,56.5,62.0,62.8,62.4,61.5,59.5,57.1,55.1
2017-01-06,59.0,58.8,59.7,62.4,65.8,72.4,78.8,80.4,79.3,75.3,69.8,65.2,61.1,58.7,57.3,58.0,64.1,72.2,74.4,75.6,75.8,74.3,71.3,69.4
2017-01-07,65.9,66.2,67.0,68.4,71.6,77.2,84.1,87.6,83.2,74.2,67.4,62.2,58.0,54.9,53.6,55.4,62.4,69.9,70.8,72.0,71.6,70.2,67.5,65.4
2017-01-08,58.0,58.5,60.1,62.2,65.5,70.9,77.1,77.0,70.1,62.7,56.1,51.4,48.8,46.6,45.6,46.6,49.5,55.6,57.9,58.0,57.6,56.9,55.5,54.7
2017-01-09,49.5,49.9,51.7,53.8,58.6,65.8,74.4,74.3,68.2,62.3,56.8,53.1,50.9,49.4,48.7,49.0,50.1,52.4,54.5,55.1,54.1,51.7,49.1,47.6
2017-01-10,54.2,54.3,55.1,56.6,61.0,67.8,75.5,77.4,74.4,69.1,63.6,57.8,54.3,51.6,50.6,51.2,54.1,59.6,61.4,61.6,60.8,58.4,55.6,54.7
2017-01-11,52.8,52.9,53.3,54.5,58.3,64.4,70.6,73.0,71.7,67.5,62.0,57.8,55.5,53.6,52.5,52.8,55.8,62.4,64.8,64.8,63.5,61.0,57.9,56.2
2017-01-12,61.7,62.7,64.1,66.9,72.0,79.8,87.3,88.3,83.9,80.9,75.5,70.8,66.9,64.8,63.4,64.0,68.0,73.4,73.8,73.3,71.8,69.0,65.2,62.3
2017-01-13,65.1,65.8,68.1,70.7,75.3,81.2,88.2,90.4,83.9,74.9,68.4,63.2,58.1,54.4,54.0,55.8,62.0,69.6,71.0,72.2,72.9,72.2,69.7,68.4
2017-01-14,65.9,66.3,67.0,68.4,71.7,77.6,84.3,87.7,83.0,74.2,67.3,62.0,57.8,54.7,53.6,55.3,62.2,70.0,71.1,72.5,72.1,70.7,68.1,66.2
2017-01-15,66.2,66.9,67.9,69.5,72.5,78.2,84.6,86.1,81.4,72.7,65.7,59.8,55.6,53.0,52.4,54.2,59.2,66.8,68.5,69.2,68.5,66.7,63.7,61.6
2017-01-16,66.5,68.2,70.8,74.2,80.6,89.6,99.0,99.1,89.2,79.2,70.6,63.7,59.2,55.8,53.6,54.0,57.6,66.8,70.2,72.5,73.5,72.8,70.5,69.9
2017-01-17,65.6,66.7,69.0,72.2,78.3,87.5,96.5,95.6,86.1,76.5,68.2,62.2,58.2,55.2,53.6,54.0,57.5,65.4,69.4,71.0,71.8,70.9,68.7,67.8
