date,kind,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,dwpc,6.11,5.61,5.0,4.39,5.0,5.0,4.39,3.28,2.78,2.25,1.72,2.22,1.72,2.22,1.72,2.22,1.72,2.78,3.28,3.89,3.89,5.0,5.0,3.89
2017-01-01,relh,74.46,71.19,68.23,68.1,71.07,71.07,68.1,65.62,60.79,58.59,52.36,52.11,50.28,52.11,50.28,56.1,58.75,63.34,65.62,72.35,73.85,79.82,79.82,73.85
2017-01-01,sped,11.58,15.05,15.18,17.82,13.03,11.31,13.89,12.75,14.49,20.12,18.4,19.17,19.26,18.4,21.28,20.32,15.33,12.12,8.93,9.36,7.7,5.22,6.72,7.28
2017-01-01,tmpc,10.46,10.61,10.61,10.0,10.0,10.0,10.0,9.39,10.0,10.0,11.11,11.72,11.72,11.72,11.72,10.61,9.39,9.39,9.39,8.59,8.28,8.28,8.28,8.28
2017-01-02,dwpc,4.39,5.0,5.0,4.39,4.39,5.0,5.0,4.39,4.39,3.89,5.61,5.0,3.89,3.89,3.89,4.39,5.0,5.61,5.61,5.61,6.11,6.11,6.11,6.97
2017-01-02,relh,82.19,85.77,82.58,82.19,82.19,88.77,88.77,85.06,82.19,73.85,79.91,66.0,61.06,63.12,61.06,65.38,68.23,74.15,74.15,74.15,79.98,79.98,79.98,86.36
2017-01-02,sped,3.8,6.28,6.46,6.9,2.97,2.12,6.19,5.22,5.04,6.9,8.67,9.2,11.85,11.98,10.73,9.82,8.32,7.87,8.4,9.91,10.0,8.76,3.18,4.03
2017-01-02,tmpc,7.22,7.22,7.78,7.22,7.22,6.72,6.72,6.72,7.22,8.28,8.89,11.11,11.11,10.61,11.11,10.61,10.61,10.0,10.0,10.0,9.39,9.39,9.39,9.14
2017-01-03,dwpc,6.72,7.22,7.22,7.22,7.22,7.78,7.78,7.78,7.78,7.78,7.78,7.78,8.28,8.89,9.39,9.39,10.0,10.0,10.61,11.11,11.11,11.72,11.72,12.22
2017-01-03,relh,83.42,89.29,89.29,89.29,89.29,92.74,91.2,89.67,86.06,84.34,79.92,76.75,79.4,82.76,85.59,85.59,84.85,77.38,86.66,83.33,82.0,84.0,84.0,86.82
2017-01-03,sped,4.6,4.87,4.42,1.77,10.17,11.04,8.87,6.55,11.6,10.53,12.21,15.79,17.25,13.71,14.68,13.89,18.78,31.82,17.82,27.6,32.97,28.75,27.6,25.3
2017-01-03,tmpc,9.39,8.89,8.89,8.89,8.89,8.89,9.14,9.39,10.0,10.3,11.11,11.72,11.72,11.72,11.72,11.72,12.5,13.89,12.78,13.89,14.14,14.39,14.39,14.39
2017-01-04,dwpc,12.22,12.22,12.78,12.78,12.22,11.86,11.11,10.61,10.74,10.2,8.89,8.89,8.28,7.78,7.78,7.22,7.22,7.22,7.5,7.78,7.78,7.78,6.97,6.11
2017-01-04,relh,86.82,86.82,90.04,90.04,88.25,91.97,92.92,89.88,93.13,90.42,82.76,82.76,79.4,76.75,79.92,79.54,82.86,86.33,89.54,92.74,92.74,89.67,88.12,86.21
2017-01-04,sped,23.0,17.51,17.67,14.33,10.88,7.97,7.7,7.7,8.46,8.54,12.49,10.17,11.69,12.27,10.17,9.02,5.04,8.14,10.61,9.71,7.34,4.08,7.84,9.02
2017-01-04,tmpc,14.39,14.39,14.39,14.39,14.14,13.14,12.22,12.22,11.81,11.72,11.72,11.72,11.72,11.72,11.11,10.61,10.0,9.39,9.14,8.89,8.89,9.39,8.84,8.28
2017-01-05,dwpc,6.11,5.61,5.0,4.39,3.28,2.78,1.11,0.61,0.0,-0.61,-0.61,1.11,1.72,1.11,1.72,1.72,-0.61,0.0,0.61,0.61,-0.61,-0.61,-2.78,0.0
2017-01-05,relh,82.72,83.28,79.82,76.48,73.18,70.64,67.41,65.02,57.87,49.63,47.64,53.97,56.39,53.97,54.13,56.39,47.64,53.67,62.83,65.02,51.34,55.36,47.2,67.17
2017-01-05,sped,2.74,1.59,4.16,11.5,10.46,9.11,11.96,11.76,9.02,11.23,15.37,12.83,6.99,6.02,6.1,7.25,8.58,7.52,5.22,5.4,9.51,11.21,8.23,5.31
2017-01-05,tmpc,8.89,8.28,8.28,8.28,7.78,7.78,6.72,6.72,7.78,9.39,10.0,10.0,10.0,10.0,10.61,10.0,10.0,8.89,7.22,6.72,8.89,7.78,7.78,5.61
2017-01-06,dwpc,-2.22,-1.11,-1.72,-1.72,-2.78,-2.78,-3.28,-3.28,-2.78,-3.28,-3.28,-3.28,-2.78,-1.72,-1.11,-0.61,2.22,1.11,2.22,3.28,2.22,1.72,2.78,3.89
2017-01-06,relh,55.14,67.45,64.49,66.79,61.78,61.78,59.52,57.47,57.15,50.98,47.23,47.23,45.62,47.32,47.85,49.63,60.88,58.16,62.97,67.87,62.97,60.76,65.51,73.85
2017-01-06,sped,5.94,6.8,9.55,8.85,8.67,8.76,7.34,7.34,8.67,9.11,6.99,6.1,5.13,5.04,5.13,5.4,7.61,8.76,13.23,11.79,9.38,4.42,0.62,7.87
