date,accum_confirm,new_confirm,infect_rate,accum_death,new_death,fatal_rate
2020-01-23,0,0,0.0,0,0,0.0
2020-01-24,0,0,0.0,0,0,0.0
2020-01-25,0,0,0.0,0,0,0.0
2020-01-26,0,0,0.0,0,0,0.0
2020-01-27,0,0,0.0,0,0,0.0
2020-01-28,0,0,0.0,0,0,0.0
2020-01-29,0,0,0.0,0,0,0.0
2020-01-30,0,0,0.0,0,0,0.0
2020-01-31,0,0,0.0,0,0,0.0
2020-02-01,0,0,0.0,0,0,0.0
2020-02-02,0,0,0.0,0,0,0.0
2020-02-03,0,0,0.0,0,0,0.0
2020-02-04,0,0,0.0,0,0,0.0
2020-02-05,0,0,0.0,0,0,0.0
2020-02-06,0,0,0.0,0,0,0.0
2020-02-07,0,0,0.0,0,0,0.0
2020-02-08,0,0,0.0,0,0,0.0
2020-02-09,0,0,0.0,0,0,0.0
2020-02-10,0,0,0.0,0,0,0.0
2020-02-11,0,0,0.0,0,0,0.0
2020-02-12,0,0,0.0,0,0,0.0
2020-02-13,0,0,0.0,0,0,0.0
2020-02-14,0,0,0.0,0,0,0.0
2020-02-15,0,0,0.0,0,0,0.0
2020-02-16,0,0,0.0,0,0,0.0
2020-02-17,0,0,0.0,0,0,0.0
2020-02-18,0,0,0.0,0,0,0.0
2020-02-19,0,0,0.0,0,0,0.0
2020-02-20,0,0,0.0,0,0,0.0
2020-02-21,0,0,0.0,0,0,0.0
2020-02-22,0,0,0.0,0,0,0.0
2020-02-23,0,0,0.0,0,0,0.0
2020-02-24,0,0,0.0,0,0,0.0
2020-02-25,0,0,0.0,0,0,0.0
2020-02-26,0,0,0.0,0,0,0.0
2020-02-27,0,0,0.0,0,0,0.0
2020-02-28,0,0,0.0,0,0,0.0
2020-02-29,0,0,0.0,0,0,0.0
2020-03-01,0,0,0.0,0,0,0.0
2020-03-02,0,0,0.0,0,0,0.0
2020-03-03,0,0,0.0,0,0,0.0
2020-03-04,0,0,0.0,0,0,0.0
2020-03-05,2,2,0.0,0,0,0.0
2020-03-06,3,1,0.0,0,0,0.0
2020-03-07,5,2,0.0,0,0,0.0
2020-03-08,5,0,0.0,0,0,0.0
2020-03-09,6,1,0.0,0,0,0.0
2020-03-10,6,0,0.0,0,0,0.0
2020-03-11,7,1,0.0,0,0,0.0
2020-03-12,9,2,0.0,0,0,0.0
2020-03-13,9,0,0.0,0,0,0.0
2020-03-14,11,2,0.0,0,0,0.0
2020-03-15,11,0,0.0,0,0,0.0
2020-03-16,13,2,0.0,0,0,0.0
2020-03-17,16,3,0.0,0,0,0.0
2020-03-18,23,7,0.0,1,1,4.35
2020-03-19,30,7,0.0,1,0,3.33
2020-03-20,55,25,0.0,1,0,1.82
2020-03-21,68,13,0.0,2,1,2.94
2020-03-22,74,6,0.0,2,0,2.7
2020-03-23,78,4,0.0,2,0,2.56
2020-03-24,134,56,0.0,4,2,2.99
