date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,23.23,21.82,20.16,20.0,20.24,21.45,24.35,24.06,25.48,24.94,28.0,25.06,23.71,23.25,24.0,23.22,22.94,41.99,34.99,24.97,24.28,23.22,20.19,17.92
2017-01-02,17.52,17.52,17.1,16.57,15.82,15.82,15.92,17.09,18.53,21.8,23.52,24.07,24.8,24.14,24.89,22.34,23.4,50.8,30.09,24.74,24.02,22.93,18.37,14.79
2017-01-03,11.12,9.17,9.68,13.02,16.96,21.02,24.37,23.99,26.69,25.0,25.08,25.13,25.73,25.2,25.32,24.43,24.3,40.95,36.92,27.37,25.22,24.97,24.33,21.93
2017-01-04,21.45,20.88,21.02,22.28,22.87,24.75,44.1,35.06,30.05,28.2,26.03,24.86,24.81,23.64,22.92,22.82,23.76,34.2,30.72,27.18,23.97,23.3,22.48,20.36
2017-01-05,19.78,19.57,19.5,20.03,20.98,22.84,33.91,31.08,26.34,25.12,23.62,23.38,23.03,22.98,22.44,21.99,22.57,33.86,29.68,26.78,25.56,23.61,23.11,23.44
2017-01-06,20.38,20.04,20.08,20.59,21.12,24.37,33.69,35.59,31.24,29.4,33.93,29.78,27.09,25.58,24.87,24.11,25.66,55.11,48.68,38.47,34.94,32.39,26.65,24.13
2017-01-07,27.84,26.84,26.62,26.86,27.87,34.1,43.93,48.08,96.21,74.8,43.62,34.86,27.0,23.25,22.23,21.66,23.21,34.25,39.04,32.92,28.05,26.95,24.41,21.98
2017-01-08,21.29,20.99,20.85,20.76,21.37,22.86,26.43,39.03,33.09,28.6,24.3,23.15,22.84,20.7,19.6,19.3,19.56,29.57,29.17,27.22,24.68,23.3,21.1,20.03
2017-01-09,19.56,19.24,19.13,19.18,18.99,22.76,36.11,39.5,26.84,24.42,23.92,23.4,23.49,23.46,22.64,21.77,21.57,33.97,28.89,24.98,22.43,20.03,14.79,9.71
2017-01-10,8.22,7.83,6.95,7.35,9.38,17.12,26.17,39.73,33.98,36.76,31.36,26.88,26.53,28.66,27.64,28.77,33.53,55.11,43.53,30.07,26.56,27.56,21.96,20.6
2017-01-11,4.81,3.31,3.16,3.03,3.71,7.9,25.94,24.28,24.5,24.51,25.59,27.49,26.09,26.84,28.45,29.18,30.94,42.08,35.72,23.09,22.07,19.78,17.62,9.61
2017-01-12,6.68,5.58,6.1,9.53,14.87,18.62,23.46,24.99,24.71,24.74,24.27,27.63,25.18,27.66,25.59,25.75,26.67,45.77,33.31,24.47,23.43,22.0,21.47,20.54
2017-01-13,19.55,18.53,18.13,18.04,18.58,21.01,24.94,24.59,23.63,24.28,26.33,25.93,25.76,26.75,26.56,25.14,25.82,39.56,31.4,25.2,23.82,23.52,21.7,21.44
2017-01-14,25.9,22.27,21.13,20.5,20.5,20.75,22.15,22.96,24.42,26.98,29.84,31.98,27.64,24.15,24.55,23.23,23.98,37.06,32.08,25.92,24.92,21.7,21.71,22.2
2017-01-15,22.83,19.83,17.43,17.26,16.96,15.67,19.57,20.01,21.7,22.91,23.06,23.68,23.34,23.16,23.18,23.3,22.15,33.79,49.18,25.33,23.9,21.7,19.35,17.71
2017-01-16,23.05,19.99,18.7,18.99,20.6,21.78,24.18,24.75,25.05,25.25,24.68,25.12,25.59,25.45,25.57,25.11,26.01,39.38,39.96,29.0,26.44,25.04,23.77,22.71
2017-01-17,20.46,19.79,19.68,19.4,19.83,21.42,25.89,26.01,26.14,25.21,26.68,26.68,27.06,27.23,27.94,27.92,27.98,43.64,47.56,35.5,32.01,25.83,24.36,23.53
2017-01-18,21.68,20.44,20.29,20.41,21.08,23.37,30.54,28.67,28.29,28.52,29.62,29.58,29.11,28.7,27.75,26.77,26.52,35.88,32.84,26.55,25.63,24.86,23.04,21.54
2017-01-19,20.14,17.37,16.88,16.79,18.54,22.88,33.75,33.14,30.71,28.57,28.44,28.49,30.24,30.25,31.57,31.89,30.98,48.98,43.26,29.64,28.24,25.24,20.15,13.28
2017-01-20,11.95,8.93,7.81,8.19,13.32,18.84,29.02,25.99,25.86,27.61,28.68,29.81,32.1,33.27,34.77,34.75,34.0,49.36,40.14,25.83,24.4,23.42,19.69,16.97
2017-01-21,17.88,16.64,14.26,13.75,15.27,17.36,20.46,21.68,21.68,23.36,24.75,25.54,26.12,27.24,26.35,25.66,25.3,33.91,30.69,23.93,22.68,21.65,18.82,16.83
2017-01-22,14.55,10.29,8.43,8.78,8.61,8.8,19.39,20.35,21.44,22.91,23.84,23.78,23.78,23.98,23.33,23.19,23.84,34.86,38.65,29.88,26.03,25.0,23.59,23.11
2017-01-23,21.42,19.97,20.1,19.69,20.5,25.0,41.52,39.89,31.66,28.52,26.65,25.66,26.63,26.52,29.34,27.32,26.46,39.9,33.2,26.13,24.7,24.59,18.44,15.8
2017-01-24,5.9,5.58,5.86,5.8,6.6,15.06,25.17,24.98,23.72,25.87,23.82,25.69,28.34,31.03,36.29,35.56,34.97,49.19,32.99,26.36,24.06,22.29,19.56,18.06
2017-01-25,17.23,17.04,17.3,17.85,19.24,20.14,33.45,29.49,27.26,27.58,25.61,26.77,25.02,25.19,24.26,24.33,24.16,39.02,36.01,27.52,27.49,24.87,23.0,22.8
2017-01-26,19.53,19.22,19.23,19.54,20.32,23.0,42.64,35.03,29.8,25.77,25.0,23.9,23.41,22.78,22.28,22.0,22.09,28.74,31.96,29.68,28.03,25.29,23.01,22.73
2017-01-27,21.54,20.82,20.77,21.34,22.23,23.36,44.05,33.56,27.8,25.99,24.71,24.37,24.92,24.27,23.07,21.36,21.35,26.84,28.92,27.21,25.05,23.7,23.41,22.5
2017-01-28,22.92,21.38,20.52,20.45,20.44,22.99,26.99,31.29,30.48,30.6,29.16,25.02,22.16,21.15,20.4,19.95,20.29,30.73,34.85,28.07,24.73,23.96,22.85,22.93
2017-01-29,20.07,19.21,19.28,19.5,19.5,20.26,26.32,31.05,31.63,28.32,26.6,22.24,20.96,20.21,19.75,19.61,20.05,30.24,37.45,28.08,25.45,24.86,22.07,22.11
2017-01-30,19.19,18.89,19.11,19.63,20.28,22.96,38.15,35.53,28.55,27.11,24.06,22.55,23.96,23.32,23.43,22.92,22.54,28.34,30.73,25.21,23.83,23.8,18.61,17.1
2017-01-31,14.96,14.72,15.31,17.4,18.56,21.93,33.46,26.21,23.84,24.69,23.56,24.34,24.57,25.91,26.33,23.9,25.0,36.37,32.55,23.73,24.81,24.08,19.15,17.72
2017-02-01,12.24,11.11,12.01,15.08,17.15,19.47,28.19,24.62,24.2,25.45,25.92,29.29,30.81,33.7,36.22,34.97,33.3,40.3,43.81,30.04,25.66,24.45,21.32,20.29
2017-02-02,17.92,17.49,17.48,17.75,18.67,20.38,26.84,26.82,26.45,27.46,28.41,30.05,31.18,33.3,33.69,32.71,33.42,40.17,49.17,34.43,29.94,28.13,24.15,22.81
2017-02-03,21.13,20.6,18.76,18.81,19.55,24.88,46.27,37.29,35.34,28.88,25.31,24.37,24.38,24.67,24.39,23.34,23.43,36.24,42.96,26.63,25.14,25.04,23.13,22.64
2017-02-04,21.62,20.5,20.5,20.07,20.08,20.97,23.1,24.89,27.64,34.49,27.22,25.51,25.17,24.66,23.0,22.42,22.43,30.04,33.3,24.35,23.91,22.83,19.3,18.16
