date,kind,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,dwpc,16.72,17.22,17.22,17.22,16.72,16.86,17.11,17.22,17.78,18.03,18.28,18.89,18.89,18.89,18.89,17.22,17.22,17.78,18.28,17.78,17.78,17.78,18.58,18.89
2017-01-01,relh,96.88,100.0,96.55,96.55,96.88,98.44,100.0,96.55,96.9,98.45,93.29,87.14,81.41,73.59,71.41,64.31,70.87,81.27,89.81,93.26,93.26,93.26,96.58,96.93
2017-01-01,sped,3.36,2.39,2.21,0.27,1.95,3.45,2.88,4.19,2.65,2.39,2.74,3.18,4.6,2.48,1.42,3.18,5.66,7.78,7.34,3.72,4.42,4.69,5.26,4.76
2017-01-01,tmpc,17.22,17.22,17.78,17.78,17.22,17.11,17.11,17.78,18.28,18.28,19.39,21.11,22.22,23.89,24.39,24.39,22.78,21.11,20.0,18.89,18.89,18.89,19.14,19.39
2017-01-02,dwpc,20.0,21.11,21.72,21.86,21.72,21.72,21.52,21.52,21.72,14.8,15.0,15.0,12.78,11.72,11.11,11.11,10.0,11.11,11.11,11.11,11.72,11.11,12.22,12.78
2017-01-02,relh,98.14,98.16,96.99,96.88,93.77,93.77,92.62,92.62,90.97,91.97,86.77,75.74,55.06,49.66,46.27,46.27,44.29,58.74,67.29,69.46,75.2,80.67,83.46,86.56
2017-01-02,sped,4.6,5.42,7.78,11.17,14.33,11.4,11.58,15.47,13.22,16.82,8.23,5.48,9.91,11.32,5.93,8.34,8.14,6.72,4.87,4.42,3.98,3.8,5.13,6.46
2017-01-02,tmpc,20.3,21.42,22.22,22.39,22.78,22.78,22.78,22.78,23.28,16.11,17.22,19.39,22.22,22.78,23.28,23.28,22.78,19.39,17.22,16.72,16.11,14.39,15.0,15.0
2017-01-03,dwpc,12.22,11.72,11.72,11.11,10.61,10.0,10.61,11.72,13.28,11.72,10.0,7.22,2.78,3.89,2.22,3.89,3.89,4.39,4.39,5.61,6.72,7.22,6.11,5.61
2017-01-03,relh,86.82,93.29,96.76,92.92,96.73,92.86,92.89,90.29,83.29,65.56,47.23,35.6,24.43,24.56,22.64,26.42,28.25,33.39,35.76,40.45,50.03,66.72,66.24,71.19
2017-01-03,sped,3.54,0.8,1.86,1.86,0.8,2.3,5.13,6.37,9.38,11.23,11.69,14.33,15.92,12.65,13.36,10.62,9.73,6.55,6.55,8.49,13.89,14.15,15.13,15.04
2017-01-03,tmpc,14.39,12.78,12.22,12.22,11.11,11.11,11.72,13.28,16.11,18.28,21.72,23.28,24.39,25.61,25.0,24.39,23.28,21.11,20.0,19.39,17.22,13.28,12.22,10.61
2017-01-04,dwpc,4.39,3.89,3.89,3.28,3.28,2.78,2.78,2.78,2.78,3.89,3.89,4.39,5.61,5.61,5.61,6.11,6.11,6.11,6.11,7.22,7.5,7.22,7.78,8.28
2017-01-04,relh,70.95,73.85,76.4,73.18,78.66,73.37,73.37,73.37,70.82,68.51,65.75,63.24,63.98,61.69,59.71,63.86,66.24,71.28,71.28,76.94,84.46,86.33,86.06,89.04
2017-01-04,sped,15.91,14.42,13.28,14.18,11.92,11.96,12.12,13.28,13.71,10.35,10.35,10.35,7.86,4.98,2.3,1.86,3.01,4.69,5.22,1.15,1.33,4.42,4.6,2.87
2017-01-04,tmpc,9.39,8.28,7.78,7.78,6.72,7.22,7.22,7.22,7.75,9.39,10.0,11.11,12.22,12.78,13.28,12.78,12.22,11.11,11.11,11.11,10.0,9.39,10.0,10.0
2017-01-05,dwpc,8.28,7.78,7.78,8.28,8.28,8.89,8.89,8.69,8.84,9.26,9.39,10.0,10.0,10.0,10.61,11.72,11.72,11.11,10.86,9.39,9.14,7.25,5.5,4.39
2017-01-05,relh,89.04,86.06,82.62,82.68,79.4,82.76,82.76,81.64,81.11,82.5,74.27,77.38,77.38,78.24,80.6,90.29,86.77,86.71,85.29,79.85,84.5,87.98,83.5,82.19
2017-01-05,sped,4.6,1.06,3.12,0.74,0.53,0.0,1.95,3.29,3.86,6.13,5.66,8.05,8.58,9.97,8.93,9.47,7.61,10.08,9.69,18.02,18.06,19.36,18.78,17.97
2017-01-05,tmpc,10.0,10.0,10.61,11.11,11.72,11.72,11.72,11.72,11.97,12.15,13.89,13.89,13.89,13.72,13.89,13.28,13.89,13.28,13.28,12.78,11.66,9.14,8.14,7.22
2017-01-06,dwpc,3.89,3.28,2.22,1.72,2.22,1.11,0.61,0.61,0.61,0.2,0.0,0.0,-0.61,-0.46,-0.61,-1.11,-1.11,-2.78,-4.39,-5.0,-5.61,-6.72,-6.72,-6.72
2017-01-06,relh,79.36,78.66,72.99,73.45,78.8,82.08,87.36,89.09,85.64,83.17,81.93,88.33,84.49,85.45,88.27,85.11,81.46,75.26,66.72,66.06,65.92,65.66,68.67,71.25
2017-01-06,sped,17.25,16.36,16.0,16.24,17.76,19.86,20.12,17.69,16.9,17.71,16.63,15.97,15.67,17.12,16.23,18.59,17.74,19.41,16.56,18.82,16.53,17.88,18.4,16.01
2017-01-06,tmpc,7.22,6.72,6.72,6.11,5.61,3.89,2.5,2.22,2.78,2.78,2.78,1.72,1.72,1.72,1.11,1.11,1.72,1.11,1.11,0.61,0.0,-1.11,-1.72,-2.22
2017-01-07,dwpc,-7.78,-7.78,-8.28,-8.28,-8.28,-8.89,-8.89,-8.89,-8.89,-9.39,-9.39,-10.0,-10.0,-10.0,-10.61,-10.61,-10.61,-9.39,-9.39,-9.39,-8.28,-8.28,-8.28,-7.78
2017-01-07,relh,71.04,71.04,71.53,71.53,71.53,68.2,70.81,74.15,68.2,57.93,53.38,44.89,39.99,35.54,31.33,30.03,30.03,38.93,40.34,41.96,49.55,51.37,53.7,58.36
