date,fuel,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,coal,17206.7,16601.1,15899.8,15370.7,15134.3,14422.3,13904.3,14064.3,12772.5,13382.1,15173.8,15616.9,15201.4,14518.8,13287.0,13042.2,12944.7,14315.8,14882.5,13086.2,12240.6,11680.6,10697.5,9120.6
2017-01-01,gas,4915.5,4639.2,4582.9,4573.6,4807.7,5199.8,5560.6,5633.6,5888.8,6932.8,7033.8,7052.5,6794.4,6725.3,6701.8,6837.2,7266.2,7504.7,7357.1,6956.8,5683.0,5129.7,3972.2,3863.9
2017-01-01,hydro,35.0,34.8,34.7,34.8,34.5,35.6,34.6,31.1,45.1,111.0,32.0,56.1,64.2,64.0,37.9,80.4,110.3,158.2,61.9,61.5,38.3,34.3,34.3,34.3
2017-01-01,nuclear,5111.5,5111.6,5111.8,5111.7,5112.4,5111.5,5111.9,5111.3,5111.4,5111.7,5111.8,5111.9,5112.4,5111.6,5111.3,5111.4,5110.7,5110.5,5109.5,5110.1,5110.2,5109.8,5109.9,5110.0
2017-01-01,other,59.7,59.6,59.6,59.6,58.9,58.1,59.0,56.3,55.3,59.2,59.4,58.9,59.2,59.2,58.2,58.0,57.8,58.2,58.1,58.3,57.3,58.1,57.0,58.0
2017-01-01,solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,94.4,356.6,441.0,464.7,469.1,469.1,470.0,426.4,271.2,36.3,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,wind,2144.8,2303.6,2590.0,2747.0,2754.5,3038.2,3823.3,4430.6,6017.9,5102.9,3977.6,3837.6,4830.5,5602.5,6674.8,6722.6,6683.4,6349.5,7871.5,9516.9,10893.3,11213.2,12046.3,12089.3
2017-01-02,coal,9641.0,9610.3,9587.6,8774.4,8476.9,8877.3,9154.4,10190.9,10907.3,12490.7,14115.5,14527.2,14876.8,14830.5,15022.3,15461.1,15881.1,16444.5,16725.4,16063.6,15469.1,14740.3,12767.0,10805.9
2017-01-02,gas,3845.8,3621.3,3580.3,3450.3,3682.2,3870.8,4510.8,4578.9,4668.2,5044.0,5186.3,5762.9,6488.4,6789.5,6860.1,7637.6,8045.7,9073.9,9017.2,7766.6,6538.4,4970.6,4328.9,3981.1
2017-01-02,hydro,34.4,34.2,29.4,29.2,30.1,37.5,107.7,57.3,82.4,82.7,83.3,83.6,86.6,87.5,88.5,112.2,115.5,188.7,189.2,183.6,77.9,75.9,48.6,30.1
2017-01-02,nuclear,5110.5,5109.4,5109.3,5108.5,5110.5,5109.6,5109.6,5109.3,5109.1,5109.7,5109.0,5110.0,5110.5,5110.1,5111.1,5110.8,5110.3,5109.7,5109.5,5109.4,5109.2,5109.6,5109.6,5109.7
2017-01-02,other,51.5,51.0,51.2,50.8,50.1,43.2,47.4,56.8,54.4,53.4,49.6,52.3,53.7,55.0,54.3,55.9,54.9,55.9,54.9,54.5,55.4,55.2,53.4,54.3
2017-01-02,solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,124.2,410.6,473.2,494.3,480.7,486.9,460.9,394.9,266.7,39.7,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-02,wind,9914.3,8961.6,8458.8,9437.8,10257.7,10485.9,10689.9,10724.8,10680.3,9494.2,9066.8,8880.7,8045.5,8152.5,8191.0,7052.3,6193.4,5000.0,6263.2,7795.9,8682.9,9547.9,10022.2,9989.8
2017-01-03,coal,9496.1,9196.2,8793.7,8776.5,9929.2,11972.9,14114.6,15324.4,15228.7,15390.7,15924.7,16025.2,16191.4,16498.8,16825.1,16889.5,16960.7,17029.9,17011.9,17232.8,16951.6,16865.5,16736.5,16623.1
2017-01-03,gas,3864.8,3799.8,3660.5,3826.2,4129.4,4966.1,6715.5,7239.3,7467.1,7254.6,7828.1,8823.9,9493.5,9940.5,10374.5,10463.8,11050.8,12125.5,12698.9,11375.8,10718.4,9888.3,8877.6,8057.7
2017-01-03,hydro,30.9,30.4,30.4,30.5,33.9,42.3,115.9,64.0,87.3,87.4,96.6,87.5,87.8,85.8,84.6,104.6,109.3,211.3,203.2,202.6,97.0,68.4,31.9,34.2
2017-01-03,nuclear,5108.8,5109.3,5109.2,5109.8,5109.9,5109.8,5108.7,5109.0,5109.8,5109.6,5109.0,5109.2,5108.7,5108.6,5107.9,5108.6,5111.6,5108.1,5108.2,5108.8,5109.3,5107.9,5108.6,5108.1
2017-01-03,other,54.1,53.2,53.4,52.8,51.9,51.8,52.1,52.3,51.4,52.4,50.8,50.9,51.5,48.4,50.3,51.4,51.3,105.3,81.5,58.4,58.1,58.6,58.2,56.8
2017-01-03,solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,99.6,309.8,373.4,384.4,414.2,465.2,462.7,413.1,257.9,39.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-03,wind,9690.0,8974.2,9172.2,9224.4,8548.9,7782.5,7615.9,7669.3,7457.8,7354.2,6592.4,5831.7,5329.7,4914.7,4464.6,4574.7,4654.5,4624.5,5694.6,6886.0,7427.8,6724.0,5784.2,4750.3
2017-01-04,coal,16586.9,16679.3,16750.1,16761.3,16630.0,15954.6,16599.8,17031.4,17273.1,17285.0,17158.6,17079.9,17126.5,16636.6,16068.4,15672.0,16323.4,16822.8,16970.6,16523.3,16348.2,15979.0,16122.0,14912.8
2017-01-04,gas,6994.3,6574.4,6712.5,7446.1,8743.5,12112.9,16806.4,19196.4,19083.5,18866.4,18611.3,18335.8,16745.6,16151.6,15048.5,13938.1,13477.3,14648.6,15153.9,14093.2,13694.1,12314.8,9556.0,7711.5
2017-01-04,hydro,61.5,36.7,35.4,35.5,35.6,43.9,139.5,167.4,191.2,110.9,86.2,84.0,84.3,85.3,85.0,77.7,89.9,173.1,198.1,196.7,118.1,89.4,71.7,34.9
2017-01-04,nuclear,5109.0,5109.8,5109.9,5113.9,5115.0,5115.7,5116.8,5116.2,5112.0,5112.1,5112.6,5112.0,5112.0,5111.5,5110.7,5112.2,5112.8,5112.7,5111.9,5111.9,5112.4,5112.7,5112.6,5112.2
2017-01-04,other,108.0,59.4,58.4,57.9,56.9,57.4,54.7,57.4,57.5,54.4,50.1,73.3,96.7,107.0,124.1,125.1,125.0,127.5,127.5,131.4,131.4,132.2,132.2,132.1
2017-01-04,solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.9,128.2,202.8,262.9,345.5,377.2,408.0,378.9,271.5,36.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-04,wind,4477.8,4343.6,4225.3,4219.0,4530.9,4699.1,3811.5,2707.2,2146.8,2039.0,2027.0,1993.3,2339.8,2781.0,3334.2,3848.0,4018.9,4922.8,7149.7,9082.4,9495.3,9909.3,9967.3,10447.2
2017-01-05,coal,14105.5,13979.6,14400.5,14364.9,15351.4,15604.7,16052.2,16351.3,16190.1,15669.1,15111.5,14367.9,14398.9,14561.2,14090.8,13422.4,14019.4,15519.8,17006.5,17334.7,17216.3,16727.3,16057.3,15116.0
2017-01-05,gas,7168.5,7099.2,7145.2,7244.1,8563.8,10811.6,13664.8,14428.1,13802.6,13457.8,12903.8,12679.3,12502.8,12015.7,11966.8,12419.6,13069.6,14476.7,15677.7,15330.9,15323.6,14950.1,13773.6,13970.3
