date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,23.23,21.82,20.16,20.0,20.24,21.45,24.35,24.06,25.48,24.94,28.0,25.06,23.71,23.25,24.0,23.22,22.94,41.99,35.0,24.97,24.28,23.22,20.19,17.92
2017-01-02,17.53,17.52,17.1,16.57,15.83,15.82,15.9,17.07,18.52,21.8,23.52,24.07,24.8,24.14,24.89,22.32,23.42,50.78,30.07,24.85,24.12,22.91,18.23,14.76
2017-01-03,11.05,9.13,9.63,13.02,16.96,21.02,24.01,23.94,26.65,24.96,25.04,25.09,25.72,25.21,25.31,23.8,24.18,40.88,36.79,27.27,25.13,24.91,24.28,21.9
2017-01-04,21.43,20.87,21.01,22.27,22.85,24.74,44.1,35.11,30.06,28.21,26.02,24.83,24.8,23.64,22.87,22.35,23.67,34.18,31.54,27.68,24.06,23.39,22.34,20.22
2017-01-05,19.53,19.44,19.32,19.98,20.97,22.83,34.24,31.71,26.52,25.16,23.72,23.44,23.1,23.03,22.53,22.02,22.5,33.37,29.28,26.19,25.38,23.46,22.94,23.42
2017-01-06,20.31,19.99,20.04,20.54,21.05,24.07,33.57,35.49,31.2,29.26,33.74,29.69,27.06,25.59,24.81,24.08,25.56,55.04,48.8,38.54,34.96,32.39,26.62,24.12
2017-01-07,27.87,26.83,26.59,26.86,27.86,34.07,43.93,48.0,96.27,74.89,43.82,35.01,27.83,24.02,22.89,22.45,23.74,35.75,40.77,34.35,28.41,26.27,24.04,21.7
2017-01-08,20.91,20.54,20.39,20.08,20.6,21.69,25.05,37.47,32.34,28.35,24.75,23.29,22.43,20.25,19.35,18.96,18.9,28.28,27.26,25.41,22.89,22.23,20.37,19.65
2017-01-09,18.0,17.71,17.6,17.71,17.25,19.33,33.94,35.11,23.34,21.54,21.28,21.68,21.13,21.05,19.44,17.58,16.53,24.72,19.63,17.62,16.92,15.65,11.18,7.44
2017-01-10,5.89,5.54,4.99,5.5,6.49,11.22,18.36,21.86,21.88,25.2,23.76,22.88,23.24,25.09,23.08,24.43,26.37,44.35,33.7,24.08,22.36,21.82,18.84,17.71
2017-01-11,3.78,2.21,1.93,1.84,2.53,6.11,18.28,19.01,19.66,21.41,22.3,23.04,22.14,22.67,21.45,21.44,20.68,29.69,26.28,19.42,19.39,17.51,16.46,8.93
2017-01-12,6.61,5.54,6.08,9.54,14.87,18.62,23.21,24.76,24.49,24.58,24.19,27.55,25.03,27.46,25.05,25.04,26.13,43.44,31.26,23.91,22.38,21.39,21.46,20.53
2017-01-13,19.54,18.53,18.12,18.03,18.58,21.0,24.99,24.62,23.63,24.25,26.06,25.82,25.4,26.23,26.02,24.75,25.44,37.87,30.98,25.22,23.83,23.48,21.7,21.45
2017-01-14,25.91,22.27,21.13,20.51,20.5,20.75,22.15,22.96,24.43,26.98,29.84,31.99,27.65,24.12,24.53,23.23,23.99,37.06,32.09,25.93,24.93,21.7,21.72,22.21
2017-01-15,22.83,19.83,17.43,17.26,16.96,15.68,19.58,20.02,21.7,22.88,23.01,23.28,22.97,22.81,22.49,22.92,20.71,33.31,48.55,24.16,22.48,20.87,19.28,17.62
2017-01-16,23.05,20.0,18.7,18.99,20.61,21.78,24.19,24.49,24.68,24.82,24.03,24.42,24.49,24.54,24.66,24.43,25.21,38.14,39.41,28.57,26.13,24.65,23.77,22.71
2017-01-17,20.46,19.79,19.68,19.4,19.83,21.43,25.74,24.14,24.33,24.08,24.09,23.73,24.15,23.75,23.76,23.74,24.59,41.14,45.05,33.13,30.43,25.33,24.11,23.47
2017-01-18,21.67,20.43,20.29,20.4,21.06,23.35,30.52,27.35,26.91,26.81,27.93,26.85,26.3,25.21,23.92,23.38,22.88,30.44,28.62,23.87,23.29,23.04,22.13,21.08
2017-01-19,17.87,15.59,14.44,14.59,17.01,20.12,27.66,26.86,24.06,23.24,21.57,20.8,20.91,20.86,20.07,20.55,21.22,39.65,34.29,22.75,22.28,20.34,17.23,10.58
2017-01-20,10.48,7.63,6.69,6.75,12.1,17.25,26.31,24.26,23.89,23.77,22.62,22.08,22.68,23.06,23.07,23.05,23.11,36.37,31.04,22.23,21.6,20.67,18.21,15.47
2017-01-21,16.72,15.59,13.38,12.99,14.36,16.51,19.82,20.91,20.52,21.93,21.9,22.1,20.85,21.16,19.81,19.87,19.35,27.27,26.61,21.07,19.84,19.53,17.34,15.44
2017-01-22,12.6,8.64,6.85,7.2,7.06,6.94,17.06,18.49,20.06,21.47,21.71,22.3,22.06,22.38,21.83,21.92,23.14,34.91,38.7,29.93,26.08,25.03,23.61,23.13
2017-01-23,21.42,19.97,20.1,19.69,20.5,25.0,41.71,38.81,28.39,26.21,24.44,23.39,22.45,22.13,22.99,22.26,22.23,35.56,29.44,23.3,21.9,21.03,16.75,14.0
2017-01-24,3.89,3.68,4.15,4.36,5.17,12.96,21.79,22.37,21.34,21.63,19.14,19.28,19.63,20.18,21.74,22.08,23.17,37.27,28.03,22.23,21.06,20.21,18.67,17.35
2017-01-25,16.74,16.63,17.05,17.62,19.15,20.12,32.04,28.46,26.59,26.24,24.6,25.07,23.26,23.22,22.14,22.35,22.32,38.76,35.99,27.52,27.49,24.87,23.01,22.8
2017-01-26,19.53,19.22,19.23,19.54,20.31,22.94,42.49,34.91,29.7,25.7,24.92,23.77,23.26,22.38,21.76,21.47,21.95,28.59,31.85,29.57,27.95,25.24,23.0,22.74
2017-01-27,21.54,20.83,20.77,21.34,22.23,23.32,43.99,33.46,27.74,25.96,24.71,24.0,24.08,22.93,21.78,21.07,21.09,25.91,28.71,27.09,24.97,23.62,23.37,22.46
2017-01-28,22.84,21.32,20.44,20.33,20.29,22.88,26.93,31.23,30.41,30.52,29.1,24.9,21.42,20.46,19.83,19.53,20.0,30.63,34.78,27.92,24.67,23.9,22.85,22.92
2017-01-29,20.06,19.18,19.28,19.49,19.48,20.21,25.74,30.76,31.27,28.15,26.47,22.08,20.49,19.91,19.3,19.35,19.88,30.22,37.43,28.04,25.45,24.86,22.07,22.09
2017-01-30,19.19,18.89,19.11,19.63,20.28,22.95,38.02,35.48,28.57,27.01,24.06,22.55,22.27,21.41,21.37,20.96,20.89,26.06,29.05,23.91,23.19,23.11,18.59,17.11
2017-01-31,14.95,14.71,15.3,17.39,18.55,21.79,32.97,25.56,23.87,23.7,22.62,22.8,22.08,22.47,22.38,21.17,21.5,32.29,31.38,21.92,22.72,21.58,18.9,17.61
2017-02-01,12.04,10.95,11.86,14.97,17.06,19.1,26.83,23.47,23.04,24.51,24.43,26.09,26.38,28.56,29.18,27.05,26.3,31.91,36.48,25.2,23.09,22.67,20.6,20.07
2017-02-02,17.85,17.45,17.44,17.71,18.62,20.1,25.17,25.69,24.78,25.6,25.1,25.49,25.87,26.24,26.06,27.0,27.48,33.88,44.37,30.5,27.45,25.89,24.0,22.77
2017-02-03,21.15,20.6,18.75,18.8,19.2,24.48,45.12,36.71,34.96,28.39,24.8,23.85,23.78,23.85,23.22,22.12,22.02,33.86,38.72,24.71,24.2,24.62,22.76,22.52
2017-02-04,21.62,20.5,20.5,20.07,20.08,20.97,22.88,24.64,27.57,33.99,26.72,24.31,23.68,22.94,21.14,20.65,20.56,27.4,30.86,22.8,21.87,20.86,18.0,17.14
2017-02-05,15.41,13.41,12.46,13.01,16.22,16.61,20.01,20.04,21.52,22.99,22.87,24.03,24.4,22.56,21.85,21.71,20.14,26.26,40.26,23.52,20.79,19.97,15.19,8.25
2017-02-06,4.9,4.29,4.16,4.41,4.82,10.5,22.0,22.33,22.26,23.48,22.73,23.26,23.24,22.65,24.01,23.89,23.95,30.47,43.72,22.98,21.29,19.31,14.9,7.36
2017-02-07,6.01,4.66,4.16,4.99,6.14,14.25,21.88,21.89,23.09,24.02,23.24,26.25,25.29,28.82,30.85,33.95,30.54,34.95,35.54,25.87,23.05,20.94,16.59,14.58
2017-02-08,11.48,9.01,7.13,7.47,10.47,15.29,20.98,21.25,21.39,22.09,22.89,25.83,27.24,31.99,37.74,43.63,34.96,33.15,38.53,26.55,26.01,22.66,19.91,20.21
2017-02-09,17.56,17.05,17.03,17.02,17.74,20.1,33.02,28.37,26.42,24.42,22.94,22.48,22.96,22.25,22.01,21.04,20.37,21.7,25.5,20.02,17.92,16.72,10.68,8.69
2017-02-10,6.69,6.33,5.34,6.12,7.11,10.94,19.58,19.74,20.11,21.27,21.63,21.34,22.8,22.59,23.38,22.6,21.24,24.55,26.1,18.86,17.23,14.84,10.8,9.3
2017-02-11,9.83,6.48,4.83,6.04,6.25,10.7,17.16,20.44,21.42,22.03,22.72,22.9,25.66,31.75,30.17,30.9,29.7,35.74,39.17,25.11,22.56,20.52,17.26,13.98
2017-02-12,13.85,11.32,6.26,6.22,4.69,4.82,10.43,11.5,13.55,15.41,17.59,17.22,19.62,21.1,23.21,21.54,21.2,22.84,26.28,22.39,20.51,19.85,17.01,17.03
2017-02-13,16.72,16.06,15.81,16.55,17.61,19.96,22.89,21.35,22.16,23.11,23.04,22.41,21.81,22.03,21.69,21.16,21.18,23.32,38.96,26.78,23.15,22.95,20.47,20.12
2017-02-14,17.72,16.74,15.78,16.47,17.13,19.36,23.83,24.09,22.26,21.7,21.2,19.78,18.44,17.85,16.2,16.31,16.89,20.35,33.89,24.79,23.79,22.36,19.4,20.11
2017-02-15,18.13,17.62,17.57,17.55,18.12,19.99,28.46,27.64,24.61,23.87,22.89,22.42,21.37,20.32,19.42,19.38,20.3,22.45,38.24,28.43,26.64,23.93,21.6,19.99
2017-02-16,18.94,17.78,17.51,17.41,17.94,21.08,36.69,32.59,25.12,23.24,22.95,22.57,22.43,21.23,20.66,20.0,19.21,20.32,25.26,20.74,19.7,16.75,13.27,10.25
2017-02-17,8.77,8.3,7.84,7.86,9.5,11.56,21.06,21.76,22.01,22.08,21.76,21.25,20.56,21.0,20.53,20.3,20.95,22.46,27.95,20.84,20.46,18.86,14.85,12.28
2017-02-18,14.89,14.51,14.93,14.94,17.11,18.74,18.97,20.56,21.78,23.96,25.46,25.24,26.93,32.71,32.38,26.96,25.68,23.06,26.23,21.27,21.25,19.72,16.22,13.52
2017-02-19,13.33,10.46,9.45,9.81,12.15,12.33,17.29,18.13,19.85,19.98,20.95,21.55,21.72,22.57,23.49,23.42,23.97,24.94,46.53,23.32,22.31,21.51,18.91,17.6
2017-02-20,17.26,16.05,16.05,16.14,17.53,18.57,22.01,20.72,20.82,21.63,21.71,21.74,21.87,22.35,23.51,23.35,23.47,27.14,53.19,33.79,23.95,22.15,20.69,19.03
