date,kind,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,dwpc,9.64,10.17,10.37,9.29,9.29,10.82,10.92,11.42,11.31,13.54,12.38,12.32,13.48,13.46,14.04,13.84,13.52,13.61,13.59,13.59,14.01,13.98,15.42,16.03
2017-01-01,relh,85.31,88.19,87.85,84.34,81.76,92.1,95.51,95.96,94.78,89.02,75.57,73.29,64.84,64.47,57.86,55.42,55.43,61.7,69.94,75.3,81.38,82.99,89.78,90.83
2017-01-01,sped,2.93,2.18,3.49,1.11,2.45,2.37,3.83,3.75,2.07,3.41,3.57,2.97,5.63,2.89,2.66,3.81,4.64,5.12,5.87,4.56,5.02,6.71,8.8,8.73
2017-01-01,tmpc,12.29,12.19,12.48,12.05,12.44,12.1,11.61,12.04,12.13,15.43,16.93,17.53,20.7,20.76,23.09,23.48,23.21,21.52,19.39,18.14,17.29,16.9,17.12,17.55
2017-01-02,dwpc,17.58,18.54,18.73,19.02,18.79,15.87,15.25,15.74,15.45,13.13,9.94,7.59,6.66,5.41,4.41,3.96,3.34,3.57,3.61,4.88,4.75,5.34,5.73,6.3
2017-01-02,relh,95.7,97.6,97.35,96.8,96.58,91.73,88.03,94.07,90.82,82.93,57.72,44.76,36.8,32.46,29.43,28.66,28.31,33.79,39.61,50.14,54.0,63.15,66.67,70.4
2017-01-02,sped,8.24,8.7,10.19,10.24,10.58,12.36,9.16,9.5,8.21,8.24,8.8,8.53,10.94,11.26,7.89,7.93,8.92,6.15,3.65,4.04,4.52,5.67,5.39,6.19
2017-01-02,tmpc,18.29,18.93,19.17,19.55,19.35,17.25,17.25,16.72,16.99,16.18,19.22,21.36,23.04,23.72,24.17,24.37,23.76,21.21,18.32,15.47,14.18,12.29,11.84,11.61
2017-01-03,dwpc,5.91,6.0,5.84,5.83,5.67,5.3,5.23,5.21,5.9,5.5,4.4,1.7,-0.13,0.24,0.0,0.4,-0.27,0.41,0.69,1.17,1.63,2.04,2.14,1.78
2017-01-03,relh,70.47,74.33,74.52,75.27,77.28,78.23,80.1,79.65,70.05,58.77,41.51,37.72,28.77,28.36,27.7,28.48,28.27,31.93,40.1,39.55,43.24,49.88,53.56,56.44
2017-01-03,sped,4.52,2.62,3.9,3.25,2.86,2.46,3.93,4.64,10.35,11.21,12.65,14.83,16.37,14.04,13.02,11.24,11.27,9.66,10.08,10.13,12.73,13.12,13.5,12.97
