date,accum_confirm,new_confirm,infect_rate,accum_death,new_death,fatal_rate
2020-01-23,0,0,0.0,0,0,0.0
2020-01-24,0,0,0.0,0,0,0.0
2020-01-25,0,0,0.0,0,0,0.0
2020-01-26,0,0,0.0,0,0,0.0
2020-01-27,0,0,0.0,0,0,0.0
2020-01-28,0,0,0.0,0,0,0.0
2020-01-29,1,1,0.0,0,0,0.0
2020-01-30,1,0,0.0,0,0,0.0
2020-01-31,1,0,0.0,0,0,0.0
2020-02-01,1,0,0.0,0,0,0.0
2020-02-02,1,0,0.0,0,0,0.0
2020-02-03,1,0,0.0,0,0,0.0
2020-02-04,1,0,0.0,0,0,0.0
2020-02-05,1,0,0.0,0,0,0.0
2020-02-06,1,0,0.0,0,0,0.0
2020-02-07,1,0,0.0,0,0,0.0
2020-02-08,1,0,0.0,0,0,0.0
2020-02-09,1,0,0.0,0,0,0.0
2020-02-10,1,0,0.0,0,0,0.0
2020-02-11,1,0,0.0,0,0,0.0
2020-02-12,1,0,0.0,0,0,0.0
2020-02-13,1,0,0.0,0,0,0.0
2020-02-14,1,0,0.0,0,0,0.0
2020-02-15,1,0,0.0,0,0,0.0
2020-02-16,1,0,0.0,0,0,0.0
2020-02-17,1,0,0.0,0,0,0.0
2020-02-18,1,0,0.0,0,0,0.0
2020-02-19,1,0,0.0,0,0,0.0
2020-02-20,1,0,0.0,0,0,0.0
2020-02-21,1,0,0.0,0,0,0.0
2020-02-22,1,0,0.0,0,0,0.0
2020-02-23,1,0,0.0,0,0,0.0
2020-02-24,1,0,0.0,0,0,0.0
2020-02-25,1,0,0.0,0,0,0.0
2020-02-26,1,0,0.0,0,0,0.0
2020-02-27,1,0,0.0,0,0,0.0
2020-02-28,1,0,0.0,0,0,0.0
2020-02-29,1,0,0.0,0,0,0.0
2020-03-01,1,0,0.0,0,0,0.0
2020-03-02,1,0,0.0,0,0,0.0
2020-03-03,1,0,0.0,0,0,0.0
2020-03-04,3,2,0.0,0,0,0.0
2020-03-05,4,1,0.0,0,0,0.0
2020-03-06,9,5,0.0,0,0,0.0
2020-03-07,17,8,0.0,0,0,0.0
2020-03-08,20,3,0.0,0,0,0.0
2020-03-09,20,0,0.0,0,0,0.0
2020-03-10,22,2,0.0,0,0,0.0
2020-03-11,27,5,0.0,0,0,0.0
2020-03-12,32,5,0.0,0,0,0.0
2020-03-13,45,13,0.01,0,0,0.0
2020-03-14,59,14,0.01,0,0,0.0
2020-03-15,74,15,0.01,0,0,0.0
2020-03-16,117,43,0.01,0,0,0.0
2020-03-17,170,53,0.02,0,0,0.0
2020-03-18,228,58,0.03,0,0,0.0
2020-03-19,288,60,0.04,0,0,0.0
2020-03-20,368,80,0.05,1,1,0.27
2020-03-21,429,61,0.05,1,0,0.23
2020-03-22,477,48,0.06,1,0,0.21
2020-03-23,590,113,0.07,1,0,0.17
2020-03-24,714,124,0.09,1,0,0.14
