date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,34.95,33.78,32.45,25.92,29.7,32.62,32.5,34.01,38.5,40.91,33.73,33.63,33.62,34.32,33.61,33.8,39.73,63.86,53.33,50.24,46.94,46.13,36.25,33.69
2017-01-02,33.87,33.79,32.99,32.82,32.82,33.75,33.81,35.07,42.85,51.24,43.73,46.57,43.69,45.94,43.66,49.76,57.86,71.8,66.24,62.88,52.08,43.38,41.66,33.9
2017-01-03,35.53,33.82,33.55,33.52,33.93,36.66,40.11,44.86,43.83,58.47,45.34,45.01,43.47,42.64,41.08,42.59,46.79,73.61,49.8,43.51,39.76,34.98,32.81,31.81
2017-01-04,29.39,19.41,14.07,14.07,29.43,32.01,37.52,41.61,38.35,38.83,40.76,37.21,34.11,33.57,33.59,36.97,41.01,49.75,40.99,41.46,39.36,38.08,36.76,33.51
2017-01-05,33.99,33.73,30.66,29.27,33.51,36.84,41.65,46.13,45.5,43.25,54.13,52.44,52.1,51.85,50.28,52.3,64.57,77.76,73.46,67.06,62.65,54.44,52.81,52.66
2017-01-06,42.79,43.23,38.19,37.51,44.22,45.72,52.29,59.34,56.47,58.5,66.66,62.84,62.57,58.8,57.66,57.1,69.45,94.24,92.75,78.15,68.95,60.74,58.52,51.91
2017-01-07,57.22,54.55,54.58,54.7,54.73,54.79,68.99,67.72,69.61,72.8,80.14,78.12,77.98,70.49,66.72,67.77,83.85,102.04,98.1,86.96,83.77,78.43,71.72,61.67
2017-01-08,60.18,57.18,55.72,55.13,56.22,60.45,62.82,64.52,66.16,74.5,77.59,74.84,66.94,65.07,66.49,66.24,75.71,93.3,92.99,91.32,83.63,72.59,70.35,64.09
2017-01-09,76.12,73.91,74.14,75.71,75.17,76.26,76.91,86.57,83.18,79.24,79.54,76.89,72.27,67.5,67.64,71.38,81.31,101.02,96.22,87.01,80.66,75.36,72.33,63.59
2017-01-10,63.49,58.73,57.44,58.19,57.43,63.19,81.78,93.55,73.5,71.69,59.6,54.58,46.52,46.35,44.79,44.13,46.6,59.43,55.12,46.66,45.31,44.28,42.39,35.46
2017-01-11,35.99,35.22,34.4,33.87,34.16,33.74,35.09,34.81,34.87,34.89,32.17,32.08,29.72,30.28,29.17,29.51,33.57,47.32,42.74,36.37,31.29,30.26,14.43,26.56
2017-01-12,13.54,10.34,3.54,3.46,6.21,16.36,26.45,26.48,26.48,26.72,26.86,26.65,28.24,25.78,25.32,25.29,36.34,47.98,44.69,35.7,29.27,25.23,20.04,14.24
2017-01-13,14.49,13.81,13.91,13.76,14.46,14.91,25.63,28.36,29.16,25.82,33.66,33.67,33.44,33.43,31.26,34.98,42.51,60.77,59.47,55.56,52.44,44.93,33.98,34.06
2017-01-14,29.92,29.72,27.39,27.4,29.77,30.44,35.48,32.39,38.56,44.97,44.5,40.72,38.96,38.03,35.3,35.46,40.51,61.03,54.71,44.56,40.83,38.66,33.22,34.83
2017-01-15,30.01,24.85,24.76,19.93,24.79,27.96,27.94,27.92,30.71,35.21,35.31,35.38,33.85,31.25,31.0,35.16,44.18,44.61,41.34,44.86,43.97,41.74,33.82,30.57
2017-01-16,40.98,40.15,40.95,40.34,39.38,41.55,43.31,44.9,45.57,45.61,46.79,46.16,43.35,43.32,42.99,41.51,71.51,61.81,57.44,46.6,49.51,44.09,37.21,37.52
2017-01-17,32.01,28.08,23.63,22.55,30.26,35.21,43.87,41.26,44.49,43.89,43.37,41.81,40.05,40.42,37.65,36.42,44.08,67.67,51.96,44.69,39.6,35.02,29.32,33.69
2017-01-18,19.68,14.31,14.32,14.17,14.4,26.86,35.25,34.76,34.63,34.6,33.78,33.24,32.0,31.2,30.66,30.02,33.51,47.09,38.52,30.19,29.84,29.35,26.17,19.35
2017-01-19,29.37,26.82,25.98,25.96,26.29,29.7,31.8,33.8,32.42,31.26,32.23,29.4,27.93,26.13,26.13,26.17,36.42,50.56,47.15,43.4,31.91,30.07,28.08,25.32
2017-01-20,26.64,26.06,25.95,25.97,27.06,29.54,38.21,36.33,34.79,34.4,30.6,30.59,28.04,29.0,28.6,27.65,29.6,45.65,38.37,31.5,31.7,30.64,26.16,23.26
2017-01-21,26.43,24.48,24.33,24.19,23.8,24.37,24.43,25.41,28.66,29.97,29.95,31.41,28.78,25.32,24.96,25.37,30.96,45.69,34.13,29.73,25.34,28.28,26.21,24.12
2017-01-22,23.69,20.73,20.56,20.84,20.57,20.78,22.91,24.06,27.61,28.01,28.2,30.52,31.21,28.39,28.09,27.99,34.03,47.74,47.93,39.49,34.13,29.56,28.48,24.53
2017-01-23,25.87,25.41,24.2,24.22,25.39,25.94,29.54,30.26,31.09,34.85,34.83,34.21,32.78,31.92,29.92,31.27,37.89,58.01,51.03,34.07,30.34,29.19,28.62,24.66
2017-01-24,25.29,21.97,21.73,21.24,22.79,26.06,33.14,34.39,34.83,39.2,37.63,34.0,30.93,29.84,29.76,29.75,40.66,50.71,49.25,39.37,29.37,29.5,25.89,25.91
2017-01-25,29.92,28.28,26.77,27.74,26.25,28.34,34.26,33.19,30.23,29.29,27.57,27.4,26.12,25.66,25.96,26.18,28.16,42.58,39.86,31.22,28.74,27.34,25.0,24.73
2017-01-26,28.81,30.11,27.42,26.81,27.59,32.41,32.38,39.78,35.13,31.28,31.82,29.52,28.35,28.76,28.84,29.51,31.68,49.82,43.98,35.3,30.68,27.95,26.59,25.93
2017-01-27,27.72,26.35,25.05,25.04,26.25,27.91,30.66,35.27,34.25,32.78,33.87,32.77,30.76,30.74,30.09,31.46,32.56,51.73,45.95,35.97,32.71,31.11,30.68,30.23
2017-01-28,29.86,29.74,29.12,29.11,29.19,29.5,30.69,31.96,32.05,32.02,36.79,34.25,32.72,30.51,29.27,31.96,34.41,49.72,49.68,42.05,37.0,34.91,34.62,32.38
2017-01-29,34.02,30.3,29.85,30.56,31.03,30.75,30.13,25.12,34.43,34.35,31.82,32.11,32.62,30.87,30.9,32.06,37.21,53.29,49.18,44.94,40.5,35.94,41.46,31.83
2017-01-30,30.18,29.85,24.77,29.73,30.39,36.55,47.24,57.39,49.61,43.31,40.47,39.05,37.6,38.01,37.68,38.13,41.07,69.17,70.21,55.42,43.82,38.03,37.95,39.31
2017-01-31,43.96,41.81,41.68,42.39,41.56,46.7,53.95,59.37,53.87,47.96,43.12,41.64,39.65,39.64,39.35,39.93,41.05,55.54,53.12,43.67,40.11,39.26,37.24,32.46
2017-02-01,29.48,27.7,27.45,27.46,27.92,32.0,43.83,44.61,39.14,40.17,35.42,35.45,34.25,32.2,31.26,30.97,34.32,44.22,40.84,41.4,34.4,33.32,29.97,26.92
2017-02-02,28.81,26.61,26.53,26.58,26.75,33.87,44.37,47.29,39.36,36.04,39.05,38.85,38.66,35.5,36.11,37.68,40.98,53.64,53.61,49.34,43.15,40.24,38.76,34.92
2017-02-03,34.8,33.48,33.35,33.4,34.95,38.01,47.32,47.34,44.5,40.15,39.27,37.87,37.17,36.8,36.93,36.89,39.12,52.05,52.2,45.17,39.77,37.42,35.11,37.14
2017-02-04,32.69,27.06,27.16,28.28,28.37,29.95,33.33,34.9,38.34,38.74,35.17,33.12,32.83,32.79,32.57,32.64,35.78,59.95,53.18,51.69,39.79,34.96,32.67,30.39
2017-02-05,32.34,29.77,29.64,27.62,27.63,29.79,30.27,31.19,29.29,31.81,31.59,31.77,30.76,28.79,28.63,24.11,31.51,42.74,37.88,33.85,29.07,27.81,22.0,27.45
2017-02-06,24.47,22.17,20.75,20.92,26.32,28.06,34.91,37.66,37.55,36.32,35.84,35.46,34.09,33.22,33.0,33.83,39.63,107.02,104.85,89.72,73.02,37.53,32.13,88.48
2017-02-07,30.15,29.12,26.75,27.39,30.23,32.62,39.73,40.97,41.15,39.79,42.1,38.02,28.76,27.26,26.26,25.79,31.51,40.28,37.28,28.71,25.45,23.68,21.09,22.84
2017-02-08,22.73,19.51,16.34,14.72,18.96,24.08,30.49,32.68,26.42,25.48,28.38,28.23,25.29,23.77,23.49,23.55,25.76,35.63,39.26,35.2,32.25,24.83,20.69,21.41
2017-02-09,26.31,26.01,26.0,27.78,27.97,33.47,33.77,34.31,33.69,33.58,45.66,48.06,48.95,46.12,45.77,45.66,49.8,68.42,64.53,56.2,47.43,43.68,43.4,44.34
2017-02-10,49.41,43.75,40.97,41.73,47.13,55.16,72.66,68.06,62.57,57.77,50.38,47.37,44.31,44.05,43.63,43.87,45.43,55.91,60.01,51.17,47.82,49.18,46.3,47.35
2017-02-11,44.05,43.1,40.53,39.35,39.34,40.8,39.41,43.78,44.86,49.0,44.18,42.58,35.09,32.52,31.0,30.99,32.8,44.93,45.19,34.85,33.31,32.23,33.26,29.03
2017-02-12,29.9,30.77,31.19,30.31,31.08,29.94,29.67,28.35,30.18,30.72,33.12,33.75,36.25,32.67,30.9,30.57,31.1,43.29,46.64,30.63,30.19,27.6,25.7,21.72
2017-02-13,31.84,32.86,29.73,25.9,28.27,30.04,32.18,39.42,37.33,37.37,43.95,40.15,36.25,33.95,32.48,32.41,35.51,48.77,49.06,38.23,35.7,29.05,25.91,28.51
2017-02-14,39.59,36.44,35.82,36.42,36.15,41.67,45.61,45.93,42.7,41.83,37.51,34.75,33.92,33.35,32.59,32.61,33.46,45.09,45.91,40.34,36.02,33.61,33.38,31.35
2017-02-15,31.2,31.09,30.9,30.99,31.84,33.34,40.34,38.3,37.65,34.42,31.69,31.87,30.73,28.87,28.65,28.24,29.01,38.63,38.34,34.5,30.74,26.15,27.05,26.52
2017-02-16,23.86,20.48,19.4,21.74,17.87,24.32,28.6,31.86,32.86,33.22,36.7,32.41,30.19,28.59,27.24,28.19,28.37,33.95,44.89,34.84,32.99,28.84,29.37,30.28
2017-02-17,28.9,25.39,25.19,25.15,26.91,29.58,41.54,40.36,30.8,33.81,32.0,30.2,29.14,27.92,27.23,27.13,29.19,38.72,44.16,37.1,30.92,30.6,28.82,29.2
2017-02-18,29.16,24.65,22.52,23.07,23.63,25.48,26.52,26.08,28.17,28.34,30.11,27.53,24.53,22.13,21.04,20.89,22.44,30.43,36.21,27.57,23.64,22.0,20.82,20.35
2017-02-19,19.94,18.66,17.38,18.72,19.67,19.68,19.89,16.9,17.93,21.33,21.08,21.23,20.79,20.91,19.64,20.04,21.21,28.58,39.62,28.87,24.12,22.67,20.17,20.56
2017-02-20,22.18,21.27,22.56,22.58,23.81,24.73,24.57,22.44,24.01,24.3,26.1,25.36,25.11,25.07,22.21,23.67,24.7,31.08,47.09,46.19,38.07,27.16,26.08,21.77
