date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,2421.0,2335.1,2263.5,2217.0,2205.8,2231.1,2291.3,2330.8,2379.4,2430.2,2485.1,2508.1,2530.7,2537.1,2555.8,2606.2,2791.7,2951.3,2960.4,2921.6,2861.0,2773.6,2625.9,2475.1
2017-01-02,2361.0,2284.2,2253.6,2261.4,2305.2,2409.1,2552.0,2644.3,2748.1,2831.4,2880.6,2898.1,2888.2,2902.7,2913.0,2957.5,3134.3,3264.0,3204.2,3118.7,3008.3,2843.9,2612.1,2400.0
2017-01-03,2257.0,2171.8,2133.7,2140.5,2209.8,2401.3,2765.6,2992.1,3060.0,3108.6,3153.8,3171.0,3182.5,3182.5,3166.1,3194.0,3332.2,3403.9,3334.2,3234.7,3101.7,2904.5,2642.3,2411.5
2017-01-04,2260.9,2164.3,2123.1,2131.9,2199.4,2396.4,2750.7,2956.3,3009.8,3025.6,2999.4,2996.8,2990.0,2991.7,2985.7,2996.5,3156.6,3282.0,3233.5,3157.9,3068.6,2901.7,2674.1,2469.0
2017-01-05,2344.2,2277.2,2255.4,2269.2,2348.1,2559.3,2934.1,3152.0,3164.8,3144.2,3144.3,3104.7,3109.4,3108.9,3091.3,3158.7,3338.6,3482.7,3427.4,3352.0,3230.6,3062.7,2815.4,2592.9
2017-01-06,2446.3,2359.5,2323.9,2332.0,2397.3,2593.6,2929.1,3179.4,3245.0,3282.8,3299.8,3272.2,3208.0,3168.5,3159.6,3199.8,3335.6,3447.3,3374.7,3284.3,3176.6,3048.9,2872.7,2688.0
2017-01-07,2548.4,2464.0,2425.3,2413.9,2432.9,2511.7,2645.5,2801.4,2974.1,3088.0,3173.5,3256.5,3299.1,3296.1,3307.7,3335.6,3461.1,3573.3,3557.4,3462.8,3356.1,3213.7,3036.1,2854.7
2017-01-08,2708.1,2610.4,2561.3,2549.0,2571.1,2631.3,2738.1,2845.3,2962.2,3046.2,3094.0,3114.5,3114.9,3101.2,3095.2,3140.3,3340.4,3529.3,3539.8,3493.3,3406.3,3249.7,3043.7,2856.3
2017-01-09,2742.3,2692.6,2683.7,2710.7,2790.3,3000.6,3354.9,3588.3,3616.2,3614.8,3595.5,3554.2,3523.5,3522.8,3507.3,3537.2,3668.2,3834.2,3787.8,3713.9,3596.3,3402.8,3149.8,2918.7
2017-01-10,2775.7,2695.5,2661.9,2676.2,2744.3,2948.5,3306.3,3498.4,3519.8,3486.9,3425.6,3365.1,3320.7,3284.7,3260.8,3293.5,3423.6,3543.9,3473.4,3386.8,3262.6,3068.7,2810.5,2567.4
2017-01-11,2400.2,2294.9,2244.7,2243.7,2297.0,2480.2,2825.6,3036.3,3040.1,2982.5,2946.6,2923.6,2900.4,2897.1,2919.3,2952.2,3088.6,3230.4,3187.3,3111.1,3000.0,2829.9,2592.8,2369.6
2017-01-12,2226.3,2145.0,2105.1,2103.1,2150.1,2337.8,2674.4,2896.2,2947.9,2947.0,2895.6,2881.2,2889.9,2917.3,2890.0,2916.7,3044.1,3146.2,3082.5,2992.8,2885.6,2716.4,2488.8,2275.4
2017-01-13,2128.3,2039.5,1996.1,1991.8,2041.9,2227.6,2581.8,2817.6,2872.4,2883.9,2870.5,2859.3,2849.4,2845.0,2861.0,2901.0,3047.7,3204.7,3148.6,3076.6,2989.8,2874.7,2711.8,2552.0
2017-01-14,2427.0,2358.2,2327.7,2328.4,2357.2,2451.2,2615.1,2756.9,2880.7,2951.2,2974.1,2912.3,2866.2,2831.5,2869.3,2919.3,3058.6,3185.7,3164.5,3094.0,3002.7,2888.3,2749.5,2598.7
2017-01-15,2447.9,2346.5,2291.8,2282.0,2295.9,2349.4,2453.6,2538.8,2622.3,2668.0,2698.4,2703.4,2697.7,2682.8,2690.5,2746.0,2909.0,3103.1,3116.7,3053.4,2996.7,2895.9,2745.6,2582.2
2017-01-16,2462.0,2395.9,2374.4,2394.1,2458.9,2618.8,2851.5,3000.3,3082.7,3098.3,3087.7,3065.8,3035.3,3007.0,3010.1,3028.0,3168.0,3358.7,3311.8,3226.6,3111.9,2931.9,2695.3,2485.5
2017-01-17,2352.1,2281.7,2253.9,2269.7,2345.4,2567.6,2942.5,3145.2,3151.7,3099.7,3036.2,3013.2,3012.1,3002.6,3039.5,3110.9,3224.8,3335.5,3288.5,3215.5,3108.2,2929.1,2692.2,2473.8
2017-01-18,2330.7,2247.1,2213.4,2216.4,2275.7,2475.0,2833.6,3064.3,3124.4,3154.4,3175.9,3186.0,3186.2,3181.8,3162.0,3184.5,3293.6,3394.0,3337.1,3260.6,3147.2,2975.1,2735.1,2521.4
2017-01-19,2378.2,2289.8,2243.1,2248.5,2309.1,2511.4,2875.0,3080.2,3091.5,3072.5,3040.6,2968.8,2940.9,2946.4,2975.0,3017.1,3144.3,3271.6,3219.3,3140.1,3031.3,2858.0,2625.1,2422.0
2017-01-20,2291.8,2215.5,2186.6,2192.9,2253.0,2444.6,2791.6,3011.4,3088.9,3117.8,3120.1,3093.0,3054.5,3063.1,3055.9,3068.1,3149.4,3226.4,3141.6,3040.5,2934.2,2793.0,2615.2,2432.7
