date,Restaurant_Recreaction,Grocery_Pharmacy,Retail
2018-12-31,36932.0,7916.0,55227.0
2019-01-01,22087.0,4563.0,33034.0
2019-01-02,32881.0,6040.0,48513.0
2019-01-03,35487.0,6168.0,52080.0
2019-01-04,39372.0,6707.0,57180.0
2019-01-05,30322.0,5793.0,46318.0
2019-01-06,25769.0,5646.0,40113.0
2019-01-07,31758.0,5497.0,44457.0
2019-01-08,36932.0,6262.0,51435.0
2019-01-09,43817.0,7993.0,61374.0
2019-01-10,45731.0,8378.0,63933.0
2019-01-11,46089.0,8552.0,64877.0
2019-01-12,36902.0,7849.0,54440.0
2019-01-13,27998.0,7174.0,41510.0
2019-01-14,42756.0,6698.0,58576.0
2019-01-15,42696.0,6328.0,58351.0
2019-01-16,44807.0,6675.0,60574.0
2019-01-17,45700.0,6720.0,61394.0
2019-01-18,47960.0,7741.0,65551.0
2019-01-19,38401.0,7348.0,54145.0
2019-01-20,23228.0,3233.0,30343.0
2019-01-21,26445.0,4544.0,37123.0
2019-01-22,40604.0,5981.0,55058.0
2019-01-23,44131.0,6331.0,59523.0
2019-01-24,44769.0,6391.0,60262.0
2019-01-25,49823.0,7206.0,67545.0
2019-01-26,40416.0,6597.0,56600.0
2019-01-27,29610.0,5851.0,42627.0
2019-01-28,44309.0,6938.0,60937.0
2019-01-29,43573.0,6364.0,58819.0
2019-01-30,43311.0,6552.0,58750.0
2019-01-31,44727.0,6318.0,59964.0
2019-02-01,44949.0,6554.0,61177.0
2019-02-02,35901.0,6666.0,51278.0
2019-02-03,26884.0,5684.0,39013.0
2019-02-04,40409.0,6017.0,55034.0
2019-02-05,55890.0,6506.0,74055.0
2019-02-06,42230.0,6101.0,57176.0
2019-02-07,42556.0,5913.0,57392.0
2019-02-08,44855.0,6354.0,60885.0
2019-02-09,37528.0,5868.0,52182.0
2019-02-10,28698.0,5309.0,40160.0
2019-02-11,42261.0,6369.0,57432.0
2019-02-12,45809.0,6651.0,61308.0
2019-02-13,47265.0,7099.0,63949.0
2019-02-14,51333.0,7355.0,69046.0
2019-02-15,51436.0,6873.0,68190.0
2019-02-16,44522.0,6569.0,60685.0
2019-02-17,37456.0,5862.0,50402.0
2019-02-18,33298.0,5607.0,46444.0
2019-02-19,47829.0,6559.0,65183.0
2019-02-20,48489.0,6758.0,66216.0
2019-02-21,48468.0,6653.0,65583.0
2019-02-22,55249.0,7090.0,71994.0
2019-02-23,46545.0,6806.0,61278.0
2019-02-24,30769.0,5343.0,40612.0
2019-02-25,47248.0,6652.0,62931.0
2019-02-26,48649.0,6243.0,64037.0
2019-02-27,51218.0,6624.0,67319.0
2019-02-28,47984.0,6171.0,63447.0
2019-03-01,51997.0,7317.0,70017.0
2019-03-02,35591.0,5730.0,48669.0
2019-03-03,32515.0,6071.0,45522.0
2019-03-04,34128.0,5202.0,45378.0
2019-03-05,48375.0,7009.0,63760.0
2019-03-06,46645.0,7106.0,62584.0
2019-03-07,50208.0,7123.0,66449.0
2019-03-08,51455.0,7314.0,69493.0
2019-03-09,39725.0,6561.0,56097.0
2019-03-10,25947.0,5095.0,36886.0
2019-03-11,45332.0,6863.0,61628.0
2019-03-12,42149.0,5833.0,56491.0
2019-03-13,46937.0,6375.0,62664.0
2019-03-14,52096.0,6850.0,69029.0
2019-03-15,55480.0,7342.0,73759.0
2019-03-16,51009.0,7004.0,69106.0
2019-03-17,40612.0,5956.0,54001.0
2019-03-18,47548.0,6559.0,62529.0
2019-03-19,50304.0,6811.0,66665.0
2019-03-20,52358.0,7089.0,69457.0
2019-03-21,52621.0,7063.0,69808.0
2019-03-22,55096.0,7193.0,73107.0
2019-03-23,48020.0,7179.0,65859.0
2019-03-24,39765.0,5993.0,54115.0
2019-03-25,50569.0,7231.0,67569.0
2019-03-26,51574.0,6839.0,68587.0
2019-03-27,54738.0,6846.0,71359.0
2019-03-28,58110.0,7159.0,74684.0
2019-03-29,61466.0,7271.0,77763.0
2019-03-30,53891.0,6924.0,69470.0
2019-03-31,36643.0,5899.0,48017.0
2019-04-01,47296.0,6626.0,63057.0
2019-04-02,50988.0,6930.0,67815.0
2019-04-03,50901.0,6887.0,67270.0
2019-04-04,52304.0,7079.0,69347.0
2019-04-05,54022.0,7185.0,71835.0
2019-04-06,48393.0,6944.0,66061.0
2019-04-07,37979.0,6217.0,51949.0
2019-04-08,45328.0,6546.0,61226.0
2019-04-09,52145.0,6937.0,69394.0
2019-04-10,50280.0,6944.0,67321.0
2019-04-11,56881.0,7213.0,74970.0
2019-04-12,56822.0,7262.0,75184.0
2019-04-13,56691.0,7546.0,75410.0
2019-04-14,46875.0,6703.0,62488.0
2019-04-15,46672.0,6935.0,64912.0
2019-04-16,55245.0,7553.0,74759.0
2019-04-17,55498.0,7479.0,74118.0
2019-04-18,54117.0,7230.0,72333.0
2019-04-19,61251.0,7909.0,81397.0
2019-04-20,44989.0,7550.0,62738.0
2019-04-21,34522.0,5171.0,44284.0
2019-04-22,51154.0,7229.0,68443.0
2019-04-23,54520.0,7266.0,71834.0
2019-04-24,56799.0,7378.0,73950.0
2019-04-25,59880.0,7339.0,77537.0
2019-04-26,59628.0,7688.0,79336.0
2019-04-27,51358.0,7421.0,69712.0
2019-04-28,38717.0,5952.0,52192.0
2019-04-29,53036.0,7180.0,69151.0
