date,kind,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,dwpc,2.22,1.72,1.72,1.72,1.72,1.11,0.61,0.0,-0.61,-1.72,-2.78,-3.89,-5.0,-5.61,-5.61,-6.11,-6.11,-6.11,-6.11,-6.11,-6.11,-5.61,-5.61,-5.0
2017-01-01,relh,88.87,89.53,92.76,92.76,92.76,88.78,89.09,79.08,69.96,59.22,54.78,50.42,44.8,41.0,42.77,42.62,46.41,44.47,50.18,51.99,51.99,58.22,58.22,66.06
2017-01-01,sped,15.52,16.1,15.67,15.52,15.18,15.33,13.64,12.19,14.18,16.92,18.63,18.02,19.84,16.1,19.17,14.95,12.84,9.66,11.31,10.02,7.04,6.71,6.32,6.61
2017-01-01,tmpc,3.89,3.28,2.78,2.78,2.78,2.78,2.22,3.28,4.39,5.61,5.61,5.61,6.11,6.72,6.11,5.61,4.39,5.0,3.28,2.78,2.78,1.72,1.72,0.61
2017-01-02,dwpc,-5.0,-5.0,-5.0,-5.0,-4.39,-3.89,-4.39,-3.28,-2.78,-3.28,-2.78,-1.72,-2.22,-2.78,-2.22,-0.61,0.61,1.11,1.72,1.72,1.72,1.72,1.72,2.22
2017-01-02,relh,66.06,69.04,74.87,78.3,75.59,78.48,82.0,85.21,81.55,66.97,64.49,64.49,62.15,59.65,64.37,69.96,76.44,82.08,82.8,82.8,82.8,79.34,79.34,82.22
2017-01-02,sped,6.76,3.96,0.57,0.0,0.58,1.15,1.66,4.6,4.31,4.76,0.77,0.38,2.07,0.8,2.68,4.86,6.01,8.05,8.24,6.9,6.19,7.67,9.2,11.21
2017-01-02,tmpc,0.61,0.0,-1.11,-1.72,-0.61,-0.61,-1.72,-1.11,0.0,2.22,3.28,4.39,4.39,4.39,3.89,4.39,4.39,3.89,4.39,4.39,4.39,5.0,5.0,5.0
2017-01-03,dwpc,2.22,2.59,2.78,3.28,3.89,3.89,3.14,3.28,3.28,3.59,4.39,4.7,5.0,5.0,5.61,5.61,5.61,5.78,6.11,6.72,6.04,6.07,6.11,6.42
2017-01-03,relh,82.22,84.43,85.54,88.62,92.52,90.6,83.0,84.93,88.62,93.33,95.82,100.0,100.0,98.61,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2017-01-03,sped,11.93,10.92,9.33,9.34,13.14,16.23,18.11,19.03,18.92,18.82,19.12,18.4,20.06,19.65,18.83,21.28,21.66,21.39,19.88,17.94,19.26,20.12,22.08,20.37
2017-01-03,tmpc,5.0,5.0,5.0,5.0,5.0,5.3,5.8,5.61,5.0,4.59,5.0,4.7,5.0,5.2,5.61,5.61,5.61,5.78,6.11,6.72,6.04,6.07,6.11,6.42
2017-01-04,dwpc,6.72,6.72,6.11,3.28,3.03,2.22,1.72,1.97,2.5,3.28,3.89,4.09,4.39,4.39,3.94,3.28,3.28,3.84,3.06,2.22,-0.5,-0.57,-6.11,-7.22
2017-01-04,relh,100.0,100.0,100.0,100.0,100.0,96.13,92.76,92.83,90.66,92.48,87.16,82.79,79.13,79.13,73.34,70.73,70.73,77.68,80.46,78.8,84.42,81.79,56.05,53.77
2017-01-04,sped,15.87,9.86,8.43,12.81,12.79,10.92,9.2,7.33,7.92,13.8,11.92,14.62,12.91,12.96,10.88,12.84,11.96,11.92,12.81,13.64,19.55,16.19,17.63,15.67
2017-01-04,tmpc,6.72,6.72,6.11,3.28,3.03,2.78,2.78,3.03,3.89,4.39,5.86,6.81,7.78,7.78,8.44,8.28,8.28,7.5,6.16,5.61,1.86,2.22,1.72,1.11
2017-01-05,dwpc,-8.28,-8.89,-8.28,-8.89,-8.89,-9.39,-11.72,-11.11,-11.11,-11.11,-12.78,-12.78,-11.72,-12.22,-12.22,-12.22,-12.22,-11.72,-11.72,-11.11,-11.72,-11.72,-10.61,-10.61
2017-01-05,relh,53.7,53.53,58.23,58.06,58.06,55.83,50.17,52.68,50.56,46.59,40.75,39.29,40.92,37.61,39.31,41.09,41.09,44.37,44.37,46.59,44.37,44.37,50.7,50.7
2017-01-05,sped,16.1,16.1,16.68,15.41,15.64,18.69,15.33,14.95,18.4,20.12,20.93,21.28,15.72,13.23,13.42,13.57,13.31,8.54,8.91,9.04,10.73,7.19,9.43,11.36
2017-01-05,tmpc,0.0,-0.61,-1.11,-1.72,-1.72,-1.72,-2.78,-2.78,-2.22,-1.11,-1.11,-0.61,0.0,0.61,0.0,-0.61,-0.61,-1.11,-1.11,-1.11,-1.11,-1.11,-1.72,-1.72
2017-01-06,dwpc,-10.61,-10.0,-10.0,-8.89,-7.22,-6.72,-6.16,-4.8,-4.39,-5.0,-5.61,-6.11,-6.11,-8.28,-8.28,-9.39,-10.0,-10.61,-10.61,-11.72,-12.78,-12.78,-11.72,-11.72
2017-01-06,relh,50.7,53.21,53.21,60.25,71.45,74.25,79.07,90.68,92.01,86.42,77.57,71.96,71.96,58.23,56.14,53.38,50.88,50.7,52.61,50.17,47.83,47.83,54.5,56.88
2017-01-06,sped,7.76,10.19,9.06,10.02,6.67,4.6,4.74,5.75,4.94,6.71,7.48,7.67,7.82,8.05,9.2,9.34,8.91,11.12,9.2,9.34,9.97,8.82,10.81,10.35
2017-01-06,tmpc,-1.72,-1.72,-1.72,-2.22,-2.78,-2.78,-3.03,-3.48,-3.28,-3.03,-2.22,-1.72,-1.72,-1.11,-0.61,-1.11,-1.11,-1.72,-2.22,-2.78,-3.28,-3.28,-3.89,-4.44
2017-01-07,dwpc,-11.72,-11.72,-11.72,-11.72,-12.22,-12.78,-12.22,-12.22,-13.28,-13.89,-11.72,-10.0,-7.75,-7.78,-7.78,-8.28,-8.28,-8.14,-8.48,-9.14,-9.7,-10.0,-10.0,-10.0
2017-01-07,relh,59.26,62.07,62.07,62.07,59.63,57.02,59.63,59.63,52.27,47.5,56.59,69.89,88.22,92.19,92.19,92.15,92.15,90.62,90.72,86.18,86.12,84.05,87.38,87.38
2017-01-07,sped,10.02,9.2,9.01,7.86,9.01,8.62,9.2,10.35,11.5,12.36,13.08,11.88,12.81,15.24,17.25,16.68,18.4,19.69,22.23,23.58,21.85,16.48,15.14,14.95
2017-01-07,tmpc,-5.0,-5.61,-5.61,-5.61,-5.61,-5.61,-5.61,-5.61,-5.0,-4.39,-4.39,-5.28,-6.11,-6.72,-6.72,-7.22,-7.22,-6.86,-7.22,-7.22,-7.78,-7.78,-8.28,-8.28
