date,accum_confirm,new_confirm,infect_rate,accum_death,new_death,fatal_rate
2020-01-23,0,0,0.0,0,0,0.0
2020-01-24,0,0,0.0,0,0,0.0
2020-01-25,0,0,0.0,0,0,0.0
2020-01-26,0,0,0.0,0,0,0.0
2020-01-27,0,0,0.0,0,0,0.0
2020-01-28,0,0,0.0,0,0,0.0
2020-01-29,1,1,0.0,0,0,0.0
2020-01-30,1,0,0.0,0,0,0.0
2020-01-31,1,0,0.0,0,0,0.0
2020-02-01,1,0,0.0,0,0,0.0
2020-02-02,1,0,0.0,0,0,0.0
2020-02-03,1,0,0.0,0,0,0.0
2020-02-04,1,0,0.0,0,0,0.0
2020-02-05,1,0,0.0,0,0,0.0
2020-02-06,2,1,0.0,0,0,0.0
2020-02-07,2,0,0.0,0,0,0.0
2020-02-08,2,0,0.0,0,0,0.0
2020-02-09,2,0,0.0,0,0,0.0
2020-02-10,2,0,0.0,0,0,0.0
2020-02-11,2,0,0.0,0,0,0.0
2020-02-12,2,0,0.0,0,0,0.0
2020-02-13,2,0,0.0,0,0,0.0
2020-02-14,2,0,0.0,0,0,0.0
2020-02-15,2,0,0.0,0,0,0.0
2020-02-16,2,0,0.0,0,0,0.0
2020-02-17,2,0,0.0,0,0,0.0
2020-02-18,2,0,0.0,0,0,0.0
2020-02-19,2,0,0.0,0,0,0.0
2020-02-20,2,0,0.0,0,0,0.0
2020-02-21,2,0,0.0,0,0,0.0
2020-02-22,2,0,0.0,0,0,0.0
2020-02-23,2,0,0.0,0,0,0.0
2020-02-24,2,0,0.0,0,0,0.0
2020-02-25,2,0,0.0,0,0,0.0
2020-02-26,2,0,0.0,0,0,0.0
2020-02-27,2,0,0.0,0,0,0.0
2020-02-28,2,0,0.0,0,0,0.0
2020-02-29,2,0,0.0,0,0,0.0
2020-03-01,4,2,0.0,0,0,0.0
2020-03-02,6,2,0.0,0,0,0.0
2020-03-03,8,2,0.0,0,0,0.0
2020-03-04,10,2,0.0,0,0,0.0
2020-03-05,18,8,0.0,0,0,0.0
2020-03-06,32,14,0.0,0,0,0.0
2020-03-07,77,45,0.0,0,0,0.0
2020-03-08,99,22,0.0,0,0,0.0
2020-03-09,104,5,0.0,0,0,0.0
2020-03-10,119,15,0.0,0,0,0.0
2020-03-11,146,27,0.0,0,0,0.0
2020-03-12,178,32,0.0,0,0,0.0
2020-03-13,245,67,0.0,0,0,0.0
2020-03-14,351,106,0.0,0,0,0.0
2020-03-15,421,70,0.0,0,0,0.0
2020-03-16,620,199,0.0,0,0,0.0
2020-03-17,915,295,0.01,0,0,0.0
2020-03-18,1233,318,0.01,1,1,0.08
2020-03-19,1587,354,0.01,4,3,0.25
2020-03-20,2042,455,0.01,7,3,0.34
2020-03-21,2430,388,0.02,7,0,0.29
2020-03-22,2899,469,0.02,12,5,0.41
2020-03-23,3670,771,0.02,15,3,0.41
2020-03-24,4648,978,0.03,20,5,0.43
