date,fuel,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,coal,223.0,223.0,221.0,221.5,221.0,222.2,224.3,221.8,221.6,227.4,221.1,220.1,219.0,218.6,217.3,219.9,222.2,231.4,225.2,219.8,224.5,220.0,221.0,218.4
2017-01-01,gas,3133.8,2975.5,2791.0,2685.2,2719.2,2786.0,2987.0,2748.5,2757.8,2957.7,2774.1,2874.5,2958.2,3004.8,3127.7,3496.3,4316.5,4933.6,4883.8,4720.2,4541.0,4025.5,3193.4,2826.5
2017-01-01,hydro,528.0,527.5,524.6,518.0,545.6,585.5,654.0,677.0,756.9,823.7,747.3,741.1,694.4,708.0,781.3,792.3,960.6,1423.6,1345.8,1052.0,925.5,785.5,536.6,482.0
2017-01-01,nuclear,4016.8,4018.5,4017.6,4016.2,4016.2,4017.2,4016.7,4017.4,4017.8,4017.3,4016.3,4016.5,4017.2,4018.4,4016.6,4017.1,4017.5,4017.5,4015.8,4018.0,4015.7,4018.2,4018.2,4015.6
2017-01-01,oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,other,837.0,823.8,836.4,825.8,822.0,836.2,840.1,847.2,838.9,831.9,822.7,807.9,804.6,802.8,794.6,784.9,803.5,818.5,831.0,825.5,846.7,847.7,831.2,819.1
2017-01-01,solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,7.4,15.8,20.4,21.8,20.9,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,wind,356.2,299.0,266.0,252.2,265.2,281.8,351.4,458.4,535.8,615.6,615.4,631.1,689.4,714.6,753.9,794.0,777.1,775.0,720.2,686.8,624.5,610.0,543.6,367.8
2017-01-02,coal,216.6,216.1,215.2,217.3,218.2,219.3,224.7,218.0,225.4,299.0,299.3,310.8,275.8,297.6,234.0,227.0,275.2,306.3,323.4,314.5,256.6,216.2,214.8,210.2
2017-01-02,gas,2980.0,3126.6,2911.8,2890.7,3059.0,3459.7,3720.6,4297.2,4754.7,5262.8,5489.5,5501.0,5396.2,5486.0,5370.0,5667.7,6146.9,6432.2,6240.4,6146.5,5694.8,4775.6,4062.6,3016.5
2017-01-02,hydro,493.4,494.0,522.5,533.3,542.2,554.1,615.9,763.6,917.6,1011.5,867.8,794.2,880.5,673.6,726.0,814.3,1322.0,1843.7,1700.4,1223.2,903.8,684.2,568.2,553.5
2017-01-02,nuclear,4015.4,4016.6,4018.8,4020.0,4018.5,4016.7,4016.4,4016.2,4017.6,4016.2,4017.0,4017.8,4017.0,4017.4,4016.0,4016.7,4015.9,4016.2,4016.0,4017.2,4017.8,4018.4,4017.2,4017.5
2017-01-02,oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
2017-01-02,other,827.6,809.9,808.0,797.3,818.0,822.1,837.6,844.4,846.9,856.0,858.7,872.8,902.5,899.0,911.5,915.0,905.6,907.1,908.7,888.2,909.5,915.1,902.4,914.7
2017-01-02,solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.4,5.8,6.8,8.6,6.2,3.8,3.2,1.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-02,wind,481.4,507.8,453.5,405.0,355.0,335.1,325.6,360.8,334.1,255.0,165.7,123.4,88.0,63.6,48.0,50.3,78.8,108.2,121.8,147.5,158.8,139.6,161.4,162.2
2017-01-03,coal,197.8,194.8,194.9,195.0,219.3,269.2,291.6,406.8,371.8,298.6,287.2,293.0,292.0,292.7,316.3,317.5,409.2,449.0,532.2,415.4,334.0,321.6,316.9,317.6
2017-01-03,gas,2772.0,2667.5,2708.7,2926.6,3074.0,3951.0,5196.2,5731.8,5629.8,5679.3,5892.8,6000.6,5965.8,6010.5,5949.8,5968.0,6274.4,6288.5,6257.5,5970.0,5387.6,4670.3,3571.3,3362.0
2017-01-03,hydro,506.4,504.5,516.0,510.2,521.3,557.0,582.2,1014.5,1087.2,916.4,1047.5,763.6,737.0,664.8,639.0,817.8,1395.8,1846.7,1529.8,1303.8,1138.4,827.7,582.6,574.2
2017-01-03,nuclear,4018.4,4017.5,4016.9,4017.8,4017.7,4016.0,4016.7,4014.8,4013.5,4015.9,4014.8,4016.0,4014.5,4014.2,4014.5,4021.0,4020.8,4018.5,4017.2,4016.8,4015.0,4016.0,4016.0,4015.2
2017-01-03,oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-03,other,930.7,908.8,904.9,914.7,913.3,907.7,919.9,941.0,936.5,942.6,933.0,920.8,922.0,925.7,925.8,923.5,926.4,917.0,913.2,914.0,908.0,903.3,898.6,897.0
2017-01-03,solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.1,3.0,3.0,3.0,3.2,3.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-03,wind,184.2,226.0,244.9,262.0,312.8,413.0,465.2,499.8,483.8,488.0,414.5,434.0,390.5,382.3,420.0,440.8,480.4,523.2,552.2,581.0,565.0,571.7,551.9,533.4
2017-01-04,coal,300.2,274.8,273.5,274.2,274.5,270.4,289.1,302.4,341.0,280.7,280.4,277.3,273.1,276.7,279.2,277.5,294.7,406.4,374.0,351.2,298.0,261.8,298.8,314.5
2017-01-04,gas,3078.2,3026.0,2653.8,2847.5,3126.7,3547.4,4542.6,5165.8,5396.5,5327.0,5354.9,5302.8,5279.9,5215.0,5132.8,5291.0,5950.1,6201.8,6177.0,6102.0,5714.5,5088.8,3937.6,3427.7
2017-01-04,hydro,540.9,544.2,552.0,553.0,567.5,625.9,773.1,1223.0,1030.5,988.0,909.5,721.0,750.1,763.0,683.0,780.2,1049.9,1529.2,1446.7,1118.0,867.0,691.2,656.8,629.0
2017-01-04,nuclear,4016.7,4016.0,4013.0,4017.8,4019.3,4017.9,4017.0,4017.8,4018.5,4017.4,4015.8,4015.5,4015.3,4015.2,4014.8,4016.0,4015.7,4014.6,4014.0,4013.2,4015.0,4015.8,4015.0,4014.5
2017-01-04,oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-04,other,882.8,878.0,865.2,851.8,825.3,817.8,822.6,827.8,847.0,834.3,845.2,844.3,846.4,848.3,852.8,857.5,865.6,845.4,862.3,848.4,857.0,850.8,838.2,815.3
