date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,12268.9,11823.7,11790.9,11870.6,11818.4,11986.1,12354.7,12257.4,12190.6,12406.3,12633.2,12566.2,12583.7,12610.8,12785.0,13202.1,14373.1,15558.4,15536.8,15230.5,14807.9,14191.2,13346.2,12516.4
2017-01-02,12317.0,12043.2,12066.2,12079.5,12291.7,12562.0,12842.1,13434.8,14029.2,14589.3,14916.4,14999.3,14997.4,14974.0,14975.4,15217.7,16267.9,17232.1,16978.7,16459.7,15749.1,14706.2,13380.7,12248.4
2017-01-03,11904.6,12049.5,12077.3,11908.6,12012.4,12624.8,14115.4,15220.4,15484.0,15649.4,15835.3,15916.6,15919.4,15938.0,15890.0,16045.6,16914.2,17573.6,17371.9,16826.8,16058.8,14932.4,13620.0,13092.2
2017-01-04,12613.3,12359.3,12146.0,12138.0,12425.2,12928.9,14025.3,14991.3,15157.9,15109.3,15059.4,14983.2,14940.6,14975.9,14840.4,14969.0,15914.6,16972.2,16942.6,16538.4,15991.0,15033.2,13808.2,13115.0
2017-01-05,12931.1,12780.8,12310.7,12123.9,12498.8,13382.3,15063.0,16151.5,16104.2,15797.6,15639.7,15531.8,15609.8,15531.3,15542.4,15978.5,17009.9,18085.0,18041.2,17630.6,16969.4,15947.3,14612.4,13390.1
2017-01-06,13053.8,12811.5,12799.2,12805.6,13146.5,14016.8,15107.9,16288.5,16513.9,16587.6,16538.8,16296.3,16011.8,15871.9,15849.5,16054.3,16844.7,17756.0,17595.6,17129.0,16592.7,15843.8,14860.2,14027.8
2017-01-07,13638.9,13208.5,13207.2,13176.4,13128.4,12950.4,13649.7,14487.2,15368.9,16028.6,16462.6,16751.6,16911.6,16911.8,16881.1,16988.6,17712.6,18512.5,18303.6,17706.5,17046.7,16215.9,15195.5,14206.8
2017-01-08,13430.7,13211.3,13228.1,13474.3,13656.2,13727.7,14042.2,14441.3,15176.0,15683.2,15942.5,16063.4,16064.3,15988.1,15933.5,16195.6,17258.7,18467.2,18441.3,18000.7,17417.4,16448.7,15295.2,14336.7
2017-01-09,14020.0,14244.0,14232.9,14337.0,14751.0,15660.0,17074.4,18210.0,18312.7,18240.9,18138.8,17990.5,17847.0,17789.0,17656.8,17695.9,18437.4,19577.2,19571.7,19169.1,18498.3,17397.2,16036.7,14869.7
2017-01-10,14135.9,13738.1,13575.7,13633.7,14000.7,15071.5,16941.0,17936.1,18008.8,17860.6,17633.7,17355.8,16969.5,16729.6,16598.1,16734.0,17519.8,18408.7,18238.6,17703.0,16948.6,15783.4,14404.8,13367.8
2017-01-11,12675.4,12799.1,12818.6,12776.6,13051.3,13515.3,14804.5,15459.4,15311.4,14943.1,14665.9,14410.1,14271.7,14444.3,14660.8,14891.7,15560.0,16685.4,16653.7,16221.5,15598.4,14596.3,13309.6,12992.7
2017-01-12,11922.4,11233.3,11063.9,11200.6,11387.0,12151.0,13621.8,14746.6,14841.6,14829.4,14673.1,14546.3,14495.0,14531.5,14484.6,14688.6,15399.5,16213.0,16069.4,15601.0,14941.8,13966.4,12823.6,12074.9
2017-01-13,11716.3,11640.9,11479.2,11459.0,11738.2,12481.6,13360.8,14376.0,14411.9,14169.8,14037.2,13858.7,13714.0,13761.0,13994.7,14477.6,15473.2,16577.4,16525.8,16182.7,15726.2,15047.9,14137.6,13179.6
2017-01-14,12938.1,12848.7,12978.0,12383.0,12303.0,12786.0,13375.9,14160.3,14781.9,15098.2,15015.8,14747.4,14590.4,14653.6,14902.3,15190.8,16024.0,16851.9,16715.8,16253.7,15718.7,14970.5,14139.0,13279.8
2017-01-15,12550.0,12361.0,12470.2,12407.5,12597.3,12612.8,12793.0,13358.6,13765.6,13766.6,13675.4,13531.0,13398.7,13278.3,13425.4,13946.7,15034.7,16332.9,16402.0,15946.8,15528.6,14843.9,13940.0,13080.9
2017-01-16,12475.7,12399.6,12542.1,12612.8,12724.0,13358.6,14620.2,15579.7,15959.1,15786.3,15509.9,15209.6,14940.6,14837.2,14918.4,15293.6,16224.4,17491.7,17383.5,16886.6,16181.5,15086.8,13780.9,12822.6
2017-01-17,13197.7,12911.9,12745.3,12772.6,13136.0,13469.8,14799.0,15849.5,15820.9,15598.2,15405.5,15221.8,14985.3,15184.5,15399.3,15660.0,16385.5,17304.9,17219.1,16750.5,16037.3,14994.1,13680.0,12981.4
2017-01-18,12612.2,12371.1,12012.3,11986.1,12198.2,12797.7,14282.8,15425.8,15762.1,15871.4,15985.5,15987.7,15939.5,15895.7,15759.6,15815.2,16438.0,17301.0,17218.0,16742.1,16059.8,15000.8,13694.0,12546.7
2017-01-19,12039.2,11923.2,11990.9,11980.9,12164.3,12617.6,14425.8,15471.8,15428.7,15104.3,14841.8,14641.3,14459.9,14549.8,14672.7,14915.1,15634.5,16600.2,16545.3,16141.0,15499.6,14542.0,13269.5,12156.1
2017-01-20,11779.2,11724.8,11719.1,11722.5,11815.8,12493.4,14021.4,15134.3,15400.8,15459.4,15483.9,15294.7,15086.3,15198.9,15102.3,15097.6,15600.1,16336.2,16114.6,15598.6,15024.8,14224.1,13199.8,12251.7
2017-01-21,11720.4,11482.9,11449.4,11344.7,11416.9,11528.9,12007.3,12514.6,13308.0,13848.4,13991.8,13692.9,13171.3,12731.2,12655.8,12953.2,13643.8,14784.4,14753.4,14319.4,13827.3,13197.4,12393.8,11549.1
2017-01-22,11356.4,11201.3,11056.7,11343.8,11261.8,11472.8,11760.3,12144.6,12733.9,13184.1,13251.4,13393.8,13595.3,13714.3,13854.6,14154.6,14923.9,15763.7,15602.4,14900.6,14358.9,13509.5,12573.7,11549.2
2017-01-23,11306.9,11498.0,11433.1,11487.0,11887.3,12707.5,13889.4,15051.4,15295.0,15426.6,15456.9,15610.1,15603.4,15677.9,15667.7,15852.5,16551.7,17494.7,17412.9,16900.8,16155.7,15066.5,13796.8,12652.3
2017-01-24,12204.0,12015.8,12120.9,12149.4,12508.3,13048.6,14133.2,15216.1,15712.6,15995.6,16222.5,16346.5,16338.6,16312.2,16177.4,16162.4,16665.9,17483.5,17331.5,16779.8,16015.2,14940.3,13737.6,12720.8
2017-01-25,11981.8,11621.8,11840.1,11855.8,11940.2,12482.6,14302.6,15333.9,15346.8,15146.0,14868.0,14566.7,14353.8,14320.0,14667.3,14774.2,15385.6,16619.2,16759.0,16348.0,15733.7,14724.2,13417.2,12270.0
2017-01-26,11901.9,11806.7,11897.4,11890.6,12207.0,12625.3,13973.2,15065.2,15220.1,15228.7,15252.2,15104.0,14807.8,14502.3,14468.6,14604.2,15214.0,16316.3,16413.7,16031.6,15437.2,14476.3,13301.2,12587.3
