date,kind,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,dwpc,-1.08,-0.78,-1.08,-0.15,-2.61,-2.56,-1.64,-2.83,-2.5,-3.66,-4.44,-5.03,-5.56,-6.16,-6.16,-8.06,-8.36,-8.36,-8.36,-8.06,-8.06,-8.11,-8.92,-9.7
2017-01-01,relh,85.44,84.06,88.95,90.22,87.83,87.5,90.57,79.06,68.34,58.72,55.42,57.64,51.68,49.46,50.35,44.77,46.58,46.47,50.44,58.44,62.96,69.16,71.0,73.32
2017-01-01,sped,3.91,8.05,8.94,5.82,5.42,5.75,5.88,6.63,9.74,12.42,14.54,14.87,17.25,13.57,13.9,11.94,10.2,7.08,7.44,6.32,2.68,2.88,1.27,3.11
2017-01-01,tmpc,1.08,1.64,0.53,1.28,-0.85,-0.74,-0.28,0.25,2.75,3.66,3.66,2.54,3.61,3.66,3.36,2.8,1.89,1.94,0.78,-0.8,-1.67,-3.03,-4.14,-5.56
2017-01-02,dwpc,-10.3,-10.86,-11.39,-11.64,-11.34,-11.64,-12.2,-11.64,-10.0,-8.03,-6.08,-5.0,-4.72,-5.0,-4.72,-3.36,-3.3,-4.14,-4.69,-5.78,-6.08,-6.08,-6.94,-3.72
2017-01-02,relh,72.68,74.09,77.1,79.13,77.78,77.15,80.47,80.46,80.3,75.52,69.59,65.16,60.21,54.66,57.02,70.96,77.03,81.69,81.4,81.77,81.37,79.64,77.59,82.34
2017-01-02,sped,3.38,1.98,0.26,0.0,0.3,0.57,0.75,2.07,1.33,2.08,0.54,0.17,1.03,0.41,1.63,2.36,3.18,3.72,3.3,2.46,3.1,3.83,3.67,6.27
2017-01-02,tmpc,-6.08,-6.94,-8.06,-8.66,-8.11,-8.36,-9.47,-8.91,-7.2,-4.19,-1.17,0.8,2.19,3.3,3.06,1.34,0.25,-1.41,-1.94,-3.11,-3.36,-3.06,-3.61,-1.09
2017-01-03,dwpc,-3.89,-1.38,-4.16,-3.36,-2.19,0.72,0.63,-0.86,-0.31,1.88,0.55,2.04,0.99,3.06,3.51,3.51,2.81,3.64,3.89,2.25,2.83,4.0,0.56,4.48
2017-01-03,relh,81.22,84.33,84.72,86.34,88.57,85.32,78.39,76.99,80.22,86.09,78.98,86.51,81.66,89.4,90.44,90.44,88.94,91.7,91.7,87.53,90.04,94.61,81.56,93.88
2017-01-03,sped,6.9,6.17,4.42,4.89,8.95,10.08,11.71,12.25,11.79,12.7,15.01,13.65,14.95,14.25,10.28,11.58,11.34,12.12,14.75,15.05,14.0,11.29,10.57,14.16
2017-01-03,tmpc,-1.09,0.97,-1.95,-1.39,-0.56,2.96,4.07,2.8,2.8,4.14,4.14,4.43,4.14,4.88,5.18,5.18,4.67,5.03,5.28,4.22,4.41,4.83,3.54,5.48
2017-01-04,dwpc,2.25,0.01,-0.08,-0.39,-0.02,-1.13,-0.95,0.74,-0.03,0.75,1.79,3.07,1.68,2.67,2.28,1.94,1.64,1.19,1.3,-1.7,-3.3,-2.5,-6.37,-8.61
2017-01-04,relh,87.53,81.3,85.02,86.58,87.65,85.65,88.11,91.28,89.17,89.18,86.01,83.4,83.24,81.21,74.89,74.95,73.24,78.92,78.66,69.82,73.35,75.9,71.89,55.65
2017-01-04,sped,7.86,8.39,9.03,10.21,10.11,6.71,6.11,3.45,3.24,6.13,6.24,7.69,6.9,7.09,9.34,9.15,8.05,9.3,9.66,11.99,13.07,11.87,8.39,12.15
2017-01-04,tmpc,4.22,2.97,2.21,1.67,1.88,1.02,0.79,2.02,1.56,2.34,3.92,5.66,4.29,5.65,6.42,6.08,6.08,4.54,4.68,3.36,1.24,1.39,-1.9,-0.83
2017-01-05,dwpc,-10.53,-11.39,-11.64,-11.94,-11.64,-12.5,-13.66,-13.06,-13.06,-13.06,-13.58,-13.03,-12.5,-12.75,-12.5,-13.06,-13.06,-12.8,-12.5,-12.5,-13.06,-12.5,-10.86,-10.61
2017-01-05,relh,51.89,50.52,52.9,53.74,55.0,52.52,50.66,53.24,51.17,47.08,44.25,44.6,45.42,43.76,45.64,44.3,45.42,47.06,48.32,48.17,46.06,49.56,60.82,68.05
2017-01-05,sped,12.21,12.14,11.24,13.03,12.02,13.66,11.99,11.64,12.84,11.96,14.62,14.77,12.88,12.81,11.91,10.25,8.82,5.61,5.57,7.4,8.2,7.64,8.76,7.71
2017-01-05,tmpc,-1.94,-2.5,-3.36,-3.92,-3.92,-4.22,-5.0,-5.0,-4.47,-3.36,-3.06,-2.5,-2.19,-1.89,-2.19,-2.5,-2.8,-3.06,-3.06,-3.06,-3.06,-3.36,-4.22,-5.47
2017-01-06,dwpc,-10.41,-10.0,-10.0,-10.76,-11.42,-11.97,-9.68,-7.2,-7.35,-6.67,-9.2,-10.21,-8.7,-11.94,-12.2,-13.06,-13.36,-13.66,-14.44,-15.86,-16.7,-17.25,-16.42,-20.0
2017-01-06,relh,67.34,65.34,68.63,74.8,75.38,76.65,77.81,88.16,89.34,86.74,71.04,66.0,66.01,50.7,49.76,49.12,49.78,59.92,64.32,61.06,63.16,61.08,64.82,78.95
2017-01-06,sped,4.6,4.75,4.26,3.87,3.03,1.84,2.23,3.59,2.75,3.1,2.72,3.83,7.16,7.19,9.2,9.13,6.56,5.06,3.07,4.67,3.95,2.65,4.5,5.18
2017-01-06,tmpc,-5.05,-4.22,-4.75,-6.87,-7.78,-8.59,-6.45,-5.54,-5.89,-4.78,-4.72,-4.82,-3.18,-3.06,-3.11,-3.92,-4.44,-6.97,-8.61,-9.44,-10.53,-10.78,-10.84,-17.22
2017-01-07,dwpc,-16.42,-17.25,-18.06,-18.06,-18.61,-19.2,-18.61,-20.0,-19.35,-16.39,-14.22,-11.0,-10.17,-11.39,-10.39,-12.2,-11.64,-10.22,-9.96,-10.89,-11.67,-11.87,-13.61,-15.3
