date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,23438.8,23130.1,22837.5,22707.7,22724.9,23085.6,23546.8,24265.8,24536.0,24362.7,24065.0,23645.0,23447.0,23059.6,22748.6,22662.8,22798.4,23963.7,25531.8,25611.5,25301.9,24850.2,24129.7,23110.7
2017-01-02,22320.8,21619.1,21268.3,20986.9,21093.4,21460.3,22258.1,23068.7,23743.3,24172.7,24792.5,25280.9,25221.5,25104.8,24847.0,24840.0,24990.5,25853.1,26610.5,26491.0,25974.1,25197.1,24114.7,22892.5
2017-01-03,21975.5,21401.6,21171.4,21008.2,21185.7,21970.2,23675.3,25460.2,26509.6,26806.9,27140.2,27417.9,27561.1,27704.6,27882.6,27896.7,27927.4,28783.3,29755.6,29839.3,29652.8,29177.6,28402.0,27315.7
2017-01-04,26508.2,26263.8,26209.1,26391.8,26785.7,27920.2,29848.8,32010.9,32776.7,32329.7,31924.0,31642.8,31189.5,30691.6,30296.6,30018.5,30230.0,31475.6,33149.0,33181.4,32776.2,32156.0,31096.9,29675.3
2017-01-05,28599.9,27923.2,27667.4,27590.4,27757.7,28629.4,30279.0,32148.7,32877.4,32792.9,32855.6,32952.9,32742.3,32666.5,32473.2,32363.3,32563.6,33441.6,34777.6,34689.2,34351.6,33763.2,32581.4,31316.9
2017-01-06,30527.8,30126.2,29991.8,30063.2,30245.4,31146.9,32813.0,34739.6,35568.3,35337.6,34884.3,34265.6,33778.8,33210.4,32814.1,32386.1,32527.6,33585.6,35009.1,34885.9,34537.4,34007.5,33161.5,32177.4
2017-01-07,31298.7,30819.8,30584.8,30544.7,30628.5,31002.2,31645.4,32712.4,33294.1,33208.8,32692.5,32121.5,31249.1,30452.7,29865.0,29393.0,29472.2,30535.7,32143.1,32430.6,32321.0,32020.3,31348.1,30476.7
2017-01-08,29687.9,29294.3,29070.9,29112.0,29211.0,29559.2,30278.5,31002.8,31449.1,31388.9,31043.4,30693.1,30299.4,29816.7,29468.9,29261.3,29758.4,30838.8,32471.8,32583.7,32301.7,31534.7,30547.4,29261.6
2017-01-09,28335.8,27870.4,27620.3,27605.2,27885.7,28808.8,30452.9,32369.0,33005.7,32609.7,32316.4,31984.1,31614.7,31250.9,30961.9,30489.8,30328.8,31002.9,32083.8,31941.9,31476.4,30610.1,29302.6,27718.3
2017-01-10,26374.3,25614.4,25108.6,24827.2,24932.8,25517.9,27100.6,28808.1,29356.2,28967.1,28937.1,28778.6,28568.1,28255.2,28081.7,27679.2,27506.4,27916.0,28830.6,28814.0,28616.7,27968.8,27101.6,26051.6
2017-01-11,25031.2,24550.6,24452.1,24488.9,24850.3,25680.7,27449.1,29262.4,29800.0,29397.2,29113.6,28750.4,28398.2,27939.5,27459.6,27153.4,26898.7,27343.1,28096.3,27924.5,27487.0,26771.5,25523.5,24141.0
2017-01-12,22975.7,22380.8,22024.0,21933.6,22174.6,23050.7,24808.2,26818.9,27737.5,27872.2,28088.1,28179.5,28348.7,28325.5,28289.3,28106.5,28257.8,29085.4,30306.9,30346.2,30225.8,29662.8,28733.4,27590.2
2017-01-13,26599.2,26147.7,25859.3,25800.1,26082.9,26942.2,28648.5,30464.6,31191.4,31075.5,31137.1,31117.8,31022.3,30638.5,30263.4,29988.5,29750.8,30205.6,30891.8,30443.2,29712.1,29123.6,28198.9,27056.5
