date,kind,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,dwpc,-8.34,-8.34,-8.06,-8.59,-8.84,-8.84,-8.59,-8.59,-6.97,-5.86,-5.25,-5.56,-5.56,-6.42,-6.66,-6.7,-6.7,-6.42,-5.86,-5.56,-5.0,-5.0,-4.7,-4.39
2017-01-01,relh,76.02,79.46,77.65,79.26,81.38,81.38,83.0,83.0,78.82,73.19,66.5,59.16,56.49,49.08,48.06,46.48,49.08,51.13,56.3,58.52,60.99,62.36,62.42,66.52
2017-01-01,sped,5.21,3.69,3.23,5.7,6.48,6.22,7.38,7.02,5.28,4.3,5.23,8.59,8.42,8.33,6.9,2.99,2.98,4.7,6.68,9.62,8.95,9.3,9.11,8.14
2017-01-01,tmpc,-4.75,-5.3,-4.75,-5.56,-6.16,-6.16,-6.16,-6.16,-3.84,-1.66,0.3,1.66,2.25,3.34,3.34,3.84,3.03,2.75,1.97,1.72,1.72,1.42,1.72,1.16
2017-01-02,dwpc,-4.14,-4.14,-3.89,-3.48,-2.78,-2.24,-1.97,-1.97,-1.82,-0.86,0.25,0.2,0.98,1.42,1.62,1.89,2.22,2.5,2.5,2.49,2.75,2.38,2.5,2.19
2017-01-02,relh,67.84,70.79,69.23,72.33,75.26,75.16,78.22,76.9,74.85,78.55,83.28,84.42,83.83,87.27,90.76,90.43,90.17,91.02,92.7,94.25,92.38,90.92,94.48,94.1
2017-01-02,sped,8.34,6.85,7.4,8.97,9.1,8.43,7.75,8.05,6.53,7.01,7.94,8.14,7.39,5.89,7.04,5.92,7.53,6.27,7.75,7.0,6.5,6.09,7.45,5.85
2017-01-02,tmpc,1.16,0.56,1.15,0.94,1.11,1.68,1.42,1.66,2.22,2.5,2.8,2.61,3.47,3.34,2.99,3.32,3.69,3.84,3.58,3.33,3.89,3.74,3.3,3.06
2017-01-03,dwpc,1.67,1.94,1.64,1.64,2.19,1.62,0.42,1.87,-3.35,-0.37,-3.36,-3.92,-4.72,-5.28,-3.28,-6.08,-6.64,-6.64,-7.5,-8.61,-7.76,-10.11,-13.3,-14.16
2017-01-03,relh,93.5,92.4,88.48,88.5,88.54,87.85,87.83,90.01,83.6,83.83,76.44,76.9,73.74,72.52,77.04,69.48,70.8,73.3,72.96,69.37,74.55,68.87,65.89,67.0
