date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,23.73,23.03,22.14,22.28,21.72,21.89,22.37,23.75,25.16,25.11,25.17,25.19,24.36,23.46,22.87,22.92,25.11,31.64,32.55,30.03,28.81,26.19,23.74,22.27
2017-01-02,22.52,21.64,21.7,20.79,20.9,21.41,21.79,22.49,23.43,25.55,26.38,26.86,27.45,26.78,24.96,25.3,27.05,34.7,37.18,32.66,30.54,26.85,23.98,23.46
2017-01-03,22.25,21.32,21.42,21.84,21.93,24.21,27.95,34.94,31.31,30.72,32.23,31.55,31.51,30.04,29.11,28.93,29.83,37.13,40.71,35.06,33.8,29.89,26.27,24.19
2017-01-04,22.36,21.21,20.66,21.17,21.61,24.02,30.21,39.41,35.39,34.8,35.07,33.74,32.53,31.23,29.96,29.01,31.22,44.13,49.96,45.38,42.04,37.52,29.62,28.76
2017-01-05,27.26,25.81,24.55,24.59,24.97,27.38,35.51,47.33,40.45,40.3,38.19,36.6,33.69,32.88,31.07,29.66,32.96,44.98,51.46,44.3,41.19,35.72,30.56,28.86
2017-01-06,28.4,26.65,25.91,25.78,26.52,29.67,38.65,51.02,44.53,43.88,43.09,40.89,37.77,34.87,33.32,32.26,32.98,44.66,53.51,47.58,44.19,39.27,36.11,33.05
2017-01-07,34.03,31.3,30.85,31.22,31.98,32.68,33.76,43.19,43.66,43.75,41.49,36.44,33.22,29.97,27.62,26.59,27.86,39.25,45.22,41.5,38.35,34.22,32.34,30.83
2017-01-08,35.63,32.03,30.3,30.27,30.57,30.43,31.73,40.33,40.37,42.6,41.1,36.15,32.19,30.48,28.26,27.21,28.27,38.29,47.05,43.91,38.36,33.57,32.11,30.18
2017-01-09,26.59,25.2,24.92,25.44,25.79,28.59,35.73,48.29,40.82,38.29,36.81,34.71,31.59,31.28,28.3,27.21,28.8,39.08,42.61,39.38,35.27,30.49,28.31,25.6
2017-01-10,22.46,21.7,21.49,21.53,21.82,22.13,25.41,33.84,30.97,28.8,28.03,27.08,25.7,24.5,23.81,23.39,24.33,29.25,32.68,31.63,29.21,25.59,24.14,22.31
2017-01-11,22.06,20.66,21.11,21.16,22.32,24.35,29.73,35.51,30.43,27.61,26.25,25.25,24.86,24.49,24.17,23.95,24.44,31.71,32.5,30.75,29.24,25.65,23.6,22.67
2017-01-12,23.53,22.44,21.64,21.36,21.71,23.33,30.25,40.39,33.93,32.48,31.0,30.03,28.61,28.32,28.04,27.94,28.52,37.3,40.8,38.81,37.16,31.3,27.24,25.39
2017-01-13,24.4,23.25,22.82,22.58,23.3,24.71,32.61,43.71,37.83,36.83,36.32,34.38,32.13,31.16,29.9,29.51,30.29,37.88,41.2,37.78,35.54,29.99,26.65,25.77
2017-01-14,24.96,23.77,23.0,23.12,22.93,23.47,25.24,31.86,32.44,33.96,34.11,32.2,29.93,28.01,26.79,25.67,27.19,35.7,37.8,34.06,33.18,29.52,26.35,24.73
2017-01-15,23.19,22.73,22.86,22.47,22.26,22.08,22.37,25.5,26.52,27.86,28.41,28.01,27.7,26.64,25.9,25.04,26.13,33.81,38.86,34.21,33.12,29.01,25.45,23.32
2017-01-16,23.03,22.44,22.35,22.44,22.66,22.71,25.61,32.91,32.31,33.02,33.82,33.18,31.96,30.81,29.86,28.0,28.27,33.6,38.08,34.0,32.12,29.46,25.62,23.09
2017-01-17,21.74,21.26,21.01,20.97,20.85,21.49,25.48,32.57,30.46,31.07,31.1,31.73,30.4,29.62,28.2,27.58,27.97,33.43,37.19,33.35,32.2,27.32,24.77,23.3
2017-01-18,21.73,21.3,20.85,20.79,20.75,22.53,26.51,34.77,33.17,31.39,30.74,30.0,28.87,28.07,26.9,26.26,26.7,32.92,35.69,32.72,31.86,28.08,24.69,23.27
2017-01-19,21.54,20.99,20.97,20.94,20.94,21.89,25.12,31.68,30.84,29.98,29.36,28.65,28.41,26.55,25.97,25.11,25.85,29.94,32.21,30.97,30.15,26.62,23.77,22.64
2017-01-20,22.01,21.15,20.52,20.95,21.2,22.06,26.31,32.6,30.39,30.1,29.53,28.88,28.52,26.99,26.78,25.55,25.68,29.89,30.87,28.65,27.95,25.22,22.87,21.9
2017-01-21,21.37,20.77,20.03,19.85,19.75,19.68,21.23,23.46,24.79,25.27,26.58,26.18,25.87,24.42,24.31,24.05,24.33,27.82,30.37,28.57,26.99,24.89,22.52,22.23
