date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,4909.0,4797.4,4715.7,4678.8,4687.6,4728.1,4813.7,4952.6,4995.7,4999.4,4949.3,4904.7,4859.4,4789.3,4714.8,4689.5,4723.6,4936.4,5311.4,5314.5,5271.9,5183.7,5067.0,4867.4
2017-01-02,4657.8,4509.0,4409.5,4365.0,4339.7,4387.5,4544.4,4777.6,4884.8,5023.2,5099.7,5197.9,5198.4,5236.0,5177.7,5165.2,5183.4,5400.5,5587.0,5529.5,5420.7,5285.3,5089.8,4838.5
2017-01-03,4628.8,4510.2,4431.8,4364.8,4378.7,4543.0,4773.4,5176.2,5480.7,5546.0,5616.0,5702.0,5757.7,5803.6,5868.3,5860.7,5899.3,6081.1,6296.7,6309.5,6236.6,6201.1,6070.9,5842.3
2017-01-04,5635.3,5564.9,5539.5,5519.0,5547.2,5744.7,6079.1,6542.8,6721.4,6650.3,6595.8,6547.5,6453.7,6343.8,6250.1,6196.8,6181.8,6389.0,6789.8,6813.7,6732.0,6634.5,6414.0,6147.5
2017-01-05,5895.4,5763.9,5685.3,5681.6,5688.0,5828.1,6151.1,6609.2,6823.2,6831.1,6863.6,6895.5,6816.9,6751.8,6710.5,6672.9,6722.6,6852.1,7123.6,7125.2,7061.0,6950.7,6739.0,6498.6
2017-01-06,6261.0,6134.4,6103.2,6092.8,6107.7,6298.1,6605.0,7022.0,7268.6,7230.5,7157.3,7087.7,7008.0,6901.8,6827.6,6762.5,6786.4,6925.9,7239.3,7231.3,7137.2,7049.2,6902.4,6707.0
2017-01-07,6488.4,6368.8,6308.0,6277.7,6260.4,6341.8,6440.4,6625.2,6741.0,6798.7,6767.2,6661.0,6509.3,6348.9,6251.8,6157.3,6148.6,6313.5,6701.7,6730.7,6698.9,6660.8,6564.2,6378.7
2017-01-08,6198.0,6078.0,5991.4,5979.3,6011.9,6065.3,6196.7,6356.9,6461.5,6525.8,6487.7,6413.9,6341.9,6252.2,6196.6,6182.1,6245.8,6434.7,6828.5,6848.6,6785.9,6646.6,6425.7,6135.3
2017-01-09,5912.2,5787.4,5699.6,5668.5,5695.4,5828.7,6099.1,6557.7,6739.0,6655.2,6648.3,6651.0,6598.1,6507.4,6482.3,6377.5,6345.3,6466.4,6740.6,6729.1,6686.8,6512.0,6258.7,5944.8
2017-01-10,5628.9,5459.4,5288.4,5216.2,5248.6,5311.5,5568.8,5930.3,6120.1,6014.6,5985.4,6002.2,5890.9,5815.6,5798.7,5708.7,5628.4,5721.1,5984.0,6035.8,6023.2,5913.2,5790.0,5596.1
2017-01-11,5373.9,5274.6,5252.7,5265.8,5300.9,5410.7,5727.3,6123.5,6269.1,6216.5,6185.5,6151.6,6097.1,5966.8,5836.8,5747.4,5659.8,5722.3,5914.7,5851.1,5773.7,5636.9,5380.0,5189.9
2017-01-12,4925.8,4843.3,4732.4,4680.3,4728.6,4879.5,5155.2,5586.6,5842.4,5831.9,5910.6,5969.0,5982.2,5998.1,6024.2,6013.5,6044.3,6235.7,6519.2,6504.1,6478.7,6372.5,6194.8,6007.0
2017-01-13,5768.6,5618.9,5551.7,5521.6,5563.4,5663.3,5955.1,6317.2,6531.2,6545.1,6586.7,6621.0,6563.5,6480.4,6421.8,6378.2,6347.6,6432.3,6595.4,6483.6,6344.5,6206.0,6022.5,5805.6
2017-01-14,5552.3,5384.7,5260.9,5191.5,5171.2,5225.5,5387.7,5556.3,5673.2,5780.4,5920.6,6005.0,6030.4,5955.4,5878.3,5786.6,5814.2,5939.5,6165.0,6111.1,5995.9,5905.2,5702.5,5466.8
2017-01-15,5240.9,5099.5,5037.9,4928.1,4922.6,5012.4,5097.0,5231.7,5351.5,5463.2,5571.2,5622.4,5661.4,5696.9,5638.2,5679.8,5666.6,5783.3,6003.6,5943.4,5841.8,5749.1,5567.9,5300.1
2017-01-16,5162.8,5013.2,4944.4,4909.1,4913.6,5025.7,5231.3,5536.4,5713.5,5822.8,5923.0,5979.3,5980.6,5928.0,5868.0,5798.8,5735.4,5803.9,6009.2,5945.8,5772.1,5646.5,5429.0,5082.7
2017-01-17,4896.2,4686.3,4560.2,4526.1,4536.7,4701.1,4989.5,5429.1,5707.5,5687.3,5698.7,5721.6,5707.0,5690.7,5675.0,5641.7,5654.2,5797.2,6028.5,6002.6,5911.3,5843.6,5647.5,5385.5
2017-01-18,5141.1,5022.0,4975.6,4908.0,4902.6,5005.5,5353.5,5761.7,5940.2,5926.0,5946.1,5886.0,5813.4,5705.0,5565.3,5513.3,5520.2,5643.5,5939.8,6000.7,5932.8,5873.7,5743.8,5458.6
2017-01-19,5212.7,5042.4,4960.5,4889.6,4960.8,5022.8,5304.9,5686.2,5852.4,5827.2,5847.0,5855.8,5776.3,5741.6,5748.2,5662.4,5633.1,5716.4,5904.4,5907.3,5824.1,5763.0,5541.9,5254.6
2017-01-20,4999.9,4807.3,4755.2,4669.3,4675.7,4777.2,5075.3,5473.0,5632.1,5618.4,5643.4,5572.7,5515.4,5462.5,5456.2,5396.2,5284.6,5347.4,5518.3,5480.3,5388.7,5267.5,5109.2,4900.1
2017-01-21,4638.4,4462.7,4301.9,4250.6,4240.0,4334.9,4437.4,4641.1,4740.7,4843.4,4917.1,4913.7,4854.9,4745.2,4673.4,4622.0,4576.7,4657.2,4951.7,4972.5,4890.4,4816.7,4689.2,4506.0
2017-01-22,4295.1,4142.4,4081.3,4063.5,4057.0,4108.8,4212.2,4375.2,4509.4,4671.9,4752.5,4791.9,4790.3,4778.2,4784.3,4777.6,4822.1,4967.4,5331.6,5400.0,5355.7,5203.8,5094.8,4865.7
2017-01-23,4687.2,4616.7,4561.2,4547.0,4566.9,4706.1,5063.7,5540.7,5823.8,5815.6,5818.1,5890.9,5880.3,5827.6,5803.7,5791.9,5769.9,5895.7,6124.3,6084.3,5966.3,5870.4,5676.9,5399.1
2017-01-24,5142.0,4987.5,4872.8,4821.0,4836.8,4968.2,5264.4,5679.2,5811.7,5818.7,5791.4,5744.9,5673.4,5595.5,5567.6,5557.1,5529.1,5597.6,5861.5,5949.1,5891.6,5808.2,5637.7,5420.9
