date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,26004.4,25082.9,24359.9,23943.4,23728.8,23713.7,24179.1,24926.9,25452.6,25899.2,26310.2,26463.1,26492.8,26327.7,26120.4,26056.3,26581.2,28507.9,30260.3,30207.8,29706.2,28840.4,27921.5,26618.1
2017-01-02,25295.6,24359.9,23831.0,23661.3,23704.8,24216.9,25336.6,26716.8,27584.2,28257.9,29005.3,29449.9,29528.2,29435.3,29360.1,29422.5,30021.0,31602.5,32608.8,32274.0,31536.6,30488.3,29072.3,27325.6
2017-01-03,26198.2,25407.6,24945.2,24779.6,25025.8,26126.1,28406.4,31223.2,32747.6,33044.9,33264.5,33411.9,33298.8,33312.4,33253.3,33081.8,33231.5,34472.4,35661.7,35495.3,34869.0,33854.8,32304.9,30482.0
2017-01-04,29299.1,28481.2,27944.7,27781.2,28126.6,29225.1,31541.0,34343.7,35630.2,35733.9,35715.3,35569.6,35444.4,35332.2,35212.2,35002.0,35113.1,36322.2,37704.0,37550.7,36925.2,35899.3,34364.4,32512.0
2017-01-05,31055.3,30247.4,29690.0,29439.6,29640.2,30594.8,32849.1,35461.6,36658.0,36589.4,36591.5,36552.6,36260.0,36110.6,35934.0,35676.0,35630.4,36565.3,37649.5,37332.5,36810.2,35862.5,34483.4,33053.9
2017-01-06,31705.1,30768.5,30157.8,29914.8,30073.2,30979.2,32954.8,35407.8,36529.4,36519.1,36368.0,36249.5,35947.9,35611.2,35191.1,34681.8,34613.1,35743.1,36816.1,36443.1,35852.2,34999.4,33792.4,32256.1
2017-01-07,30965.2,29935.8,29306.0,28918.6,28849.5,29139.9,29990.0,31141.7,31900.1,32638.3,33049.8,33137.2,32956.3,32631.9,32178.4,31899.7,32153.9,33396.8,34744.8,34524.9,34035.3,33356.6,32354.8,30970.6
2017-01-08,29855.2,29068.4,28553.0,28230.1,28209.4,28451.1,29020.6,29802.2,30519.0,31048.4,31472.7,31598.6,31697.9,31715.0,31608.8,31643.2,32038.8,33402.7,34776.0,34507.4,34087.5,33013.1,31499.7,30003.8
2017-01-09,28867.2,28296.2,28004.0,27881.8,28174.6,29289.3,31604.5,34374.1,35526.2,35648.6,35771.1,35885.9,35685.6,35385.4,35129.5,34850.0,34738.6,35801.4,36627.3,36374.2,35616.1,34324.9,32653.5,30604.0
2017-01-10,29172.6,28145.8,27416.9,27093.9,27240.3,28168.3,30350.3,33012.8,34319.4,34590.1,34821.2,34835.6,34727.4,34828.1,34700.7,34259.6,34155.6,35036.2,36342.1,36196.0,35305.8,34124.6,32595.2,30830.8
