date,kind,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,dwpc,-7.12,-7.26,-7.35,-7.1,-7.29,-7.32,-7.29,-7.26,-6.35,-5.38,-5.85,-6.33,-7.03,-7.66,-8.47,-7.91,-5.98,-5.64,-5.93,-6.02,-5.58,-5.72,-5.88,-5.4
2017-01-01,relh,73.0,74.31,77.22,80.52,82.66,82.29,82.14,82.15,78.59,71.57,60.59,55.17,48.21,45.85,42.4,46.38,61.18,66.85,69.03,71.26,74.22,76.45,77.45,77.71
2017-01-01,sped,7.92,7.03,6.27,6.59,7.09,5.59,6.01,4.73,5.65,6.77,5.98,2.53,2.97,5.67,5.75,7.7,7.19,7.67,6.9,7.57,7.52,6.9,8.28,7.98
2017-01-01,tmpc,-2.94,-3.33,-3.92,-4.22,-4.75,-4.72,-4.7,-4.68,-3.15,-0.88,0.79,1.76,2.97,3.2,3.5,2.72,0.68,-0.22,-0.96,-1.47,-1.58,-2.11,-2.44,-2.0
2017-01-02,dwpc,-5.38,-5.34,-5.33,-5.56,-5.78,-6.01,-6.21,-5.58,-4.32,-3.94,-4.61,-3.89,-3.1,-2.93,-2.79,-2.2,-1.55,-0.87,-0.39,-0.37,-0.06,1.12,0.76,1.06
2017-01-02,relh,78.19,76.55,78.52,77.92,81.4,83.94,86.1,80.7,76.5,66.34,54.96,55.01,62.33,67.32,71.46,76.86,76.25,82.62,88.08,90.46,92.24,94.01,93.88,94.65
2017-01-02,sped,7.39,7.25,6.32,6.32,8.49,8.36,10.88,10.93,10.7,12.23,12.78,12.73,11.59,10.92,8.91,7.96,8.47,6.57,6.16,5.67,8.05,6.32,3.04,1.86
2017-01-02,tmpc,-2.06,-1.75,-2.08,-2.21,-3.0,-3.64,-4.12,-2.64,-0.68,1.69,3.72,4.7,3.6,2.62,1.91,1.51,2.27,1.8,1.37,1.02,1.06,1.99,1.63,1.82
2017-01-03,dwpc,0.52,1.68,0.56,0.17,0.97,-0.23,-1.03,-1.78,-1.17,-3.68,-1.28,-1.24,-1.36,-1.87,-2.33,-2.35,-3.1,-3.43,-3.46,-3.56,-3.82,-4.03,-4.62,-5.1
2017-01-03,relh,94.07,94.41,94.44,92.9,94.58,91.35,89.57,90.95,91.43,87.1,89.37,90.36,89.37,89.0,88.31,88.31,88.69,88.56,89.53,89.56,89.05,88.93,87.14,84.97
2017-01-03,sped,1.42,2.82,2.63,6.37,8.36,11.06,10.81,12.52,11.83,14.18,9.89,13.42,10.58,13.08,11.31,12.65,12.42,12.08,12.65,13.47,15.97,16.22,14.72,14.49
2017-01-03,tmpc,1.37,2.49,1.35,1.19,1.75,1.03,0.51,-0.48,0.07,-1.8,0.28,0.15,0.2,-0.25,-0.58,-0.6,-1.44,-1.76,-1.96,-2.07,-2.26,-2.47,-2.79,-2.94
2017-01-04,dwpc,-5.4,-6.57,-8.57,-10.26,-11.49,-12.43,-13.93,-14.33,-16.6,-15.32,-14.75,-14.6,-14.18,-14.47,-14.97,-14.36,-14.18,-14.18,-14.44,-14.88,-14.15,-14.75,-14.78,-14.78
2017-01-04,relh,84.76,83.03,75.88,74.81,75.9,75.9,73.43,77.1,75.31,70.38,71.63,71.16,72.32,69.31,65.72,70.85,72.24,72.21,71.3,69.0,76.56,72.82,74.32,75.45
2017-01-04,sped,16.24,17.39,15.87,16.23,16.53,16.33,16.29,16.83,16.99,16.37,19.55,18.17,17.48,16.1,17.91,15.14,13.8,12.94,13.49,14.95,12.08,10.12,10.2,11.17
2017-01-04,tmpc,-3.22,-4.14,-4.99,-6.56,-8.0,-8.97,-10.08,-11.12,-13.17,-10.97,-10.61,-10.36,-10.12,-9.9,-9.75,-10.06,-10.12,-10.12,-10.25,-10.28,-10.85,-10.82,-11.11,-11.3
2017-01-05,dwpc,-15.32,-15.76,-15.82,-15.26,-17.28,-17.81,-16.06,-16.25,-16.07,-17.12,-17.84,-17.54,-17.7,-18.32,-18.42,-18.06,-18.5,-19.94,-19.31,-17.99,-18.11,-18.7,-18.68,-18.47
2017-01-05,relh,72.5,71.77,72.79,76.81,73.14,71.77,74.19,73.91,75.2,66.82,61.09,62.89,62.03,63.95,57.32,62.74,63.58,66.14,69.48,72.2,73.08,71.45,72.29,76.04
2017-01-05,sped,11.83,10.69,9.2,9.2,10.69,9.78,9.66,11.17,11.08,10.24,11.27,10.99,11.5,11.12,11.12,9.78,10.21,10.04,10.06,9.91,9.39,9.82,8.05,8.68
2017-01-05,tmpc,-11.36,-11.7,-11.93,-12.03,-13.49,-13.8,-12.4,-12.56,-12.58,-12.22,-11.83,-11.88,-11.89,-12.91,-11.65,-12.4,-13.04,-15.04,-14.98,-14.07,-14.35,-14.68,-14.8,-15.21
2017-01-06,dwpc,-18.61,-18.97,-19.83,-20.06,-19.62,-19.5,-19.83,-19.36,-18.56,-18.08,-18.47,-18.62,-18.71,-17.92,-18.2,-17.53,-17.58,-17.56,-17.29,-18.68,-18.43,-18.15,-17.83,-18.06
2017-01-06,relh,78.68,76.15,72.62,73.65,75.59,77.19,78.4,80.04,78.62,72.31,66.66,63.59,59.93,62.58,60.14,63.55,69.26,71.0,72.68,68.31,73.62,78.06,81.67,80.97
2017-01-06,sped,6.71,6.9,5.29,4.6,4.73,3.71,3.94,4.27,5.75,7.76,6.9,6.64,7.48,8.05,7.48,6.76,5.18,4.25,5.37,5.37,6.13,4.22,5.09,4.98
2017-01-06,tmpc,-15.76,-15.74,-16.04,-16.44,-16.32,-16.44,-16.97,-16.74,-15.7,-14.18,-13.58,-13.17,-12.51,-12.21,-12.03,-12.02,-13.14,-13.42,-13.43,-14.11,-14.76,-15.18,-15.4,-15.53
2017-01-07,dwpc,-18.53,-18.97,-19.38,-19.4,-18.65,-18.0,-17.74,-17.38,-17.0,-16.36,-15.94,-16.5,-16.52,-15.53,-16.53,-16.38,-15.7,-14.98,-14.96,-17.25,-19.18,-18.71,-18.4,-18.18
2017-01-07,relh,79.48,78.58,79.07,78.61,80.28,81.4,81.29,81.24,80.05,77.88,75.06,66.95,64.35,69.26,62.43,63.0,70.24,76.76,77.58,66.09,61.57,66.13,69.81,72.32
2017-01-07,sped,4.76,4.6,4.93,4.86,5.18,4.31,5.37,8.47,8.86,10.86,10.35,11.5,13.42,12.5,14.66,13.16,12.22,8.43,9.93,11.17,8.97,8.71,8.05,6.33
2017-01-07,tmpc,-15.79,-16.11,-16.6,-16.56,-16.04,-15.54,-15.25,-14.88,-14.3,-13.3,-12.42,-11.56,-11.07,-10.92,-10.7,-10.64,-11.25,-11.68,-11.78,-12.18,-13.32,-13.74,-14.08,-14.29
2017-01-08,dwpc,-18.04,-18.18,-18.33,-19.23,-19.29,-18.72,-19.03,-18.54,-18.01,-17.61,-17.26,-17.11,-17.0,-16.12,-16.38,-16.14,-15.68,-15.0,-14.56,-14.12,-13.86,-13.68,-13.35,-13.26
2017-01-08,relh,75.46,75.61,77.18,77.02,77.15,76.0,74.09,72.98,67.7,62.11,59.61,57.82,58.96,61.02,58.42,60.05,62.38,64.88,67.0,69.03,69.14,69.97,71.86,72.3
2017-01-08,sped,8.43,6.47,6.39,6.26,5.57,5.54,6.76,8.26,9.2,9.55,11.38,11.04,10.98,11.85,12.55,10.84,10.78,9.2,7.48,5.56,6.27,7.16,6.78,3.76
2017-01-08,tmpc,-14.67,-14.83,-15.24,-16.13,-16.21,-15.44,-15.44,-14.75,-13.26,-11.78,-10.9,-10.39,-10.5,-9.96,-9.65,-9.83,-9.83,-9.62,-9.57,-9.5,-9.24,-9.21,-9.2,-9.2
2017-01-09,dwpc,-13.4,-13.61,-14.04,-12.68,-13.0,-13.4,-13.25,-12.51,-12.04,-11.49,-10.79,-10.08,-9.27,-8.7,-8.24,-8.45,-8.48,-8.33,-8.01,-7.7,-7.65,-7.53,-5.97,-5.06
