date,accum_confirm,new_confirm,infect_rate,accum_death,new_death,fatal_rate
2020-01-23,0,0,0.0,0,0,0.0
2020-01-24,2,2,0.0,0,0,0.0
2020-01-25,2,0,0.0,0,0,0.0
2020-01-26,2,0,0.0,0,0,0.0
2020-01-27,2,0,0.0,0,0,0.0
2020-01-28,2,0,0.0,0,0,0.0
2020-01-29,2,0,0.0,0,0,0.0
2020-01-30,2,0,0.0,0,0,0.0
2020-01-31,4,2,0.0,0,0,0.0
2020-02-01,4,0,0.0,0,0,0.0
2020-02-02,4,0,0.0,0,0,0.0
2020-02-03,4,0,0.0,0,0,0.0
2020-02-04,4,0,0.0,0,0,0.0
2020-02-05,4,0,0.0,0,0,0.0
2020-02-06,4,0,0.0,0,0,0.0
2020-02-07,4,0,0.0,0,0,0.0
2020-02-08,4,0,0.0,0,0,0.0
2020-02-09,4,0,0.0,0,0,0.0
2020-02-10,4,0,0.0,0,0,0.0
2020-02-11,4,0,0.0,0,0,0.0
2020-02-12,4,0,0.0,0,0,0.0
2020-02-13,4,0,0.0,0,0,0.0
2020-02-14,4,0,0.0,0,0,0.0
2020-02-15,4,0,0.0,0,0,0.0
2020-02-16,4,0,0.0,0,0,0.0
2020-02-17,4,0,0.0,0,0,0.0
2020-02-18,4,0,0.0,0,0,0.0
2020-02-19,4,0,0.0,0,0,0.0
2020-02-20,4,0,0.0,0,0,0.0
2020-02-21,4,0,0.0,0,0,0.0
2020-02-22,4,0,0.0,0,0,0.0
2020-02-23,4,0,0.0,0,0,0.0
2020-02-24,4,0,0.0,0,0,0.0
2020-02-25,4,0,0.0,0,0,0.0
2020-02-26,4,0,0.0,0,0,0.0
2020-02-27,4,0,0.0,0,0,0.0
2020-02-28,4,0,0.0,0,0,0.0
2020-02-29,4,0,0.0,0,0,0.0
2020-03-01,6,2,0.0,0,0,0.0
2020-03-02,8,2,0.0,0,0,0.0
2020-03-03,8,0,0.0,0,0,0.0
2020-03-04,8,0,0.0,0,0,0.0
2020-03-05,10,2,0.0,0,0,0.0
2020-03-06,12,2,0.0,0,0,0.0
2020-03-07,14,2,0.0,0,0,0.0
2020-03-08,18,4,0.0,0,0,0.0
2020-03-09,23,5,0.0,0,0,0.0
2020-03-10,46,23,0.0,0,0,0.0
2020-03-11,97,51,0.0,0,0,0.0
2020-03-12,140,43,0.0,0,0,0.0
2020-03-13,209,69,0.0,0,0,0.0
2020-03-14,322,113,0.0,1,1,0.31
2020-03-15,352,30,0.0,2,1,0.57
2020-03-16,506,154,0.0,4,2,0.79
2020-03-17,803,297,0.0,8,4,1.0
2020-03-18,1238,435,0.0,12,4,0.97
2020-03-19,1871,634,0.0,26,14,1.39
2020-03-20,2394,522,0.0,31,5,1.3
2020-03-21,3600,1207,0.01,45,14,1.24
2020-03-22,5157,1557,0.01,55,10,1.06
2020-03-23,6606,1448,0.01,91,36,1.37
2020-03-24,8347,1742,0.01,116,25,1.39
2020-03-25,10469,2121,0.02,177,61,1.69
2020-03-26,12258,1789,0.02,239,62,1.95
2020-03-27,16696,4438,0.03,343,104,2.05
2020-03-28,20062,3366,0.03,425,82,2.12
2020-03-29,24002,3940,0.04,503,78,2.1
2020-03-30,27049,3047,0.05,619,116,2.29
2020-03-31,32490,5441,0.05,827,209,2.55
2020-04-01,38430,5940,0.06,1047,220,2.72
2020-04-02,45256,6826,0.08,1244,197,2.75
2020-04-03,51123,5868,0.09,1503,259,2.94
2020-04-04,59746,8623,0.1,1717,214,2.87
2020-04-05,64805,5059,0.11,1998,281,3.08
2020-04-06,71459,6654,0.12,2245,247,3.14
2020-04-07,78761,7302,0.13,2663,418,3.38
2020-04-08,85050,6290,0.14,3081,418,3.62
2020-04-09,91682,6632,0.15,3475,394,3.79
2020-04-10,98506,6823,0.16,3977,501,4.04
2020-04-11,104486,5980,0.17,4375,399,4.19
2020-04-12,110437,5952,0.18,4626,251,4.19
2020-04-13,115639,5202,0.19,4978,352,4.3
2020-04-14,121016,5377,0.2,5540,562,4.58
2020-04-15,126708,5692,0.21,6043,503,4.77
2020-04-16,132136,5428,0.22,6498,455,4.92
2020-04-17,139594,7458,0.23,7015,517,5.03
2020-04-18,145728,6134,0.24,7484,469,5.14
2020-04-19,151097,5369,0.25,7713,230,5.1
2020-04-20,156349,5252,0.26,7999,285,5.12
2020-04-21,161960,5611,0.27,8575,577,5.29
2020-04-22,169186,7226,0.28,9164,588,5.42
2020-04-23,176857,7671,0.29,9747,583,5.51
2020-04-24,186409,9552,0.31,10230,483,5.49
2020-04-25,194072,7663,0.32,10605,375,5.46
2020-04-26,201222,7150,0.34,10998,394,5.47
2020-04-27,208282,7059,0.35,11341,342,5.45
2020-04-28,216296,8014,0.36,11963,622,5.53
2020-04-29,224495,8199,0.37,12418,454,5.53
