date,fuel,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,coal,31578.3,30526.3,29873.1,29879.2,30302.8,31799.1,31753.2,33382.9,34882.2,35283.3,36035.6,36309.9,36188.0,36346.9,36109.0,35872.9,36189.0,37095.5,39061.8,39359.1,38846.9,37677.5,35746.6,33316.1
2017-01-01,gas,6145.5,5959.5,5893.4,5792.8,5774.0,5780.0,5750.7,6000.5,6173.4,6216.0,6243.2,6265.3,6202.7,6211.0,6248.7,6256.1,6251.4,6699.6,7378.4,7383.9,6730.7,6430.8,6169.7,5933.8
2017-01-01,hydro,675.4,652.2,628.3,629.3,627.0,690.3,696.5,721.7,741.2,748.6,730.6,656.2,636.9,634.4,637.3,659.0,690.1,1939.6,2513.4,1978.3,1536.2,1057.3,751.7,677.7
2017-01-01,nuclear,11882.8,11881.4,11882.5,11881.9,11883.5,11881.5,11881.7,11885.6,11880.4,11880.8,11879.3,11876.8,11874.3,11875.8,11876.9,11873.7,11871.7,11874.1,11869.5,11870.0,11870.4,11871.1,11873.3,11876.4
2017-01-01,other,1039.6,1055.0,1067.4,1065.3,1067.1,1069.7,1067.5,1064.8,1064.8,1075.4,1099.6,1124.0,1141.8,1128.8,1115.7,1100.4,1086.3,1072.4,1077.2,1080.6,1079.2,1076.0,1073.6,1070.7
2017-01-01,wind,10333.1,9998.9,9102.8,8123.5,7199.1,5884.2,5182.1,4800.5,4390.3,4126.9,3530.2,3186.3,2905.4,2349.3,1886.0,1781.5,1980.9,2382.4,2942.7,3932.5,4853.0,5580.2,6330.0,6984.6
2017-01-02,coal,31436.4,29725.9,29245.4,28615.6,28118.6,28733.4,29917.0,32214.6,34584.7,36471.6,38629.2,39984.6,40470.3,40591.0,40358.1,40419.0,40292.0,40118.1,40639.9,41068.8,40792.7,40309.4,39346.6,37210.8
2017-01-02,gas,5852.0,5756.7,5707.8,5698.1,5737.0,5816.9,5854.3,6063.1,6263.3,6406.1,7175.9,7746.5,8399.1,8249.0,7833.2,7847.4,8692.5,9605.1,10383.6,11199.4,9871.0,8842.8,7222.2,6536.1
2017-01-02,hydro,625.6,599.6,581.1,580.6,502.8,637.3,646.1,656.3,717.4,744.3,773.8,993.3,743.3,706.1,713.0,712.9,818.1,2212.7,2690.9,2022.9,2026.8,1333.6,796.3,732.0
2017-01-02,nuclear,11879.7,11881.6,11883.8,11883.3,11882.1,11879.3,11875.9,11875.9,11869.0,11864.4,11864.6,11859.9,11856.7,11858.4,11861.1,11862.4,11860.8,11864.1,11863.1,11858.2,11856.4,11856.5,11779.3,11615.4
2017-01-02,other,1070.8,1072.4,1075.8,1074.7,1071.8,1075.8,1077.8,1087.6,1095.6,1093.3,1097.3,1108.1,1122.7,1131.1,1137.0,1130.4,1135.5,1144.8,1132.0,1147.2,1144.0,1140.0,1115.6,1095.4
2017-01-02,wind,7032.9,6598.8,5936.4,5945.5,6615.5,6571.9,6327.5,6088.4,5727.4,5503.7,4688.2,4493.6,3910.2,3536.9,3621.9,3147.7,2819.2,2910.9,3085.6,2617.7,2316.9,2438.8,2759.8,3371.5
2017-01-03,coal,34953.1,32847.8,30560.3,29421.6,28966.5,29943.2,32261.8,35488.7,38365.3,39144.2,39816.0,40200.8,39917.6,40112.2,40043.7,39431.4,39186.4,38825.9,39838.2,40766.2,40831.6,40122.1,39021.0,36523.5
2017-01-03,gas,6250.2,6041.7,5940.8,5918.8,5985.6,6281.7,6815.5,8236.1,8873.9,8684.9,8689.3,8707.1,8316.8,8363.9,8365.1,8075.6,8292.5,9117.4,9935.9,10137.0,9500.1,8753.6,7601.0,7365.1
2017-01-03,hydro,703.3,648.3,659.7,664.3,664.3,728.5,732.8,1011.2,815.9,766.6,762.6,684.8,683.3,684.0,678.9,706.0,949.1,2364.0,2472.2,1888.2,1309.8,868.1,777.1,697.2
2017-01-03,nuclear,11599.3,11589.1,11584.0,11582.4,11583.4,11587.8,11586.9,11587.9,11580.0,11579.3,11579.9,11577.7,11580.5,11578.9,11574.0,11573.3,11573.0,11577.6,11581.0,11586.4,11590.3,11591.5,11593.6,11599.3
2017-01-03,other,1092.7,1086.2,1032.4,967.4,932.9,940.3,979.3,1029.7,1068.4,1069.9,1092.8,1141.7,1146.2,1134.2,1139.4,1134.1,1136.6,1135.8,1148.6,1138.5,1127.4,1114.9,1087.3,1080.2
2017-01-03,wind,4048.6,4599.9,5547.4,6331.0,6778.2,7157.1,7936.5,8653.7,8890.6,9060.2,9291.4,9590.1,9972.5,10232.9,10550.0,10872.4,11165.0,11466.1,11540.9,11610.1,11723.5,12029.9,12113.0,12285.2
2017-01-04,coal,34190.1,31472.3,30568.9,30395.9,31157.7,32498.9,35245.2,37958.2,40086.5,40585.6,40957.9,41280.9,41480.6,41356.9,40797.8,40762.9,41207.0,42041.6,43236.6,43780.1,43489.8,43296.4,43046.1,42386.7
2017-01-04,gas,7490.4,7280.9,7339.5,7473.9,7705.4,8832.4,10343.9,12818.9,14072.5,13383.6,13354.3,13287.2,13504.8,13199.4,13085.0,13100.5,13540.3,15158.9,17214.7,18128.6,18277.3,17848.6,15753.9,13889.7
2017-01-04,hydro,627.7,617.6,605.6,598.8,608.2,678.8,684.5,1432.5,927.9,751.8,736.1,673.3,664.0,670.2,663.5,673.5,710.1,1616.3,2592.0,2446.4,2003.4,996.2,755.2,687.8
2017-01-04,nuclear,11602.3,11604.3,11606.7,11606.5,11606.3,11607.1,11607.3,11603.7,11606.1,11608.0,11607.3,11610.2,11610.0,11611.0,11612.4,11608.2,11607.4,11602.6,11605.5,11604.9,11600.9,11605.1,11471.0,11329.4
2017-01-04,other,1080.3,1077.1,1071.3,1080.4,1083.2,1103.7,1113.5,1123.9,1108.9,1023.7,1010.5,1026.3,1028.6,1037.0,1026.5,1050.5,1091.4,1145.3,1229.8,1228.6,1221.1,1201.5,1166.8,1155.4
2017-01-04,wind,11974.8,12062.5,11820.3,11727.2,11580.4,11177.5,10957.5,10576.6,10063.4,9608.7,9149.9,8620.2,8110.2,7893.9,7758.9,7524.7,7098.7,6462.6,5838.0,5351.0,5265.7,5668.6,5845.5,5901.9
2017-01-05,coal,40417.5,38652.8,37853.0,37691.9,37834.6,38698.3,39851.8,41313.2,42781.9,43445.8,43766.2,44052.7,44042.7,43706.1,43296.6,42971.0,42751.0,43095.6,44173.7,44553.4,44330.3,43832.0,43400.5,43099.1
2017-01-05,gas,12653.4,11989.4,11936.5,11948.4,12266.7,13361.2,15304.4,17129.4,19355.2,19356.7,19732.9,19916.2,19142.6,18247.1,17877.2,18008.3,17717.8,18652.2,20501.3,20177.7,19316.7,19076.4,17405.4,16632.7
2017-01-05,hydro,684.0,666.2,628.3,622.2,628.6,688.6,971.5,2477.8,1728.4,1138.5,890.3,660.6,649.4,664.2,669.9,668.3,826.7,2158.6,2432.0,1979.0,1418.0,796.7,752.0,681.0
2017-01-05,nuclear,11425.0,11468.8,11556.9,11687.9,11736.2,11752.0,11764.5,11776.2,11785.6,11796.0,11807.4,11824.9,11835.5,11841.2,11848.4,11856.7,11868.2,11871.2,11869.0,11867.4,11865.6,11868.3,11871.2,11875.8
2017-01-05,other,1153.2,1156.5,1149.8,1149.5,1135.7,1130.2,1152.4,1212.2,1223.2,1211.1,1242.8,1241.2,1247.3,1252.6,1244.0,1236.7,1216.4,1199.3,1197.9,1208.9,1207.9,1182.8,1146.9,1147.2
2017-01-05,wind,5871.8,5796.6,5647.3,5531.8,5594.9,5338.8,5488.2,5799.0,5899.0,5833.5,5731.7,5402.6,5400.8,6040.7,6796.8,7062.3,6958.2,6462.5,5802.5,5958.9,6439.6,6639.1,6315.0,5747.8
2017-01-06,coal,41929.1,41392.0,41004.9,41124.8,41463.3,42240.6,43338.3,44481.9,44511.6,44538.8,44685.0,44712.7,44849.1,44905.9,44723.5,44630.8,44718.1,44761.7,44838.3,44849.4,44737.0,44188.3,43586.8,43301.4
2017-01-06,gas,15828.6,15741.1,15577.8,15829.9,16441.2,17998.8,20852.0,24002.9,27502.5,28118.8,29182.7,28999.6,28138.7,27304.5,26975.2,26313.4,26065.9,27078.3,29761.8,29177.1,27725.9,27798.4,26414.3,24607.0
2017-01-06,hydro,642.5,635.5,625.3,624.6,646.5,683.8,1119.2,2417.3,2182.2,1900.3,1162.5,675.4,634.6,624.4,627.6,633.1,709.3,1701.8,2410.1,2547.7,2292.4,1262.5,701.0,601.7
2017-01-06,nuclear,11873.7,11871.7,11874.1,11872.8,11870.7,11866.9,11858.9,11858.1,11856.7,11855.9,11852.2,11858.7,11862.5,11863.3,11863.6,11859.5,11864.5,11869.5,11871.2,11877.3,11877.5,11786.7,11452.8,11161.4
2017-01-06,other,1146.1,1143.0,1142.9,1133.2,1136.8,1133.6,1171.5,1217.6,1213.5,1208.8,1283.0,1309.3,1281.4,1255.4,1257.3,1243.7,1227.7,1210.9,1254.5,1272.7,1214.4,1184.8,1151.5,1147.2
2017-01-06,wind,5294.3,4923.4,4456.7,3978.4,3333.3,2809.6,2457.4,2402.2,2130.7,1990.2,2056.5,2096.4,2020.1,2021.7,1918.9,1774.5,1740.3,1814.2,1930.8,2537.9,3129.2,3721.6,4065.9,3841.0
2017-01-07,coal,42822.6,42105.1,41489.1,41441.5,41431.9,41805.9,42312.0,43140.6,43375.4,43451.5,43712.8,43931.7,43993.1,43846.8,43810.5,43178.2,43191.0,43828.3,44599.1,44692.5,44449.6,44206.7,43276.1,42567.6
2017-01-07,gas,23021.0,22494.7,22045.0,22090.8,21913.1,22714.5,22929.1,24849.6,26657.4,26594.6,26867.0,26326.3,24879.6,22026.6,20492.1,19774.4,19922.4,21886.0,24061.3,24916.1,25018.7,25035.2,23744.5,23040.1
2017-01-07,hydro,563.8,562.1,562.1,565.9,582.8,611.7,686.9,1363.0,1674.4,1683.1,1134.0,708.1,605.1,574.4,563.1,556.8,558.2,663.1,1763.6,1301.1,839.2,700.8,594.4,529.0
2017-01-07,nuclear,11081.2,11125.9,11164.3,11241.0,11273.1,11296.2,11397.3,11394.1,11224.7,10990.7,10829.9,10839.3,10852.3,10866.4,10882.0,10895.5,10894.6,10894.7,10900.3,10910.3,10917.2,10917.8,10871.4,10840.4
2017-01-07,other,1147.4,1146.3,1136.4,1144.6,1127.0,1140.1,1152.4,1188.0,1199.0,1220.1,1250.6,1233.8,1223.5,1215.5,1188.4,1150.6,1108.5,1067.5,1081.7,1075.0,1032.1,998.8,968.9,1003.2
2017-01-07,wind,3399.1,3061.3,2726.0,2522.8,2650.4,2932.4,3164.5,3185.2,3380.9,3803.1,4064.5,4111.1,4146.6,4573.8,4783.9,4922.9,4584.7,4105.6,4209.1,4557.6,4805.9,4717.6,4506.8,4235.4
2017-01-08,coal,41431.0,41083.3,40923.1,41178.1,41421.9,41525.9,41792.5,41454.8,41946.9,41244.6,41681.5,42054.2,41598.5,41461.8,40855.2,40197.2,39988.9,41111.9,43614.2,44298.9,44385.2,43962.4,43018.3,42953.1
2017-01-08,gas,22036.6,21314.1,20541.3,20360.7,19517.8,19335.7,19491.3,20926.1,21974.2,22255.8,21157.5,19809.8,18659.0,18082.9,17072.6,16420.9,16588.7,17777.1,19973.7,19820.2,19948.9,19629.1,18730.5,17988.0
