date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,20.2,19.35,19.17,19.38,19.76,20.09,19.85,20.89,21.92,23.03,23.57,24.19,24.23,23.99,23.65,23.33,24.1,29.34,32.21,28.32,26.92,24.39,22.77,21.41
2017-01-02,20.65,19.68,19.56,19.66,19.92,20.15,20.83,22.24,22.77,24.71,26.12,26.76,28.02,27.37,25.63,25.5,26.82,35.08,37.83,33.51,30.68,26.19,22.75,21.49
2017-01-03,21.43,20.58,20.11,19.87,19.67,20.01,22.25,29.1,27.76,27.96,28.97,28.37,27.69,26.86,26.27,25.81,26.98,32.68,36.68,31.82,30.6,27.28,23.87,21.8
2017-01-04,20.42,19.9,19.63,19.69,20.42,21.89,26.92,34.95,31.94,32.37,32.95,31.81,30.79,30.19,28.65,27.79,29.93,41.78,48.68,43.97,41.06,36.56,30.75,29.0
2017-01-05,28.04,25.57,25.12,25.18,25.57,27.48,33.36,45.45,40.51,38.74,37.17,35.28,32.6,31.61,29.87,28.22,29.99,39.39,47.13,42.75,39.5,35.01,30.37,29.63
2017-01-06,28.41,26.92,26.21,26.43,27.17,30.58,37.09,52.79,47.53,45.76,45.1,42.49,38.5,36.98,34.97,33.68,37.51,49.26,59.52,52.28,48.69,42.32,37.89,34.47
2017-01-07,37.83,34.32,33.33,33.7,34.59,35.31,36.24,46.58,48.2,49.72,47.73,42.23,36.89,33.64,30.53,29.35,30.18,41.4,50.49,47.89,44.0,39.41,36.9,35.09
2017-01-08,36.84,32.73,30.25,29.82,28.95,29.18,30.49,36.44,36.71,37.27,35.08,30.57,27.94,26.59,25.26,24.51,25.02,32.23,39.15,35.57,33.86,31.03,28.23,27.54
2017-01-09,26.33,25.23,25.39,26.21,26.95,29.57,37.56,56.44,50.97,45.07,42.4,37.84,34.78,30.98,28.05,26.15,26.23,34.37,40.11,35.24,31.91,28.12,26.08,24.2
2017-01-10,22.39,21.75,21.81,21.62,21.89,22.25,25.19,33.93,30.2,27.56,26.41,24.85,23.66,22.94,22.59,22.6,23.7,30.93,35.44,34.17,32.55,28.3,25.64,23.5
2017-01-11,22.58,21.5,21.13,20.83,20.98,21.92,25.03,34.07,31.27,29.89,28.13,27.02,25.55,24.84,24.48,24.06,24.92,32.7,36.99,35.63,33.07,28.3,24.54,23.55
2017-01-12,22.3,21.83,21.56,21.56,21.94,22.82,28.02,38.11,34.46,32.89,31.32,29.53,27.9,26.28,26.4,26.26,27.42,35.75,40.73,39.19,37.27,32.36,28.33,26.16
2017-01-13,24.36,23.68,23.54,23.52,24.46,25.5,33.24,47.33,43.61,40.73,39.04,36.1,32.89,31.78,30.28,29.89,30.7,39.45,42.42,38.18,36.9,31.04,27.62,26.17
2017-01-14,24.54,23.83,23.49,23.39,23.41,23.81,26.49,32.95,35.32,36.94,37.21,34.84,31.52,29.45,27.66,26.96,28.07,36.77,41.65,37.54,35.24,31.45,27.89,26.32
2017-01-15,23.66,23.27,23.04,22.91,22.71,22.52,22.81,25.62,26.69,28.19,28.84,28.43,28.0,26.73,25.96,25.18,26.35,34.39,39.86,35.03,33.64,29.38,25.99,23.87
2017-01-16,23.14,22.56,22.42,22.5,22.8,22.97,25.8,33.69,33.75,34.81,34.99,34.61,32.46,31.27,30.21,28.66,28.96,34.12,39.95,35.43,33.5,29.82,25.74,23.88
2017-01-17,22.24,21.6,21.37,21.32,21.25,22.0,25.81,32.76,31.63,31.4,31.81,31.97,30.7,29.67,28.38,27.31,27.86,33.61,37.96,34.16,33.09,28.0,23.87,22.13
2017-01-18,22.14,21.38,20.9,20.76,20.57,21.93,25.91,32.81,31.62,31.23,31.01,30.72,29.02,27.78,26.69,25.93,26.2,31.1,34.42,31.53,30.7,26.67,23.96,22.76
2017-01-19,21.39,20.5,20.66,20.84,21.13,22.33,26.09,33.96,33.08,32.13,31.89,31.55,30.79,28.48,27.66,26.71,27.33,32.57,36.21,34.5,33.03,28.93,25.0,23.63
2017-01-20,22.13,21.44,21.34,21.25,21.35,22.35,27.32,34.97,34.31,33.19,32.38,31.28,30.43,28.89,28.19,26.97,26.72,30.75,32.91,29.76,28.05,25.85,23.46,22.01
2017-01-21,21.42,20.66,20.34,20.01,19.99,20.41,21.74,24.04,25.26,26.27,27.15,26.67,26.42,24.96,24.46,24.2,24.62,28.7,31.01,29.55,27.65,25.45,23.26,22.39
2017-01-22,21.38,20.63,20.43,20.04,19.8,19.58,20.46,21.91,22.92,23.51,24.17,23.93,23.78,23.2,22.47,22.33,22.99,26.64,29.78,28.28,26.74,24.27,22.73,21.93
2017-01-23,21.38,20.98,20.91,21.0,21.39,22.11,26.51,34.48,34.29,34.01,33.71,33.25,31.39,29.86,28.87,27.79,27.92,33.03,38.24,34.34,33.63,29.82,25.7,23.5
2017-01-24,22.27,21.2,21.09,21.02,21.19,21.93,26.43,35.05,31.8,29.75,28.2,26.8,26.11,24.73,24.15,23.48,23.58,26.58,30.74,29.21,27.32,24.24,22.04,20.42
2017-01-25,21.13,20.52,19.94,19.97,19.88,20.71,24.64,31.8,28.95,27.33,26.66,26.07,25.26,24.58,24.21,23.88,24.35,28.74,33.41,30.12,28.65,25.3,22.93,21.15
2017-01-26,20.89,20.22,19.68,19.79,19.97,21.16,26.17,34.53,30.88,29.8,29.49,28.75,27.76,27.0,26.32,25.21,26.1,31.17,36.93,33.89,31.74,29.26,25.72,23.83
2017-01-27,22.66,22.03,21.87,21.82,22.05,23.3,28.83,38.27,34.05,31.28,30.08,28.62,26.98,25.91,24.73,23.67,23.56,26.38,30.7,29.16,27.78,25.77,23.8,22.57
2017-01-28,21.39,20.73,20.19,20.09,20.34,21.1,22.17,27.07,26.86,28.03,27.46,26.24,24.63,23.44,22.49,22.0,22.87,26.52,32.17,30.92,30.1,27.38,24.73,23.18
2017-01-29,22.12,21.67,21.34,21.05,21.21,21.5,22.24,24.91,25.88,26.97,26.7,25.64,24.6,23.65,23.08,22.8,23.76,28.9,37.39,36.85,35.9,31.79,26.58,25.03
2017-01-30,23.62,23.46,23.26,23.19,23.56,24.89,32.41,46.67,37.57,32.67,30.53,28.55,26.71,24.81,23.96,22.77,22.94,27.1,30.52,28.93,27.11,24.4,21.63,19.79
2017-01-31,18.07,17.06,16.84,16.78,17.06,18.34,22.58,29.38,27.65,25.96,25.13,24.09,23.03,22.36,22.07,21.75,22.2,25.37,29.04,28.47,26.75,24.34,22.12,21.05
2017-02-01,20.27,19.51,19.27,19.32,19.69,20.7,24.07,29.78,27.98,26.91,25.24,24.66,24.18,23.58,22.74,22.5,22.88,25.87,30.15,29.7,27.73,25.17,22.85,21.7
2017-02-02,20.22,19.81,19.74,19.94,20.35,21.06,25.26,32.84,28.91,28.27,27.1,26.91,26.06,25.47,24.95,24.73,25.78,29.87,36.19,34.52,33.39,29.46,25.96,24.81
2017-02-03,22.28,22.02,21.68,21.82,22.08,22.94,30.22,39.44,35.12,31.36,29.15,29.6,27.66,26.41,25.85,24.7,24.64,26.85,32.29,32.23,30.43,27.54,24.75,23.6
2017-02-04,21.66,21.03,20.02,19.42,19.57,20.03,20.78,24.58,26.28,26.91,25.18,22.84,21.61,20.5,20.01,19.91,20.94,23.01,27.28,26.21,24.49,22.46,21.25,20.02
2017-02-05,19.1,18.84,18.85,18.94,19.22,19.55,21.21,22.21,23.5,24.53,24.72,24.4,24.02,23.7,23.44,23.21,23.92,25.82,30.79,30.38,28.5,25.43,23.07,22.07
2017-02-06,20.57,20.05,19.68,19.96,20.31,20.94,23.76,29.05,27.57,27.58,27.83,27.44,26.75,26.19,25.85,24.89,24.82,26.93,30.54,30.78,29.01,25.94,23.32,22.07
2017-02-07,20.76,20.12,19.7,19.77,19.89,20.6,23.42,27.27,25.84,25.36,24.14,23.15,22.43,22.13,21.58,21.08,21.17,23.02,26.17,25.88,24.6,22.98,21.59,20.91
2017-02-08,20.22,19.47,19.0,19.38,19.92,20.73,23.55,27.77,27.07,26.59,26.9,26.54,25.95,25.65,25.09,24.61,25.02,27.32,32.25,31.41,28.77,25.22,23.48,21.94
2017-02-09,21.47,21.23,21.2,21.41,21.82,23.05,29.04,37.8,35.04,33.83,33.1,31.18,29.21,27.61,26.57,25.6,25.44,27.25,31.71,32.12,30.51,27.26,23.02,20.63
2017-02-10,19.25,18.43,17.98,17.79,18.2,19.59,27.56,34.14,30.22,28.08,26.55,25.67,24.99,24.15,23.79,23.45,23.21,24.38,27.63,27.79,26.24,24.61,22.65,21.62
2017-02-11,21.6,21.17,20.75,20.46,20.38,20.53,21.68,23.48,24.69,25.51,25.44,25.42,25.12,24.28,23.74,23.2,23.14,24.26,26.64,26.38,24.86,23.03,21.37,20.38
2017-02-12,19.66,17.88,16.55,14.69,13.83,14.19,15.37,17.59,19.0,19.93,20.14,20.37,20.09,19.83,19.82,19.97,20.97,22.65,27.83,30.48,28.4,26.17,23.47,22.56
2017-02-13,21.34,20.75,20.49,20.59,20.92,21.66,26.8,32.32,30.2,29.33,27.93,26.3,25.26,24.53,23.55,22.72,22.89,24.26,28.79,28.75,27.49,24.95,21.86,20.62
2017-02-14,18.77,18.04,18.13,17.61,18.66,20.08,24.36,29.7,27.73,26.55,25.64,24.82,23.6,22.2,21.42,21.07,21.09,22.67,28.18,28.53,26.42,24.04,22.21,21.21
2017-02-15,20.05,19.39,19.42,19.61,20.39,21.89,27.67,33.26,30.88,30.12,29.02,28.22,27.55,26.07,25.15,24.74,25.02,26.62,31.92,32.53,29.8,26.91,24.62,22.84
2017-02-16,20.16,19.59,19.83,20.15,20.71,22.51,28.9,35.19,30.42,28.95,28.13,27.2,26.33,25.12,24.22,23.77,23.86,25.13,29.59,30.52,28.02,25.6,23.5,21.99
2017-02-17,19.78,19.03,18.63,18.57,18.89,20.59,25.67,29.96,26.83,26.13,24.88,23.88,23.24,22.33,21.6,20.68,20.38,21.06,23.37,23.79,21.65,20.09,19.18,18.36
2017-02-18,16.72,14.91,14.56,14.08,14.88,16.88,19.02,22.37,22.73,23.82,23.87,23.69,23.37,23.05,22.76,22.66,22.79,23.61,25.92,26.87,24.51,23.26,21.65,20.77
2017-02-19,19.62,17.91,17.42,16.98,16.91,17.29,18.92,20.25,20.76,21.29,21.52,21.71,21.55,21.06,20.3,20.0,20.42,21.08,24.4,24.54,21.71,19.8,16.73,15.23
2017-02-20,14.19,13.43,13.06,13.13,13.95,14.61,19.33,22.17,22.0,21.94,21.92,21.74,21.5,21.27,21.36,21.13,21.44,22.86,27.49,28.0,26.18,23.95,20.8,19.53
2017-02-21,18.14,17.71,17.49,17.47,18.12,19.28,24.55,26.92,25.53,25.07,24.67,24.21,23.87,23.26,22.65,22.4,22.6,23.78,27.71,28.62,26.03,24.64,21.39,20.14
2017-02-22,17.69,16.32,16.18,15.94,16.57,18.19,22.57,27.25,25.25,25.22,25.02,24.61,23.91,23.91,23.29,22.98,23.17,24.2,27.44,27.95,24.75,22.79,20.49,19.62
2017-02-23,17.93,16.88,16.15,16.42,17.2,18.9,23.5,26.88,24.97,24.62,23.93,23.36,22.91,22.16,21.78,21.21,21.06,21.68,23.94,25.77,23.28,20.39,18.89,17.5
2017-02-24,16.84,15.67,15.08,14.9,15.25,16.95,20.86,24.8,23.74,23.52,23.92,23.54,22.99,22.87,22.53,22.25,21.89,22.37,24.23,26.17,23.55,21.3,19.81,18.58
2017-02-25,18.99,17.93,17.58,17.37,17.66,18.43,20.74,22.76,23.67,25.11,25.5,24.67,24.32,23.75,23.06,22.62,22.86,24.5,27.33,29.27,26.77,25.02,22.77,22.02
2017-02-26,20.87,20.06,20.22,20.07,20.4,20.61,22.34,23.44,24.25,25.59,25.42,23.87,23.19,22.35,21.76,21.86,22.28,23.79,28.79,32.22,27.23,24.99,22.78,21.85
2017-02-27,21.53,21.02,20.89,20.96,21.13,22.12,27.51,32.64,29.0,28.6,28.54,27.54,26.73,25.45,24.76,23.63,23.45,24.12,28.1,30.39,26.78,24.4,22.11,20.56
2017-02-28,18.69,17.76,17.45,17.64,18.45,20.04,23.92,27.5,26.2,26.01,26.03,26.11,26.23,25.77,25.16,24.69,24.94,24.94,26.94,27.79,25.39,23.42,21.35,20.07
2017-03-01,18.11,17.13,16.39,16.36,16.31,18.74,21.6,23.96,22.68,22.73,22.75,22.74,22.56,22.11,21.51,21.02,21.44,22.38,25.35,27.44,25.19,23.27,22.06,21.25
2017-03-02,20.52,20.29,19.97,20.17,20.84,22.04,27.34,33.37,29.9,28.46,27.42,26.21,24.87,23.96,22.87,22.47,22.91,23.23,27.57,33.47,29.28,27.01,24.14,22.82
