date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,65104.0,63442.6,62120.0,61235.6,60788.1,61068.9,62172.6,63951.3,65023.9,65907.6,66643.0,66639.7,66706.3,66269.2,65732.0,65498.9,66052.2,69258.3,73276.5,73498.5,72589.9,70940.7,68864.5,65923.1
2017-01-02,63054.6,60823.0,59568.7,58847.5,58917.2,59974.4,62263.9,65029.8,66891.6,68430.4,70622.8,72153.4,72452.2,72271.1,71859.8,71715.9,72441.8,74869.0,77333.9,77345.6,75897.2,73633.0,70510.7,66580.4
2017-01-03,63640.4,61661.6,60620.3,60091.3,60591.5,62818.6,67616.2,73672.1,76660.2,77346.0,77970.6,78427.2,78403.7,78594.9,78840.2,78755.9,78931.3,81068.7,83953.5,84525.1,83472.5,81717.6,78915.6,74954.9
2017-01-04,72184.0,70616.2,69764.0,69752.0,70671.4,73396.6,78729.7,85326.7,87871.0,87605.6,87233.6,86611.1,85752.2,84837.5,84190.2,83665.4,83990.6,87040.0,91465.7,92265.8,91332.7,89481.6,86279.2,82098.8
2017-01-05,78660.6,76608.9,75597.3,75181.9,75530.8,77755.6,82659.3,88819.1,91025.6,90538.8,90317.7,90143.4,89184.7,88605.7,88121.6,87606.6,87782.3,90046.8,93628.4,93946.5,93075.0,91345.5,88213.5,84699.4
2017-01-06,81770.3,80071.6,79253.0,79240.8,79858.9,82287.5,87402.7,93665.4,96390.1,96486.3,96311.4,95767.0,95128.7,94453.6,93894.1,93069.4,93153.6,95859.3,99273.9,99098.9,97990.0,96352.0,93735.8,90752.6
2017-01-07,88093.4,86259.0,85323.5,84954.6,85114.2,86153.6,88276.4,91034.0,92868.4,93817.5,93364.9,92046.7,89952.6,87873.4,86046.6,84629.5,84684.8,87409.8,92008.3,93298.5,93018.0,92101.8,90111.5,87393.4
2017-01-08,85033.5,83645.7,82742.0,82582.8,82825.4,83790.5,85627.0,87662.6,89267.8,89672.5,88936.2,87540.8,85880.8,84454.8,83134.1,82209.3,82791.6,85566.7,90203.5,91452.8,91361.3,89623.8,86529.2,82822.7
2017-01-09,80078.2,78642.4,77925.4,77687.2,78391.6,80953.8,86089.8,92239.3,93878.2,92874.4,91667.5,90428.3,88735.1,87156.9,85991.6,84745.3,84381.5,86476.8,89370.0,89634.8,88172.6,85523.5,81779.3,76921.9
2017-01-10,73097.3,70561.2,68778.7,68008.8,68139.4,69951.4,74714.5,80545.3,82363.0,81762.7,81574.6,81259.2,80690.9,80364.8,79984.3,79013.8,78751.6,80211.9,83129.5,83767.4,82608.4,80393.7,77274.7,73460.8
2017-01-11,70076.6,68097.2,67169.5,66789.7,67152.0,69281.2,74228.5,80012.8,81826.3,81204.4,81123.2,80730.2,80271.9,79677.0,79155.7,78595.3,78382.1,80025.4,82567.9,82992.0,81681.6,79466.6,75858.1,71478.0
2017-01-12,67992.7,65830.7,64512.5,63932.7,64398.9,66619.5,71472.9,77745.5,80314.6,80375.3,80863.6,81151.6,81206.5,81178.6,81136.8,80530.7,80767.4,82500.9,85405.7,86080.4,85109.4,83247.4,80236.9,76206.4
2017-01-13,72954.3,70982.1,69779.7,69408.2,69901.2,71975.8,76668.2,82402.9,84513.6,84595.8,85083.3,85218.7,84812.4,84035.0,83575.4,82817.5,82404.6,83560.7,85484.0,84970.5,83349.5,81441.0,78615.3,74875.0
2017-01-14,71645.4,69338.4,67618.9,66604.0,66195.1,66866.8,68571.2,71115.4,73273.6,75281.2,76738.5,76917.4,76332.5,75549.8,74596.0,73929.9,74067.6,75583.3,78646.1,78794.4,77688.8,75972.6,73727.3,70872.4
2017-01-15,68124.4,66198.2,64974.8,64195.6,63939.2,64467.9,65891.3,68148.2,69861.8,71666.8,72550.8,72649.1,72482.0,72108.3,71650.7,71463.7,72012.5,73770.6,77574.1,77590.2,76898.5,75360.9,72674.1,69302.2
2017-01-16,66849.6,64908.5,63928.5,63717.5,64018.0,65992.5,70004.0,74646.9,77292.6,78600.4,79759.1,80366.8,80406.4,79915.6,79525.7,78698.4,78666.3,79942.8,82340.3,82583.2,81037.7,78493.5,74901.3,70476.8
2017-01-17,67054.6,64679.7,63213.4,62734.6,62936.9,65056.5,69905.0,75893.6,78284.6,78395.1,78770.3,79061.0,79059.0,78870.2,78466.8,78051.7,78192.0,79857.3,82517.2,82827.6,81473.4,79171.8,75776.7,71552.6
2017-01-18,68122.8,65944.9,64703.0,64310.6,64632.1,66479.6,71445.0,77518.4,79591.6,79237.6,78914.6,78642.5,77988.0,77700.8,77478.6,76890.8,76814.5,78397.4,81856.0,82677.9,81481.1,79494.2,75957.1,71715.6
2017-01-19,68272.2,66000.0,64605.1,63933.3,64294.7,66155.3,71343.0,77439.1,79547.6,79163.7,78748.1,78528.7,77940.3,77283.0,76963.4,76177.5,75992.7,77479.3,80083.8,80350.7,79153.9,77229.8,73844.7,69552.7
2017-01-20,66160.9,64077.6,62502.6,61839.4,62241.4,64160.4,68675.9,74621.3,76729.5,76873.3,77292.9,76982.9,76463.5,76497.7,76206.7,75450.7,74601.7,75187.6,77019.8,76757.4,75223.0,73410.4,70713.4,67162.0
2017-01-21,63894.1,61480.3,59705.1,59010.2,58830.6,59401.8,60773.9,63365.7,65445.6,67454.9,68744.0,68940.4,68642.6,67815.5,67081.0,66568.2,66604.2,67747.7,70587.5,71058.7,69843.4,68185.6,65918.2,63079.2
2017-01-22,60221.7,58023.9,56730.9,56238.2,55987.4,56424.9,57696.7,59700.5,61903.8,63964.4,65454.7,66037.8,66235.6,66292.1,66072.1,65964.1,66473.7,68351.9,72154.0,73396.5,72865.4,70899.6,68093.1,64586.2
2017-01-23,61874.3,60351.3,59608.1,59489.6,60207.0,62900.3,68758.2,75688.3,78435.4,78586.3,78592.8,78607.4,78133.6,77677.6,76911.5,76315.7,76322.3,77660.9,80407.3,81363.2,80294.4,78349.5,74916.7,70639.1
2017-01-24,67593.0,65541.7,64430.7,64111.2,64835.3,67300.3,72654.8,79510.9,81323.8,80586.5,79728.4,78736.4,77656.8,76929.7,76555.2,75979.1,75607.1,76829.9,79572.9,80702.8,79765.4,77611.9,74013.4,69885.5
2017-01-25,66496.6,64252.1,63197.8,62595.8,63065.0,65137.9,70310.0,76352.3,78100.0,77742.8,77645.8,77735.4,77439.0,77100.4,76866.5,76442.6,76483.2,77818.4,80716.2,81644.1,80696.0,78796.9,75462.7,71404.9
2017-01-26,68284.8,66262.9,65229.0,65041.9,65647.0,68039.0,73556.8,80082.9,82366.4,82246.6,82136.7,81865.5,81184.5,80651.4,80224.4,79513.9,79373.1,80681.2,83923.6,85508.6,84929.2,83293.6,80099.4,75970.3
2017-01-27,72778.7,70968.5,70107.2,69810.0,70468.8,73031.5,78608.0,85158.2,87099.9,86414.2,85436.5,84664.8,83398.9,82327.2,81448.1,80487.1,80291.3,81372.2,84130.7,84970.2,83798.7,82242.9,79665.7,76125.1
2017-01-28,72876.8,70747.5,69471.9,69019.8,69179.5,70117.4,72137.5,75078.0,77559.3,78976.7,79543.9,78908.7,77535.2,75870.9,74237.1,73142.7,72925.6,74276.1,77348.7,78483.5,77919.7,76547.1,74437.9,71666.8
2017-01-29,68962.3,67160.5,66134.4,65650.5,65879.2,66610.7,68201.0,70713.0,72956.2,74322.1,74549.5,73688.6,72800.5,72239.1,71395.7,71064.6,71291.7,73194.9,77107.0,79450.3,79124.8,77630.7,75043.3,71944.4
2017-01-30,69602.5,68408.4,68117.2,68625.2,69804.4,72971.0,78934.8,85883.2,87506.5,85803.0,83949.9,82216.8,80517.7,79244.5,78348.1,77499.3,77219.8,78379.2,81423.6,83386.5,82383.0,80165.8,76515.2,72171.7
2017-01-31,68745.7,66730.0,65473.0,65095.9,65614.0,68073.1,73588.0,80145.8,81740.6,80758.4,79641.4,78684.7,77606.9,76823.9,76552.1,76160.6,76129.4,76792.4,79644.8,80924.8,79837.0,77811.0,74370.3,70222.0
2017-02-01,66814.8,64909.4,63848.3,63479.6,64076.0,66221.4,71559.8,77992.7,79362.4,78633.7,78343.5,77695.9,76884.0,76390.9,76354.8,76211.0,76434.9,77734.8,81183.2,83094.0,82347.1,80753.8,77410.2,73522.8
2017-02-02,70642.9,68782.2,67760.1,67678.2,68336.2,70712.9,75925.8,82448.7,83946.6,83468.4,82753.9,81970.4,81271.8,80642.4,80359.9,79655.0,79422.9,80487.3,84318.0,86586.7,86007.1,84344.8,80945.9,76927.0
2017-02-03,73789.9,71808.6,70441.1,70039.2,70708.0,72949.2,77999.2,84435.0,86173.2,85773.0,85067.5,83958.1,82161.4,80378.6,79081.7,77624.6,76685.9,77808.0,81457.7,83753.8,83476.0,82312.3,80326.8,77303.6
2017-02-04,74658.8,73034.1,72006.4,71783.5,71998.2,73137.1,75329.2,78180.1,80126.2,81432.6,81417.9,80109.3,77923.0,75807.1,74442.0,73451.8,73077.1,74147.7,77140.5,78408.8,77238.9,75592.4,73368.7,70510.2
2017-02-05,67800.1,65777.8,64571.7,64018.1,63771.8,64289.7,65702.8,67939.7,69564.4,71026.0,70967.5,70159.1,69437.5,69043.1,68309.4,68103.6,68483.5,70016.7,72823.1,73906.1,73165.0,72233.9,70337.5,68631.5
2017-02-06,65610.1,63859.7,63058.8,63059.9,63836.6,66404.4,71608.0,77755.9,79264.8,78707.9,78196.9,77709.4,76925.2,76289.7,75842.7,75171.5,75205.7,75914.2,78736.7,80241.2,78870.6,76425.5,72602.1,68043.8
