date,kind,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,dwpc,4.25,4.17,1.45,3.0,3.09,4.55,-0.91,4.0,-0.04,4.1,1.43,1.8,1.52,-2.03,-2.51,-2.24,-0.32,-0.17,2.72,-1.27,0.71,-1.06,2.6,2.85
2017-01-01,relh,86.2,87.47,86.07,87.97,89.48,90.22,89.15,91.24,86.9,82.61,75.92,72.57,69.84,59.73,57.75,59.35,71.09,73.99,77.74,74.87,81.58,78.38,82.43,83.35
2017-01-01,sped,5.02,3.95,3.59,5.19,5.82,5.62,5.87,6.02,6.38,6.49,5.89,5.2,4.49,6.01,6.37,5.5,5.6,6.22,6.65,8.11,8.33,7.59,7.72,7.15
2017-01-01,tmpc,6.37,6.08,3.54,4.79,4.63,5.99,0.66,5.29,1.92,6.57,5.75,6.7,7.2,5.91,6.06,5.79,4.86,4.34,6.46,2.88,3.7,2.42,5.42,5.49
2017-01-02,dwpc,-0.67,2.98,-0.83,0.7,0.49,0.31,2.51,0.18,0.43,5.42,4.5,7.51,5.76,7.44,3.42,2.56,5.17,3.67,3.1,2.79,5.91,6.43,7.46,5.58
2017-01-02,relh,80.25,83.18,79.78,84.15,85.5,85.46,89.41,84.57,80.54,80.92,76.77,81.01,79.06,83.54,85.64,84.26,88.1,88.54,91.0,92.85,95.25,95.07,96.75,96.49
2017-01-02,sped,7.04,6.68,7.01,7.47,8.27,7.34,7.53,8.16,7.28,7.57,9.18,9.54,8.84,8.46,7.19,5.89,6.4,4.95,5.75,6.1,6.48,5.2,4.46,3.77
2017-01-02,tmpc,2.45,5.62,2.36,3.17,2.72,2.55,4.13,2.56,3.51,8.57,8.67,10.98,9.35,10.21,5.73,5.06,7.06,5.42,4.43,3.84,6.6,7.16,7.93,6.09
2017-01-03,dwpc,4.99,3.95,5.25,4.44,3.87,3.39,2.59,1.99,1.08,4.31,3.46,3.78,2.61,2.14,1.76,1.55,1.1,1.02,0.06,-0.59,-2.36,-3.37,-3.7,-4.42
2017-01-03,relh,95.41,94.72,95.63,94.55,93.77,92.0,91.6,91.53,90.73,92.21,86.88,88.07,85.34,82.89,82.41,81.41,83.03,85.39,83.28,82.82,82.97,80.56,80.83,79.41
2017-01-03,sped,4.15,4.68,4.07,4.84,4.22,5.24,5.95,6.02,6.16,6.75,7.54,9.68,11.98,12.34,12.43,11.96,11.64,10.76,12.25,12.63,14.24,13.42,12.65,12.36
2017-01-03,tmpc,5.66,4.72,5.89,5.24,4.79,4.58,3.83,3.8,2.43,5.47,5.51,5.73,5.04,5.18,4.81,4.86,3.99,3.35,2.71,2.12,0.22,-0.38,-0.77,-1.26
2017-01-04,dwpc,-4.62,-5.99,-5.21,-8.45,-9.42,-9.95,-10.92,-11.35,-13.13,-12.19,-12.1,-12.31,-11.74,-12.16,-12.41,-12.3,-12.01,-12.02,-12.07,-12.28,-11.78,-11.81,-12.12,-12.4
2017-01-04,relh,78.4,78.37,75.89,73.98,74.0,74.85,73.09,73.61,71.42,64.61,62.71,59.25,59.59,57.14,55.34,58.6,61.35,63.12,64.81,64.9,70.18,71.5,74.15,76.67
2017-01-04,sped,14.01,13.67,13.49,13.68,12.94,11.36,11.85,12.84,13.57,13.61,12.91,13.38,12.26,12.53,12.37,10.78,11.46,11.04,10.78,9.5,9.39,9.03,8.75,8.4
2017-01-04,tmpc,-1.31,-2.76,-1.55,-4.54,-5.53,-6.23,-6.92,-7.44,-8.86,-6.52,-5.94,-5.24,-4.64,-4.53,-4.46,-5.05,-5.47,-5.96,-6.45,-6.74,-7.18,-7.51,-8.34,-9.04
2017-01-05,dwpc,-12.31,-12.18,-12.21,-11.79,-11.46,-13.96,-8.8,-12.21,-12.33,-11.69,-13.0,-12.87,-11.8,-13.75,-12.74,-11.73,-13.33,-15.34,-12.16,-13.44,-13.77,-14.14,-10.78,-14.45
2017-01-05,relh,74.46,73.6,74.4,76.78,76.62,73.83,78.58,75.77,73.96,67.76,62.36,61.94,62.39,61.38,59.02,61.19,61.89,65.22,69.31,70.7,69.97,70.41,72.51,72.79
