date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,15660.8,15229.6,14922.6,14584.5,14334.3,14269.5,14446.8,14758.6,15035.3,15645.7,16267.8,16531.7,16766.5,16881.9,16863.0,16779.8,16672.6,16786.7,17484.4,17679.2,17581.9,17250.1,16813.3,16194.3
2017-01-02,15438.2,14843.9,14469.4,14199.3,14119.0,14297.1,14669.2,15244.3,15564.2,15999.8,16824.9,17422.7,17702.5,17731.1,17652.6,17453.4,17430.3,17413.5,18114.6,18580.7,18386.5,17947.6,17323.7,16362.3
2017-01-03,15466.7,14852.3,14503.8,14303.4,14380.1,14722.3,15534.5,16988.7,17403.0,17494.2,17566.0,17597.4,17543.8,17577.9,17704.3,17777.4,17772.4,17812.9,18536.2,19190.5,18950.7,18685.2,18208.6,17157.2
2017-01-04,16376.6,15871.2,15610.2,15579.0,15759.1,16251.4,17340.0,18972.2,19464.2,19541.9,19594.2,19398.6,19118.3,18813.7,18681.3,18644.9,18647.6,19242.3,20612.7,21533.8,21631.4,21426.3,20817.9,19911.5
2017-01-05,19005.3,18438.2,18239.9,18151.9,18133.0,18531.4,19531.2,21208.8,21490.2,21156.5,20870.6,20638.0,20182.3,19828.6,19714.4,19567.3,19588.4,20039.9,21201.3,21924.9,21913.2,21719.8,21148.7,20328.6
2017-01-06,19537.5,19177.0,19103.4,19262.8,19540.4,20161.4,21634.9,23518.0,24292.4,24629.5,25059.2,25252.0,25401.9,25632.1,25888.9,26001.4,26012.9,26530.6,27448.7,27769.9,27600.4,27345.1,26781.9,26319.2
2017-01-07,25829.5,25503.4,25432.7,25491.3,25636.2,26011.5,26640.9,27179.9,27674.2,27970.4,27622.6,26788.0,25747.2,24788.8,24003.2,23336.9,23058.7,23477.3,25120.4,26343.0,26661.7,26724.9,26408.5,25946.1
2017-01-08,25490.4,25283.0,25118.2,25240.7,25405.0,25780.2,26327.9,26857.6,27299.7,27235.1,26420.1,25249.2,23883.5,22923.2,22056.4,21304.8,20994.5,21325.2,22955.7,24361.7,24972.2,25076.0,24482.1,23557.3
2017-01-09,22875.2,22475.9,22301.1,22200.2,22331.2,22855.8,24032.4,25496.2,25346.3,24616.1,23580.0,22558.3,21434.8,20520.6,19900.2,19405.5,19314.0,19672.6,20658.9,21318.8,21080.0,20588.5,19823.2,18599.5
2017-01-10,17550.4,16801.0,16253.3,16087.8,15966.2,16265.1,17263.6,18724.4,18687.4,18205.6,17816.3,17645.0,17395.4,17281.5,17202.0,17075.0,17089.6,17259.7,17956.8,18757.4,18685.9,18300.3,17577.9,16578.4
2017-01-11,15494.4,14872.2,14484.6,14344.6,14216.3,14510.0,15436.9,16758.5,16907.0,16790.6,16901.2,17080.2,17213.2,17295.7,17388.4,17455.6,17411.4,17527.6,18174.5,18911.2,18720.2,18361.5,17772.3,16733.4
2017-01-12,15657.8,14902.4,14472.0,14183.4,14177.2,14472.1,15311.7,16886.5,17111.9,16946.5,17253.2,17600.8,17814.8,18040.3,18264.0,18192.6,18243.7,18267.9,18662.2,19320.6,19017.4,18637.6,17922.9,16790.8
2017-01-13,15765.1,15110.3,14718.4,14515.9,14476.7,14723.9,15574.6,17016.6,17284.3,17470.7,17732.0,18099.0,18211.4,18219.0,18327.1,18308.1,18310.2,18325.7,18711.3,19038.2,18835.5,18401.9,17937.8,17099.8
2017-01-14,16301.9,15692.3,15147.5,14836.5,14626.4,14675.8,14888.2,15465.8,15871.8,16647.6,17256.0,17438.8,17492.3,17543.3,17439.5,17475.1,17426.1,17328.1,17778.6,18158.1,17873.4,17456.3,17028.5,16425.5
2017-01-15,15661.4,15038.9,14682.4,14369.3,14186.7,14219.1,14500.6,15018.3,15440.4,16242.6,16773.0,16820.6,16824.5,16875.7,16997.6,17007.4,17035.8,17005.5,17710.8,18122.0,18086.6,17768.8,17165.4,16329.6
2017-01-16,15560.3,14883.4,14507.7,14434.0,14331.8,14531.8,15163.4,16040.8,16464.1,17030.0,17504.3,17959.4,18238.3,18358.3,18361.1,18180.1,18235.2,18230.3,18787.4,19563.0,19406.7,18819.2,18081.9,16994.5
2017-01-17,15870.0,15126.4,14692.9,14545.6,14474.2,14755.2,15800.4,17352.2,17638.4,17687.3,17819.3,18098.6,18281.9,18421.1,18440.7,18421.6,18425.3,18561.2,19225.4,19820.8,19539.4,19031.6,18330.1,17163.6
2017-01-18,16057.4,15371.0,15060.5,14961.6,14835.9,14940.3,15858.6,17369.8,17635.4,17627.0,17738.5,18041.9,18203.8,18401.7,18621.4,18670.3,18587.9,18716.4,19429.4,19929.3,19772.7,19413.4,18609.4,17533.4
2017-01-19,16519.2,15747.4,15357.1,15173.9,15035.5,15202.2,16239.8,17718.2,17949.0,17876.1,17897.7,18097.7,18066.3,17928.4,17872.2,17717.6,17610.1,17751.6,18260.8,18793.5,18541.9,18231.9,17572.6,16561.7
2017-01-20,15478.6,14894.1,14403.5,14243.5,14280.8,14523.0,15333.8,16842.2,17014.1,16939.6,17122.4,17316.9,17344.2,17568.7,17718.3,17961.4,17594.7,17344.5,17744.4,18320.8,18014.4,17708.2,17219.0,16590.8
2017-01-21,15801.7,15120.6,14571.1,14435.5,14410.3,14257.0,14198.4,14597.1,14912.1,15574.8,16164.4,16402.8,16631.9,16646.2,16693.9,16792.6,16958.6,16928.8,17323.6,17819.2,17545.7,17185.5,16688.0,15996.5
2017-01-22,15162.6,14432.1,13906.2,13775.4,13639.6,13625.7,13786.9,14185.2,14636.6,15328.5,15842.3,15940.3,15959.7,16024.9,16037.5,16082.8,16085.5,16275.6,17055.8,17905.2,18003.0,17671.5,17039.2,16030.2
2017-01-23,15116.9,14647.6,14431.3,14323.8,14397.0,14973.4,16308.0,18179.6,18659.0,18595.3,18308.6,18030.7,17656.7,17292.9,16947.0,16731.9,16769.5,16864.2,17564.6,18791.5,18933.7,18744.6,18208.2,17145.8
2017-01-24,16437.1,15985.2,15750.8,15796.6,16104.6,16749.7,18106.8,20177.5,20239.4,19594.6,18831.1,18139.7,17527.2,17158.4,17049.2,16968.0,16789.6,16881.4,17432.6,18501.0,18568.6,18225.1,17484.0,16590.6
2017-01-25,15489.9,14831.2,14585.3,14395.2,14352.5,14692.8,15728.3,17304.9,17485.4,17266.9,17078.5,17075.8,17108.4,17122.4,17230.4,17304.5,17294.3,17433.7,18071.1,18834.5,18828.1,18516.2,17902.9,16897.0
2017-01-26,15916.2,15294.3,15078.1,15043.2,15175.1,15710.0,17106.4,19027.1,19442.7,19366.1,19129.9,18948.0,18517.7,18139.3,17789.8,17626.2,17563.6,17849.7,18979.4,20487.7,20851.8,20773.0,20350.0,19448.4
2017-01-27,18578.1,18218.6,18158.5,18195.1,18435.2,19119.6,20603.5,22688.8,22808.0,22199.3,21492.8,20895.5,20093.8,19360.6,18991.6,18816.9,18949.4,19340.1,20318.4,21224.5,21189.0,20982.3,20527.1,19757.8
2017-01-28,18943.1,18456.6,18202.1,18066.8,18271.9,18669.6,19227.2,20061.7,20743.8,21133.7,20896.9,20325.5,19442.8,18645.2,17933.7,17438.7,17214.0,17445.9,18415.2,19633.2,19852.5,19854.7,19652.6,19242.8
2017-01-29,18664.4,18361.9,18273.2,18249.2,18408.1,18586.2,19094.6,19971.7,20586.2,20634.9,19943.1,18674.4,17600.5,16981.5,16471.9,16218.0,16028.2,16348.2,17195.3,18640.1,19019.9,18928.6,18429.7,17670.4
2017-01-30,17041.8,16733.1,16803.0,17038.8,17311.9,18115.7,19779.0,21794.6,21916.3,20957.4,19689.4,18647.0,17840.4,17261.5,16978.1,16811.6,16607.6,16744.9,17157.2,18515.4,18616.3,18363.1,17747.1,16792.2
2017-01-31,15935.7,15484.0,15287.5,15326.7,15505.4,16000.2,17455.7,19455.5,19660.3,18951.3,18097.1,17490.5,16954.0,16637.2,16625.1,16664.5,16682.7,16563.4,16941.6,17940.6,17938.0,17628.4,16913.2,15874.7
2017-02-01,14913.0,14330.6,14041.4,13984.5,14069.5,14393.3,15604.3,17266.9,17341.0,16879.4,16645.7,16450.6,16480.2,16355.9,16557.7,16759.8,16750.4,16870.0,17287.0,18295.2,18212.9,17850.2,17117.8,16176.4
2017-02-02,15226.6,14664.1,14288.5,14169.8,14213.9,14563.5,15595.2,17255.3,17486.2,17516.2,17567.9,17668.3,17731.3,17824.2,18063.5,18269.3,18275.5,18389.2,18962.4,19927.0,19828.4,19530.2,18506.2,17449.9
