date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,33.6,32.05,29.23,25.02,26.94,25.62,24.03,27.36,30.58,35.4,31.5,30.45,31.78,29.96,30.08,30.09,35.3,45.54,40.93,39.6,37.35,35.54,31.84,29.81
2017-01-02,36.16,35.07,30.14,27.35,29.9,29.9,32.03,35.55,38.98,43.58,39.17,39.42,39.52,37.79,36.07,36.99,43.85,56.59,49.95,45.8,40.32,36.87,32.42,28.66
2017-01-03,30.7,29.6,27.59,27.47,28.4,29.55,35.64,41.44,44.39,47.95,43.12,43.01,40.34,40.0,39.5,41.67,47.85,54.25,48.78,45.65,39.92,36.9,32.72,28.82
2017-01-04,31.35,28.74,28.4,28.4,29.12,30.0,37.19,42.86,43.5,46.36,44.41,43.66,42.69,41.71,40.78,43.14,47.63,54.73,49.51,48.17,42.55,40.07,39.12,30.77
2017-01-05,35.3,33.08,30.49,30.38,31.72,33.17,40.7,47.12,46.83,48.66,50.82,49.43,47.34,45.75,45.24,45.51,50.46,61.25,58.25,53.14,48.24,45.48,42.11,39.26
2017-01-06,41.4,40.49,37.83,37.03,37.63,38.02,51.92,59.99,60.17,62.62,67.87,64.09,61.58,59.3,57.02,56.31,63.37,76.6,76.0,67.96,62.63,58.76,57.79,45.78
2017-01-07,54.77,53.15,46.62,44.08,44.74,47.37,52.5,54.93,59.67,68.23,73.0,68.06,65.83,60.67,59.0,54.31,68.33,84.42,78.6,72.5,69.46,67.26,66.09,55.77
2017-01-08,56.61,54.96,53.75,49.91,49.92,49.46,53.84,55.92,63.16,73.77,72.13,70.56,68.56,65.21,63.39,64.9,80.49,103.3,97.13,94.28,88.0,79.61,77.0,63.55
2017-01-09,70.41,68.5,66.53,66.49,67.64,73.56,90.8,109.45,102.54,109.0,101.12,91.99,87.73,84.77,83.43,88.43,98.29,117.1,108.85,99.57,93.04,87.78,76.17,65.9
2017-01-10,61.08,57.95,57.79,55.85,54.55,58.75,71.51,83.74,85.58,84.03,71.88,64.23,60.95,59.87,56.34,57.37,66.34,77.41,72.57,65.54,60.75,54.1,48.61,42.67
