date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,5011.2,4837.3,4652.6,4500.7,4423.5,4433.2,4486.5,4526.2,4645.0,4798.5,4953.9,5066.5,5129.7,5165.3,5183.2,5215.5,5366.1,5650.7,5686.0,5640.2,5580.8,5479.6,5287.1,5032.2
2017-01-02,4770.0,4576.6,4457.1,4393.2,4390.1,4497.2,4682.3,4883.0,5144.1,5416.2,5638.0,5774.2,5853.8,5904.9,5934.6,5976.4,6130.6,6306.9,6287.3,6174.6,6027.1,5820.9,5507.4,5142.6
2017-01-03,4816.5,4601.0,4474.7,4422.5,4464.4,4741.6,5274.8,5836.2,6158.3,6379.9,6504.2,6582.6,6625.9,6649.3,6624.9,6673.6,6796.9,6876.2,6698.8,6510.1,6277.6,6020.5,5619.3,5203.3
2017-01-04,4826.7,4595.4,4461.7,4400.5,4437.2,4686.8,5235.5,5783.7,6066.4,6233.7,6302.5,6358.0,6379.2,6342.9,6299.9,6330.6,6468.3,6681.2,6591.8,6462.6,6299.1,6084.4,5748.7,5334.0
2017-01-05,4996.2,4769.8,4660.2,4622.0,4673.6,4941.8,5489.8,6055.6,6394.3,6619.2,6710.8,6746.1,6723.0,6685.1,6681.2,6743.0,6900.1,7074.4,6943.3,6793.4,6580.4,6321.9,5959.4,5532.3
2017-01-06,5147.1,4940.7,4812.1,4759.0,4796.3,5059.8,5579.8,6138.3,6458.5,6646.5,6701.3,6715.4,6686.2,6678.5,6669.7,6729.7,6884.0,7002.1,6858.2,6680.1,6492.8,6291.1,6010.1,5655.1
2017-01-07,5326.1,5091.4,4939.5,4862.0,4836.7,4914.5,5106.1,5344.2,5666.4,5992.3,6258.0,6416.0,6486.0,6489.6,6503.5,6517.1,6616.6,6770.3,6776.5,6685.0,6539.4,6336.0,6106.4,5794.7
2017-01-08,5517.0,5287.2,5136.1,5041.9,5011.3,5066.7,5198.7,5339.4,5599.0,5844.8,6078.8,6215.9,6309.1,6337.3,6313.6,6384.7,6526.3,6778.8,6808.4,6749.2,6638.5,6454.5,6169.8,5789.5
2017-01-09,5507.5,5311.6,5204.9,5218.5,5218.6,5451.1,5938.0,6472.3,6759.7,7012.6,7163.2,7228.7,7239.9,7231.1,7185.3,7201.1,7333.4,7506.4,7404.1,7267.3,7062.2,6815.3,6408.9,5944.4
2017-01-10,5545.6,5305.3,5152.3,5094.2,5126.4,5391.2,5905.9,6450.9,6733.0,6943.2,7027.3,7033.5,6997.8,6981.6,6949.8,6990.5,7092.1,7191.5,7013.4,6828.2,6611.9,6325.0,5942.8,5463.0
