date,Restaurant_Recreaction,Grocery_Pharmacy,Retail
2019-12-30,370986.0,75951.0,561572.0
2019-12-31,412675.0,88979.0,627411.0
2020-01-01,268085.0,49587.0,388260.0
2020-01-02,404789.0,80266.0,610842.0
2020-01-03,433649.0,82458.0,641925.0
2020-01-04,373008.0,73058.0,551874.0
2020-01-05,302855.0,65604.0,455857.0
2020-01-06,399643.0,80750.0,600300.0
2020-01-07,427627.0,85687.0,639765.0
2020-01-08,437441.0,86504.0,653711.0
2020-01-09,448884.0,87612.0,670393.0
2020-01-10,488769.0,92654.0,718994.0
2020-01-11,437766.0,84057.0,638951.0
2020-01-12,355705.0,74516.0,521645.0
2020-01-13,415241.0,84500.0,620164.0
2020-01-14,388864.0,77654.0,579390.0
2020-01-15,438894.0,88471.0,657830.0
2020-01-16,420613.0,83278.0,630248.0
2020-01-17,425089.0,83227.0,633332.0
2020-01-18,347252.0,70474.0,516925.0
2020-01-19,342408.0,69197.0,507488.0
2020-01-20,315844.0,70821.0,489734.0
2020-01-21,385318.0,77688.0,577609.0
2020-01-22,424093.0,84117.0,633354.0
2020-01-23,415232.0,80832.0,616462.0
2020-01-24,471976.0,90582.0,695543.0
2020-01-25,338757.0,64102.0,489155.0
2020-01-26,318484.0,67773.0,469473.0
2020-01-27,410847.0,85013.0,621713.0
2020-01-28,392052.0,78478.0,586056.0
2020-01-29,410935.0,81754.0,614893.0
2020-01-30,428930.0,83224.0,635624.0
2020-01-31,477265.0,91260.0,705502.0
2020-02-01,367878.0,73656.0,545096.0
2020-02-02,284887.0,63861.0,426494.0
2020-02-03,389562.0,79668.0,585796.0
2020-02-04,380812.0,75203.0,567027.0
2020-02-05,372024.0,74765.0,557409.0
2020-02-06,368108.0,72621.0,552605.0
2020-02-07,405583.0,77418.0,603741.0
2020-02-08,372057.0,75637.0,560059.0
2020-02-09,289277.0,64886.0,440757.0
2020-02-10,370525.0,75761.0,558179.0
2020-02-11,374944.0,75380.0,560577.0
2020-02-12,395487.0,80273.0,590896.0
2020-02-13,374699.0,76573.0,565081.0
2020-02-14,419828.0,79712.0,621670.0
2020-02-15,336641.0,64371.0,498332.0
2020-02-16,300916.0,58525.0,444284.0
2020-02-17,304248.0,64056.0,459309.0
2020-02-18,338326.0,66352.0,507095.0
2020-02-19,363726.0,70121.0,539100.0
2020-02-20,383628.0,74146.0,574279.0
2020-02-21,383709.0,72272.0,568665.0
2020-02-22,359127.0,68563.0,524669.0
2020-02-23,303353.0,63677.0,444490.0
2020-02-24,379965.0,76754.0,564741.0
2020-02-25,290702.0,57187.0,431112.0
2020-02-26,407223.0,80333.0,607875.0
2020-02-27,402390.0,79556.0,601276.0
2020-02-28,417115.0,80298.0,617056.0
2020-02-29,341401.0,69974.0,512212.0
2020-03-01,267244.0,60107.0,405280.0
2020-03-02,350903.0,74441.0,533277.0
2020-03-03,350203.0,70875.0,521853.0
2020-03-04,353523.0,71594.0,526568.0
2020-03-05,366586.0,74312.0,544646.0
2020-03-06,368577.0,72956.0,546155.0
