date,kind,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,dwpc,-3.89,-2.22,-3.28,-3.89,-4.39,-3.89,-3.28,-2.78,-2.78,-1.72,-3.28,-4.39,-5.0,-5.61,-6.11,-5.0,-6.11,-6.72,-6.11,-4.39,-4.39,-1.72,-1.11,0.0
2017-01-01,relh,43.44,51.08,45.47,43.44,40.44,41.99,43.95,45.62,45.62,49.32,43.95,38.8,37.06,34.2,32.93,37.06,35.49,35.04,39.47,46.91,48.56,64.49,67.45,75.75
2017-01-01,sped,11.15,11.29,11.41,11.41,13.18,13.36,13.53,13.71,12.94,14.28,16.39,12.65,12.12,11.79,11.41,9.29,8.05,7.43,6.28,2.03,4.69,2.65,2.21,7.08
2017-01-01,tmpc,7.78,7.22,7.78,7.78,8.28,8.28,8.28,8.28,8.28,8.28,8.28,8.89,8.89,9.39,9.39,8.89,8.28,7.78,6.72,6.11,5.61,4.39,4.39,3.89
2017-01-02,dwpc,-0.61,-0.61,-3.28,-3.89,-3.89,-3.89,-3.89,-2.41,-0.61,0.61,1.11,1.72,2.22,2.22,2.78,2.78,2.83,2.78,2.97,3.28,3.28,3.28,3.14,3.28
2017-01-02,relh,75.64,75.64,59.52,59.36,59.36,56.86,54.9,62.88,72.45,76.44,75.94,82.8,85.81,85.81,85.54,85.54,88.38,86.78,88.21,88.62,88.62,92.48,92.84,88.62
2017-01-02,sped,7.87,4.78,7.08,6.63,6.99,7.43,8.85,8.97,9.73,10.97,13.94,13.9,11.77,13.09,13.09,13.71,14.57,14.77,16.46,16.2,17.54,17.35,14.95,16.1
2017-01-02,tmpc,3.28,3.28,3.89,3.28,3.28,3.89,4.39,4.06,3.89,4.39,5.0,4.39,4.39,4.39,5.0,5.0,4.6,4.8,4.76,5.0,5.0,4.39,4.2,5.0
2017-01-03,dwpc,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.89,3.94,4.39,4.39,5.0,5.0,5.0,5.0,5.3,5.41,5.61,6.11,6.11,6.11,5.2,5.15,5.0
2017-01-03,relh,92.48,92.48,92.48,88.62,88.62,88.62,88.62,92.52,87.83,88.71,85.06,88.21,87.27,88.77,85.77,90.7,88.14,92.62,92.65,92.65,92.65,89.49,92.77,92.94
2017-01-03,sped,17.39,15.79,18.4,17.68,18.83,18.07,19.86,19.36,18.28,17.63,18.66,18.3,19.64,19.65,19.88,17.99,17.25,14.95,12.84,10.98,8.34,8.05,8.12,6.98
2017-01-03,tmpc,4.39,4.39,4.39,5.0,5.0,5.0,5.0,5.0,5.8,6.11,6.72,6.81,6.97,6.72,7.22,6.72,7.24,6.72,7.22,7.22,7.22,6.81,6.24,6.06
2017-01-04,dwpc,4.39,4.39,4.39,3.89,4.14,4.39,4.2,5.0,5.0,5.0,5.0,5.0,5.0,2.78,1.11,-3.28,-5.0,-5.0,-6.72,-10.61,-11.72,-10.61,-12.22,-12.22
2017-01-04,relh,88.71,88.71,85.06,79.36,83.59,84.1,81.69,84.18,81.2,78.2,71.07,71.07,68.23,54.21,46.57,36.34,34.39,37.06,35.04,27.81,27.48,32.7,32.2,33.5
