date,accum_confirm,new_confirm,infect_rate,accum_death,new_death,fatal_rate
2020-01-23,0,0,0.0,0,0,0.0
2020-01-24,0,0,0.0,0,0,0.0
2020-01-25,0,0,0.0,0,0,0.0
2020-01-26,0,0,0.0,0,0,0.0
2020-01-27,0,0,0.0,0,0,0.0
2020-01-28,0,0,0.0,0,0,0.0
2020-01-29,0,0,0.0,0,0,0.0
2020-01-30,0,0,0.0,0,0,0.0
2020-01-31,0,0,0.0,0,0,0.0
2020-02-01,0,0,0.0,0,0,0.0
2020-02-02,0,0,0.0,0,0,0.0
2020-02-03,0,0,0.0,0,0,0.0
2020-02-04,0,0,0.0,0,0,0.0
2020-02-05,0,0,0.0,0,0,0.0
2020-02-06,0,0,0.0,0,0,0.0
2020-02-07,0,0,0.0,0,0,0.0
2020-02-08,0,0,0.0,0,0,0.0
2020-02-09,0,0,0.0,0,0,0.0
2020-02-10,0,0,0.0,0,0,0.0
2020-02-11,0,0,0.0,0,0,0.0
2020-02-12,0,0,0.0,0,0,0.0
2020-02-13,0,0,0.0,0,0,0.0
2020-02-14,0,0,0.0,0,0,0.0
2020-02-15,0,0,0.0,0,0,0.0
2020-02-16,0,0,0.0,0,0,0.0
2020-02-17,0,0,0.0,0,0,0.0
2020-02-18,0,0,0.0,0,0,0.0
2020-02-19,0,0,0.0,0,0,0.0
2020-02-20,0,0,0.0,0,0,0.0
2020-02-21,0,0,0.0,0,0,0.0
2020-02-22,0,0,0.0,0,0,0.0
2020-02-23,0,0,0.0,0,0,0.0
2020-02-24,0,0,0.0,0,0,0.0
2020-02-25,0,0,0.0,0,0,0.0
2020-02-26,0,0,0.0,0,0,0.0
2020-02-27,0,0,0.0,0,0,0.0
2020-02-28,0,0,0.0,0,0,0.0
2020-02-29,0,0,0.0,0,0,0.0
2020-03-01,0,0,0.0,0,0,0.0
2020-03-02,1,1,0.0,0,0,0.0
2020-03-03,2,1,0.0,0,0,0.0
2020-03-04,11,9,0.0,0,0,0.0
2020-03-05,23,12,0.0,0,0,0.0
2020-03-06,31,8,0.0,0,0,0.0
2020-03-07,76,45,0.0,0,0,0.0
2020-03-08,106,30,0.0,0,0,0.0
2020-03-09,142,36,0.0,0,0,0.0
2020-03-10,150,8,0.0,0,0,0.0
2020-03-11,220,70,0.0,0,0,0.0
2020-03-12,327,107,0.0,1,1,0.31
2020-03-13,421,94,0.0,2,1,0.48
2020-03-14,588,167,0.0,6,4,1.02
2020-03-15,615,27,0.0,12,6,1.95
2020-03-16,967,352,0.0,24,12,2.48
2020-03-17,1578,611,0.01,38,14,2.41
2020-03-18,3038,1460,0.01,63,25,2.07
2020-03-19,5686,2648,0.02,92,29,1.62
2020-03-20,7954,2268,0.03,147,55,1.85
2020-03-21,11727,3773,0.04,195,48,1.66
2020-03-22,15777,4050,0.06,248,53,1.57
2020-03-23,20777,5000,0.08,351,103,1.69
