date,accum_confirm,new_confirm,infect_rate,accum_death,new_death,fatal_rate
2020-01-23,0,0,0.0,0,0,0.0
2020-01-24,0,0,0.0,0,0,0.0
2020-01-25,0,0,0.0,0,0,0.0
2020-01-26,0,0,0.0,0,0,0.0
2020-01-27,0,0,0.0,0,0,0.0
2020-01-28,0,0,0.0,0,0,0.0
2020-01-29,0,0,0.0,0,0,0.0
2020-01-30,0,0,0.0,0,0,0.0
2020-01-31,0,0,0.0,0,0,0.0
2020-02-01,0,0,0.0,0,0,0.0
2020-02-02,0,0,0.0,0,0,0.0
2020-02-03,0,0,0.0,0,0,0.0
2020-02-04,0,0,0.0,0,0,0.0
2020-02-05,0,0,0.0,0,0,0.0
2020-02-06,0,0,0.0,0,0,0.0
2020-02-07,0,0,0.0,0,0,0.0
2020-02-08,0,0,0.0,0,0,0.0
2020-02-09,0,0,0.0,0,0,0.0
2020-02-10,0,0,0.0,0,0,0.0
2020-02-11,0,0,0.0,0,0,0.0
2020-02-12,0,0,0.0,0,0,0.0
2020-02-13,0,0,0.0,0,0,0.0
2020-02-14,0,0,0.0,0,0,0.0
2020-02-15,0,0,0.0,0,0,0.0
2020-02-16,0,0,0.0,0,0,0.0
2020-02-17,0,0,0.0,0,0,0.0
2020-02-18,0,0,0.0,0,0,0.0
2020-02-19,0,0,0.0,0,0,0.0
2020-02-20,0,0,0.0,0,0,0.0
2020-02-21,0,0,0.0,0,0,0.0
2020-02-22,0,0,0.0,0,0,0.0
2020-02-23,0,0,0.0,0,0,0.0
2020-02-24,0,0,0.0,0,0,0.0
2020-02-25,0,0,0.0,0,0,0.0
2020-02-26,0,0,0.0,0,0,0.0
2020-02-27,0,0,0.0,0,0,0.0
2020-02-28,0,0,0.0,0,0,0.0
2020-02-29,0,0,0.0,0,0,0.0
2020-03-01,0,0,0.0,0,0,0.0
2020-03-02,1,1,0.0,0,0,0.0
2020-03-03,2,1,0.0,0,0,0.0
2020-03-04,11,9,0.0,0,0,0.0
2020-03-05,23,12,0.0,0,0,0.0
2020-03-06,31,8,0.0,0,0,0.0
2020-03-07,76,45,0.0,0,0,0.0
2020-03-08,106,30,0.0,0,0,0.0
2020-03-09,142,36,0.0,0,0,0.0
2020-03-10,150,8,0.0,0,0,0.0
2020-03-11,220,70,0.0,1,1,0.45
2020-03-12,327,107,0.0,1,0,0.31
2020-03-13,421,94,0.0,2,1,0.48
2020-03-14,588,167,0.0,5,3,0.85
2020-03-15,615,27,0.0,10,5,1.63
2020-03-16,967,352,0.0,21,11,2.17
2020-03-17,1578,611,0.01,35,14,2.22
2020-03-18,3038,1460,0.01,60,25,1.97
2020-03-19,5686,2648,0.02,88,28,1.55
2020-03-20,7954,2268,0.03,143,55,1.8
2020-03-21,11727,3773,0.04,195,52,1.66
2020-03-22,15777,4050,0.06,249,54,1.58
2020-03-23,20777,5000,0.08,351,102,1.69
