date,fuel,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,gas,3972.9,3570.5,3543.5,3606.2,3443.4,3512.8,3802.8,3579.4,3555.3,4022.4,4244.4,4152.0,4190.3,4145.7,4351.0,4598.4,5466.5,6363.1,6539.1,6015.6,5735.4,5364.1,5028.4,4333.8
2017-01-01,hydro,2164.8,1822.3,1799.2,1419.0,1300.3,1692.0,2185.5,2573.3,2735.0,2624.2,3166.3,3140.8,3090.1,3212.8,3271.6,3426.0,3502.8,3809.8,3839.8,3828.2,3834.7,3715.4,3533.3,3278.5
2017-01-01,nuclear,4991.2,4990.3,4991.0,4992.4,4991.7,4991.0,4990.8,4991.2,4992.8,4994.3,4994.2,4992.7,4992.3,4993.0,4992.8,4992.5,4991.9,4991.1,4989.9,4989.0,4988.2,4989.5,4990.4,4990.2
2017-01-01,oil,48.4,42.1,41.5,42.8,39.3,40.5,46.3,42.0,41.8,47.3,46.1,45.1,46.1,44.2,44.9,47.7,60.9,73.4,74.9,65.3,62.7,56.0,49.8,42.3
2017-01-01,other,273.3,266.9,261.8,265.7,271.0,272.9,269.0,268.9,277.5,290.0,283.3,295.6,296.3,297.3,292.1,278.8,270.6,273.8,275.9,275.8,274.5,277.9,275.1,279.1
2017-01-01,wind,1269.5,1161.7,1045.5,1182.8,1258.7,1138.7,1042.4,951.1,865.2,716.1,568.3,606.0,676.8,523.8,290.5,147.6,68.6,144.4,196.8,324.4,465.4,546.8,592.0,575.6
2017-01-02,gas,3966.5,3811.4,3618.8,3719.8,3673.0,3833.7,4167.3,4337.8,4657.9,5332.3,5922.6,5808.7,5676.7,5727.4,5729.6,5824.4,6664.0,7076.1,7187.1,6921.3,6706.1,6301.6,4878.7,4343.0
2017-01-02,hydro,2728.8,2530.3,2384.0,2474.2,2482.9,2527.8,2691.4,3165.0,3498.2,3441.8,3488.6,3524.0,3472.1,3376.3,3439.3,3509.8,3704.8,3899.6,3881.5,3829.9,3669.9,3509.2,3068.2,2487.3
2017-01-02,nuclear,4989.1,4989.8,4989.6,4989.3,4988.8,4988.7,4988.0,4988.0,4988.8,4988.8,4987.9,4986.2,4987.1,4986.1,4983.9,4984.4,4985.1,4982.8,4981.2,4980.3,4979.8,4980.9,4982.3,4982.7
2017-01-02,oil,44.1,43.3,40.2,41.1,40.5,43.5,50.2,52.8,56.6,63.4,67.7,66.0,61.4,62.9,60.4,61.8,74.8,80.2,82.9,78.4,74.7,72.2,53.6,46.5
2017-01-02,other,280.8,276.1,271.4,280.3,277.5,278.8,280.8,273.0,272.8,280.8,278.5,280.2,276.3,274.8,275.6,273.7,272.2,273.0,275.6,274.3,275.7,273.7,270.5,259.2
2017-01-02,wind,486.2,412.5,386.2,344.7,298.5,330.9,377.1,408.8,408.9,441.9,341.9,335.3,314.9,325.5,321.8,322.8,327.2,377.6,545.1,611.4,615.8,714.7,717.0,665.8
2017-01-03,gas,3852.5,3758.9,3769.6,3612.3,3626.7,3975.5,4767.8,5428.3,5612.4,6090.7,6399.9,6384.7,6502.4,6849.8,6700.5,6828.4,7250.9,8029.0,7714.1,7218.4,6787.4,5933.2,5147.0,4541.5
2017-01-03,hydro,2091.9,2114.3,2031.7,1840.3,2000.9,1922.9,2580.0,3168.8,3409.0,3677.6,3624.8,3717.9,3723.8,3702.3,3703.4,3683.0,3746.4,4005.2,3953.8,3795.8,3698.5,3560.2,3431.2,2625.3
2017-01-03,nuclear,4981.8,4980.9,4980.8,4981.3,4980.2,4979.2,4979.8,4978.4,4978.8,4955.3,4929.6,4923.4,4930.8,4961.1,4976.4,4980.6,4979.2,4980.2,4978.2,4976.8,4976.6,4976.7,4979.7,4978.5
