date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,25.82,23.46,21.17,18.46,19.82,19.16,18.96,21.0,23.97,27.81,26.0,26.01,26.81,25.77,26.24,26.9,33.19,43.96,39.15,37.54,35.06,31.92,28.36,27.65
2017-01-02,32.11,29.04,26.0,22.68,25.81,26.74,28.88,28.85,31.04,34.95,32.66,33.88,34.21,33.36,31.08,31.74,39.74,54.54,47.52,42.67,36.59,32.22,26.79,24.21
2017-01-03,26.07,23.95,22.14,22.26,22.81,26.01,32.37,36.86,38.75,40.69,38.26,38.76,36.35,36.13,35.67,36.65,42.25,52.42,47.19,44.12,37.68,33.85,29.25,26.31
2017-01-04,27.17,24.08,23.0,23.21,23.55,26.06,33.58,38.43,38.99,39.91,38.11,37.13,35.65,35.16,34.47,35.26,40.33,50.65,45.36,42.45,37.78,34.58,32.42,26.66
2017-01-05,30.47,27.6,25.35,25.46,26.27,29.95,37.41,41.61,40.79,41.53,41.69,40.73,38.71,37.67,37.29,37.63,43.14,57.46,54.29,49.28,43.64,39.57,36.85,34.29
2017-01-06,36.52,34.94,33.44,33.01,33.37,35.66,48.21,54.11,53.89,54.35,55.87,53.62,49.04,47.27,45.11,44.86,51.87,65.93,63.05,57.95,52.32,49.5,46.2,39.17
2017-01-07,45.59,43.41,39.16,37.88,38.23,40.55,45.94,47.47,52.93,58.46,61.8,57.8,54.4,50.62,49.69,46.64,56.09,72.45,67.6,61.39,57.14,55.63,53.24,46.47
2017-01-08,46.08,44.0,43.11,40.63,40.65,40.96,44.79,45.76,51.8,59.43,58.02,57.78,53.49,51.35,51.27,52.43,62.2,86.09,83.87,78.69,68.74,64.83,58.43,50.58
2017-01-09,53.28,51.36,50.16,50.01,50.57,60.47,78.6,90.03,88.19,83.65,76.06,70.78,63.48,60.09,58.54,60.77,74.16,95.2,91.92,80.44,72.61,64.96,57.2,50.33
2017-01-10,47.99,44.73,44.07,42.06,43.0,47.14,59.84,63.57,63.17,60.01,51.35,47.72,43.6,42.3,40.47,41.13,46.65,59.15,57.15,48.52,43.5,40.67,38.64,33.93
2017-01-11,26.46,25.32,23.16,21.66,23.48,24.87,32.7,35.75,35.02,36.54,35.57,34.42,33.16,31.77,30.72,31.46,34.29,43.08,38.88,36.24,33.35,30.81,28.54,25.17
2017-01-12,24.93,21.6,18.8,18.31,20.66,22.41,30.15,31.39,31.0,31.44,31.4,31.32,29.88,29.07,28.97,28.93,33.13,40.9,37.27,34.15,30.28,28.78,26.4,24.44
2017-01-13,20.79,18.32,17.29,17.09,17.71,20.28,26.76,30.83,31.68,31.72,31.47,31.72,29.8,29.73,29.96,30.21,36.29,48.37,44.88,41.06,37.16,34.86,32.18,29.02
2017-01-14,34.55,33.28,32.02,30.93,31.59,32.23,36.59,36.76,40.82,44.07,45.57,44.81,43.51,38.86,37.17,36.95,42.49,51.56,48.77,45.25,42.35,38.66,35.31,33.34
2017-01-15,31.12,30.58,27.59,26.65,26.64,27.87,29.25,29.68,33.11,35.84,35.22,34.6,34.53,33.67,31.83,31.51,37.47,50.98,46.17,44.16,40.16,36.73,32.36,30.4
2017-01-16,30.28,28.86,27.93,26.7,27.38,30.24,35.86,36.14,39.53,41.61,40.38,39.05,36.59,35.39,34.58,33.7,40.35,53.05,49.93,46.31,40.64,36.06,32.05,29.84
2017-01-17,30.56,28.46,27.3,26.76,27.7,30.11,38.38,39.92,42.85,43.04,41.79,40.13,37.59,37.51,35.68,35.56,39.74,49.93,47.75,42.87,36.86,33.43,30.79,27.76
2017-01-18,25.81,24.54,23.06,22.82,24.18,24.99,34.49,37.39,38.75,39.85,40.35,38.79,37.24,35.95,35.34,33.73,37.17,49.73,45.5,41.22,36.3,33.04,29.12,26.92
2017-01-19,25.88,21.55,20.34,20.38,21.15,25.66,31.61,36.28,35.87,35.97,35.45,34.0,32.09,31.43,30.41,31.86,35.67,47.12,45.03,41.41,36.34,32.51,29.34,26.64
2017-01-20,27.25,25.72,24.35,24.23,25.17,27.49,31.92,37.21,36.88,35.87,34.76,33.53,31.29,30.78,30.02,30.53,34.32,44.7,42.69,38.92,32.6,29.98,27.61,25.16
2017-01-21,25.09,23.42,21.09,20.9,21.1,22.89,24.01,24.62,28.36,29.02,28.32,28.35,26.16,25.61,24.75,25.23,27.66,38.29,37.01,33.54,30.19,28.68,26.25,24.34
2017-01-22,21.71,21.62,18.68,17.46,17.5,18.22,20.08,19.95,23.25,26.71,26.97,26.53,25.55,24.83,24.48,24.03,29.18,40.41,38.09,34.25,28.99,27.23,24.49,22.98
2017-01-23,21.85,21.4,19.68,19.66,20.38,21.14,27.03,31.17,30.58,32.81,33.93,36.15,34.09,33.67,32.52,32.42,36.25,46.34,43.52,38.87,34.9,31.16,27.5,23.88
2017-01-24,25.31,23.62,22.2,21.51,22.09,23.67,27.77,33.71,35.64,36.17,36.37,36.37,33.48,33.55,32.25,32.27,37.5,47.57,46.17,40.58,35.55,32.35,28.94,26.32
2017-01-25,24.14,23.12,22.05,22.05,22.2,24.3,28.97,33.36,32.37,33.14,31.58,30.28,28.38,27.2,26.99,27.74,31.77,42.05,41.75,36.13,31.41,28.37,25.67,22.92
2017-01-26,23.34,21.57,20.29,20.54,20.58,22.61,26.42,30.74,30.22,30.03,29.66,28.76,27.05,26.19,25.58,27.12,30.0,41.56,39.12,34.03,29.9,28.41,25.04,22.83
2017-01-27,22.82,21.68,19.93,20.72,20.52,22.66,27.3,31.31,31.42,30.45,30.03,29.56,28.51,28.01,27.54,28.07,30.97,38.97,39.27,33.64,30.84,29.09,26.65,24.42
2017-01-28,23.62,22.48,20.98,21.09,20.92,21.36,22.49,23.94,27.44,30.47,30.42,29.69,27.94,26.7,26.01,27.25,30.43,41.57,38.0,35.99,32.57,31.23,27.44,25.2
2017-01-29,25.9,23.89,22.13,22.05,22.02,21.77,22.92,22.73,25.65,28.85,29.15,29.5,29.23,28.2,27.13,28.56,32.96,46.15,46.47,43.0,39.72,36.83,31.79,29.18
2017-01-30,29.08,28.27,26.89,27.47,28.27,30.65,39.28,43.35,42.75,41.7,41.86,39.2,37.13,35.73,34.84,35.53,41.05,55.22,54.43,48.51,42.51,39.17,36.78,33.36
2017-01-31,31.68,30.48,29.74,29.9,30.1,33.11,40.41,45.54,44.69,43.38,40.62,40.1,37.03,36.2,35.25,35.21,39.08,48.08,48.96,42.86,37.05,34.82,33.45,30.41
2017-02-01,26.08,25.52,24.48,24.56,23.51,25.04,32.2,33.79,32.23,32.19,31.31,30.85,30.53,29.34,28.64,29.25,33.53,41.08,41.38,37.22,33.38,30.3,29.17,27.45
2017-02-02,25.83,24.21,23.68,23.85,24.19,26.62,34.38,34.29,33.27,33.06,33.46,33.49,31.6,30.61,30.41,30.88,34.3,42.87,42.88,40.66,36.52,34.33,32.05,29.3
2017-02-03,28.99,27.19,26.98,26.66,26.76,30.92,39.47,41.73,39.49,38.47,37.37,36.47,34.22,32.7,32.4,32.21,35.5,45.32,47.85,42.79,38.74,34.53,33.64,32.06
2017-02-04,33.04,30.57,28.36,28.22,28.49,29.08,31.55,30.73,34.06,35.76,34.89,32.8,31.5,30.22,29.79,28.51,32.25,40.6,42.82,40.15,36.0,33.96,31.69,29.97
2017-02-05,28.66,26.17,23.87,24.01,24.01,23.57,26.14,23.66,26.65,28.61,27.67,27.6,26.48,25.57,24.49,24.76,27.24,37.34,36.25,33.2,29.74,26.23,24.64,22.98
2017-02-06,24.91,24.07,23.1,23.41,23.13,24.71,31.35,33.34,32.98,33.23,32.26,31.59,30.82,29.55,28.93,28.84,32.45,43.35,44.7,40.5,35.26,31.56,27.79,26.46
2017-02-07,25.76,24.55,23.2,22.58,23.33,25.89,31.9,32.73,32.72,32.89,33.12,32.28,30.38,29.37,28.64,27.78,30.32,39.07,39.53,33.97,30.14,27.35,25.04,22.65
2017-02-08,18.98,16.61,14.96,14.66,16.02,17.96,21.91,23.83,25.31,26.25,27.69,26.79,24.52,24.16,23.65,23.56,27.28,34.77,35.77,32.63,29.96,26.67,24.07,23.47
2017-02-09,27.09,25.12,24.48,23.84,25.11,27.42,34.55,39.41,39.76,40.15,39.68,38.93,37.23,36.59,36.22,35.82,37.81,49.28,51.12,46.36,41.74,38.26,34.95,31.8
2017-02-10,37.42,36.05,33.97,33.05,32.94,37.34,49.49,50.36,49.41,48.84,45.93,43.65,40.7,39.61,38.74,39.25,41.25,52.26,53.56,48.01,42.67,40.52,38.0,36.11
2017-02-11,32.98,30.32,28.86,27.99,26.73,27.84,29.83,30.13,32.46,36.26,34.49,32.9,31.53,29.81,29.11,27.91,30.6,41.37,42.36,35.25,32.75,31.68,28.55,26.39
2017-02-12,25.77,23.95,22.66,22.52,22.22,21.55,22.67,21.44,23.76,28.01,28.08,28.75,28.19,28.21,26.83,26.12,27.82,34.06,35.9,31.68,29.11,27.33,24.98,22.98
2017-02-13,22.52,21.15,20.22,20.2,21.01,23.92,29.33,32.66,32.57,33.77,35.41,35.67,33.82,32.29,32.09,31.54,34.5,43.21,47.88,43.02,39.9,34.64,30.66,27.89
2017-02-14,26.48,25.98,25.03,24.79,26.13,28.83,37.15,40.8,38.39,38.68,39.2,36.72,34.46,33.03,31.14,31.03,32.55,41.61,45.84,40.75,36.87,32.01,28.77,25.61
2017-02-15,26.47,25.52,24.97,24.83,25.69,27.64,34.22,38.01,36.58,36.91,36.54,34.96,33.12,31.69,30.83,30.15,32.97,41.73,43.36,40.05,36.22,32.48,30.08,28.14
2017-02-16,26.71,25.58,24.22,24.06,25.33,25.64,32.73,34.25,35.51,34.86,33.38,33.39,32.16,31.1,29.99,29.44,31.95,40.94,43.79,41.28,35.63,32.72,30.3,28.62
2017-02-17,26.17,24.74,23.35,23.25,23.93,26.22,30.98,32.85,33.0,33.5,33.03,32.11,30.25,28.89,27.75,27.34,28.94,35.01,40.02,35.57,32.03,28.8,28.95,28.23
2017-02-18,25.02,23.87,21.4,20.71,20.88,20.78,21.6,18.99,21.55,23.95,23.62,22.74,20.68,19.21,18.55,18.07,19.81,27.59,30.43,26.89,23.57,22.46,21.77,19.26
2017-02-19,18.89,16.47,15.44,15.63,15.65,16.4,17.03,16.0,18.67,20.63,19.43,20.58,20.56,19.47,19.04,19.14,20.6,29.26,32.78,28.91,25.32,23.39,22.3,19.76
2017-02-20,20.91,20.13,19.16,18.86,19.83,21.99,24.2,26.46,27.12,27.85,28.42,27.79,27.5,26.68,25.72,25.82,28.46,34.23,39.2,35.69,32.05,27.86,25.92,23.74
2017-02-21,24.35,22.7,22.01,22.21,22.73,24.83,29.21,31.6,31.35,31.51,30.07,28.33,27.53,26.4,26.11,26.44,28.89,36.23,40.86,36.35,32.17,27.92,25.05,23.3
2017-02-22,22.78,22.02,20.97,21.04,22.06,24.33,28.03,29.92,29.21,29.57,28.48,26.95,25.39,24.9,24.58,24.79,27.2,32.86,35.71,33.72,29.02,26.34,23.81,22.67
2017-02-23,18.56,17.9,16.14,16.08,16.59,18.01,22.06,23.81,23.66,23.55,23.6,22.44,21.85,21.19,21.18,21.78,23.76,28.47,32.38,29.01,25.67,22.79,20.49,19.29
2017-02-24,18.05,17.21,14.98,14.96,15.85,17.08,21.09,23.48,23.29,23.78,23.69,23.05,21.92,21.18,20.48,20.22,21.73,26.79,30.25,26.56,22.49,19.92,19.08,16.86
2017-02-25,14.52,13.78,12.78,13.24,12.5,13.27,13.46,13.28,15.84,17.06,17.32,16.98,16.56,15.69,15.39,15.43,16.74,21.81,26.33,23.78,20.4,17.81,16.53,14.41
2017-02-26,14.13,12.87,12.4,12.27,11.92,12.48,11.98,12.16,14.29,17.31,16.9,17.71,17.6,17.32,17.17,16.93,19.93,26.88,34.32,30.69,26.73,21.5,18.4,17.05
2017-02-27,14.96,13.77,13.25,13.95,14.04,15.92,20.95,23.66,24.03,24.83,23.06,21.92,21.1,20.37,19.41,20.07,23.45,30.07,36.91,33.0,29.15,24.7,21.28,18.17
2017-02-28,19.28,18.38,17.37,16.91,17.59,20.18,22.51,26.23,27.4,26.99,25.41,23.16,20.78,20.31,19.73,19.77,22.05,26.65,31.21,29.34,24.55,20.4,18.47,16.46
2017-03-01,11.86,11.21,10.46,10.65,10.62,11.76,15.93,19.25,20.12,19.99,19.65,19.38,17.96,17.3,16.99,17.2,19.34,23.5,28.13,24.91,19.21,16.68,14.57,11.43
2017-03-02,10.96,9.74,8.98,9.04,9.54,11.65,14.03,18.99,20.47,20.22,20.67,19.65,18.47,18.73,18.42,18.35,21.01,25.05,29.77,28.63,23.55,21.3,18.03,16.25
2017-03-03,15.55,14.44,13.99,13.8,15.22,19.23,24.38,25.54,26.78,26.48,27.16,26.18,24.11,24.21,22.44,22.42,24.38,29.13,34.84,33.5,29.61,26.9,24.1,22.38
2017-03-04,25.89,24.96,22.81,22.65,22.35,25.88,28.02,28.13,31.08,31.92,31.12,30.37,27.94,26.94,25.22,24.81,27.11,31.65,38.58,34.89,32.67,29.97,28.29,25.99
2017-03-05,27.43,25.08,22.96,22.28,22.15,23.36,24.56,25.85,26.61,27.65,27.02,25.24,23.9,22.26,20.9,21.26,22.99,29.27,35.61,37.71,32.74,28.71,24.73,22.28
2017-03-06,21.65,19.74,19.01,19.53,19.0,22.91,28.99,30.46,29.59,28.03,26.77,24.82,22.7,21.31,20.3,20.08,23.09,26.39,32.03,30.25,27.9,22.27,19.66,15.33
