date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,15665.0,14997.9,14437.5,14064.3,13931.8,14062.3,14365.8,14591.2,14979.7,15411.3,15795.0,16014.9,16101.9,16119.0,16141.7,16318.2,17204.6,18636.5,18776.2,18589.2,18346.8,17818.8,16989.7,16084.2
2017-01-02,15268.9,14698.8,14378.5,14263.0,14388.1,14845.3,15548.0,16252.0,16922.5,17633.6,18214.2,18507.1,18620.1,18578.8,18598.8,18780.5,19600.7,20545.4,20456.0,20062.7,19446.9,18514.1,17228.8,15922.0
2017-01-03,14978.0,14419.5,14140.5,14044.2,14291.4,15268.5,17061.9,18406.5,18843.7,19199.2,19515.0,19691.5,19719.9,19734.0,19687.1,19879.7,20600.1,21279.4,21037.7,20529.8,19774.7,18775.8,17345.8,15790.6
2017-01-04,14773.8,14342.6,14078.1,13967.2,14195.7,15105.5,16914.7,18266.8,18584.4,18807.8,18977.0,19017.3,19005.7,18924.7,18846.0,19018.2,19817.6,21139.6,21187.1,20862.2,20384.7,19528.7,18223.1,16963.8
2017-01-05,16035.2,15492.6,15265.2,15254.4,15520.6,16504.8,18312.4,19660.3,20018.4,20288.2,20498.7,20537.3,20364.8,20221.9,20302.1,20487.1,21236.6,22308.9,22179.2,21802.0,21117.0,20117.1,18740.0,17355.0
2017-01-06,16312.7,15805.4,15530.1,15472.7,15746.8,16689.9,18462.2,19852.0,20263.9,20474.3,20577.7,20447.7,20274.4,20183.2,20145.2,20289.7,21020.1,21929.3,21792.5,21408.3,20865.0,20158.3,19090.0,17926.6
2017-01-07,17023.5,16398.0,16055.0,15899.3,15950.3,16293.0,16931.9,17748.5,18683.5,19544.4,20115.0,20328.0,20288.3,20144.7,20089.6,20179.0,20801.8,21765.4,21818.3,21453.3,20911.9,20180.5,19255.8,18143.8
2017-01-08,17312.7,16711.4,16364.6,16202.3,16202.3,16442.0,16962.1,17555.4,18336.2,19036.4,19528.8,19776.1,19990.6,20025.5,19982.7,20214.6,20952.1,22171.5,22225.8,21904.7,21429.1,20566.5,19398.3,18220.5
2017-01-09,17413.9,16961.9,16733.8,16787.1,17071.7,18021.9,19816.3,21202.9,21620.5,21959.3,22144.7,22129.2,21984.3,21880.4,21727.5,21705.6,22311.3,23525.7,23511.2,23121.4,22484.9,21493.8,20072.3,18669.7
2017-01-10,17663.2,17043.5,16696.3,16597.6,16856.8,17801.4,19620.1,20910.5,21217.9,21434.7,21582.7,21450.2,21219.9,21163.6,21098.3,21191.8,21827.5,22636.4,22398.6,21880.2,21140.2,19958.2,18530.4,17028.8
2017-01-11,16005.3,15411.3,15086.1,14932.8,15092.4,15912.5,17673.8,18973.5,19177.5,19168.3,19050.0,19058.7,18857.3,18816.1,18700.7,18804.1,19507.6,20612.0,20540.9,20115.7,19469.7,18506.2,17166.4,15828.6
2017-01-12,14844.3,14266.7,13944.8,13839.1,14043.5,14914.7,16732.7,18095.0,18483.4,18725.3,18752.1,18724.0,18655.2,18608.9,18552.6,18649.3,19201.1,20079.1,19948.1,19502.1,18878.1,17954.9,16674.6,15368.6
2017-01-13,14467.1,13918.6,13617.6,13568.6,13838.4,14756.2,16650.6,18062.4,18509.3,18750.7,18882.7,18774.9,18610.5,18581.9,18574.2,18827.5,19512.0,20576.4,20478.7,20038.6,19529.3,18842.6,17851.6,16752.6
2017-01-14,15869.3,15311.0,14991.2,14869.4,14945.3,15330.9,16055.3,16844.9,17575.0,18152.4,18456.5,18531.3,18637.3,18622.7,18630.2,18808.5,19317.5,20071.3,20064.3,19664.5,19210.0,18530.9,17661.1,16728.7
2017-01-15,15862.9,15287.7,14937.2,14770.2,14775.7,15038.7,15541.6,16076.6,16754.9,17276.9,17547.0,17584.6,17492.1,17348.9,17312.7,17486.2,18176.3,19445.6,19602.3,19270.0,18908.4,18345.1,17514.4,16618.1
2017-01-16,15787.6,15331.3,15090.8,15039.8,15294.5,16039.8,17243.7,18247.4,18860.1,19150.2,19210.4,19080.7,18842.7,18678.1,18632.7,18765.1,19439.9,20728.1,20727.9,20294.8,19623.0,18652.3,17344.9,16054.4
2017-01-17,15184.8,14675.9,14380.2,14327.9,14613.8,15580.2,17424.4,18739.5,19123.4,19470.7,19740.5,19846.3,19856.2,19874.3,19870.8,20014.2,20551.1,21213.0,20989.5,20471.7,19775.5,18760.9,17423.2,16116.8
2017-01-18,15156.9,14611.0,14276.8,14163.3,14412.4,15295.5,17042.5,18419.4,18961.8,19304.2,19489.3,19577.7,19514.3,19505.8,19405.4,19486.6,19991.5,20766.0,20610.8,20149.2,19519.9,18612.4,17312.5,16018.9
2017-01-19,15025.4,14476.6,14206.3,14133.4,14373.8,15293.2,17131.8,18443.0,18746.8,18878.9,18871.9,18766.7,18696.1,18752.2,18736.6,18904.4,19517.6,20434.8,20328.1,19902.3,19275.1,18338.5,17096.8,15821.4
2017-01-20,14890.2,14371.9,14094.5,14009.7,14251.2,15153.3,16948.2,18314.7,18758.1,19063.5,19295.9,19257.8,19103.7,19087.6,18974.8,19034.0,19440.8,20085.0,19872.8,19341.0,18702.9,17905.0,16844.5,15719.1
2017-01-21,14782.8,14161.2,13793.0,13611.6,13623.1,13900.9,14533.8,15301.4,16069.7,16740.1,17052.4,17047.4,16903.4,16504.0,16324.3,16459.7,16914.4,17991.4,18157.8,17868.8,17446.5,16844.1,15980.0,15029.4
2017-01-22,14246.5,13686.0,13318.0,13126.2,13114.5,13354.2,13835.3,14396.9,15177.8,15909.6,16356.9,16610.4,16678.6,16609.5,16713.7,16978.7,17581.5,18466.7,18596.3,18264.8,17821.5,17058.2,15981.4,14876.5
2017-01-23,14149.2,13692.2,13450.0,13446.7,13774.3,14801.2,16677.2,18229.0,18829.5,19167.3,19404.9,19536.7,19579.4,19607.9,19584.9,19737.3,20354.3,21205.7,21189.6,20690.7,19923.7,18870.1,17570.4,16289.9
2017-01-24,15423.1,14907.6,14603.3,14500.9,14775.1,15696.0,17316.7,18687.0,19292.8,19680.6,19968.4,20094.2,20092.9,20114.2,20038.9,20092.6,20502.1,21315.9,21245.6,20735.4,20010.6,18984.2,17668.0,16417.3
2017-01-25,15494.5,14970.7,14680.4,14592.6,14839.9,15793.4,17537.4,18739.4,19073.4,19273.6,19232.1,19116.8,18943.8,18895.4,18778.8,18842.1,19283.0,20345.2,20440.6,20046.1,19395.6,18447.5,17112.3,15764.1
2017-01-26,14838.7,14260.5,13944.3,13842.4,14086.2,15020.6,16846.6,18262.6,18726.6,19100.5,19264.6,19254.2,19117.8,19011.0,18846.6,18950.2,19411.3,20349.2,20505.9,20114.3,19524.0,18611.9,17265.0,15976.0
2017-01-27,15052.1,14519.9,14228.7,14160.6,14438.0,15376.7,17168.8,18485.6,18993.9,19274.2,19347.3,19382.1,19375.0,19402.6,19383.0,19438.4,19859.6,20503.4,20366.6,19936.3,19364.7,18592.9,17525.3,16374.0
2017-01-28,15504.7,14903.9,14544.9,14377.0,14427.8,14763.9,15449.0,16206.7,17018.7,17672.0,17968.8,18127.4,18196.3,18165.3,18095.9,18153.4,18522.4,19326.9,19404.1,19055.2,18589.1,17930.3,17092.8,16153.5
2017-01-29,15325.4,14770.8,14415.0,14240.1,14251.7,14491.5,14978.2,15453.3,16172.2,16707.4,17008.7,17205.5,17173.2,17137.6,17158.8,17369.5,17942.5,19158.1,19523.9,19278.5,18822.2,18076.5,17043.3,16004.9
2017-01-30,15247.2,14844.9,14636.2,14633.5,14977.0,15995.9,17856.4,19148.3,19591.6,19815.9,19890.2,19809.5,19626.6,19494.2,19398.9,19541.1,20071.7,21259.7,21634.3,21277.6,20632.7,19679.8,18347.1,17041.2
