date,kind,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,dwpc,-1.3,-0.91,-3.03,-4.44,-4.7,-4.75,-4.44,-4.2,-4.2,-3.66,-4.14,-4.7,-5.0,-5.3,-5.86,-5.3,-6.11,-6.16,-6.11,-5.56,-5.8,-4.47,-4.16,-3.61
2017-01-01,relh,67.2,72.73,58.76,52.22,52.08,52.53,53.5,54.34,55.77,56.19,53.84,48.82,46.82,44.4,43.47,45.54,47.03,56.3,55.72,60.58,61.36,71.06,74.02,82.08
2017-01-01,sped,11.57,13.12,13.23,12.42,13.66,14.02,14.07,13.87,13.57,14.52,15.05,13.51,12.14,11.91,10.62,8.0,7.82,5.94,4.66,2.99,4.65,3.39,2.53,5.97
2017-01-01,tmpc,4.78,3.91,4.75,4.75,4.69,4.44,4.44,4.44,4.14,4.44,4.69,5.56,5.84,6.34,6.08,5.84,4.69,2.78,2.5,1.67,1.17,0.25,0.0,-0.86
2017-01-02,dwpc,-3.92,-4.2,-5.25,-5.56,-5.84,-5.84,-6.08,-4.03,-4.2,-3.06,-2.5,-2.2,-1.39,-1.39,-0.8,-0.56,1.49,1.39,2.01,1.64,0.0,0.25,1.17,0.53
2017-01-02,relh,83.74,81.81,73.96,73.88,73.66,72.41,69.76,69.12,78.56,76.75,73.95,74.57,75.94,75.94,76.13,77.41,85.07,85.48,87.72,86.11,81.9,85.26,86.98,83.52
2017-01-02,sped,6.19,4.65,6.02,5.99,6.35,7.52,6.95,7.81,8.86,10.41,11.99,11.39,9.6,11.1,11.78,12.39,11.88,12.89,15.44,14.48,13.31,14.24,13.74,13.61
2017-01-02,tmpc,-1.42,-1.42,-0.86,-1.17,-1.42,-1.11,-0.86,1.24,-0.86,0.55,1.64,1.89,2.5,2.5,3.06,3.06,3.8,3.6,3.86,3.75,2.8,2.5,3.17,3.06
2017-01-03,dwpc,0.53,-1.12,0.25,0.25,-0.57,0.78,0.35,1.64,1.82,2.19,2.19,3.9,3.7,3.36,3.91,4.28,4.03,3.66,3.92,4.65,3.92,4.33,4.01,3.91
2017-01-03,relh,85.46,80.36,83.87,81.94,80.77,85.0,85.06,88.5,85.6,85.32,83.5,87.57,88.96,92.63,89.34,93.8,92.18,96.31,94.57,93.93,96.32,92.12,95.18,95.29
2017-01-03,sped,13.34,12.05,13.98,13.66,15.79,14.64,16.77,14.12,14.46,14.57,15.22,16.23,17.14,15.81,16.96,14.17,13.99,13.0,11.44,9.74,7.84,7.28,7.55,6.32
2017-01-03,tmpc,2.75,1.93,2.75,3.06,2.41,3.06,2.61,3.36,4.01,4.44,4.75,5.8,5.39,4.47,5.55,5.22,5.23,4.22,4.72,5.55,4.47,5.54,4.73,4.61
2017-01-04,dwpc,3.5,2.61,3.06,2.26,2.61,4.12,4.09,4.26,3.75,3.21,2.07,3.06,2.69,-1.42,-2.8,-5.53,-7.2,-6.47,-8.91,-11.42,-11.97,-11.42,-11.97,-13.92
2017-01-04,relh,92.47,96.24,92.53,94.84,93.88,92.05,86.65,86.93,85.14,81.06,76.47,78.38,79.55,54.11,50.03,47.35,43.89,66.18,46.14,42.37,42.2,46.17,47.14,41.36
2017-01-04,sped,6.84,7.06,4.86,5.7,5.51,8.93,10.16,12.35,13.49,15.09,12.81,12.18,14.78,19.93,21.64,22.23,23.16,19.93,19.09,19.78,18.5,20.24,18.3,20.49
2017-01-04,tmpc,4.65,3.18,4.22,3.1,3.56,5.37,6.2,6.3,6.08,6.24,5.93,6.64,6.13,7.25,6.97,5.25,4.44,-0.33,1.94,0.86,0.31,-0.61,-1.42,-2.25
2017-01-05,dwpc,-13.92,-13.61,-13.3,-13.06,-13.58,-14.7,-14.44,-14.44,-14.14,-14.14,-13.89,-13.03,-13.06,-12.5,-12.5,-11.64,-10.53,-8.72,-8.65,-8.18,-8.18,-9.16,-9.44,-9.44
2017-01-05,relh,41.97,44.69,46.88,48.9,47.6,44.58,45.36,46.38,46.7,44.48,44.67,45.78,44.35,45.56,45.56,50.64,60.29,74.27,74.53,76.84,75.65,65.74,62.79,63.23
2017-01-05,sped,19.03,19.55,19.45,16.79,18.78,18.98,17.78,17.82,16.75,15.95,15.81,15.24,13.29,12.36,12.35,10.86,8.8,8.54,9.4,8.32,9.49,10.51,10.69,11.92
2017-01-05,tmpc,-2.5,-3.06,-3.36,-3.66,-3.92,-4.22,-4.22,-4.47,-4.22,-3.66,-3.36,-2.8,-2.19,-1.89,-1.89,-1.94,-2.75,-3.87,-3.83,-3.7,-3.54,-2.5,-2.75,-3.06
2017-01-06,dwpc,-6.1,-5.42,-7.5,-7.02,-9.75,-9.75,-10.0,-9.48,-11.72,-11.94,-11.39,-11.39,-11.94,-12.5,-13.11,-13.61,-13.61,-13.66,-13.66,-13.66,-14.16,-14.2,-14.16,-14.2
2017-01-06,relh,76.86,82.12,81.06,77.92,69.28,70.62,72.61,67.02,60.61,54.54,54.78,53.6,50.52,48.29,46.2,45.44,47.18,48.68,50.73,53.16,54.59,57.74,62.74,60.03
2017-01-06,sped,9.38,7.58,9.2,6.32,8.62,9.34,9.87,9.26,9.89,9.65,9.66,9.34,9.63,10.58,12.0,12.46,10.69,10.29,11.04,10.98,10.16,10.64,9.33,9.65
2017-01-06,tmpc,-2.58,-2.79,-4.75,-3.7,-5.0,-5.25,-5.86,-4.28,-5.3,-4.14,-3.58,-3.3,-3.06,-3.06,-3.06,-3.34,-3.83,-4.14,-4.7,-5.3,-6.11,-6.72,-7.75,-7.22
2017-01-07,dwpc,-13.92,-14.7,-15.0,-15.0,-15.25,-14.14,-14.44,-14.44,-13.92,-11.5,-9.56,-9.78,-10.0,-9.61,-8.89,-9.07,-9.07,-10.84,-9.14,-9.05,-10.26,-11.64,-12.5,-13.06
2017-01-07,relh,58.79,53.44,51.92,58.6,53.94,61.24,61.18,64.58,65.1,66.5,75.96,76.75,76.07,75.6,78.04,76.95,78.7,71.18,76.07,76.71,72.9,69.5,63.16,62.92
2017-01-07,sped,9.37,10.48,9.26,8.17,7.38,9.0,9.44,9.99,8.65,9.87,8.65,12.43,10.65,11.98,12.31,13.8,13.56,11.71,14.44,15.33,14.09,12.34,13.47,13.8
2017-01-07,tmpc,-6.94,-6.64,-6.64,-8.06,-7.25,-7.5,-7.81,-8.33,-8.3,-6.25,-5.97,-6.33,-6.42,-5.94,-5.58,-5.57,-5.93,-6.39,-5.56,-5.56,-6.09,-6.94,-6.64,-7.2
