date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,22.11,21.3,21.0,20.56,20.61,20.72,21.56,22.34,23.7,24.79,25.08,25.18,24.26,23.9,23.83,23.86,24.78,36.56,35.27,33.57,28.51,26.56,24.77,23.17
2017-01-02,20.88,19.83,19.18,19.24,19.39,19.74,21.4,23.48,26.17,26.96,28.75,28.15,26.78,26.31,25.76,25.55,27.96,38.13,36.34,34.07,28.39,26.0,23.93,21.43
2017-01-03,21.62,20.59,19.93,19.87,20.23,21.38,28.08,30.44,29.92,31.09,33.61,34.3,29.91,28.24,26.68,26.13,28.51,37.24,36.78,35.0,29.02,25.48,24.06,21.71
2017-01-04,21.44,21.5,21.07,20.97,21.18,23.47,27.83,33.19,30.67,30.91,30.81,29.67,28.28,27.69,27.01,27.06,29.07,43.14,45.26,43.27,41.26,35.83,27.9,26.04
2017-01-05,24.6,24.68,24.25,24.54,25.85,28.75,45.37,47.8,46.26,44.54,42.95,39.71,34.69,33.83,32.4,32.86,36.31,50.71,52.59,49.81,48.02,44.52,33.52,28.08
2017-01-06,25.38,24.76,24.15,24.41,24.99,28.67,43.29,47.58,45.84,44.81,42.15,40.84,34.5,32.94,31.89,32.28,35.96,48.55,50.59,48.43,46.6,44.88,34.92,31.11
2017-01-07,31.31,30.98,28.94,28.29,28.17,28.77,32.36,35.1,38.52,43.2,42.45,39.82,33.97,30.53,28.07,27.65,29.93,39.44,43.8,39.2,38.36,35.27,31.33,29.24
2017-01-08,31.24,30.07,28.98,29.08,29.16,33.01,35.04,37.43,42.51,42.85,40.2,36.71,33.61,30.88,29.26,28.8,32.35,51.92,53.88,48.53,47.29,42.99,36.19,30.39
2017-01-09,23.02,21.63,21.29,21.28,21.68,24.94,36.48,48.85,47.71,41.74,36.56,33.85,29.42,28.33,26.0,25.98,27.87,40.08,42.58,35.46,32.83,28.02,24.1,22.43
2017-01-10,20.36,19.45,18.68,15.26,17.79,16.05,29.18,29.02,28.33,29.27,28.29,27.75,25.79,24.51,24.17,23.75,24.06,30.78,28.67,25.93,25.26,23.32,21.95,21.09
2017-01-11,21.27,20.94,20.68,20.76,21.53,22.36,27.08,32.17,28.55,27.1,26.96,24.75,23.91,23.63,23.59,23.56,23.6,30.88,31.17,27.87,25.56,23.86,22.61,20.86
2017-01-12,21.22,21.09,20.92,21.12,21.33,22.99,30.43,30.77,26.81,26.26,26.8,26.18,25.66,25.48,25.08,24.87,25.05,34.67,33.31,30.85,27.61,25.99,23.9,22.29
2017-01-13,22.75,22.84,22.68,22.69,22.92,24.23,30.99,36.06,35.19,35.33,35.96,34.39,30.02,29.43,27.37,26.84,29.63,40.0,38.44,40.09,38.7,35.61,27.79,25.88
2017-01-14,25.1,24.64,24.52,24.65,24.54,25.0,26.53,30.08,33.26,38.08,37.19,36.06,32.99,29.94,28.26,27.57,32.84,37.95,38.2,37.87,34.27,30.1,25.83,24.2
2017-01-15,24.34,23.94,23.85,23.7,23.57,23.7,24.9,26.17,27.42,28.51,29.0,26.93,26.37,25.67,25.09,25.15,27.38,37.2,36.44,37.27,34.0,30.57,26.4,24.28
2017-01-16,24.02,23.01,22.87,23.15,23.57,25.58,33.97,34.96,35.25,35.19,35.96,34.97,32.49,28.96,28.38,27.19,29.0,38.41,37.6,35.73,32.46,28.81,24.46,23.08
2017-01-17,22.97,22.23,22.09,22.18,22.3,24.04,33.6,34.76,35.11,33.64,34.48,32.55,29.92,27.46,27.38,27.0,27.84,35.36,36.04,34.34,30.0,27.31,24.96,23.09
2017-01-18,20.23,19.61,18.7,18.62,18.57,20.15,28.74,33.59,34.75,33.22,35.08,33.91,31.42,28.14,27.49,27.04,29.14,38.3,37.61,37.11,36.87,30.73,26.42,24.44
2017-01-19,23.7,22.93,22.44,22.54,22.88,25.02,37.89,43.9,38.12,36.77,36.25,35.35,31.43,27.58,27.0,27.07,27.87,39.81,39.81,36.58,35.47,28.57,25.17,24.5
2017-01-20,23.28,22.33,22.36,22.08,22.57,23.87,35.39,38.68,37.28,37.19,36.64,33.21,29.78,27.63,27.36,27.7,29.05,38.34,37.81,33.01,29.57,26.24,24.6,22.93
2017-01-21,21.91,21.3,20.57,20.68,20.75,21.43,23.02,24.86,25.52,27.58,27.34,27.49,25.56,24.67,24.05,23.81,24.13,31.29,29.63,26.43,25.65,24.15,22.42,20.82
