date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,10196.5,9892.9,9654.3,9437.0,9370.0,9321.5,9459.0,9601.6,9587.0,9529.6,9513.4,9477.5,9511.0,9459.4,9366.9,9328.0,9427.8,10134.0,10850.6,10882.5,10831.4,10690.9,10484.5,10114.4
2017-01-02,9678.2,9296.3,9075.8,8995.4,8959.8,9118.6,9399.1,9746.5,9866.4,9977.6,10222.4,10366.7,10457.6,10502.9,10629.3,10673.7,10878.3,11380.8,11685.6,11508.1,11355.1,11069.9,10666.2,10106.5
2017-01-03,9518.9,9133.2,8918.1,8810.0,8832.3,9079.7,9795.6,10746.0,11420.9,11591.1,11743.8,11957.0,12074.1,12202.6,12206.5,12182.1,12143.2,12640.4,13031.8,12829.5,12672.4,12412.7,12070.7,11484.2
2017-01-04,11005.3,10672.1,10491.9,10502.1,10568.3,10853.7,11517.2,12547.4,13031.3,13064.5,13162.5,13207.5,13160.5,13105.2,13045.8,12954.1,12966.1,13630.9,14300.1,14197.4,14028.3,13801.1,13329.7,12635.2
2017-01-05,12018.3,11622.1,11363.3,11280.6,11264.2,11526.6,12109.0,12983.1,13549.7,13681.9,13650.4,13683.0,13707.3,13777.0,13771.5,13636.4,13597.1,14109.8,14680.5,14580.3,14455.1,14209.5,13787.3,13110.8
2017-01-06,12478.6,12072.5,11817.0,11665.1,11641.6,11903.1,12519.5,13397.5,13946.1,13980.4,13994.4,14023.8,13961.6,13890.4,13846.5,13729.9,13644.4,14072.7,14730.3,14671.8,14483.3,14214.1,13869.7,13214.9
2017-01-07,12651.4,12198.0,11941.7,11717.2,11672.0,11716.3,12015.5,12343.5,12572.7,12664.3,12737.0,12752.4,12625.3,12480.8,12291.9,12139.8,12112.9,12633.5,13395.6,13429.6,13353.2,13190.7,12969.7,12535.5
2017-01-08,12018.1,11631.7,11395.0,11227.4,11193.3,11222.8,11385.1,11686.0,11762.7,11822.9,11862.9,11861.7,11823.2,11761.1,11648.7,11685.3,11834.9,12512.5,13254.6,13324.1,13166.6,13065.1,12617.0,12037.6
2017-01-09,11518.3,11116.4,10919.0,10798.2,10806.8,10991.1,11608.5,12668.4,13213.9,13246.5,13248.2,13254.6,13219.3,13205.3,13090.3,13060.9,13144.3,13638.0,13973.1,13804.0,13622.2,13216.3,12602.4,11887.7
2017-01-10,11132.4,10601.4,10310.1,10134.1,10113.4,10273.7,10973.4,11939.2,12681.9,12794.2,12836.0,12934.1,12843.5,12770.4,12699.6,12563.1,12482.9,12926.6,13310.0,13204.2,13148.5,12884.9,12445.0,11776.2
2017-01-11,11035.6,10569.5,10322.4,10178.0,10128.1,10353.4,11074.8,12157.3,12768.8,12792.7,12734.6,12772.3,12734.0,12619.6,12584.6,12410.1,12398.6,12788.9,13011.6,12945.5,12806.6,12540.3,12002.4,11348.3
2017-01-12,10665.0,10277.5,10079.4,9981.9,10004.7,10302.8,11118.8,12222.3,12918.6,13079.2,13136.9,13239.4,13190.0,13183.2,13168.0,13071.5,12966.4,13253.5,13814.7,13678.5,13447.3,13194.5,12716.5,12006.9
2017-01-13,11321.0,10936.7,10714.9,10576.1,10570.8,10842.1,11506.0,12537.1,13074.3,13122.9,13179.0,13243.5,13174.5,13118.2,13076.9,12977.4,12915.7,13277.6,13613.0,13402.3,13127.3,12805.4,12350.4,11692.9
2017-01-14,11073.5,10557.7,10295.7,10080.9,9986.0,10058.9,10302.0,10747.9,11013.9,11229.0,11439.0,11563.0,11472.0,11304.3,11048.9,10929.1,10850.6,11127.0,11824.9,11791.2,11711.3,11532.3,11327.9,10863.4
2017-01-15,10395.4,10046.4,9848.6,9708.9,9669.6,9712.5,9865.0,10167.9,10270.8,10406.7,10672.2,10700.1,10613.7,10519.9,10363.0,10312.3,10403.9,10904.7,11553.6,11525.7,11418.1,11211.7,10929.7,10492.5
2017-01-16,10021.2,9678.2,9486.0,9408.5,9421.0,9619.4,10235.6,11083.1,11646.5,11891.0,12112.8,12316.0,12416.7,12398.7,12479.4,12487.1,12417.2,12773.8,12984.3,12738.3,12506.7,12159.6,11572.5,10887.7
2017-01-17,10209.2,9802.8,9585.8,9393.9,9281.2,9548.0,10273.7,11376.3,12003.3,12020.7,12110.2,12192.5,12155.7,12162.2,12150.5,12158.7,12094.9,12525.6,12918.8,12683.5,12506.7,12177.9,11696.8,10990.3
2017-01-18,10305.4,9864.7,9649.2,9480.4,9497.7,9773.6,10466.9,11521.5,12156.1,12199.0,12242.6,12285.2,12329.5,12338.9,12341.4,12159.0,12045.2,12391.5,12910.3,12730.6,12570.5,12273.4,11774.5,11086.8
2017-01-19,10469.9,10029.7,9779.9,9599.0,9561.9,9780.1,10478.6,11525.0,12059.6,12089.0,12104.7,12144.7,12083.3,11965.8,11975.6,11917.5,12010.8,12393.2,12755.5,12559.3,12336.7,12114.6,11579.9,10827.2
2017-01-20,10184.0,9767.5,9509.2,9377.7,9351.0,9592.6,10229.9,11235.5,11862.4,11950.4,12039.9,12035.3,11980.2,11909.3,11831.0,11765.1,11739.1,12032.8,12341.6,12133.2,11903.8,11508.0,11167.9,10509.4
2017-01-21,9854.8,9404.7,9062.9,8904.9,8764.6,8864.7,9079.6,9495.9,9754.2,9869.1,10007.0,10016.4,9909.1,9811.8,9635.2,9482.9,9413.9,9613.2,10301.9,10346.6,10246.1,10098.4,9858.1,9476.5
2017-01-22,9008.8,8672.9,8416.1,8272.2,8217.8,8289.0,8400.9,8720.0,8813.3,9079.4,9300.2,9440.0,9610.0,9668.4,9654.0,9678.4,9743.5,10187.0,10839.6,10890.3,10739.3,10567.3,10172.4,9707.5
2017-01-23,9224.6,8913.8,8781.1,8686.8,8771.4,9051.9,9871.8,11059.9,11706.5,11738.1,11865.8,11948.3,11893.4,11867.5,11840.4,11693.4,11603.6,11888.5,12369.0,12241.3,12011.3,11722.1,11213.0,10515.0
2017-01-24,9845.0,9427.0,9159.0,9058.0,9076.0,9368.0,10086.0,11175.7,11788.5,11928.1,11993.8,12062.4,12089.6,12008.6,11998.8,11953.8,11905.2,12156.5,12639.5,12531.7,12345.8,12023.0,11532.5,10834.3
