date,Restaurant_Recreaction,Grocery_Pharmacy,Retail
2018-12-31,125106.0,43549.0,218521.0
2019-01-01,88246.0,23515.0,139056.0
2019-01-02,122345.0,37704.0,212519.0
2019-01-03,132185.0,39893.0,227836.0
2019-01-04,149527.0,43281.0,254579.0
2019-01-05,144091.0,43167.0,244207.0
2019-01-06,110000.0,38578.0,189129.0
2019-01-07,112340.0,36234.0,199149.0
2019-01-08,129971.0,39422.0,226584.0
2019-01-09,149287.0,45174.0,258704.0
2019-01-10,152112.0,46413.0,261947.0
2019-01-11,171020.0,48178.0,287590.0
2019-01-12,146679.0,44936.0,249205.0
2019-01-13,120185.0,42896.0,211520.0
2019-01-14,145025.0,48577.0,253503.0
2019-01-15,148921.0,46790.0,255470.0
2019-01-16,154013.0,51289.0,264517.0
2019-01-17,161101.0,54397.0,274445.0
2019-01-18,171843.0,60626.0,296467.0
2019-01-19,136399.0,42492.0,222712.0
2019-01-20,127597.0,43981.0,213412.0
2019-01-21,129534.0,49603.0,235984.0
2019-01-22,142874.0,50159.0,250790.0
2019-01-23,147102.0,45155.0,252613.0
2019-01-24,160736.0,47869.0,274894.0
2019-01-25,154855.0,44699.0,263196.0
2019-01-26,145328.0,47450.0,254737.0
2019-01-27,115194.0,43759.0,206864.0
2019-01-28,138018.0,43808.0,240264.0
2019-01-29,137781.0,49841.0,247942.0
2019-01-30,66107.0,27849.0,124962.0
2019-01-31,102204.0,41773.0,198888.0
2019-02-01,146230.0,50646.0,266890.0
2019-02-02,144784.0,54679.0,267197.0
2019-02-03,109326.0,48177.0,207989.0
2019-02-04,130876.0,47192.0,239873.0
2019-02-05,132035.0,46718.0,240881.0
2019-02-06,137506.0,41228.0,238557.0
2019-02-07,140014.0,40925.0,240194.0
2019-02-08,148152.0,42020.0,252981.0
2019-02-09,151058.0,44514.0,258931.0
2019-02-10,114163.0,39417.0,200312.0
2019-02-11,127780.0,41223.0,225571.0
2019-02-12,151950.0,45490.0,262921.0
2019-02-13,156406.0,49812.0,273767.0
2019-02-14,168922.0,49749.0,287115.0
2019-02-15,173890.0,45589.0,288064.0
2019-02-16,169864.0,47080.0,281608.0
2019-02-17,125219.0,38101.0,206469.0
2019-02-18,137994.0,43786.0,243280.0
2019-02-19,156763.0,46817.0,271848.0
2019-02-20,159926.0,44173.0,267826.0
2019-02-21,165388.0,44805.0,275211.0
2019-02-22,185268.0,47566.0,304805.0
2019-02-23,163312.0,46725.0,274001.0
2019-02-24,120906.0,39375.0,205793.0
2019-02-25,140951.0,43155.0,243725.0
2019-02-26,148419.0,41195.0,247926.0
2019-02-27,155682.0,42635.0,260293.0
2019-02-28,156825.0,42874.0,263844.0
2019-03-01,172882.0,46813.0,286721.0
2019-03-02,160979.0,46199.0,272171.0
2019-03-03,124798.0,41533.0,215891.0
2019-03-04,137666.0,43099.0,242715.0
2019-03-05,142782.0,42100.0,247099.0
2019-03-06,147810.0,42501.0,253642.0
2019-03-07,159650.0,44438.0,268599.0
2019-03-08,170759.0,44838.0,283570.0
2019-03-09,156571.0,43081.0,263270.0
2019-03-10,121203.0,38742.0,207313.0
2019-03-11,149014.0,44011.0,258063.0
2019-03-12,139410.0,39913.0,238894.0
2019-03-13,148886.0,42193.0,255005.0
2019-03-14,164842.0,43822.0,277853.0
2019-03-15,184758.0,48551.0,309866.0
2019-03-16,204225.0,50499.0,335340.0
2019-03-17,143096.0,42916.0,243404.0
2019-03-18,147056.0,43946.0,254650.0
2019-03-19,160961.0,46173.0,274012.0
2019-03-20,160765.0,46126.0,276700.0
2019-03-21,168425.0,46310.0,284656.0
2019-03-22,188980.0,48293.0,311596.0
2019-03-23,184131.0,48849.0,303750.0
2019-03-24,136903.0,42397.0,232459.0
2019-03-25,150135.0,44030.0,260963.0
2019-03-26,155471.0,42683.0,261649.0
2019-03-27,166862.0,42963.0,275553.0
2019-03-28,171152.0,43309.0,280253.0
2019-03-29,181866.0,45375.0,299308.0
2019-03-30,166398.0,45363.0,278980.0
2019-03-31,129211.0,40919.0,222609.0
2019-04-01,147268.0,43253.0,247987.0
2019-04-02,163416.0,44540.0,268059.0
2019-04-03,167614.0,44293.0,273190.0
2019-04-04,169369.0,44774.0,278944.0
2019-04-05,183133.0,46779.0,299616.0
2019-04-06,183873.0,47784.0,296830.0
2019-04-07,138995.0,44378.0,234526.0
2019-04-08,165142.0,45970.0,270129.0
2019-04-09,172568.0,45622.0,278447.0
2019-04-10,160412.0,44705.0,267047.0
2019-04-11,175391.0,46986.0,287972.0
2019-04-12,188083.0,48729.0,307021.0
2019-04-13,193075.0,51580.0,311811.0
2019-04-14,116434.0,37854.0,196598.0
2019-04-15,160386.0,50052.0,277945.0
2019-04-16,171978.0,48696.0,286491.0
2019-04-17,174099.0,49492.0,289947.0
2019-04-18,169660.0,46926.0,282475.0
2019-04-19,203727.0,55973.0,333102.0
2019-04-20,192685.0,56081.0,312606.0
2019-04-21,140588.0,39901.0,211096.0
2019-04-22,176605.0,49878.0,299479.0
2019-04-23,180192.0,49869.0,307383.0
2019-04-24,189277.0,50385.0,316081.0
2019-04-25,195451.0,51477.0,322119.0
2019-04-26,224342.0,55968.0,361870.0
2019-04-27,182097.0,49112.0,299172.0
2019-04-28,154678.0,47498.0,260025.0
2019-04-29,161771.0,48908.0,276230.0
2019-04-30,155391.0,44161.0,260408.0
2019-05-01,174377.0,49635.0,292778.0
2019-05-02,167988.0,46272.0,280206.0
2019-05-03,199815.0,52672.0,328209.0
2019-05-04,189362.0,51656.0,309481.0
2019-05-05,160749.0,47310.0,256407.0
2019-05-06,165085.0,50347.0,281421.0
2019-05-07,149942.0,45422.0,255437.0
2019-05-08,180930.0,51304.0,301871.0
2019-05-09,182990.0,51791.0,306353.0
2019-05-10,210925.0,57293.0,349975.0
2019-05-11,192354.0,57999.0,324786.0
2019-05-12,159265.0,49794.0,265547.0
2019-05-13,168817.0,50603.0,284696.0
2019-05-14,181891.0,50289.0,299374.0
2019-05-15,185033.0,50292.0,302701.0
2019-05-16,189351.0,51475.0,312872.0
