date,kind,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,dwpc,-7.78,-7.78,-7.22,-7.78,-8.28,-8.28,-8.28,-8.28,-6.72,-6.11,-6.11,-6.72,-6.11,-7.22,-7.22,-7.78,-7.78,-7.22,-6.72,-6.11,-5.0,-5.0,-4.39,-4.39
2017-01-01,relh,74.36,74.36,77.62,77.21,81.46,81.46,81.46,81.46,77.06,68.81,60.71,51.61,51.99,44.14,44.14,40.82,44.14,46.08,51.61,56.05,60.99,63.72,63.86,69.17
2017-01-01,sped,4.25,2.92,2.03,5.22,6.37,5.93,6.63,6.55,4.87,3.01,3.36,8.58,9.73,8.58,7.43,1.15,0.8,2.3,5.48,8.76,6.81,7.96,7.25,6.46
2017-01-01,tmpc,-3.89,-3.89,-3.89,-4.39,-5.61,-5.61,-5.61,-5.61,-3.28,-1.11,0.61,2.22,2.78,3.89,3.89,4.39,3.28,3.28,2.22,1.72,1.72,1.11,1.72,0.61
2017-01-02,dwpc,-3.89,-4.39,-3.89,-3.89,-2.78,-1.72,-2.22,-2.22,-2.05,-0.61,1.11,0.61,1.11,1.72,2.05,1.72,2.22,2.78,2.78,3.28,3.28,2.78,3.28,3.28
2017-01-02,relh,71.82,72.3,75.07,75.07,75.26,75.15,75.06,72.43,71.43,75.64,82.08,76.44,82.08,85.76,87.83,85.76,88.87,89.27,89.27,88.62,88.62,87.4,92.48,92.48
2017-01-02,sped,7.34,5.31,5.48,7.43,8.05,7.78,6.63,6.37,5.26,6.72,8.58,7.87,7.13,5.4,7.64,4.33,8.38,7.87,9.82,9.47,6.99,7.56,6.81,3.89
2017-01-02,tmpc,0.61,0.0,0.0,0.0,1.11,2.22,1.72,2.22,2.59,3.28,3.89,4.39,3.89,3.89,3.89,3.89,3.89,4.39,4.39,5.0,5.0,4.7,4.39,4.39
2017-01-03,dwpc,3.28,3.28,3.28,3.89,3.58,3.28,3.58,3.74,3.89,3.89,3.28,3.28,2.78,2.22,1.72,1.11,0.61,0.0,-0.61,-2.22,-3.84,-7.11,-9.39,-11.11
2017-01-03,relh,92.48,92.48,88.62,92.52,90.57,88.62,90.57,91.54,92.52,88.67,84.93,88.62,85.54,85.81,85.76,82.08,82.66,81.93,81.53,75.06,78.49,70.03,68.09,67.71
2017-01-03,sped,3.63,4.76,1.77,2.74,2.05,2.05,5.01,5.32,6.02,5.91,8.72,10.0,11.85,13.9,12.65,11.5,13.0,17.02,15.04,13.0,14.86,16.1,16.79,14.72
2017-01-03,tmpc,4.39,4.39,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.61,5.61,5.0,5.0,4.39,3.89,3.89,3.28,2.78,2.22,1.72,-0.56,-2.39,-4.39,-6.11
2017-01-04,dwpc,-12.78,-13.89,-15.0,-16.11,-16.72,-17.22,-17.22,-16.72,-16.72,-16.72,-16.11,-16.72,-16.11,-16.72,-17.22,-18.28,-18.28,-17.78,-18.28,-18.28,-18.28,-17.78,-17.78,-18.28
2017-01-04,relh,64.5,67.07,66.82,63.96,60.78,60.65,60.65,63.25,63.25,57.91,55.85,50.6,49.07,44.87,43.03,40.91,44.39,48.57,50.8,53.32,53.32,57.88,60.77,60.64
2017-01-04,sped,16.44,17.25,16.2,16.48,16.37,15.08,14.76,13.45,14.77,16.1,16.9,16.72,16.36,17.35,18.3,19.22,17.43,15.16,15.08,12.75,14.33,14.86,13.34,13.9
2017-01-04,tmpc,-7.22,-8.89,-10.0,-10.61,-10.61,-11.11,-11.11,-11.11,-11.11,-10.0,-8.89,-8.28,-7.22,-6.72,-6.72,-7.22,-8.28,-8.89,-10.0,-10.61,-10.61,-11.11,-11.72,-12.22
2017-01-05,dwpc,-18.89,-19.39,-19.39,-19.39,-20.0,-19.39,-20.0,-19.39,-19.39,-18.89,-18.89,-18.89,-18.89,-19.39,-18.28,-18.28,-18.28,-18.28,-19.39,-20.61,-21.11,-20.61,-21.11,-21.72
2017-01-05,relh,60.21,57.69,60.07,60.07,57.0,60.07,57.0,60.07,60.07,55.3,52.67,50.62,52.67,46.21,48.42,50.8,55.48,58.26,52.99,51.92,51.77,56.83,56.68,53.74
2017-01-05,sped,13.45,13.8,12.08,12.38,12.38,11.06,9.64,9.38,8.93,9.49,9.55,10.97,14.38,15.41,14.09,13.36,13.9,13.27,12.56,13.0,12.92,11.77,11.77,11.77
2017-01-05,tmpc,-12.78,-12.78,-13.28,-13.28,-13.28,-13.28,-13.28,-13.28,-13.28,-11.72,-11.11,-10.61,-11.11,-10.0,-9.39,-10.0,-11.11,-11.72,-11.72,-12.78,-13.28,-13.89,-14.39,-14.39
2017-01-06,dwpc,-22.22,-22.22,-21.72,-22.22,-22.22,-23.28,-23.28,-22.22,-22.22,-22.22,-21.72,-21.72,-20.61,-21.11,-22.22,-21.72,-22.22,-22.78,-22.22,-22.22,-22.78,-22.78,-22.78,-22.78
2017-01-06,relh,54.09,56.89,59.44,62.4,62.4,56.85,59.28,62.4,59.3,54.09,51.59,49.09,51.86,49.72,46.98,49.09,49.38,47.02,51.44,54.09,54.17,54.17,56.47,56.47
2017-01-06,sped,9.11,8.85,8.85,11.06,10.98,10.7,8.58,9.29,9.64,10.0,10.53,10.88,10.51,11.5,11.23,7.78,7.52,7.96,9.29,8.93,7.87,8.32,8.76,6.37
2017-01-06,tmpc,-15.0,-15.61,-15.61,-16.72,-16.72,-16.72,-17.22,-16.72,-16.11,-15.0,-13.89,-13.28,-12.75,-12.78,-13.28,-13.28,-13.89,-13.89,-14.39,-15.0,-15.61,-15.61,-16.11,-16.11
2017-01-07,dwpc,-22.78,-22.22,-22.22,-22.22,-22.22,-22.22,-21.72,-21.11,-20.0,-18.89,-18.28,-17.78,-17.22,-18.28,-18.89,-19.39,-19.39,-18.89,-18.89,-18.28,-18.89,-20.61,-21.72,-21.72
2017-01-07,relh,56.47,59.3,59.3,59.3,59.3,59.3,61.96,62.69,62.41,57.57,53.32,48.57,48.53,40.91,38.83,38.84,40.38,45.96,48.23,53.32,52.67,47.7,45.07,49.09
2017-01-07,sped,6.1,5.31,5.84,6.1,6.46,6.63,6.19,5.37,5.22,6.63,9.73,10.62,13.03,14.57,14.76,14.64,15.48,14.95,15.24,12.74,12.83,15.62,16.9,14.64
2017-01-07,tmpc,-16.11,-16.11,-16.11,-16.11,-16.11,-16.11,-16.11,-15.61,-14.39,-12.22,-10.61,-8.89,-8.28,-7.22,-7.22,-7.78,-8.28,-9.39,-10.0,-10.61,-11.11,-11.72,-12.22,-13.28
2017-01-08,dwpc,-21.72,-21.72,-21.72,-21.72,-21.72,-21.72,-21.72,-21.11,-20.61,-21.11,-21.11,-21.11,-21.11,-20.61,-20.0,-18.89,-18.28,-17.78,-17.22,-17.22,-17.22,-17.22,-17.22,-17.22
2017-01-08,relh,49.09,51.59,51.59,53.74,56.51,56.51,59.44,59.6,56.83,50.16,43.49,40.0,36.5,33.49,35.31,40.54,44.39,48.57,50.9,50.9,48.53,48.53,46.68,43.03
2017-01-08,sped,14.37,11.68,10.0,7.96,8.49,7.96,7.43,5.4,7.87,7.74,4.18,5.42,6.23,8.58,8.58,9.2,10.08,10.44,12.12,12.12,11.94,13.36,14.42,13.57
2017-01-08,tmpc,-13.28,-13.89,-13.89,-14.39,-15.0,-15.0,-15.61,-15.0,-13.89,-12.78,-11.11,-10.0,-8.89,-7.22,-7.22,-7.78,-8.28,-8.89,-8.89,-8.89,-8.28,-8.28,-7.78,-6.72
2017-01-09,dwpc,-15.0,-13.89,-12.78,-11.72,-11.11,-10.61,-10.61,-10.0,-10.0,-9.39,-9.39,-9.39,-9.39,-9.39,-8.89,-8.28,-6.31,-5.0,-5.61,-6.11,-6.11,-6.11,-5.61,-5.61
2017-01-09,relh,51.77,54.12,57.02,59.26,62.23,67.82,67.82,71.18,67.96,62.65,60.37,57.93,57.93,55.83,58.06,58.23,72.77,81.25,74.76,68.81,66.34,60.71,60.83,58.22
2017-01-09,sped,14.85,12.88,14.84,16.26,14.85,11.68,10.79,9.73,10.35,10.7,11.06,12.21,8.67,8.76,9.02,10.97,12.07,10.84,12.12,11.59,11.94,14.51,13.98,14.33
2017-01-09,tmpc,-6.72,-6.11,-5.61,-5.0,-5.0,-5.61,-5.61,-5.61,-5.0,-3.28,-2.78,-2.22,-2.22,-1.72,-1.72,-1.11,-2.05,-2.22,-1.72,-1.11,-0.61,0.61,1.11,1.72
