date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,25.06,24.67,24.33,23.99,24.3,23.88,24.31,24.66,24.98,26.4,27.31,27.36,25.98,25.3,24.89,25.31,27.13,40.27,37.12,35.67,30.06,28.19,26.39,24.94
2017-01-02,23.18,22.31,21.74,21.75,22.05,22.38,24.08,26.24,28.23,28.89,30.39,29.74,28.34,27.66,27.3,27.14,30.4,41.33,38.27,35.84,29.98,27.66,25.53,22.67
2017-01-03,24.93,23.72,23.1,23.18,23.83,24.97,31.74,34.68,34.14,35.42,36.96,37.55,33.71,31.94,31.15,30.05,33.5,43.91,41.12,39.25,32.29,28.82,26.8,23.73
2017-01-04,23.98,24.0,23.51,23.58,24.0,25.64,28.88,30.41,29.01,29.03,29.16,28.2,27.08,26.6,25.85,26.13,27.99,43.46,43.18,40.48,38.96,35.4,28.02,26.81
2017-01-05,26.32,26.09,25.36,25.99,27.25,28.7,40.21,38.58,38.53,37.75,37.24,36.25,33.2,33.51,31.57,33.1,35.05,52.26,51.83,47.85,44.25,42.4,33.28,28.98
2017-01-06,27.23,26.53,26.18,26.32,27.32,29.11,38.52,40.56,40.04,39.3,38.84,40.59,34.31,32.84,31.92,31.61,35.76,47.26,47.52,44.79,42.38,42.76,34.82,31.77
2017-01-07,34.51,34.33,32.87,32.81,33.08,32.79,35.0,39.31,40.36,46.0,48.67,46.76,41.85,39.06,36.69,36.46,41.9,53.36,56.58,48.0,47.26,46.97,41.17,36.72
2017-01-08,41.3,40.21,39.65,39.37,39.51,42.59,44.84,46.38,48.64,50.61,48.27,43.64,41.62,39.6,38.14,38.78,42.55,74.25,74.23,65.85,61.51,55.32,47.72,40.23
2017-01-09,51.52,51.41,50.82,52.79,52.01,63.99,86.42,100.36,83.63,69.13,63.34,54.1,49.56,47.53,46.79,45.58,48.81,69.66,67.45,60.67,51.26,44.48,42.62,40.49
2017-01-10,34.56,33.39,32.69,33.66,37.51,40.42,53.83,52.81,45.32,38.8,35.42,34.38,32.72,30.61,29.8,29.25,30.18,38.94,34.95,30.86,31.14,28.89,28.41,26.91
2017-01-11,24.13,23.77,23.27,23.28,23.89,24.13,27.76,30.19,28.21,26.86,28.56,26.26,25.35,24.44,24.33,24.62,24.71,36.85,32.9,29.97,27.83,25.66,24.31,22.52
2017-01-12,22.31,21.86,21.41,21.56,21.7,23.31,28.11,28.52,25.54,25.78,27.01,26.82,25.93,25.69,25.19,24.51,24.89,36.0,32.81,28.64,26.82,26.28,24.27,22.89
2017-01-13,22.92,22.68,22.14,22.15,22.47,23.65,26.76,30.75,30.28,31.45,33.4,34.23,29.66,29.91,27.38,26.61,29.1,40.43,36.46,37.89,37.07,34.99,27.78,26.13
2017-01-14,27.49,27.31,27.05,24.87,24.84,25.0,26.23,28.18,30.87,35.9,35.11,33.91,31.68,28.79,27.43,26.54,32.18,39.03,37.22,35.7,32.68,30.33,29.87,25.8
2017-01-15,25.13,24.32,23.58,23.58,23.59,23.99,24.31,24.38,26.23,28.44,28.55,26.88,25.89,25.9,25.43,25.03,27.37,37.75,34.81,35.39,32.81,31.0,26.86,25.87
2017-01-16,25.03,24.66,24.07,23.54,23.96,25.63,32.41,32.01,32.51,32.09,32.45,31.79,30.12,27.18,26.99,25.38,28.17,38.93,35.3,32.64,30.09,29.95,25.74,25.55
2017-01-17,23.97,23.21,22.89,23.03,23.33,24.93,29.75,32.31,34.21,34.19,34.07,33.06,30.84,27.59,27.69,27.18,28.6,37.44,35.25,31.72,27.55,25.93,24.03,22.52
2017-01-18,22.65,21.93,21.2,21.36,21.89,23.31,27.52,30.52,31.34,30.46,33.86,32.57,30.24,28.15,27.39,27.02,29.35,38.16,35.14,33.72,33.03,28.28,24.64,23.12
2017-01-19,24.25,23.45,22.56,22.87,23.38,23.98,30.82,34.42,32.54,30.08,29.97,29.75,27.36,25.33,24.63,25.42,26.87,38.15,36.4,32.55,30.75,27.01,24.76,24.01
2017-01-20,23.76,22.42,22.32,22.06,22.78,23.76,32.08,34.23,32.84,33.16,33.09,30.73,28.48,27.62,26.61,27.69,29.85,39.84,36.68,31.84,29.63,25.29,24.19,22.28
2017-01-21,21.76,21.16,20.3,20.46,20.43,20.83,21.06,21.18,21.5,24.11,24.89,26.07,23.68,22.95,22.34,22.46,22.73,29.71,27.99,23.97,23.52,23.14,21.83,20.27
2017-01-22,20.7,20.18,20.07,19.81,20.12,20.18,20.2,19.95,20.56,21.65,22.49,23.08,22.88,22.61,22.34,22.17,23.74,30.5,28.75,26.55,24.69,22.88,21.71,19.78
2017-01-23,19.44,19.36,18.8,18.74,19.48,20.26,23.51,24.71,26.01,28.92,28.49,28.54,28.69,27.52,26.71,26.43,29.01,34.94,34.37,31.32,28.57,25.51,23.6,22.95
2017-01-24,22.73,22.23,22.01,21.91,22.34,23.06,28.23,28.19,26.49,29.95,28.69,27.74,26.94,26.67,25.64,25.5,26.72,35.74,33.49,28.61,26.02,24.21,23.39,22.34
2017-01-25,22.43,21.88,21.78,21.76,22.08,23.15,29.47,32.5,29.25,26.68,26.08,25.34,24.44,24.28,23.83,23.85,25.03,35.39,34.71,29.0,27.03,24.56,22.64,21.63
2017-01-26,20.96,20.84,20.29,20.46,20.87,21.76,24.76,26.49,25.74,25.17,25.15,24.29,24.18,24.28,24.17,24.07,24.98,34.02,32.54,29.71,30.48,25.54,23.29,21.97
2017-01-27,23.07,22.63,22.56,22.41,22.86,23.58,28.0,34.21,30.08,28.3,30.14,27.31,27.87,27.16,26.67,26.77,28.02,37.51,36.3,33.89,32.59,28.04,25.6,24.17
2017-01-28,23.11,22.67,22.52,22.36,22.46,22.77,24.16,25.0,25.54,26.35,26.54,26.08,25.52,24.59,24.25,24.06,25.38,30.12,29.9,28.23,27.81,26.82,25.15,23.36
2017-01-29,22.64,22.85,22.52,22.29,22.33,22.54,23.91,24.58,25.17,25.54,25.34,25.04,24.2,23.76,23.47,23.73,26.73,35.69,34.82,32.03,30.27,27.34,25.49,24.11
2017-01-30,23.72,23.28,22.93,22.93,23.98,25.74,33.31,34.89,34.83,35.37,33.76,33.01,31.6,30.37,29.3,29.36,31.18,42.54,41.36,38.78,36.6,33.22,29.01,27.71
2017-01-31,26.47,25.87,25.39,25.36,25.7,26.76,35.6,35.11,30.96,31.2,29.29,28.79,27.74,27.25,26.89,26.63,27.73,32.28,31.8,29.16,28.21,26.18,25.31,24.56
2017-02-01,22.8,21.96,21.81,21.95,22.7,22.89,29.56,28.0,25.08,25.35,26.55,25.84,25.49,25.36,24.81,24.6,25.55,30.18,33.54,30.08,29.34,25.94,24.28,22.55
2017-02-02,22.37,22.02,21.84,21.96,22.4,24.47,28.16,32.36,28.49,28.0,27.68,26.85,25.88,25.68,25.34,24.87,25.5,33.3,37.82,35.24,35.1,31.84,26.56,25.88
2017-02-03,25.35,24.87,24.67,24.91,24.68,25.67,36.11,38.5,30.67,29.58,29.19,28.46,27.19,26.56,25.57,24.98,26.21,31.92,31.95,30.29,29.89,29.34,27.33,26.32
2017-02-04,27.72,27.17,26.35,26.28,26.52,27.66,31.3,31.74,32.88,33.4,29.82,27.87,26.33,25.63,25.08,24.6,25.44,29.88,33.66,31.08,29.06,27.09,25.98,24.97
2017-02-05,23.5,23.14,21.93,21.67,21.24,21.63,21.93,21.84,23.17,24.36,23.82,23.39,23.42,22.73,22.48,22.66,23.14,28.16,27.83,26.7,26.02,25.07,23.85,23.15
2017-02-06,22.08,21.77,21.59,21.09,20.63,21.66,25.81,30.17,28.81,28.67,26.86,26.42,24.85,23.7,22.81,22.37,23.13,27.38,31.05,27.88,26.34,24.93,22.0,20.81
