date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,3995.0,3832.7,3707.2,3625.4,3621.1,3653.1,3746.1,3846.8,3891.8,3985.1,4026.3,4072.5,4054.1,4018.7,3991.4,4021.9,4215.0,4640.9,4696.4,4681.5,4644.1,4541.0,4361.0,4135.0
2017-01-02,3912.9,3804.4,3739.7,3709.0,3775.2,3927.9,4114.2,4252.9,4383.2,4582.3,4717.6,4815.1,4838.3,4821.4,4819.2,4859.4,5050.2,5326.5,5254.5,5141.1,4995.6,4762.6,4439.8,4144.2
2017-01-03,3872.4,3760.1,3648.1,3693.4,3813.1,4070.6,4520.8,4794.0,4849.1,4909.0,4976.5,4980.7,4972.8,4938.5,4849.5,4879.9,5123.0,5431.1,5384.1,5193.4,5074.9,4825.0,4454.2,4108.8
2017-01-04,3865.4,3720.4,3645.7,3631.6,3730.6,4032.9,4489.2,4768.9,4730.5,4654.6,4663.4,4662.1,4616.2,4521.6,4522.3,4559.1,4738.2,5235.1,5344.4,5290.5,5236.9,5012.9,4681.1,4382.5
2017-01-05,4178.3,4092.2,4050.0,4075.1,4257.3,4588.0,5127.6,5435.6,5435.8,5428.5,5389.7,5303.3,5194.3,5165.4,5198.1,5208.4,5403.9,5836.1,5845.7,5719.6,5602.3,5342.0,5018.0,4696.4
2017-01-06,4465.2,4306.8,4226.9,4268.8,4382.0,4707.2,5150.4,5383.3,5415.4,5316.4,5265.3,5165.9,5117.1,5087.1,5119.9,5193.3,5389.1,5757.3,5710.8,5592.2,5498.2,5311.6,5058.9,4783.1
2017-01-07,4577.4,4429.5,4352.4,4323.7,4382.7,4488.5,4688.5,4938.6,5184.4,5433.0,5609.1,5687.9,5682.0,5678.8,5650.7,5631.3,5752.1,5996.9,5978.7,5884.0,5782.1,5636.0,5395.3,5159.6
2017-01-08,4951.5,4823.6,4743.6,4753.7,4815.7,4925.5,5097.8,5255.9,5396.1,5511.1,5546.0,5557.7,5502.6,5449.8,5422.0,5505.7,5750.4,6173.8,6233.7,6169.9,6070.8,5863.9,5546.4,5279.6
2017-01-09,5110.0,5038.2,5031.2,5108.9,5237.2,5611.0,6075.6,6360.7,6294.8,6225.6,6158.7,6076.5,5886.2,5803.0,5769.5,5815.7,6003.4,6447.1,6501.8,6439.0,6356.4,6097.9,5779.4,5386.2
2017-01-10,5213.1,5117.5,5100.7,5120.7,5255.9,5552.1,6043.6,6275.8,6167.8,5967.3,5900.0,5774.2,5692.0,5603.3,5549.9,5570.3,5709.3,6051.0,6006.4,5832.4,5689.8,5389.8,5031.5,4604.7
2017-01-11,4356.1,4177.3,4137.1,4109.5,4173.5,4473.9,4943.7,5232.2,5142.5,5031.0,4994.1,4893.7,4806.5,4767.8,4717.7,4766.2,4953.7,5267.2,5223.2,5115.1,5011.0,4790.4,4452.3,4122.4
2017-01-12,3865.8,3731.1,3620.3,3594.5,3688.5,3975.1,4393.9,4696.2,4685.0,4645.4,4613.9,4595.5,4576.6,4505.9,4504.7,4496.1,4623.1,4905.9,4889.8,4793.9,4677.5,4408.1,4114.6,3730.8
2017-01-13,3494.9,3349.3,3268.1,3293.0,3359.4,3681.8,4156.3,4474.6,4507.8,4503.3,4516.0,4487.2,4427.8,4415.3,4390.7,4423.8,4602.4,4973.3,4960.1,4878.8,4819.5,4648.2,4446.7,4205.8
2017-01-14,3989.4,3886.5,3813.3,3811.7,3856.3,3995.4,4206.7,4417.3,4618.1,4776.6,4848.0,4882.8,4874.2,4831.7,4826.6,4865.8,4995.4,5232.0,5200.5,5089.9,4979.6,4791.4,4597.0,4353.4
2017-01-15,4159.8,4011.8,3930.3,3894.2,3940.2,4051.1,4227.2,4389.9,4525.8,4573.7,4576.4,4542.5,4476.5,4433.5,4398.8,4414.2,4615.9,5013.1,5101.5,5037.4,4982.6,4854.5,4641.9,4410.2
2017-01-16,4241.2,4166.4,4142.8,4185.7,4339.1,4588.9,4946.3,5202.2,5257.8,5224.2,5120.2,5015.9,4908.8,4834.2,4844.0,4899.6,5086.3,5407.0,5380.7,5270.8,5134.7,4852.6,4527.3,4193.5
2017-01-17,4008.6,3809.9,3788.4,3800.0,3923.9,4229.0,4696.4,5016.3,5012.7,5003.2,5023.1,5021.1,4984.8,4952.3,4908.1,4951.4,5105.6,5373.8,5344.5,5227.8,5074.7,4795.2,4452.7,4120.7
2017-01-18,3877.8,3717.3,3681.4,3680.8,3794.3,4115.8,4609.0,4928.6,4903.7,4878.8,4857.3,4810.7,4762.3,4739.5,4748.1,4772.5,4945.3,5221.3,5233.8,5087.3,4990.8,4742.0,4406.8,4056.0
2017-01-19,3820.8,3670.9,3597.0,3606.0,3719.3,4032.5,4544.0,4818.0,4806.4,4717.9,4703.8,4643.3,4610.0,4612.3,4599.0,4616.5,4783.7,5109.2,5196.8,5088.1,5038.7,4810.2,4517.8,4216.7
2017-01-20,4015.9,3904.4,3904.5,3895.7,4036.5,4359.9,4848.2,5167.6,5156.7,5071.0,5105.5,5056.3,5042.0,5057.6,5024.1,5012.7,5087.9,5284.7,5214.6,5051.9,4910.1,4725.1,4451.7,4141.4
2017-01-21,3918.6,3753.4,3658.5,3573.2,3628.3,3733.4,3895.7,4120.0,4321.4,4450.6,4536.1,4559.4,4513.1,4449.3,4411.9,4401.4,4511.7,4739.2,4725.0,4598.6,4470.8,4314.3,4134.3,3922.5
2017-01-22,3661.0,3528.5,3447.8,3433.6,3436.2,3509.1,3632.3,3791.5,3947.9,4147.4,4262.4,4276.7,4300.2,4338.9,4357.1,4405.1,4529.9,4801.1,4824.3,4720.0,4616.3,4428.7,4176.8,3880.3
2017-01-23,3684.4,3588.7,3523.2,3546.2,3695.3,4019.0,4542.3,4861.5,4979.2,5019.5,5108.1,5160.1,5200.3,5231.3,5263.7,5283.5,5401.0,5656.3,5622.9,5504.3,5365.5,5100.4,4741.4,4414.4
2017-01-24,4168.8,4005.4,3918.3,3935.5,4032.2,4372.6,4878.4,5135.6,5118.1,5074.9,5082.6,5031.2,4989.4,4919.2,4905.0,4965.6,5115.2,5430.9,5463.5,5306.8,5174.3,4974.4,4617.5,4330.6
2017-01-25,4047.2,3878.7,3863.2,3822.2,3897.6,4226.9,4704.4,4986.1,4951.2,4829.5,4752.1,4655.6,4582.7,4497.6,4469.5,4476.9,4546.1,4910.3,5006.5,4953.1,4840.2,4641.6,4286.7,3984.6
2017-01-26,3755.8,3605.9,3548.3,3571.7,3649.5,3958.0,4441.9,4730.2,4778.7,4731.5,4708.8,4683.2,4579.4,4557.0,4589.3,4590.7,4771.4,5122.0,5198.2,5065.9,4984.9,4742.4,4389.4,4111.7
2017-01-27,3873.0,3749.7,3681.4,3702.7,3779.1,4106.2,4599.7,4899.9,4914.2,4868.9,4804.8,4759.6,4795.1,4833.6,4843.5,4857.9,4969.4,5234.6,5256.0,5131.9,5034.8,4839.1,4579.8,4337.2
2017-01-28,4120.2,3979.3,3914.1,3893.7,3915.8,4023.1,4204.3,4408.6,4610.0,4730.6,4819.4,4820.8,4806.8,4765.0,4722.9,4668.8,4707.1,4912.2,5008.6,4959.1,4884.4,4748.6,4548.5,4324.9
2017-01-29,4130.1,4011.9,3952.6,3903.2,3913.8,4002.1,4141.0,4266.2,4370.8,4494.8,4559.1,4504.8,4405.9,4401.9,4408.8,4465.8,4597.5,4942.0,5096.1,5046.8,4976.9,4794.6,4499.9,4242.8
2017-01-30,4022.8,3922.0,3907.7,3931.5,4123.0,4452.4,4954.3,5270.1,5247.3,5181.5,5039.0,4931.5,4917.9,4949.1,4936.9,5017.0,5200.0,5538.6,5658.7,5599.3,5488.1,5233.6,4909.7,4548.6
2017-01-31,4359.8,4326.0,4284.8,4311.2,4401.2,4748.8,5258.7,5482.8,5522.5,5496.3,5492.9,5402.8,5361.4,5299.0,5194.5,5081.2,5154.0,5500.7,5610.6,5512.3,5355.2,5132.8,4772.8,4474.9
2017-02-01,4213.1,4054.0,3973.3,3970.0,4037.4,4390.1,4899.5,5126.5,5090.1,4979.1,4840.9,4873.7,4848.3,4846.9,4823.8,4811.1,4859.0,5213.2,5296.2,5139.6,5052.2,4806.9,4509.4,4169.2
