date,Restaurant_Recreaction,Grocery_Pharmacy,Retail
2018-12-31,49170.0,17638.0,80963.0
2019-01-01,37072.0,10911.0,56352.0
2019-01-02,42769.0,14871.0,70046.0
2019-01-03,47468.0,16221.0,77281.0
2019-01-04,53551.0,17573.0,86552.0
2019-01-05,44757.0,15461.0,74205.0
2019-01-06,39111.0,14550.0,63114.0
2019-01-07,41230.0,14785.0,67403.0
2019-01-08,48525.0,16995.0,78846.0
2019-01-09,55100.0,18798.0,88980.0
2019-01-10,56614.0,19401.0,91934.0
2019-01-11,61366.0,20464.0,99590.0
2019-01-12,55460.0,19771.0,92623.0
2019-01-13,40210.0,14961.0,65005.0
2019-01-14,56013.0,18576.0,88790.0
2019-01-15,56924.0,18543.0,89647.0
2019-01-16,60821.0,18815.0,94234.0
2019-01-17,60966.0,20246.0,96189.0
2019-01-18,62530.0,19706.0,97561.0
2019-01-19,54612.0,18843.0,90324.0
2019-01-20,41028.0,14461.0,67613.0
2019-01-21,44348.0,15615.0,76363.0
2019-01-22,60717.0,18895.0,100108.0
2019-01-23,63144.0,19070.0,102796.0
2019-01-24,61068.0,18167.0,100104.0
2019-01-25,70130.0,20167.0,111578.0
2019-01-26,59916.0,18594.0,97807.0
2019-01-27,48366.0,16904.0,80377.0
2019-01-28,61945.0,19313.0,100093.0
2019-01-29,60229.0,18161.0,95953.0
2019-01-30,59345.0,17275.0,91421.0
2019-01-31,60688.0,17058.0,91343.0
2019-02-01,62605.0,16916.0,93031.0
2019-02-02,57302.0,17184.0,92823.0
2019-02-03,48219.0,15455.0,75538.0
2019-02-04,58000.0,16532.0,90246.0
2019-02-05,61628.0,17249.0,95937.0
2019-02-06,61144.0,17006.0,94447.0
2019-02-07,61915.0,16689.0,94264.0
2019-02-08,67655.0,17937.0,103747.0
2019-02-09,61531.0,17154.0,101236.0
2019-02-10,49466.0,15411.0,81812.0
2019-02-11,56758.0,16605.0,86843.0
2019-02-12,58715.0,17162.0,90077.0
2019-02-13,62453.0,20791.0,100810.0
2019-02-14,67272.0,21423.0,107237.0
2019-02-15,70967.0,21386.0,112051.0
2019-02-16,64887.0,20110.0,105965.0
2019-02-17,50792.0,17409.0,82013.0
2019-02-18,59680.0,19509.0,95699.0
2019-02-19,67974.0,21643.0,107296.0
